dataset,suite,strategy,split,seed,rank,total_steps,status,elapsed_sec,output_dir,fid,clip_score
anime_student,multi_seed,Random_D-Medium,D-Medium,42,16,1200,ok,1029.7,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\Random_D-Medium_seed42,214.1512,0.3067
anime_student,multi_seed,Random_D-Medium,D-Medium,52,16,1200,ok,1035.4,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\Random_D-Medium_seed52,215.9845,0.2891
anime_student,multi_seed,Random_D-Medium,D-Medium,62,16,1200,ok,1030.3,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\Random_D-Medium_seed62,240.5798,0.3039
anime_student,multi_seed,HAC_D-Medium,D-Medium,42,16,1200,ok,1075.8,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\HAC_D-Medium_seed42,244.3639,0.3063
anime_student,multi_seed,HAC_D-Medium,D-Medium,52,16,1200,ok,1062.8,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\HAC_D-Medium_seed52,252.368,0.2994
anime_student,multi_seed,HAC_D-Medium,D-Medium,62,16,1200,ok,1066.7,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\HAC_D-Medium_seed62,220.6637,0.3043
anime_student,multi_seed,Random_D-Medium,D-Medium,42,16,1200,cached,0.0,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\Random_D-Medium_seed42,214.1512,0.3067
anime_student,multi_seed,Random_D-Medium,D-Medium,52,16,1200,cached,0.0,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\Random_D-Medium_seed52,215.9845,0.2891
anime_student,multi_seed,Random_D-Medium,D-Medium,62,16,1200,cached,0.0,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\Random_D-Medium_seed62,240.5798,0.3039
anime_student,multi_seed,HAC_D-Medium,D-Medium,42,16,1200,cached,0.0,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\HAC_D-Medium_seed42,244.3639,0.3063
anime_student,multi_seed,HAC_D-Medium,D-Medium,52,16,1200,cached,0.0,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\HAC_D-Medium_seed52,252.368,0.2994
anime_student,multi_seed,HAC_D-Medium,D-Medium,62,16,1200,cached,0.0,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\HAC_D-Medium_seed62,220.6637,0.3043
anime_student,multi_seed,Random_D-Medium,D-Medium,42,16,1200,cached,0.0,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\Random_D-Medium_seed42,214.1512,0.3067
anime_student,multi_seed,Random_D-Medium,D-Medium,52,16,1200,cached,0.0,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\Random_D-Medium_seed52,215.9845,0.2891
anime_student,multi_seed,Random_D-Medium,D-Medium,62,16,1200,cached,0.0,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\Random_D-Medium_seed62,240.5798,0.3039
anime_student,multi_seed,HAC_D-Medium,D-Medium,42,16,1200,cached,0.0,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\HAC_D-Medium_seed42,244.3639,0.3063
anime_student,multi_seed,HAC_D-Medium,D-Medium,52,16,1200,cached,0.0,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\HAC_D-Medium_seed52,252.368,0.2994
anime_student,multi_seed,HAC_D-Medium,D-Medium,62,16,1200,cached,0.0,<project_root>\hac_lora\results\reviewer_followups\robustness\anime_student\multi_seed\HAC_D-Medium_seed62,220.6637,0.3043
