step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.032375,1.00e-04,3.2,8463
2,0,0.222728,1.00e-04,3.6,8482
3,0,0.125828,1.00e-04,4.0,8482
4,0,0.071666,1.00e-04,4.5,8482
5,0,0.106272,1.00e-04,5.1,8495
6,0,0.126112,1.00e-04,5.5,8508
7,0,0.003266,1.00e-04,6.0,8508
8,0,0.109386,1.00e-04,6.4,8508
9,0,0.009700,1.00e-04,6.8,8508
10,0,0.077546,1.00e-04,7.2,8508
11,0,0.046951,1.00e-04,7.6,8508
12,0,0.132282,1.00e-04,8.0,8508
13,0,0.024442,1.00e-04,8.5,8508
14,0,0.137655,1.00e-04,8.8,8508
15,0,0.008092,1.00e-04,9.2,8508
16,0,0.035170,1.00e-04,9.7,8508
17,0,0.102490,1.00e-04,10.2,8508
18,0,0.122973,1.00e-04,10.6,8508
19,0,0.002473,1.00e-04,11.1,8508
20,0,0.229712,1.00e-04,11.6,8508
21,0,0.062758,1.00e-04,12.0,8508
22,0,0.019464,1.00e-04,12.5,8508
23,0,0.115379,1.00e-04,12.9,8508
24,0,0.109694,1.00e-04,13.4,8508
25,0,0.351805,1.00e-04,13.7,8508
26,0,0.022716,1.00e-04,14.1,8508
27,0,0.075749,1.00e-04,14.6,8508
28,0,0.164062,1.00e-04,14.9,8508
29,0,0.065672,1.00e-04,15.3,8508
30,0,0.043057,1.00e-04,15.6,8508
31,0,0.033800,1.00e-04,16.1,8508
32,0,0.044292,1.00e-04,16.5,8508
33,0,0.059914,1.00e-04,17.0,8508
34,0,0.044200,1.00e-04,17.4,8508
35,0,0.086871,1.00e-04,17.7,8508
36,0,0.046030,1.00e-04,18.1,8508
37,0,0.028082,1.00e-04,18.5,8508
38,0,0.131604,1.00e-04,18.9,8508
39,0,0.143055,1.00e-04,19.3,8508
40,0,0.038633,1.00e-04,19.8,8508
41,0,0.093970,1.00e-04,20.2,8508
42,0,0.084484,1.00e-04,20.6,8508
43,0,0.055209,1.00e-04,21.0,8508
44,0,0.066859,1.00e-04,21.5,8508
45,0,0.118225,1.00e-04,21.9,8508
46,0,0.193335,1.00e-04,22.3,8508
47,0,0.130345,1.00e-04,22.7,8508
48,0,0.142849,1.00e-04,23.1,8508
49,0,0.064916,1.00e-04,23.7,8508
50,0,0.040254,1.00e-04,24.1,8508
51,0,0.128665,1.00e-04,24.5,8508
52,0,0.056810,1.00e-04,25.0,8508
53,0,0.021818,1.00e-04,25.4,8508
54,0,0.011221,1.00e-04,25.7,8508
55,0,0.146634,1.00e-04,26.1,8508
56,0,0.046596,1.00e-04,26.4,8508
57,0,0.008800,1.00e-04,26.8,8508
58,0,0.091322,1.00e-04,27.2,8508
59,0,0.037350,1.00e-04,27.6,8508
60,0,0.139342,1.00e-04,28.0,8508
61,0,0.078836,1.00e-04,28.4,8508
62,0,0.016204,1.00e-04,28.8,8508
63,0,0.006456,1.00e-04,29.2,8508
64,0,0.042575,1.00e-04,29.7,8508
65,0,0.028987,1.00e-04,30.1,8508
66,0,0.044919,1.00e-04,30.5,8508
67,0,0.092123,1.00e-04,30.9,8508
68,0,0.048182,1.00e-04,31.4,8508
69,0,0.053542,1.00e-04,31.7,8508
70,0,0.024800,1.00e-04,32.2,8508
71,0,0.009254,1.00e-04,32.6,8508
72,0,0.100639,1.00e-04,33.1,8508
73,0,0.057842,1.00e-04,33.5,8508
74,0,0.145127,1.00e-04,33.9,8508
75,0,0.062794,1.00e-04,34.3,8508
76,0,0.027591,1.00e-04,34.7,8508
77,0,0.113694,1.00e-04,35.2,8508
78,0,0.024988,1.00e-04,35.6,8508
79,0,0.014987,1.00e-04,36.1,8508
80,0,0.129402,1.00e-04,36.6,8508
81,0,0.160328,1.00e-04,36.9,8508
82,0,0.063942,1.00e-04,37.3,8508
83,0,0.115294,1.00e-04,37.7,8508
84,0,0.018612,1.00e-04,38.0,8508
85,0,0.020907,1.00e-04,38.4,8508
86,0,0.013957,1.00e-04,38.8,8508
87,0,0.009090,1.00e-04,39.2,8508
88,0,0.019772,1.00e-04,39.6,8508
89,0,0.033734,1.00e-04,40.0,8508
90,0,0.028261,1.00e-04,40.4,8508
91,0,0.117352,1.00e-04,40.8,8508
92,0,0.024098,1.00e-04,41.3,8508
93,0,0.047973,1.00e-04,41.6,8508
94,0,0.062052,1.00e-04,42.0,8508
95,0,0.052717,1.00e-04,42.4,8508
96,0,0.051908,1.00e-04,42.8,8508
97,0,0.191184,1.00e-04,43.2,8508
98,0,0.035085,1.00e-04,43.6,8508
99,0,0.058365,1.00e-04,44.0,8508
100,0,0.018651,1.00e-04,44.6,8508
101,0,0.092825,1.00e-04,44.9,8508
102,0,0.067733,1.00e-04,45.3,8508
103,0,0.047045,1.00e-04,45.7,8508
104,0,0.146370,1.00e-04,46.2,8508
105,0,0.053154,1.00e-04,46.6,8508
106,0,0.275251,1.00e-04,47.0,8508
107,0,0.046737,1.00e-04,47.4,8508
108,0,0.142297,1.00e-04,47.9,8508
109,0,0.053968,1.00e-04,48.3,8508
110,0,0.027527,1.00e-04,48.8,8508
111,0,0.259117,1.00e-04,49.3,8508
112,0,0.048385,1.00e-04,49.7,8508
113,0,0.157337,1.00e-04,50.2,8508
114,0,0.092633,1.00e-04,50.5,8508
115,0,0.022946,1.00e-04,51.0,8508
116,0,0.259261,1.00e-04,51.4,8508
117,0,0.067547,1.00e-04,52.0,8508
118,0,0.133636,1.00e-04,52.4,8508
119,0,0.046392,1.00e-04,52.7,8508
120,0,0.062536,1.00e-04,53.2,8508
121,0,0.042222,1.00e-04,53.6,8508
122,0,0.122766,1.00e-04,54.0,8508
123,0,0.021916,1.00e-04,54.5,8508
124,0,0.244381,1.00e-04,54.9,8508
125,0,0.018138,1.00e-04,55.3,8508
126,0,0.005045,1.00e-04,55.7,8508
127,0,0.089546,1.00e-04,56.1,8508
128,0,0.042767,1.00e-04,56.5,8508
129,0,0.086691,1.00e-04,57.4,8508
130,0,0.056368,1.00e-04,57.8,8508
131,0,0.018225,1.00e-04,58.2,8508
132,0,0.062270,1.00e-04,58.6,8508
133,0,0.046934,1.00e-04,59.1,8508
134,0,0.057974,1.00e-04,59.6,8508
135,0,0.127095,1.00e-04,60.0,8508
136,0,0.051178,1.00e-04,60.3,8508
137,0,0.036643,1.00e-04,61.2,8508
138,0,0.077159,1.00e-04,61.7,8508
139,0,0.069361,1.00e-04,62.0,8508
140,0,0.296337,1.00e-04,62.4,8508
141,0,0.055933,1.00e-04,62.9,8508
142,0,0.002044,1.00e-04,63.2,8508
143,0,0.041691,1.00e-04,63.6,8508
144,0,0.066004,1.00e-04,63.9,8508
145,0,0.118816,1.00e-04,64.3,8508
146,0,0.068634,1.00e-04,64.7,8508
147,0,0.043326,1.00e-04,65.1,8508
148,0,0.052241,1.00e-04,65.5,8508
149,0,0.274724,1.00e-04,66.0,8508
150,0,0.047317,1.00e-04,66.3,8508
151,0,0.081179,1.00e-04,66.8,8508
152,0,0.042681,1.00e-04,67.2,8508
153,0,0.048394,1.00e-04,67.7,8508
154,0,0.042262,1.00e-04,68.0,8508
155,0,0.049387,1.00e-04,68.8,8508
156,0,0.077462,1.00e-04,69.3,8508
157,0,0.204446,1.00e-04,69.7,8508
158,0,0.046721,1.00e-04,70.0,8508
159,0,0.066371,1.00e-04,70.5,8508
160,0,0.417972,1.00e-04,71.0,8508
161,0,0.046403,1.00e-04,71.3,8508
162,0,0.113146,1.00e-04,71.8,8508
163,0,0.120003,1.00e-04,72.3,8508
