step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.053504,5.00e-05,3.3,8463
2,0,0.057546,5.00e-05,4.1,8482
3,0,0.166145,5.00e-05,4.5,8482
4,0,0.138095,5.00e-05,5.1,8482
5,0,0.017166,5.00e-05,5.6,8495
6,0,0.061230,5.00e-05,6.0,8508
7,0,0.068412,5.00e-05,6.4,8508
8,0,0.069421,5.00e-05,6.8,8508
9,0,0.144470,5.00e-05,7.3,8508
10,0,0.025139,5.00e-05,7.8,8508
11,0,0.089997,5.00e-05,8.3,8508
12,0,0.036954,5.00e-05,8.7,8508
13,0,0.051577,5.00e-05,9.1,8508
14,0,0.084707,5.00e-05,9.5,8508
15,0,0.051387,5.00e-05,10.0,8508
16,0,0.024754,5.00e-05,10.4,8508
17,0,0.098979,5.00e-05,10.8,8508
18,0,0.233766,5.00e-05,11.8,8508
19,0,0.020136,5.00e-05,12.3,8508
20,0,0.024408,5.00e-05,12.8,8508
21,0,0.035915,5.00e-05,13.2,8508
22,0,0.056391,5.00e-05,13.6,8508
23,0,0.029651,5.00e-05,14.0,8508
24,0,0.041872,5.00e-05,14.4,8508
25,0,0.010365,5.00e-05,14.9,8508
26,0,0.073399,5.00e-05,15.2,8508
27,0,0.082979,5.00e-05,15.7,8508
28,0,0.152987,5.00e-05,16.1,8508
29,0,0.191523,5.00e-05,16.6,8508
30,0,0.013169,5.00e-05,17.1,8508
31,0,0.028007,5.00e-05,17.6,8508
32,0,0.022735,5.00e-05,18.1,8508
33,0,0.084761,5.00e-05,18.5,8508
34,0,0.169012,5.00e-05,19.0,8508
35,0,0.030267,5.00e-05,19.4,8508
36,0,0.047908,5.00e-05,19.9,8508
37,0,0.064089,5.00e-05,20.3,8508
38,0,0.068595,5.00e-05,20.7,8508
39,0,0.113574,5.00e-05,21.2,8508
40,0,0.038668,5.00e-05,21.5,8508
41,0,0.011992,5.00e-05,22.0,8508
42,0,0.004619,5.00e-05,22.4,8508
43,0,0.227438,5.00e-05,22.8,8508
44,0,0.092446,5.00e-05,23.2,8508
45,0,0.134615,5.00e-05,23.6,8508
46,0,0.078527,5.00e-05,24.1,8508
47,0,0.185915,5.00e-05,24.5,8508
48,0,0.136509,5.00e-05,24.9,8508
49,0,0.033360,5.00e-05,25.4,8508
50,0,0.074005,5.00e-05,25.9,8508
51,0,0.030675,5.00e-05,26.5,8508
52,0,0.201769,5.00e-05,26.9,8508
53,0,0.028382,5.00e-05,27.4,8508
54,0,0.029391,5.00e-05,27.8,8508
55,0,0.070426,5.00e-05,28.2,8508
56,0,0.094894,5.00e-05,28.8,8508
57,0,0.092762,5.00e-05,29.2,8508
58,0,0.058112,5.00e-05,29.8,8508
59,0,0.078269,5.00e-05,30.1,8508
60,0,0.133162,5.00e-05,30.6,8508
61,0,0.065681,5.00e-05,31.0,8508
62,0,0.071864,5.00e-05,31.3,8508
63,0,0.066134,5.00e-05,31.8,8508
64,0,0.036234,5.00e-05,32.1,8508
65,0,0.137222,5.00e-05,32.5,8508
66,0,0.076023,5.00e-05,32.9,8508
67,0,0.096344,5.00e-05,33.3,8508
68,0,0.095049,5.00e-05,33.7,8508
69,0,0.008101,5.00e-05,34.2,8508
70,0,0.019658,5.00e-05,34.6,8508
71,0,0.109759,5.00e-05,35.1,8508
72,0,0.029686,5.00e-05,35.7,8508
73,0,0.030938,5.00e-05,36.1,8508
74,0,0.025605,5.00e-05,36.7,8508
75,0,0.034233,5.00e-05,37.2,8508
76,0,0.004191,5.00e-05,37.6,8508
77,0,0.139460,5.00e-05,38.0,8508
78,0,0.057255,5.00e-05,38.4,8508
79,0,0.230308,5.00e-05,39.3,8508
80,0,0.078396,5.00e-05,39.7,8508
81,0,0.065207,5.00e-05,40.1,8508
82,0,0.049320,5.00e-05,40.6,8508
83,0,0.222029,5.00e-05,41.0,8508
84,0,0.153195,5.00e-05,41.3,8508
85,0,0.072868,5.00e-05,41.8,8508
86,0,0.027307,5.00e-05,42.2,8508
87,0,0.062759,5.00e-05,42.8,8508
88,0,0.081219,5.00e-05,43.3,8508
89,0,0.008891,5.00e-05,43.8,8508
90,0,0.180971,5.00e-05,44.4,8508
91,0,0.042858,5.00e-05,44.8,8508
92,0,0.077939,5.00e-05,45.2,8508
93,0,0.034449,5.00e-05,45.7,8508
94,0,0.015612,5.00e-05,46.2,8508
95,0,0.111030,5.00e-05,46.7,8508
96,0,0.079146,5.00e-05,47.2,8508
97,0,0.056758,5.00e-05,47.9,8508
98,0,0.146192,5.00e-05,48.3,8508
99,0,0.028018,5.00e-05,48.8,8508
100,0,0.089547,5.00e-05,49.3,8508
101,0,0.077152,5.00e-05,49.7,8508
102,0,0.115586,5.00e-05,50.1,8508
103,0,0.047507,5.00e-05,50.7,8508
104,0,0.289633,5.00e-05,51.3,8508
105,0,0.085017,5.00e-05,51.7,8508
106,0,0.178244,5.00e-05,52.1,8508
107,0,0.029535,5.00e-05,52.5,8508
108,0,0.148424,5.00e-05,53.0,8508
109,0,0.075428,5.00e-05,53.4,8508
110,0,0.034530,5.00e-05,53.9,8508
111,0,0.231766,5.00e-05,54.5,8508
112,0,0.264947,5.00e-05,54.9,8508
113,0,0.002490,5.00e-05,55.4,8508
114,0,0.052997,5.00e-05,56.0,8508
115,0,0.098929,5.00e-05,56.5,8508
116,0,0.017307,5.00e-05,57.0,8508
117,0,0.079434,5.00e-05,57.6,8508
118,0,0.177018,5.00e-05,58.0,8508
119,0,0.034580,5.00e-05,58.5,8508
120,0,0.096103,5.00e-05,58.9,8508
121,0,0.063931,5.00e-05,59.3,8508
122,0,0.164255,5.00e-05,59.7,8508
123,0,0.005352,5.00e-05,60.1,8508
124,0,0.026593,5.00e-05,60.5,8508
125,0,0.030227,5.00e-05,60.9,8508
126,0,0.137223,5.00e-05,61.4,8508
127,0,0.007022,5.00e-05,61.9,8508
128,0,0.009588,5.00e-05,62.3,8508
129,0,0.177592,5.00e-05,62.7,8508
130,0,0.031978,5.00e-05,63.1,8508
131,0,0.015809,5.00e-05,63.4,8508
132,0,0.023714,5.00e-05,63.8,8508
133,0,0.099684,5.00e-05,64.3,8508
134,0,0.039251,5.00e-05,64.8,8508
135,0,0.011402,5.00e-05,65.2,8508
136,0,0.051629,5.00e-05,65.6,8508
137,0,0.067545,5.00e-05,66.0,8508
138,0,0.082231,5.00e-05,66.6,8508
139,0,0.185587,5.00e-05,66.9,8508
140,1,0.009855,5.00e-05,67.6,8508
141,1,0.052215,5.00e-05,68.0,8508
142,1,0.034520,5.00e-05,68.4,8508
143,1,0.065126,5.00e-05,68.9,8508
144,1,0.010344,5.00e-05,69.3,8508
145,1,0.043449,5.00e-05,69.6,8508
146,1,0.072352,5.00e-05,70.2,8508
147,1,0.059579,5.00e-05,70.8,8508
148,1,0.121331,5.00e-05,71.2,8508
149,1,0.185605,5.00e-05,71.5,8508
150,1,0.118782,5.00e-05,72.0,8508
151,1,0.009370,5.00e-05,72.5,8508
152,1,0.093605,5.00e-05,73.5,8508
153,1,0.047101,5.00e-05,74.0,8508
154,1,0.053277,5.00e-05,74.5,8508
155,1,0.141110,5.00e-05,74.9,8508
156,1,0.056670,5.00e-05,75.4,8508
157,1,0.104816,5.00e-05,75.8,8508
158,1,0.092272,5.00e-05,76.3,8508
159,1,0.149798,5.00e-05,76.8,8508
160,1,0.042931,5.00e-05,77.3,8508
161,1,0.092064,5.00e-05,77.7,8508
162,1,0.082857,5.00e-05,78.1,8508
163,1,0.069459,5.00e-05,78.6,8508
164,1,0.016619,5.00e-05,79.0,8508
165,1,0.140173,5.00e-05,79.5,8508
166,1,0.070843,5.00e-05,80.2,8508
167,1,0.078043,5.00e-05,80.7,8508
168,1,0.200568,5.00e-05,81.2,8508
169,1,0.115437,5.00e-05,81.7,8508
170,1,0.048525,5.00e-05,82.0,8508
171,1,0.236300,5.00e-05,82.5,8508
172,1,0.108868,5.00e-05,83.0,8508
173,1,0.094444,5.00e-05,83.4,8508
174,1,0.019930,5.00e-05,83.9,8508
175,1,0.054157,5.00e-05,84.3,8508
176,1,0.035647,5.00e-05,84.7,8508
177,1,0.142953,5.00e-05,85.1,8508
178,1,0.056454,5.00e-05,85.7,8508
179,1,0.428657,5.00e-05,86.1,8508
180,1,0.127797,5.00e-05,86.6,8508
181,1,0.048048,5.00e-05,87.0,8508
182,1,0.011269,5.00e-05,87.3,8508
183,1,0.027144,5.00e-05,87.8,8508
184,1,0.038518,5.00e-05,88.3,8508
185,1,0.106873,5.00e-05,88.7,8508
186,1,0.102234,5.00e-05,89.1,8508
187,1,0.102593,5.00e-05,89.7,8508
188,1,0.136173,5.00e-05,90.1,8508
189,1,0.048774,5.00e-05,90.5,8508
