step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.169123,1.00e-04,3.1,8463
2,0,0.289476,1.00e-04,3.5,8482
3,0,0.018543,1.00e-04,4.0,8482
4,0,0.008878,1.00e-04,4.4,8482
5,0,0.051924,1.00e-04,4.9,8495
6,0,0.146701,1.00e-04,5.2,8508
7,0,0.026379,1.00e-04,5.7,8508
8,0,0.023817,1.00e-04,6.1,8508
9,0,0.093862,1.00e-04,6.4,8508
10,0,0.028478,1.00e-04,6.8,8508
11,0,0.079159,1.00e-04,7.2,8508
12,0,0.049121,1.00e-04,7.6,8508
13,0,0.086022,1.00e-04,8.0,8508
14,0,0.037193,1.00e-04,8.4,8508
15,0,0.033124,1.00e-04,8.7,8508
16,0,0.115539,1.00e-04,9.2,8508
17,0,0.014258,1.00e-04,9.6,8508
18,0,0.104170,1.00e-04,10.0,8508
19,0,0.031902,1.00e-04,10.5,8508
20,0,0.029732,1.00e-04,10.9,8508
21,0,0.042010,1.00e-04,11.3,8508
22,0,0.039408,1.00e-04,11.7,8508
23,0,0.022927,1.00e-04,12.1,8508
24,0,0.066367,1.00e-04,12.5,8508
25,0,0.047477,1.00e-04,12.9,8508
26,0,0.048779,1.00e-04,13.4,8508
27,0,0.134209,1.00e-04,13.8,8508
28,0,0.073669,1.00e-04,14.2,8508
29,0,0.036862,1.00e-04,14.6,8508
30,0,0.020566,1.00e-04,15.1,8508
31,0,0.008538,1.00e-04,15.6,8508
32,0,0.106267,1.00e-04,16.0,8508
33,0,0.095833,1.00e-04,16.4,8508
34,0,0.039265,1.00e-04,16.8,8508
35,0,0.064811,1.00e-04,17.2,8508
36,0,0.111831,1.00e-04,17.6,8508
37,0,0.039111,1.00e-04,17.9,8508
38,0,0.061572,1.00e-04,18.3,8508
39,0,0.013185,1.00e-04,18.8,8508
40,0,0.045359,1.00e-04,19.3,8508
41,0,0.070211,1.00e-04,19.7,8508
42,0,0.097037,1.00e-04,20.1,8508
43,0,0.009402,1.00e-04,20.4,8508
44,0,0.063500,1.00e-04,20.8,8508
45,0,0.035607,1.00e-04,21.2,8508
46,0,0.020932,1.00e-04,21.5,8508
47,0,0.064399,1.00e-04,22.0,8508
48,0,0.182750,1.00e-04,22.3,8508
49,0,0.129458,1.00e-04,22.7,8508
50,0,0.010882,1.00e-04,23.1,8508
51,0,0.009584,1.00e-04,23.5,8508
52,0,0.092106,1.00e-04,23.8,8508
53,0,0.020836,1.00e-04,24.2,8508
54,0,0.050657,1.00e-04,24.6,8508
55,0,0.074034,1.00e-04,25.0,8508
56,0,0.187705,1.00e-04,25.4,8508
57,0,0.063096,1.00e-04,25.7,8508
58,0,0.099565,1.00e-04,26.1,8508
59,0,0.116427,1.00e-04,26.5,8508
60,0,0.026409,1.00e-04,26.9,8508
61,0,0.061162,1.00e-04,27.3,8508
62,0,0.212814,1.00e-04,27.8,8508
63,0,0.125927,1.00e-04,28.1,8508
64,0,0.085446,1.00e-04,28.5,8508
65,0,0.075222,1.00e-04,28.9,8508
66,0,0.015829,1.00e-04,29.3,8508
67,0,0.046062,1.00e-04,29.8,8508
68,0,0.092398,1.00e-04,30.3,8508
69,0,0.030100,1.00e-04,30.7,8508
70,0,0.154634,1.00e-04,31.1,8508
71,0,0.173942,1.00e-04,31.5,8508
72,0,0.066928,1.00e-04,31.9,8508
73,0,0.015736,1.00e-04,32.3,8508
74,0,0.018856,1.00e-04,32.6,8508
75,0,0.057535,1.00e-04,33.2,8508
76,0,0.005910,1.00e-04,33.5,8508
77,0,0.044140,1.00e-04,33.9,8508
78,0,0.101217,1.00e-04,34.3,8508
79,0,0.258550,1.00e-04,34.7,8508
80,0,0.194898,1.00e-04,35.1,8508
81,0,0.039024,1.00e-04,35.6,8508
82,0,0.051532,1.00e-04,36.0,8508
83,0,0.222034,1.00e-04,36.4,8508
84,0,0.002427,1.00e-04,36.8,8508
85,0,0.043953,1.00e-04,37.2,8508
86,0,0.036321,1.00e-04,37.6,8508
87,0,0.086979,1.00e-04,38.0,8508
88,0,0.076994,1.00e-04,38.4,8508
89,0,0.121042,1.00e-04,38.8,8508
90,0,0.167239,1.00e-04,39.2,8508
91,0,0.134877,1.00e-04,39.6,8508
92,0,0.097355,1.00e-04,40.0,8508
93,0,0.018689,1.00e-04,40.4,8508
94,0,0.127323,1.00e-04,40.8,8508
95,0,0.072361,1.00e-04,41.3,8508
96,0,0.261069,1.00e-04,41.6,8508
97,0,0.022603,1.00e-04,42.0,8508
98,0,0.041776,1.00e-04,42.4,8508
99,0,0.017713,1.00e-04,42.7,8508
100,0,0.065877,1.00e-04,43.2,8508
101,0,0.069346,1.00e-04,43.6,8508
102,0,0.091518,1.00e-04,43.9,8508
103,0,0.069604,1.00e-04,44.3,8508
104,0,0.067368,1.00e-04,44.7,8508
105,0,0.045274,1.00e-04,45.1,8508
106,0,0.134835,1.00e-04,45.5,8508
107,0,0.003165,1.00e-04,46.0,8508
108,0,0.247787,1.00e-04,46.5,8508
109,0,0.100198,1.00e-04,46.9,8508
110,0,0.093591,1.00e-04,47.2,8508
111,0,0.172916,1.00e-04,47.7,8508
112,0,0.162073,1.00e-04,48.2,8508
113,0,0.197715,1.00e-04,48.6,8508
114,0,0.030382,1.00e-04,49.0,8508
115,0,0.012221,1.00e-04,49.4,8508
116,0,0.020905,1.00e-04,49.8,8508
117,0,0.106481,1.00e-04,50.2,8508
118,0,0.109309,1.00e-04,50.6,8508
119,0,0.027567,1.00e-04,51.0,8508
120,0,0.004976,1.00e-04,51.4,8508
121,0,0.003376,1.00e-04,51.8,8508
122,0,0.070010,1.00e-04,52.2,8508
123,0,0.003461,1.00e-04,52.5,8508
124,0,0.035241,1.00e-04,52.9,8508
