dataset,suite,strategy,split,seed,rank,total_steps,status,elapsed_sec,output_dir,fid,clip_score
anime_student,multi_seed,Random_D-High,D-High,42,16,1200,fail,4944.3,kmc_lora\results\robustness\anime_student\multi_seed\Random_D-High_seed42,,
anime_student,multi_seed,Random_D-High,D-High,42,16,1200,fail,6660.3,kmc_lora\results\robustness\anime_student\multi_seed\Random_D-High_seed42,,
anime_student,multi_seed,Random_D-High,D-High,42,16,1200,ok,433.6,e:\1 zhclian\AIGC 02\kmc_lora\results\robustness\anime_student\multi_seed\Random_D-High_seed42,231.3141,nan
anime_student,multi_seed,Random_D-High,D-High,52,16,1200,fail,9.2,e:\1 zhclian\AIGC 02\kmc_lora\results\robustness\anime_student\multi_seed\Random_D-High_seed52,,
anime_student,multi_seed,Random_D-High,D-High,42,16,1200,ok,425.8,e:\1 zhclian\AIGC 02\kmc_lora\results\robustness\anime_student\multi_seed\Random_D-High_seed42,237.2946,nan
anime_student,multi_seed,KMC_D-High,D-High,42,16,1200,fail,9.3,e:\1 zhclian\AIGC 02\kmc_lora\results\robustness\anime_student\multi_seed\KMC_D-High_seed42,,
anime_student,multi_seed,Random_D-High,D-High,42,16,1200,ok,437.2,e:\1 zhclian\AIGC 02\kmc_lora\results\robustness\anime_student\multi_seed\Random_D-High_seed42,230.4189,nan
anime_student,multi_seed,KMC_D-High,D-High,42,16,1200,fail,9.2,e:\1 zhclian\AIGC 02\kmc_lora\results\robustness\anime_student\multi_seed\KMC_D-High_seed42,,
anime_student,multi_seed,Random_D-High,D-High,42,16,1200,ok,442.3,e:\1 zhclian\AIGC 02\kmc_lora\results\robustness\anime_student\multi_seed\Random_D-High_seed42,235.9416,nan
anime_student,multi_seed,KMC_D-High,D-High,42,16,1200,fail,9.2,e:\1 zhclian\AIGC 02\kmc_lora\results\robustness\anime_student\multi_seed\KMC_D-High_seed42,,
anime_student,multi_seed,Random_D-High,D-High,42,16,1200,cached,0.0,e:\1 zhclian\AIGC 02\kmc_lora\results\robustness\anime_student\multi_seed\Random_D-High_seed42,235.9416,nan
