step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.003768,1.00e-04,3.1,7220
2,0,0.021755,1.00e-04,3.4,7236
3,0,0.003143,1.00e-04,3.8,7236
4,0,0.003806,1.00e-04,4.2,7236
5,0,0.245609,1.00e-04,4.5,7242
6,0,0.739784,1.00e-04,4.9,7249
7,0,0.368595,1.00e-04,5.2,7249
8,0,0.608600,1.00e-04,5.6,7249
9,0,0.087325,1.00e-04,5.9,7249
10,0,0.158605,1.00e-04,6.2,7249
11,0,0.335808,1.00e-04,6.5,7249
12,0,0.369783,1.00e-04,6.9,7249
13,0,0.042302,1.00e-04,7.2,7249
14,0,0.006004,1.00e-04,7.5,7249
15,0,0.004336,1.00e-04,7.9,7249
16,0,0.037513,1.00e-04,8.2,7249
17,0,0.249136,1.00e-04,8.6,7249
18,0,0.009767,1.00e-04,8.9,7249
19,0,0.004670,1.00e-04,9.2,7249
20,0,0.028872,1.00e-04,9.5,7249
21,0,0.003358,1.00e-04,9.8,7249
22,0,0.014774,1.00e-04,10.1,7249
23,0,0.265610,1.00e-04,10.5,7249
24,0,0.274643,1.00e-04,10.8,7249
25,0,0.013501,1.00e-04,11.0,7249
26,0,0.617333,1.00e-04,11.4,7249
27,0,0.363392,1.00e-04,11.7,7249
28,0,0.493373,1.00e-04,12.1,7249
29,0,0.387554,1.00e-04,12.4,7249
30,0,0.029219,1.00e-04,12.8,7249
31,0,0.553844,1.00e-04,13.1,7249
32,1,0.207925,1.00e-04,13.4,7249
33,1,0.376517,1.00e-04,13.7,7249
34,1,0.144984,1.00e-04,14.1,7249
35,1,0.008719,1.00e-04,14.4,7249
36,1,0.002888,1.00e-04,14.7,7249
37,1,0.508836,1.00e-04,15.1,7249
38,1,0.342199,1.00e-04,15.4,7249
39,1,0.229474,1.00e-04,15.8,7249
40,1,0.108712,1.00e-04,16.2,7249
41,1,0.389980,1.00e-04,16.5,7249
42,1,0.344344,1.00e-04,16.9,7249
43,1,0.022337,1.00e-04,17.2,7249
44,1,0.174313,1.00e-04,17.5,7249
45,1,0.042234,1.00e-04,17.8,7249
46,1,0.112412,1.00e-04,18.2,7249
47,1,0.002684,1.00e-04,18.5,7249
48,1,0.013567,1.00e-04,19.0,7249
49,1,0.085938,1.00e-04,19.3,7249
50,1,0.062972,1.00e-04,19.6,7249
51,1,0.436552,1.00e-04,19.9,7249
52,1,0.429809,1.00e-04,20.2,7249
53,1,0.012785,1.00e-04,20.5,7249
54,1,0.090659,1.00e-04,20.8,7249
55,1,0.044126,1.00e-04,21.2,7249
56,1,0.025796,1.00e-04,21.5,7249
57,1,0.139945,1.00e-04,21.9,7249
58,1,0.008133,1.00e-04,22.3,7249
59,1,0.007643,1.00e-04,22.6,7249
60,1,0.260296,1.00e-04,22.9,7249
61,1,0.133964,1.00e-04,23.2,7249
62,1,0.090084,1.00e-04,23.5,7249
63,2,0.017481,1.00e-04,23.9,7249
64,2,0.458800,1.00e-04,24.2,7249
65,2,0.409200,1.00e-04,24.6,7249
66,2,0.181788,1.00e-04,24.9,7249
67,2,0.023898,1.00e-04,25.2,7249
68,2,0.211492,1.00e-04,25.5,7249
69,2,0.015293,1.00e-04,25.9,7249
70,2,0.115388,1.00e-04,26.2,7249
71,2,0.034842,1.00e-04,26.5,7249
72,2,0.132677,1.00e-04,26.9,7249
73,2,0.778028,1.00e-04,27.3,7249
74,2,0.040352,1.00e-04,27.7,7249
75,2,0.046153,1.00e-04,28.0,7249
76,2,0.016677,1.00e-04,28.3,7249
77,2,0.027654,1.00e-04,28.7,7249
78,2,0.308288,1.00e-04,29.0,7249
79,2,0.052389,1.00e-04,29.3,7249
80,2,0.007027,1.00e-04,29.7,7249
81,2,0.004386,1.00e-04,30.0,7249
82,2,0.181879,1.00e-04,30.4,7249
83,2,0.013259,1.00e-04,30.7,7249
84,2,0.151054,1.00e-04,31.0,7249
85,2,0.023192,1.00e-04,31.4,7249
86,2,0.050418,1.00e-04,31.7,7249
87,2,0.311189,1.00e-04,32.0,7249
88,2,0.130872,1.00e-04,32.3,7249
89,2,0.132962,1.00e-04,32.7,7249
90,2,0.026605,1.00e-04,33.0,7249
91,2,0.152800,1.00e-04,33.3,7249
92,2,0.086125,1.00e-04,33.6,7249
93,2,0.045896,1.00e-04,33.9,7249
94,3,0.109235,1.00e-04,34.3,7249
95,3,0.089045,1.00e-04,34.6,7249
96,3,0.039914,1.00e-04,35.0,7249
97,3,0.620952,1.00e-04,35.3,7249
98,3,0.121321,1.00e-04,35.6,7249
99,3,0.181892,1.00e-04,36.0,7249
100,3,0.213659,1.00e-04,36.3,7249
101,3,0.109217,1.00e-04,48.2,7755
102,3,0.154403,1.00e-04,48.5,7755
103,3,0.001404,1.00e-04,48.9,7755
104,3,0.016347,1.00e-04,49.2,7755
105,3,0.236173,1.00e-04,49.6,7755
106,3,0.010772,1.00e-04,50.0,7755
107,3,0.039860,1.00e-04,50.3,7755
108,3,0.003619,1.00e-04,50.7,7755
109,3,0.245413,1.00e-04,51.0,7755
110,3,0.414109,1.00e-04,51.3,7755
111,3,0.134865,1.00e-04,51.7,7755
112,3,0.069559,1.00e-04,52.0,7755
113,3,0.578359,1.00e-04,52.3,7755
114,3,0.004912,1.00e-04,52.6,7755
115,3,0.323719,1.00e-04,53.0,7755
116,3,0.053469,1.00e-04,53.4,7755
117,3,0.363438,1.00e-04,53.7,7755
118,3,0.015708,1.00e-04,54.0,7755
119,3,0.581552,1.00e-04,54.3,7755
120,3,0.035617,1.00e-04,54.6,7755
121,3,0.008831,1.00e-04,54.9,7755
122,3,0.009845,1.00e-04,55.2,7755
123,3,0.327236,1.00e-04,55.5,7755
124,3,0.006030,1.00e-04,55.8,7755
125,4,0.213451,1.00e-04,56.2,7755
126,4,0.080890,1.00e-04,56.5,7755
127,4,0.032633,1.00e-04,56.8,7755
128,4,0.046313,1.00e-04,57.3,7755
129,4,0.008273,1.00e-04,57.6,7755
130,4,0.039922,1.00e-04,57.9,7755
131,4,0.176151,1.00e-04,58.2,7755
132,4,0.335481,1.00e-04,58.5,7755
133,4,0.040129,1.00e-04,58.9,7755
134,4,0.011616,1.00e-04,59.3,7755
135,4,0.133885,1.00e-04,59.6,7755
136,4,0.055286,1.00e-04,59.9,7755
137,4,0.002709,1.00e-04,60.2,7755
138,4,0.287441,1.00e-04,60.5,7755
139,4,0.824011,1.00e-04,60.8,7755
140,4,0.046116,1.00e-04,61.2,7755
141,4,0.005783,1.00e-04,61.5,7755
142,4,0.081002,1.00e-04,61.9,7755
143,4,0.018251,1.00e-04,62.2,7755
144,4,0.313478,1.00e-04,62.6,7755
145,4,0.008595,1.00e-04,62.9,7755
146,4,0.018770,1.00e-04,63.3,7755
147,4,0.004073,1.00e-04,63.6,7755
148,4,0.022230,1.00e-04,63.9,7755
149,4,0.229322,1.00e-04,64.2,7755
150,4,0.059239,1.00e-04,64.5,7755
151,4,0.434504,1.00e-04,64.9,7755
152,4,0.264069,1.00e-04,65.2,7755
153,4,0.086534,1.00e-04,65.6,7755
154,4,0.003256,1.00e-04,65.9,7755
155,4,0.086550,1.00e-04,66.2,7755
156,5,0.015717,1.00e-04,66.7,7755
157,5,0.011577,1.00e-04,67.0,7755
158,5,0.167215,1.00e-04,67.3,7755
159,5,0.066225,1.00e-04,67.7,7755
160,5,0.016595,1.00e-04,68.0,7755
161,5,0.034085,1.00e-04,68.4,7755
162,5,0.076150,1.00e-04,68.7,7755
163,5,0.014065,1.00e-04,69.0,7755
164,5,0.045233,1.00e-04,69.3,7755
165,5,0.026142,1.00e-04,69.7,7755
166,5,0.003426,1.00e-04,70.0,7755
167,5,0.007301,1.00e-04,70.4,7755
168,5,0.118521,1.00e-04,70.7,7755
169,5,0.038577,1.00e-04,71.1,7755
170,5,0.817742,1.00e-04,71.5,7755
171,5,0.038697,1.00e-04,71.8,7755
172,5,0.070837,1.00e-04,72.1,7755
173,5,0.510346,1.00e-04,72.4,7755
174,5,0.190299,1.00e-04,72.8,7755
175,5,0.107977,1.00e-04,73.1,7755
176,5,0.300340,1.00e-04,73.4,7755
177,5,0.146061,1.00e-04,73.7,7755
178,5,0.031515,1.00e-04,74.0,7755
179,5,0.011806,1.00e-04,74.3,7755
180,5,0.004741,1.00e-04,74.6,7755
181,5,0.054183,1.00e-04,75.0,7755
182,5,0.213602,1.00e-04,75.4,7755
183,5,0.594315,1.00e-04,75.7,7755
184,5,0.229983,1.00e-04,76.0,7755
185,5,0.036024,1.00e-04,76.3,7755
186,5,0.018891,1.00e-04,76.6,7755
187,6,0.053008,1.00e-04,77.0,7755
188,6,0.035957,1.00e-04,77.3,7755
189,6,0.399271,1.00e-04,77.7,7755
190,6,0.187922,1.00e-04,78.1,7755
191,6,0.216529,1.00e-04,78.6,7755
192,6,0.668195,1.00e-04,78.9,7755
193,6,0.148311,1.00e-04,79.2,7755
