step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.088696,5.00e-05,3.2,7220
2,0,0.031042,5.00e-05,3.5,7236
3,0,0.256041,5.00e-05,3.9,7236
4,0,0.193572,5.00e-05,4.3,7236
5,0,0.228833,5.00e-05,4.6,7242
6,0,0.047916,5.00e-05,4.9,7249
7,0,0.118218,5.00e-05,5.3,7249
8,0,0.022556,5.00e-05,5.6,7249
9,0,0.111095,5.00e-05,6.0,7249
10,0,0.028183,5.00e-05,6.4,7249
11,0,0.094205,5.00e-05,6.7,7249
12,0,0.090188,5.00e-05,7.0,7249
13,1,0.113015,5.00e-05,7.4,7249
14,1,0.591993,5.00e-05,7.8,7249
15,1,0.180448,5.00e-05,8.2,7249
16,1,0.012444,5.00e-05,8.5,7249
17,1,0.004416,5.00e-05,8.9,7249
18,1,0.577143,5.00e-05,9.3,7249
19,1,0.069407,5.00e-05,9.7,7249
20,1,0.091478,5.00e-05,10.0,7249
21,1,0.352942,5.00e-05,10.3,7249
22,1,0.278874,5.00e-05,10.7,7249
23,1,0.271932,5.00e-05,11.1,7249
24,1,0.344086,5.00e-05,11.4,7249
25,2,0.114524,5.00e-05,11.9,7249
26,2,0.034021,5.00e-05,12.3,7249
27,2,0.411048,5.00e-05,12.6,7249
28,2,0.008102,5.00e-05,12.9,7249
29,2,0.354550,5.00e-05,13.3,7249
30,2,0.221827,5.00e-05,13.7,7249
31,2,0.610634,5.00e-05,14.1,7249
32,2,0.554689,5.00e-05,14.4,7249
33,2,0.623101,5.00e-05,14.8,7249
34,2,0.182534,5.00e-05,15.1,7249
35,2,0.262281,5.00e-05,15.5,7249
36,2,0.422572,5.00e-05,15.8,7249
37,3,0.122226,5.00e-05,16.3,7249
38,3,0.372506,5.00e-05,16.7,7249
39,3,0.544159,5.00e-05,17.1,7249
40,3,0.893005,5.00e-05,17.5,7249
41,3,0.007144,5.00e-05,17.8,7249
42,3,0.035767,5.00e-05,18.2,7249
43,3,0.013936,5.00e-05,18.6,7249
44,3,0.067580,5.00e-05,18.9,7249
45,3,0.013923,5.00e-05,19.3,7249
46,3,0.243462,5.00e-05,19.6,7249
47,3,0.090218,5.00e-05,19.9,7249
48,3,0.145656,5.00e-05,20.2,7249
49,4,0.191475,5.00e-05,20.6,7249
50,4,0.076081,5.00e-05,21.0,7249
51,4,0.087243,5.00e-05,21.4,7249
52,4,0.270393,5.00e-05,21.8,7249
53,4,0.024263,5.00e-05,22.1,7249
54,4,0.006691,5.00e-05,22.5,7249
55,4,0.107598,5.00e-05,22.8,7249
56,4,0.360542,5.00e-05,23.2,7249
57,4,0.028924,5.00e-05,23.5,7249
58,4,0.197789,5.00e-05,23.9,7249
59,4,0.008050,5.00e-05,24.3,7249
60,4,0.087174,5.00e-05,24.6,7249
61,5,0.043525,5.00e-05,25.0,7249
62,5,0.387028,5.00e-05,25.4,7249
63,5,0.010064,5.00e-05,25.7,7249
64,5,0.069822,5.00e-05,26.1,7249
65,5,0.489765,5.00e-05,26.5,7249
66,5,0.024216,5.00e-05,26.9,7249
67,5,0.223613,5.00e-05,27.2,7249
68,5,0.113693,5.00e-05,27.6,7249
69,5,0.458424,5.00e-05,28.0,7249
70,5,0.422045,5.00e-05,28.4,7249
71,5,0.539671,5.00e-05,28.7,7249
72,5,0.797624,5.00e-05,29.0,7249
73,6,0.231914,5.00e-05,29.5,7249
74,6,0.392898,5.00e-05,29.9,7249
75,6,0.326449,5.00e-05,30.3,7249
76,6,0.019482,5.00e-05,30.7,7249
77,6,0.017840,5.00e-05,31.0,7249
78,6,0.047356,5.00e-05,31.4,7249
79,6,0.176914,5.00e-05,31.8,7249
80,6,0.024733,5.00e-05,32.1,7249
81,6,0.048623,5.00e-05,32.4,7249
82,6,0.017353,5.00e-05,32.7,7249
83,6,0.042732,5.00e-05,33.0,7249
84,6,0.088040,5.00e-05,33.3,7249
85,7,0.060356,5.00e-05,33.8,7249
86,7,0.400769,5.00e-05,34.1,7249
87,7,0.117883,5.00e-05,34.5,7249
88,7,0.066522,5.00e-05,34.8,7249
89,7,0.024786,5.00e-05,35.2,7249
90,7,0.006740,5.00e-05,35.4,7249
91,7,0.012718,5.00e-05,35.8,7249
92,7,0.096038,5.00e-05,36.1,7249
93,7,0.203282,5.00e-05,36.5,7249
94,7,0.008707,5.00e-05,36.9,7249
95,7,0.003335,5.00e-05,37.3,7249
96,7,0.031900,5.00e-05,37.5,7249
97,8,0.170972,5.00e-05,38.0,7249
98,8,0.221168,5.00e-05,38.4,7249
99,8,0.773425,5.00e-05,38.7,7249
100,8,0.037215,5.00e-05,39.1,7249
101,8,0.121653,5.00e-05,50.3,7748
102,8,0.013715,5.00e-05,50.7,7748
103,8,0.570332,5.00e-05,51.0,7748
104,8,0.168231,5.00e-05,51.4,7748
105,8,0.085148,5.00e-05,51.8,7748
106,8,0.321617,5.00e-05,52.2,7748
107,8,0.093183,5.00e-05,52.5,7748
108,8,0.031982,5.00e-05,52.8,7748
109,9,0.293824,5.00e-05,53.2,7748
110,9,0.164107,5.00e-05,53.6,7748
111,9,0.763628,5.00e-05,53.9,7748
112,9,0.111906,5.00e-05,54.3,7748
113,9,0.018146,5.00e-05,54.7,7748
114,9,0.085379,5.00e-05,55.0,7748
115,9,0.019090,5.00e-05,55.4,7748
116,9,0.229412,5.00e-05,55.7,7748
117,9,0.226608,5.00e-05,56.1,7748
118,9,0.032313,5.00e-05,56.5,7748
119,9,0.070499,5.00e-05,56.8,7748
120,9,0.135772,5.00e-05,57.1,7748
121,10,0.004938,5.00e-05,57.5,7748
122,10,0.023384,5.00e-05,57.9,7748
123,10,0.020110,5.00e-05,58.3,7748
124,10,0.034065,5.00e-05,58.7,7748
125,10,0.445655,5.00e-05,59.0,7748
126,10,0.034049,5.00e-05,59.4,7748
127,10,0.038287,5.00e-05,59.8,7748
128,10,0.131858,5.00e-05,60.1,7748
129,10,0.347084,5.00e-05,60.4,7748
130,10,0.330632,5.00e-05,60.8,7748
131,10,0.004673,5.00e-05,61.1,7748
132,10,0.046213,5.00e-05,61.4,7748
133,11,0.034628,5.00e-05,61.8,7748
134,11,0.520395,5.00e-05,62.2,7748
135,11,0.217196,5.00e-05,62.6,7748
136,11,0.681741,5.00e-05,63.0,7748
137,11,0.110350,5.00e-05,63.3,7748
138,11,0.458382,5.00e-05,63.7,7748
139,11,0.012696,5.00e-05,64.0,7748
140,11,0.177503,5.00e-05,64.4,7748
141,11,0.035575,5.00e-05,64.8,7748
142,11,0.724430,5.00e-05,65.1,7748
143,11,0.261960,5.00e-05,65.5,7748
144,11,0.063078,5.00e-05,65.7,7748
145,12,0.069939,5.00e-05,66.2,7748
146,12,0.046706,5.00e-05,66.6,7748
147,12,0.225506,5.00e-05,67.0,7748
148,12,0.157517,5.00e-05,67.3,7748
149,12,0.390060,5.00e-05,67.6,7748
150,12,0.009728,5.00e-05,68.0,7748
151,12,0.062821,5.00e-05,68.3,7748
152,12,0.003858,5.00e-05,68.7,7748
153,12,0.023783,5.00e-05,69.0,7748
154,12,0.004660,5.00e-05,69.4,7748
155,12,0.146164,5.00e-05,69.8,7748
156,12,0.108166,5.00e-05,70.1,7748
157,13,0.194382,5.00e-05,70.5,7748
158,13,0.160296,5.00e-05,70.9,7748
159,13,0.329465,5.00e-05,71.3,7748
160,13,0.016712,5.00e-05,71.6,7748
161,13,0.194790,5.00e-05,72.0,7748
162,13,0.226756,5.00e-05,72.4,7748
163,13,0.055051,5.00e-05,72.7,7748
164,13,0.113948,5.00e-05,73.1,7748
165,13,0.144826,5.00e-05,73.5,7748
166,13,0.168690,5.00e-05,73.8,7748
167,13,0.259731,5.00e-05,74.2,7748
168,13,0.377963,5.00e-05,74.4,7748
169,14,0.019866,5.00e-05,74.8,7748
170,14,0.038988,5.00e-05,75.2,7748
171,14,0.222070,5.00e-05,75.6,7748
172,14,0.370816,5.00e-05,75.9,7748
173,14,0.007869,5.00e-05,76.3,7748
174,14,0.105724,5.00e-05,76.6,7748
175,14,0.196778,5.00e-05,77.0,7748
176,14,0.932882,5.00e-05,77.4,7748
177,14,0.018033,5.00e-05,77.6,7748
178,14,0.686526,5.00e-05,78.0,7748
179,14,0.032098,5.00e-05,78.4,7748
180,14,0.171633,5.00e-05,78.7,7748
181,15,0.097358,5.00e-05,79.2,7748
182,15,0.234330,5.00e-05,79.5,7748
183,15,0.338633,5.00e-05,79.9,7748
184,15,0.026252,5.00e-05,80.3,7748
185,15,0.125879,5.00e-05,80.6,7748
186,15,0.004560,5.00e-05,80.9,7748
187,15,0.009373,5.00e-05,81.3,7748
188,15,0.366630,5.00e-05,81.6,7748
189,15,0.124632,5.00e-05,82.0,7748
190,15,0.390693,5.00e-05,82.4,7748
191,15,0.093404,5.00e-05,82.8,7748
192,15,0.101407,5.00e-05,83.0,7748
