step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.057867,1.00e-04,3.0,7220
2,0,0.026097,1.00e-04,3.3,7236
3,0,0.323369,1.00e-04,3.6,7236
4,0,0.185917,1.00e-04,4.0,7236
5,0,0.264195,1.00e-04,4.3,7242
6,0,0.039907,1.00e-04,4.7,7249
7,0,0.107972,1.00e-04,5.0,7249
8,0,0.018556,1.00e-04,5.4,7249
9,0,0.064396,1.00e-04,5.7,7249
10,0,0.014854,1.00e-04,6.0,7249
11,0,0.067301,1.00e-04,6.3,7249
12,0,0.053304,1.00e-04,6.7,7249
13,0,0.112995,1.00e-04,7.1,7249
14,0,0.631110,1.00e-04,7.4,7249
15,0,0.129100,1.00e-04,7.7,7249
16,0,0.009631,1.00e-04,8.0,7249
17,0,0.003617,1.00e-04,8.4,7249
18,0,0.640540,1.00e-04,8.8,7249
19,0,0.090148,1.00e-04,9.2,7249
20,0,0.102702,1.00e-04,9.5,7249
21,0,0.178264,1.00e-04,9.9,7249
22,0,0.241834,1.00e-04,10.3,7249
23,0,0.193056,1.00e-04,10.6,7249
24,0,0.300511,1.00e-04,11.0,7249
25,0,0.110070,1.00e-04,11.4,7249
26,0,0.026887,1.00e-04,11.7,7249
27,0,0.298421,1.00e-04,12.0,7249
28,0,0.008090,1.00e-04,12.4,7249
29,0,0.399983,1.00e-04,12.7,7249
30,0,0.181399,1.00e-04,13.1,7249
31,0,0.539264,1.00e-04,13.4,7249
32,1,0.550919,1.00e-04,13.8,7249
33,1,0.630857,1.00e-04,14.1,7249
34,1,0.126284,1.00e-04,14.5,7249
35,1,0.262647,1.00e-04,14.8,7249
36,1,0.298395,1.00e-04,15.1,7249
37,1,0.065110,1.00e-04,15.4,7249
38,1,0.209633,1.00e-04,15.8,7249
39,1,0.286955,1.00e-04,16.1,7249
40,1,0.756014,1.00e-04,16.4,7249
41,1,0.006596,1.00e-04,16.7,7249
42,1,0.025767,1.00e-04,17.1,7249
43,1,0.014186,1.00e-04,17.3,7249
44,1,0.053007,1.00e-04,17.6,7249
45,1,0.011921,1.00e-04,18.0,7249
46,1,0.201332,1.00e-04,18.3,7249
47,1,0.065871,1.00e-04,18.6,7249
48,1,0.196870,1.00e-04,18.9,7249
49,1,0.273045,1.00e-04,19.3,7249
50,1,0.049072,1.00e-04,19.6,7249
51,1,0.067591,1.00e-04,20.0,7249
52,1,0.272061,1.00e-04,20.4,7249
53,1,0.024025,1.00e-04,20.7,7249
54,1,0.007141,1.00e-04,21.1,7249
55,1,0.094252,1.00e-04,21.4,7249
56,1,0.505330,1.00e-04,21.8,7249
57,1,0.030843,1.00e-04,22.2,7249
58,1,0.197882,1.00e-04,22.5,7249
59,1,0.008590,1.00e-04,22.9,7249
60,1,0.092515,1.00e-04,23.2,7249
61,1,0.019039,1.00e-04,23.5,7249
62,1,0.257839,1.00e-04,23.7,7249
63,2,0.011856,1.00e-04,24.1,7249
64,2,0.061312,1.00e-04,24.5,7249
65,2,0.469588,1.00e-04,24.8,7249
66,2,0.030589,1.00e-04,25.1,7249
67,2,0.139701,1.00e-04,25.6,7249
68,2,0.201961,1.00e-04,25.9,7249
69,2,0.529959,1.00e-04,26.2,7249
70,2,0.426182,1.00e-04,26.6,7249
71,2,0.453144,1.00e-04,26.9,7249
72,2,0.632564,1.00e-04,27.3,7249
73,2,0.197890,1.00e-04,27.7,7249
74,2,0.409322,1.00e-04,28.0,7249
75,2,0.331557,1.00e-04,28.3,7249
76,2,0.017602,1.00e-04,28.7,7249
77,2,0.017288,1.00e-04,29.0,7249
78,2,0.035309,1.00e-04,29.3,7249
79,2,0.120972,1.00e-04,29.6,7249
80,2,0.017429,1.00e-04,29.9,7249
81,2,0.042293,1.00e-04,30.3,7249
82,2,0.019855,1.00e-04,30.7,7249
83,2,0.023149,1.00e-04,31.0,7249
84,2,0.118996,1.00e-04,31.3,7249
85,2,0.061524,1.00e-04,31.6,7249
86,2,0.183266,1.00e-04,32.0,7249
87,2,0.137808,1.00e-04,32.3,7249
88,2,0.068091,1.00e-04,32.7,7249
89,2,0.012508,1.00e-04,33.1,7249
90,2,0.008822,1.00e-04,33.4,7249
91,2,0.013966,1.00e-04,33.8,7249
92,2,0.042209,1.00e-04,34.1,7249
93,2,0.157962,1.00e-04,34.4,7249
94,3,0.009468,1.00e-04,34.8,7249
95,3,0.003155,1.00e-04,35.2,7249
96,3,0.031332,1.00e-04,35.6,7249
97,3,0.195108,1.00e-04,35.9,7249
98,3,0.159742,1.00e-04,36.2,7249
99,3,0.514692,1.00e-04,36.5,7249
100,3,0.037179,1.00e-04,36.8,7249
101,3,0.077647,1.00e-04,49.0,7755
102,3,0.011512,1.00e-04,49.4,7755
103,3,0.612073,1.00e-04,49.7,7755
104,3,0.173506,1.00e-04,50.0,7755
105,3,0.081580,1.00e-04,50.4,7755
106,3,0.256233,1.00e-04,50.8,7755
107,3,0.076307,1.00e-04,51.2,7755
108,3,0.037417,1.00e-04,51.5,7755
109,3,0.128444,1.00e-04,51.8,7755
110,3,0.198418,1.00e-04,52.1,7755
111,3,0.586015,1.00e-04,52.4,7755
112,3,0.075685,1.00e-04,52.7,7755
113,3,0.015557,1.00e-04,53.1,7755
114,3,0.039008,1.00e-04,53.4,7755
115,3,0.019080,1.00e-04,53.7,7755
116,3,0.137618,1.00e-04,54.0,7755
117,3,0.222646,1.00e-04,54.4,7755
118,3,0.018529,1.00e-04,54.7,7755
119,3,0.092418,1.00e-04,55.0,7755
120,3,0.122694,1.00e-04,55.3,7755
121,3,0.004269,1.00e-04,55.7,7755
122,3,0.032074,1.00e-04,56.0,7755
123,3,0.019073,1.00e-04,56.3,7755
124,3,0.026998,1.00e-04,56.6,7755
125,4,0.340284,1.00e-04,57.0,7755
126,4,0.034096,1.00e-04,57.4,7755
127,4,0.035622,1.00e-04,57.8,7755
128,4,0.084122,1.00e-04,58.1,7755
129,4,0.441460,1.00e-04,58.4,7755
130,4,0.362440,1.00e-04,58.7,7755
131,4,0.004256,1.00e-04,59.0,7755
132,4,0.023198,1.00e-04,59.3,7755
133,4,0.023758,1.00e-04,59.6,7755
134,4,0.361731,1.00e-04,60.0,7755
135,4,0.109560,1.00e-04,60.3,7755
136,4,0.478619,1.00e-04,60.6,7755
137,4,0.053349,1.00e-04,61.0,7755
138,4,0.491499,1.00e-04,61.3,7755
139,4,0.011150,1.00e-04,61.7,7755
140,4,0.129209,1.00e-04,62.0,7755
141,4,0.053295,1.00e-04,62.4,7755
142,4,0.660179,1.00e-04,62.7,7755
143,4,0.219062,1.00e-04,63.1,7755
144,4,0.068821,1.00e-04,63.4,7755
145,4,0.083468,1.00e-04,63.8,7755
146,4,0.045560,1.00e-04,64.2,7755
147,4,0.183550,1.00e-04,64.6,7755
148,4,0.141602,1.00e-04,64.9,7755
