dataset,suite,strategy,split,seed,rank,total_steps,status,elapsed_sec,output_dir,fid,clip_score
dreambooth_mixed,multi_seed,Random_D-High,D-High,42,8,800,ok,782.2,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\Random_D-High_seed42,220.6156,nan
dreambooth_mixed,multi_seed,Random_D-High,D-High,52,8,800,ok,779.3,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\Random_D-High_seed52,221.4257,nan
dreambooth_mixed,multi_seed,Random_D-High,D-High,62,8,800,ok,779.9,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\Random_D-High_seed62,220.8834,nan
dreambooth_mixed,multi_seed,Random_D-High,D-High,72,8,800,ok,778.1,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\Random_D-High_seed72,221.1433,nan
dreambooth_mixed,multi_seed,Random_D-High,D-High,82,8,800,ok,781.6,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\Random_D-High_seed82,218.9746,nan
dreambooth_mixed,multi_seed,KMC_D-High,D-High,42,8,800,ok,799.8,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\KMC_D-High_seed42,227.127,nan
dreambooth_mixed,multi_seed,KMC_D-High,D-High,52,8,800,ok,800.1,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\KMC_D-High_seed52,230.2556,nan
dreambooth_mixed,multi_seed,KMC_D-High,D-High,62,8,800,ok,797.3,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\KMC_D-High_seed62,230.6344,nan
dreambooth_mixed,multi_seed,KMC_D-High,D-High,72,8,800,ok,799.7,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\KMC_D-High_seed72,223.2324,nan
dreambooth_mixed,multi_seed,KMC_D-High,D-High,82,8,800,ok,799.6,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\KMC_D-High_seed82,231.8416,nan
dreambooth_mixed,multi_seed,Anti_Curriculum,,42,8,800,ok,785.2,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\Anti_Curriculum_seed42,222.5567,nan
dreambooth_mixed,multi_seed,Anti_Curriculum,,52,8,800,ok,783.0,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\Anti_Curriculum_seed52,229.7347,nan
dreambooth_mixed,multi_seed,Anti_Curriculum,,62,8,800,ok,782.9,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\Anti_Curriculum_seed62,219.4246,nan
dreambooth_mixed,multi_seed,Anti_Curriculum,,72,8,800,ok,786.9,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\Anti_Curriculum_seed72,229.777,nan
dreambooth_mixed,multi_seed,Anti_Curriculum,,82,8,800,ok,767.2,<project_root>\kmc_lora\results\robustness\dreambooth_mixed\multi_seed\Anti_Curriculum_seed82,223.9856,nan
