step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.049405,1.00e-04,3.3,7214
2,0,0.101248,1.00e-04,3.6,7227
3,0,0.241577,1.00e-04,4.0,7230
4,0,0.097716,1.00e-04,4.3,7233
5,0,0.263334,1.00e-04,4.6,7233
6,1,0.013421,1.00e-04,4.9,7233
7,1,0.039975,1.00e-04,5.2,7233
8,1,0.393208,1.00e-04,5.5,7233
9,1,0.003675,1.00e-04,5.8,7233
10,1,0.185088,1.00e-04,6.1,7233
11,2,0.039581,1.00e-04,6.5,7233
12,2,0.008334,1.00e-04,6.8,7233
13,2,0.009798,1.00e-04,7.1,7233
14,2,0.274759,1.00e-04,7.4,7233
15,2,0.299694,1.00e-04,7.7,7233
16,3,0.049026,1.00e-04,8.0,7233
17,3,0.093560,1.00e-04,8.3,7233
18,3,0.032714,1.00e-04,8.6,7233
19,3,0.142589,1.00e-04,8.9,7233
20,3,0.020432,1.00e-04,9.2,7233
21,4,0.023576,1.00e-04,9.5,7233
22,4,0.155800,1.00e-04,9.8,7233
23,4,0.058939,1.00e-04,10.1,7233
24,4,0.012325,1.00e-04,10.4,7233
25,4,0.314267,1.00e-04,10.7,7233
26,5,0.011830,1.00e-04,11.0,7233
27,5,0.122130,1.00e-04,11.4,7233
28,5,0.412901,1.00e-04,11.7,7233
29,5,0.145269,1.00e-04,12.0,7233
30,5,0.443888,1.00e-04,12.3,7233
31,6,0.299604,1.00e-04,12.6,7233
32,6,0.041930,1.00e-04,12.9,7233
33,6,0.680285,1.00e-04,13.2,7233
34,6,0.017437,1.00e-04,13.5,7233
35,6,0.004498,1.00e-04,13.8,7233
36,7,0.019947,1.00e-04,14.1,7233
37,7,0.025721,1.00e-04,14.4,7233
38,7,0.038569,1.00e-04,14.7,7233
39,7,0.017582,1.00e-04,15.0,7233
40,7,0.013092,1.00e-04,15.3,7233
41,8,0.004245,1.00e-04,15.6,7233
42,8,0.004702,1.00e-04,16.0,7233
43,8,0.195954,1.00e-04,16.3,7233
44,8,0.061873,1.00e-04,16.6,7233
45,8,0.517700,1.00e-04,16.8,7233
46,9,0.038289,1.00e-04,17.1,7233
47,9,0.002111,1.00e-04,17.4,7233
48,9,0.031032,1.00e-04,17.7,7233
49,9,0.450679,1.00e-04,18.1,7233
50,9,0.061395,1.00e-04,18.3,7233
51,10,0.034371,1.00e-04,18.7,7233
52,10,0.057579,1.00e-04,19.0,7233
53,10,0.071472,1.00e-04,19.3,7233
54,10,0.025117,1.00e-04,19.6,7233
55,10,0.351194,1.00e-04,19.8,7233
56,11,0.152949,1.00e-04,20.2,7233
57,11,0.507571,1.00e-04,20.5,7233
58,11,0.312235,1.00e-04,20.8,7233
59,11,0.464546,1.00e-04,21.1,7233
60,11,0.249969,1.00e-04,21.4,7233
61,12,0.004091,1.00e-04,21.7,7233
62,12,0.026193,1.00e-04,22.0,7233
63,12,0.097716,1.00e-04,22.3,7233
64,12,0.249071,1.00e-04,22.6,7233
65,12,0.006702,1.00e-04,22.8,7233
66,13,0.003563,1.00e-04,23.2,7233
67,13,0.091301,1.00e-04,23.5,7233
68,13,0.170447,1.00e-04,23.8,7233
69,13,0.211970,1.00e-04,24.1,7233
70,13,0.013263,1.00e-04,24.4,7233
71,14,0.111099,1.00e-04,24.7,7233
72,14,0.005003,1.00e-04,25.0,7233
73,14,0.035955,1.00e-04,25.3,7233
74,14,0.019707,1.00e-04,25.6,7233
75,14,0.101590,1.00e-04,25.8,7233
76,15,0.334625,1.00e-04,26.2,7233
77,15,0.009542,1.00e-04,26.5,7233
78,15,0.062260,1.00e-04,26.8,7233
79,15,0.034829,1.00e-04,27.1,7233
80,15,0.002168,1.00e-04,27.4,7233
81,16,0.045150,1.00e-04,27.7,7233
82,16,0.004398,1.00e-04,28.0,7233
83,16,0.194903,1.00e-04,28.3,7233
84,16,0.022273,1.00e-04,28.6,7233
85,16,0.809981,1.00e-04,28.9,7233
86,17,0.008339,1.00e-04,29.3,7233
87,17,0.003804,1.00e-04,29.6,7233
88,17,0.147119,1.00e-04,29.9,7233
89,17,0.564938,1.00e-04,30.2,7233
90,17,0.228299,1.00e-04,30.4,7233
91,18,0.078742,1.00e-04,30.8,7233
92,18,0.018313,1.00e-04,31.1,7233
93,18,0.156315,1.00e-04,31.4,7233
94,18,0.272047,1.00e-04,31.7,7233
95,18,0.151133,1.00e-04,32.0,7233
96,19,0.002886,1.00e-04,32.3,7233
97,19,0.044965,1.00e-04,32.6,7233
98,19,0.006245,1.00e-04,32.9,7233
99,19,0.062016,1.00e-04,33.2,7233
100,19,0.185849,1.00e-04,33.5,7233
101,20,0.098895,1.00e-04,45.0,7736
102,20,0.061082,1.00e-04,45.3,7736
103,20,0.006762,1.00e-04,45.6,7736
104,20,0.061754,1.00e-04,45.9,7736
105,20,0.005528,1.00e-04,46.2,7736
106,21,0.103761,1.00e-04,46.5,7736
107,21,0.386861,1.00e-04,46.9,7736
108,21,0.059085,1.00e-04,47.2,7736
109,21,0.011353,1.00e-04,47.5,7736
110,21,0.076861,1.00e-04,47.7,7736
111,22,0.328276,1.00e-04,48.1,7736
112,22,0.002362,1.00e-04,48.4,7736
113,22,0.040092,1.00e-04,48.7,7736
114,22,0.023179,1.00e-04,49.0,7736
115,22,0.259585,1.00e-04,49.2,7736
116,23,0.013724,1.00e-04,49.5,7736
117,23,0.002667,1.00e-04,49.9,7736
118,23,0.019624,1.00e-04,50.2,7736
119,23,0.002485,1.00e-04,50.5,7736
120,23,0.040837,1.00e-04,50.8,7736
121,24,0.074942,1.00e-04,51.1,7736
122,24,0.049117,1.00e-04,51.4,7736
123,24,0.248179,1.00e-04,51.7,7736
124,24,0.017383,1.00e-04,52.0,7736
125,24,0.010215,1.00e-04,52.3,7736
126,25,0.009595,1.00e-04,52.6,7736
127,25,0.136349,1.00e-04,52.9,7736
128,25,0.132346,1.00e-04,53.3,7736
129,25,0.383951,1.00e-04,53.7,7736
130,25,0.247950,1.00e-04,53.9,7736
131,26,0.007757,1.00e-04,54.3,7736
132,26,0.032441,1.00e-04,54.6,7736
133,26,0.021829,1.00e-04,54.9,7736
134,26,0.014708,1.00e-04,55.2,7736
135,26,0.129578,1.00e-04,55.4,7736
136,27,0.161938,1.00e-04,55.8,7736
137,27,0.066458,1.00e-04,56.1,7736
138,27,0.072134,1.00e-04,56.4,7736
139,27,0.059741,1.00e-04,56.7,7736
140,27,0.104312,1.00e-04,57.0,7736
141,28,0.030153,1.00e-04,57.3,7736
142,28,0.057127,1.00e-04,57.6,7736
143,28,0.002950,1.00e-04,57.9,7736
144,28,0.081312,1.00e-04,58.2,7736
145,28,0.008420,1.00e-04,58.5,7736
146,29,0.030524,1.00e-04,58.9,7736
147,29,0.251198,1.00e-04,59.2,7736
148,29,0.317606,1.00e-04,59.5,7736
149,29,0.180668,1.00e-04,59.8,7736
150,29,0.004517,1.00e-04,60.0,7736
151,30,0.318345,1.00e-04,60.4,7736
152,30,0.100625,1.00e-04,60.7,7736
153,30,0.025553,1.00e-04,61.0,7736
154,30,0.501911,1.00e-04,61.3,7736
155,30,0.025789,1.00e-04,61.6,7736
156,31,0.042833,1.00e-04,61.9,7736
157,31,0.106154,1.00e-04,62.2,7736
158,31,0.183585,1.00e-04,62.5,7736
159,31,0.298195,1.00e-04,62.9,7736
160,31,0.083097,1.00e-04,63.1,7736
161,32,0.003281,1.00e-04,63.4,7736
162,32,0.006305,1.00e-04,63.7,7736
163,32,0.013760,1.00e-04,64.0,7736
164,32,0.005614,1.00e-04,64.3,7736
165,32,0.003851,1.00e-04,64.6,7736
166,33,0.051920,1.00e-04,64.9,7736
167,33,0.002262,1.00e-04,65.3,7736
168,33,0.040889,1.00e-04,65.6,7736
169,33,0.004157,1.00e-04,65.9,7736
170,33,0.160497,1.00e-04,66.2,7736
171,34,0.104562,1.00e-04,66.5,7736
172,34,0.120347,1.00e-04,66.8,7736
173,34,0.074610,1.00e-04,67.1,7736
174,34,0.091742,1.00e-04,67.4,7736
175,34,0.002346,1.00e-04,67.7,7736
176,35,0.381091,1.00e-04,68.0,7736
177,35,0.376949,1.00e-04,68.3,7736
178,35,0.274773,1.00e-04,68.6,7736
179,35,0.101716,1.00e-04,68.9,7736
180,35,0.013219,1.00e-04,69.2,7736
181,36,0.104876,1.00e-04,69.6,7736
182,36,0.002435,1.00e-04,69.9,7736
183,36,0.092569,1.00e-04,70.2,7736
184,36,0.023667,1.00e-04,70.5,7736
185,36,0.088360,1.00e-04,70.8,7736
186,37,0.010459,1.00e-04,71.1,7736
187,37,0.070964,1.00e-04,71.4,7736
188,37,0.212920,1.00e-04,71.7,7736
189,37,0.596926,1.00e-04,72.0,7736
190,37,0.217742,1.00e-04,72.2,7736
191,38,0.136693,1.00e-04,72.6,7736
192,38,0.004546,1.00e-04,72.9,7736
193,38,0.009618,1.00e-04,73.2,7736
194,38,0.007805,1.00e-04,73.5,7736
195,38,0.296946,1.00e-04,73.8,7736
196,39,0.170201,1.00e-04,74.1,7736
197,39,0.257345,1.00e-04,74.4,7736
198,39,0.254149,1.00e-04,74.7,7736
199,39,0.175714,1.00e-04,75.0,7736
200,39,0.392088,1.00e-04,75.3,7736
201,40,0.008632,1.00e-04,86.8,7736
202,40,0.145653,1.00e-04,87.1,7736
203,40,0.123676,1.00e-04,87.4,7736
204,40,0.088149,1.00e-04,87.7,7736
205,40,0.293678,1.00e-04,88.0,7736
206,41,0.006666,1.00e-04,88.3,7736
207,41,0.101543,1.00e-04,88.7,7736
208,41,0.054347,1.00e-04,88.9,7736
209,41,0.020007,1.00e-04,89.3,7736
210,41,0.002896,1.00e-04,89.5,7736
211,42,0.449977,1.00e-04,89.8,7736
212,42,0.135102,1.00e-04,90.1,7736
213,42,0.119397,1.00e-04,90.4,7736
214,42,0.003582,1.00e-04,90.7,7736
215,42,0.014997,1.00e-04,91.0,7736
216,43,0.166532,1.00e-04,91.3,7736
217,43,0.003569,1.00e-04,91.7,7736
218,43,0.077192,1.00e-04,92.0,7736
219,43,0.369934,1.00e-04,92.3,7736
220,43,0.550152,1.00e-04,92.5,7736
221,44,0.188513,1.00e-04,92.9,7736
222,44,0.476832,1.00e-04,93.2,7736
223,44,0.090436,1.00e-04,93.5,7736
224,44,0.311089,1.00e-04,93.8,7736
225,44,0.007893,1.00e-04,94.0,7736
226,45,0.029461,1.00e-04,94.3,7736
227,45,0.195011,1.00e-04,94.6,7736
228,45,0.003348,1.00e-04,94.9,7736
229,45,0.015329,1.00e-04,95.2,7736
230,45,0.029877,1.00e-04,95.5,7736
231,46,0.091850,1.00e-04,95.8,7736
232,46,0.411306,1.00e-04,96.1,7736
233,46,0.003860,1.00e-04,96.4,7736
234,46,0.029270,1.00e-04,96.7,7736
235,46,0.003640,1.00e-04,97.0,7736
236,47,0.056584,1.00e-04,97.3,7736
237,47,0.094555,1.00e-04,97.6,7736
238,47,0.006003,1.00e-04,98.0,7736
239,47,0.135789,1.00e-04,98.3,7736
240,47,0.008146,1.00e-04,98.5,7736
241,48,0.002505,1.00e-04,98.8,7736
242,48,0.006875,1.00e-04,99.2,7736
243,48,0.190298,1.00e-04,99.4,7736
244,48,0.047702,1.00e-04,99.8,7736
245,48,0.411632,1.00e-04,100.0,7736
246,49,0.471062,1.00e-04,100.4,7736
247,49,0.009117,1.00e-04,100.7,7736
248,49,0.067391,1.00e-04,101.0,7736
249,49,0.137651,1.00e-04,101.3,7736
250,49,0.349854,1.00e-04,101.6,7736
251,50,0.027475,1.00e-04,101.9,7736
252,50,0.396478,1.00e-04,102.2,7736
253,50,0.040244,1.00e-04,102.5,7736
254,50,0.052551,1.00e-04,102.8,7736
255,50,0.303423,1.00e-04,103.1,7736
256,51,0.047989,1.00e-04,103.5,7736
257,51,0.127250,1.00e-04,103.8,7736
258,51,0.149346,1.00e-04,104.1,7736
259,51,0.005845,1.00e-04,104.4,7736
260,51,0.002822,1.00e-04,104.7,7736
261,52,0.080578,1.00e-04,105.0,7736
262,52,0.557856,1.00e-04,105.3,7736
263,52,0.035227,1.00e-04,105.6,7736
264,52,0.120278,1.00e-04,105.9,7736
265,52,0.050216,1.00e-04,106.2,7736
266,53,0.038546,1.00e-04,106.5,7736
267,53,0.097221,1.00e-04,106.8,7736
268,53,0.022497,1.00e-04,107.1,7736
269,53,0.035932,1.00e-04,107.4,7736
270,53,0.049412,1.00e-04,107.7,7736
271,54,0.100778,1.00e-04,108.0,7736
272,54,0.016342,1.00e-04,108.3,7736
273,54,0.118332,1.00e-04,108.6,7736
274,54,0.428943,1.00e-04,108.9,7736
275,54,0.078921,1.00e-04,109.2,7736
276,55,0.007801,1.00e-04,109.5,7736
277,55,0.025402,1.00e-04,109.8,7736
278,55,0.036374,1.00e-04,110.1,7736
279,55,0.529729,1.00e-04,110.4,7736
280,55,0.063542,1.00e-04,110.7,7736
281,56,0.003111,1.00e-04,111.0,7736
282,56,0.011817,1.00e-04,111.3,7736
283,56,0.027326,1.00e-04,111.6,7736
284,56,0.131860,1.00e-04,112.0,7736
285,56,0.019287,1.00e-04,112.3,7736
286,57,0.147454,1.00e-04,112.6,7736
287,57,0.061926,1.00e-04,112.9,7736
288,57,0.011360,1.00e-04,113.2,7736
289,57,0.087086,1.00e-04,113.5,7736
290,57,0.009747,1.00e-04,113.8,7736
291,58,0.434916,1.00e-04,114.1,7736
292,58,0.249852,1.00e-04,114.5,7736
293,58,0.070156,1.00e-04,114.8,7736
294,58,0.098179,1.00e-04,115.1,7736
295,58,0.113141,1.00e-04,115.3,7736
296,59,0.008943,1.00e-04,115.7,7736
297,59,0.023214,1.00e-04,115.9,7736
298,59,0.391013,1.00e-04,116.2,7736
299,59,0.018995,1.00e-04,116.5,7736
300,59,0.705510,1.00e-04,116.8,7736
301,60,0.013202,1.00e-04,128.4,7736
302,60,0.007684,1.00e-04,128.7,7736
303,60,0.028578,1.00e-04,129.0,7736
304,60,0.103727,1.00e-04,129.3,7736
305,60,0.043988,1.00e-04,129.6,7736
306,61,0.031300,1.00e-04,129.9,7736
307,61,0.002853,1.00e-04,130.2,7736
308,61,0.016230,1.00e-04,130.5,7736
309,61,0.040865,1.00e-04,130.8,7736
310,61,0.049468,1.00e-04,131.1,7736
311,62,0.008251,1.00e-04,131.4,7736
312,62,0.092436,1.00e-04,131.7,7736
313,62,0.104964,1.00e-04,132.0,7736
314,62,0.232554,1.00e-04,132.3,7736
315,62,0.192265,1.00e-04,132.6,7736
316,63,0.002434,1.00e-04,132.9,7736
317,63,0.042219,1.00e-04,133.3,7736
318,63,0.226511,1.00e-04,133.5,7736
319,63,0.011202,1.00e-04,133.8,7736
320,63,0.672220,1.00e-04,134.1,7736
321,64,0.003067,1.00e-04,134.5,7736
322,64,0.007163,1.00e-04,134.8,7736
323,64,0.007476,1.00e-04,135.1,7736
324,64,0.120614,1.00e-04,135.4,7736
325,64,0.441057,1.00e-04,135.7,7736
326,65,0.021365,1.00e-04,136.0,7736
327,65,0.078561,1.00e-04,136.3,7736
328,65,0.045631,1.00e-04,136.6,7736
329,65,0.202782,1.00e-04,136.9,7736
330,65,0.005829,1.00e-04,137.2,7736
331,66,0.452846,1.00e-04,137.5,7736
332,66,0.011361,1.00e-04,137.8,7736
333,66,0.031167,1.00e-04,138.2,7736
334,66,0.016605,1.00e-04,138.5,7736
335,66,0.205291,1.00e-04,138.7,7736
336,67,0.002664,1.00e-04,139.1,7736
337,67,0.704240,1.00e-04,139.4,7736
338,67,0.002858,1.00e-04,139.7,7736
339,67,0.126351,1.00e-04,140.0,7736
340,67,0.144451,1.00e-04,140.2,7736
341,68,0.002754,1.00e-04,140.6,7736
342,68,0.163485,1.00e-04,140.9,7736
343,68,0.455249,1.00e-04,141.2,7736
344,68,0.007840,1.00e-04,141.5,7736
345,68,0.217156,1.00e-04,141.7,7736
346,69,0.034235,1.00e-04,142.1,7736
347,69,0.013130,1.00e-04,142.4,7736
