step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.003366,5.00e-05,3.2,7214
2,0,0.021007,5.00e-05,3.5,7227
3,1,0.003233,5.00e-05,3.8,7230
4,1,0.002393,5.00e-05,4.1,7233
5,2,0.380312,5.00e-05,4.4,7233
6,2,0.545577,5.00e-05,4.6,7233
7,3,0.509727,5.00e-05,5.0,7233
8,3,0.509935,5.00e-05,5.2,7233
9,4,0.076871,5.00e-05,5.5,7233
10,4,0.145512,5.00e-05,5.8,7233
11,5,0.277167,5.00e-05,6.1,7233
12,5,0.374500,5.00e-05,6.4,7233
13,6,0.031161,5.00e-05,6.7,7233
14,6,0.005498,5.00e-05,7.0,7233
15,7,0.003133,5.00e-05,7.4,7233
16,7,0.030238,5.00e-05,7.6,7233
17,8,0.336354,5.00e-05,7.9,7233
18,8,0.008457,5.00e-05,8.2,7233
19,9,0.006251,5.00e-05,8.5,7233
20,9,0.045140,5.00e-05,8.8,7233
21,10,0.003426,5.00e-05,9.2,7233
22,10,0.012484,5.00e-05,9.4,7233
23,11,0.242276,5.00e-05,9.8,7233
24,11,0.175997,5.00e-05,10.0,7233
25,12,0.011849,5.00e-05,10.3,7233
26,12,0.618827,5.00e-05,10.6,7233
27,13,0.378203,5.00e-05,10.9,7233
28,13,0.369607,5.00e-05,11.2,7233
29,14,0.230806,5.00e-05,11.5,7233
30,14,0.024536,5.00e-05,11.8,7233
31,15,0.402668,5.00e-05,12.1,7233
32,15,0.207815,5.00e-05,12.4,7233
33,16,0.348438,5.00e-05,12.7,7233
34,16,0.123769,5.00e-05,12.9,7233
35,17,0.006666,5.00e-05,13.2,7233
36,17,0.002920,5.00e-05,13.5,7233
37,18,0.646340,5.00e-05,13.8,7233
38,18,0.232706,5.00e-05,14.1,7233
39,19,0.211420,5.00e-05,14.4,7233
40,19,0.092397,5.00e-05,14.6,7233
41,20,0.355900,5.00e-05,15.0,7233
42,20,0.215915,5.00e-05,15.3,7233
43,21,0.018629,5.00e-05,15.6,7233
44,21,0.125456,5.00e-05,15.8,7233
45,22,0.039078,5.00e-05,16.1,7233
46,22,0.158111,5.00e-05,16.4,7233
47,23,0.002840,5.00e-05,16.7,7233
48,23,0.017981,5.00e-05,16.9,7233
49,24,0.052691,5.00e-05,17.2,7233
50,24,0.057910,5.00e-05,17.5,7233
51,25,0.400331,5.00e-05,17.8,7233
52,25,0.325337,5.00e-05,18.1,7233
53,26,0.015701,5.00e-05,18.4,7233
54,26,0.088032,5.00e-05,18.6,7233
55,27,0.038964,5.00e-05,18.9,7233
56,27,0.018099,5.00e-05,19.2,7233
57,28,0.105092,5.00e-05,19.5,7233
58,28,0.007933,5.00e-05,19.8,7233
59,29,0.007124,5.00e-05,20.1,7233
60,29,0.406488,5.00e-05,20.3,7233
61,30,0.082885,5.00e-05,20.6,7233
62,30,0.096743,5.00e-05,20.9,7233
63,31,0.015809,5.00e-05,21.2,7233
64,31,0.350678,5.00e-05,21.5,7233
65,32,0.436372,5.00e-05,21.8,7233
66,32,0.117612,5.00e-05,22.0,7233
67,33,0.018968,5.00e-05,22.3,7233
68,33,0.169866,5.00e-05,22.6,7233
69,34,0.012055,5.00e-05,22.9,7233
70,34,0.084433,5.00e-05,23.2,7233
71,35,0.043635,5.00e-05,23.5,7233
72,35,0.076096,5.00e-05,23.8,7233
73,36,0.587292,5.00e-05,24.2,7233
74,36,0.032530,5.00e-05,24.4,7233
75,37,0.032275,5.00e-05,24.7,7233
76,37,0.013028,5.00e-05,25.0,7233
77,38,0.022712,5.00e-05,25.3,7233
78,38,0.216608,5.00e-05,25.6,7233
79,39,0.050319,5.00e-05,25.8,7233
80,39,0.005045,5.00e-05,26.1,7233
81,40,0.004057,5.00e-05,26.4,7233
82,40,0.164612,5.00e-05,26.7,7233
83,41,0.016062,5.00e-05,27.0,7233
84,41,0.228901,5.00e-05,27.2,7233
85,42,0.032725,5.00e-05,27.6,7233
86,42,0.041500,5.00e-05,27.8,7233
87,43,0.308446,5.00e-05,28.1,7233
88,43,0.104705,5.00e-05,28.4,7233
89,44,0.131454,5.00e-05,28.7,7233
90,44,0.019010,5.00e-05,29.0,7233
91,45,0.162677,5.00e-05,29.3,7233
92,45,0.077022,5.00e-05,29.5,7233
93,46,0.062804,5.00e-05,29.8,7233
94,46,0.111248,5.00e-05,30.1,7233
95,47,0.056644,5.00e-05,30.4,7233
96,47,0.030953,5.00e-05,30.7,7233
97,48,0.415570,5.00e-05,30.9,7233
98,48,0.173112,5.00e-05,31.2,7233
99,49,0.102924,5.00e-05,31.5,7233
100,49,0.204407,5.00e-05,31.8,7233
101,50,0.095246,5.00e-05,42.6,7736
102,50,0.093195,5.00e-05,42.9,7736
103,51,0.002692,5.00e-05,43.2,7736
104,51,0.013663,5.00e-05,43.5,7736
105,52,0.303386,5.00e-05,43.8,7736
106,52,0.008397,5.00e-05,44.1,7736
107,53,0.029405,5.00e-05,44.4,7736
108,53,0.003386,5.00e-05,44.7,7736
109,54,0.264381,5.00e-05,45.0,7736
110,54,0.359472,5.00e-05,45.3,7736
111,55,0.132671,5.00e-05,45.6,7736
112,55,0.046354,5.00e-05,45.9,7736
113,56,0.533327,5.00e-05,46.2,7736
114,56,0.003813,5.00e-05,46.5,7736
115,57,0.281582,5.00e-05,46.9,7736
116,57,0.040449,5.00e-05,47.1,7736
117,58,0.302352,5.00e-05,47.4,7736
118,58,0.012908,5.00e-05,47.7,7736
119,59,0.578919,5.00e-05,48.0,7736
120,59,0.053475,5.00e-05,48.3,7736
121,60,0.008030,5.00e-05,48.6,7736
122,60,0.010249,5.00e-05,48.8,7736
123,61,0.300701,5.00e-05,49.1,7736
124,61,0.005546,5.00e-05,49.4,7736
125,62,0.118341,5.00e-05,49.7,7736
126,62,0.054314,5.00e-05,50.0,7736
127,63,0.028923,5.00e-05,50.3,7736
128,63,0.061536,5.00e-05,50.5,7736
129,64,0.007539,5.00e-05,50.8,7736
130,64,0.039051,5.00e-05,51.1,7736
131,65,0.157730,5.00e-05,51.4,7736
132,65,0.223078,5.00e-05,51.7,7736
133,66,0.029959,5.00e-05,52.0,7736
134,66,0.009530,5.00e-05,52.2,7736
135,67,0.077280,5.00e-05,52.5,7736
136,67,0.054661,5.00e-05,52.8,7736
137,68,0.002610,5.00e-05,53.1,7736
138,68,0.263379,5.00e-05,53.3,7736
139,69,0.752803,5.00e-05,53.7,7736
140,69,0.071420,5.00e-05,53.9,7736
141,70,0.007106,5.00e-05,54.2,7736
142,70,0.066545,5.00e-05,54.5,7736
143,71,0.022084,5.00e-05,54.8,7736
144,71,0.323684,5.00e-05,55.0,7736
