step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.043059,1.00e-04,3.0,7214
2,0,0.095808,1.00e-04,3.4,7227
3,0,0.280487,1.00e-04,3.6,7230
4,0,0.097807,1.00e-04,3.9,7233
5,0,0.286960,1.00e-04,4.2,7233
6,1,0.015629,1.00e-04,4.6,7233
7,1,0.036924,1.00e-04,4.9,7233
8,1,0.393230,1.00e-04,5.1,7233
9,1,0.003096,1.00e-04,5.5,7233
10,1,0.208569,1.00e-04,5.8,7233
11,2,0.034995,1.00e-04,6.1,7233
12,2,0.009831,1.00e-04,6.4,7233
13,2,0.009599,1.00e-04,6.7,7233
14,2,0.246090,1.00e-04,7.0,7233
15,2,0.322861,1.00e-04,7.2,7233
16,3,0.046554,1.00e-04,7.5,7233
17,3,0.097919,1.00e-04,7.8,7233
18,3,0.030274,1.00e-04,8.1,7233
19,3,0.162823,1.00e-04,8.4,7233
20,3,0.020470,1.00e-04,8.7,7233
21,4,0.026708,1.00e-04,9.0,7233
22,4,0.146093,1.00e-04,9.4,7233
23,4,0.062724,1.00e-04,9.6,7233
24,4,0.012609,1.00e-04,9.9,7233
25,4,0.272761,1.00e-04,10.2,7233
26,5,0.012970,1.00e-04,10.5,7233
27,5,0.122553,1.00e-04,10.8,7233
28,5,0.377851,1.00e-04,11.1,7233
29,5,0.133983,1.00e-04,11.4,7233
30,5,0.526174,1.00e-04,11.7,7233
31,6,0.280498,1.00e-04,12.0,7233
32,6,0.044356,1.00e-04,12.3,7233
33,6,0.680307,1.00e-04,12.6,7233
34,6,0.015715,1.00e-04,12.9,7233
35,6,0.005073,1.00e-04,13.2,7233
36,7,0.018721,1.00e-04,13.5,7233
37,7,0.022713,1.00e-04,13.8,7233
38,7,0.045031,1.00e-04,14.1,7233
39,7,0.017596,1.00e-04,14.4,7233
40,7,0.015759,1.00e-04,14.7,7233
41,8,0.004814,1.00e-04,15.0,7233
42,8,0.004872,1.00e-04,15.3,7233
43,8,0.196253,1.00e-04,15.6,7233
44,8,0.058289,1.00e-04,15.8,7233
45,8,0.452351,1.00e-04,16.1,7233
46,9,0.033060,1.00e-04,16.4,7233
47,9,0.002402,1.00e-04,16.7,7233
48,9,0.033532,1.00e-04,17.0,7233
49,9,0.450750,1.00e-04,17.3,7233
50,9,0.058754,1.00e-04,17.6,7233
51,10,0.031666,1.00e-04,17.9,7233
52,10,0.052531,1.00e-04,18.2,7233
53,10,0.077801,1.00e-04,18.4,7233
54,10,0.026369,1.00e-04,18.7,7233
55,10,0.351321,1.00e-04,19.0,7233
56,11,0.153019,1.00e-04,19.3,7233
57,11,0.429761,1.00e-04,19.6,7233
58,11,0.350158,1.00e-04,19.8,7233
59,11,0.438064,1.00e-04,20.1,7233
60,11,0.295137,1.00e-04,20.4,7233
61,12,0.004289,1.00e-04,20.7,7233
62,12,0.024845,1.00e-04,21.0,7233
63,12,0.097752,1.00e-04,21.3,7233
64,12,0.226940,1.00e-04,21.6,7233
65,12,0.007862,1.00e-04,21.9,7233
66,13,0.004184,1.00e-04,22.2,7233
67,13,0.091117,1.00e-04,22.5,7233
68,13,0.155404,1.00e-04,22.8,7233
69,13,0.232834,1.00e-04,23.1,7233
70,13,0.011452,1.00e-04,23.3,7233
71,14,0.110946,1.00e-04,23.6,7233
72,14,0.005227,1.00e-04,23.9,7233
73,14,0.037191,1.00e-04,24.3,7233
74,14,0.018920,1.00e-04,24.6,7233
75,14,0.110128,1.00e-04,24.9,7233
76,15,0.285049,1.00e-04,25.2,7233
77,15,0.012210,1.00e-04,25.6,7233
78,15,0.068136,1.00e-04,25.9,7233
79,15,0.031796,1.00e-04,26.2,7233
80,15,0.002175,1.00e-04,26.4,7233
81,16,0.045007,1.00e-04,26.7,7233
82,16,0.004396,1.00e-04,27.0,7233
83,16,0.222645,1.00e-04,27.3,7233
84,16,0.020818,1.00e-04,27.6,7233
85,16,0.857150,1.00e-04,27.9,7233
86,17,0.006597,1.00e-04,28.2,7233
87,17,0.003657,1.00e-04,28.5,7233
88,17,0.161999,1.00e-04,28.8,7233
89,17,0.627857,1.00e-04,29.1,7233
90,17,0.227863,1.00e-04,29.3,7233
91,18,0.081799,1.00e-04,29.6,7233
92,18,0.014631,1.00e-04,29.9,7233
93,18,0.156395,1.00e-04,30.2,7233
94,18,0.291596,1.00e-04,30.5,7233
95,18,0.133366,1.00e-04,30.7,7233
96,19,0.003006,1.00e-04,31.0,7233
97,19,0.042708,1.00e-04,31.3,7233
98,19,0.004800,1.00e-04,31.6,7233
99,19,0.065924,1.00e-04,31.9,7233
100,19,0.185722,1.00e-04,32.2,7233
101,20,0.099125,1.00e-04,43.0,7736
102,20,0.058648,1.00e-04,43.3,7736
103,20,0.008416,1.00e-04,43.6,7736
104,20,0.065596,1.00e-04,43.9,7736
105,20,0.004658,1.00e-04,44.2,7736
106,21,0.104266,1.00e-04,44.5,7736
107,21,0.426508,1.00e-04,44.8,7736
108,21,0.055609,1.00e-04,45.1,7736
109,21,0.011495,1.00e-04,45.4,7736
110,21,0.073712,1.00e-04,45.7,7736
111,22,0.328811,1.00e-04,46.0,7736
112,22,0.002586,1.00e-04,46.2,7736
113,22,0.045516,1.00e-04,46.5,7736
114,22,0.020113,1.00e-04,46.8,7736
115,22,0.298207,1.00e-04,47.1,7736
116,23,0.014225,1.00e-04,47.4,7736
117,23,0.002659,1.00e-04,47.7,7736
118,23,0.017131,1.00e-04,47.9,7736
119,23,0.003032,1.00e-04,48.2,7736
120,23,0.039061,1.00e-04,48.5,7736
121,24,0.067777,1.00e-04,48.8,7736
122,24,0.049142,1.00e-04,49.1,7736
123,24,0.224750,1.00e-04,49.4,7736
124,24,0.020352,1.00e-04,49.6,7736
125,24,0.012054,1.00e-04,49.9,7736
126,25,0.012024,1.00e-04,50.2,7736
127,25,0.144285,1.00e-04,50.5,7736
128,25,0.124141,1.00e-04,50.8,7736
129,25,0.384253,1.00e-04,51.1,7736
130,25,0.230717,1.00e-04,51.4,7736
131,26,0.008073,1.00e-04,51.7,7736
132,26,0.036341,1.00e-04,52.0,7736
133,26,0.021840,1.00e-04,52.3,7736
134,26,0.012976,1.00e-04,52.6,7736
135,26,0.141466,1.00e-04,52.9,7736
136,27,0.144143,1.00e-04,53.2,7736
137,27,0.074175,1.00e-04,53.5,7736
138,27,0.072067,1.00e-04,53.8,7736
139,27,0.056371,1.00e-04,54.1,7736
140,27,0.115174,1.00e-04,54.3,7736
141,28,0.027226,1.00e-04,54.6,7736
142,28,0.057430,1.00e-04,54.9,7736
143,28,0.003077,1.00e-04,55.2,7736
144,28,0.081450,1.00e-04,55.5,7736
145,28,0.008903,1.00e-04,55.8,7736
146,29,0.028213,1.00e-04,56.1,7736
147,29,0.268852,1.00e-04,56.3,7736
148,29,0.317589,1.00e-04,56.6,7736
149,29,0.160321,1.00e-04,56.9,7736
150,29,0.004871,1.00e-04,57.2,7736
151,30,0.286946,1.00e-04,57.5,7736
152,30,0.109441,1.00e-04,57.8,7736
153,30,0.025586,1.00e-04,58.1,7736
154,30,0.435454,1.00e-04,58.4,7736
155,30,0.025762,1.00e-04,58.6,7736
156,31,0.042867,1.00e-04,58.9,7736
157,31,0.100980,1.00e-04,59.2,7736
158,31,0.207881,1.00e-04,59.5,7736
159,31,0.337415,1.00e-04,59.8,7736
160,31,0.078402,1.00e-04,60.0,7736
161,32,0.003048,1.00e-04,60.3,7736
162,32,0.007120,1.00e-04,60.6,7736
163,32,0.012321,1.00e-04,60.9,7736
164,32,0.004667,1.00e-04,61.2,7736
165,32,0.003829,1.00e-04,61.4,7736
166,33,0.049262,1.00e-04,61.8,7736
167,33,0.002255,1.00e-04,62.0,7736
168,33,0.042296,1.00e-04,62.3,7736
169,33,0.004644,1.00e-04,62.6,7736
170,33,0.146133,1.00e-04,62.9,7736
171,34,0.116656,1.00e-04,63.2,7736
172,34,0.120558,1.00e-04,63.5,7736
173,34,0.083683,1.00e-04,63.7,7736
174,34,0.087118,1.00e-04,64.0,7736
175,34,0.002210,1.00e-04,64.4,7736
176,35,0.346696,1.00e-04,64.7,7736
177,35,0.311115,1.00e-04,65.0,7736
178,35,0.305022,1.00e-04,65.3,7736
179,35,0.101491,1.00e-04,65.5,7736
180,35,0.015637,1.00e-04,65.8,7736
181,36,0.104750,1.00e-04,66.1,7736
182,36,0.002110,1.00e-04,66.4,7736
183,36,0.100254,1.00e-04,66.7,7736
184,36,0.021007,1.00e-04,67.0,7736
185,36,0.096173,1.00e-04,67.3,7736
186,37,0.009988,1.00e-04,67.6,7736
187,37,0.066689,1.00e-04,67.9,7736
188,37,0.237517,1.00e-04,68.2,7736
189,37,0.503797,1.00e-04,68.5,7736
190,37,0.244548,1.00e-04,68.7,7736
191,38,0.127126,1.00e-04,69.0,7736
192,38,0.004415,1.00e-04,69.3,7736
