step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.171680,1.00e-04,3.0,8463
2,0,0.151486,1.00e-04,3.4,8482
3,0,0.013850,1.00e-04,3.8,8482
4,0,0.394433,1.00e-04,4.2,8482
5,0,0.116552,1.00e-04,4.6,8495
6,0,0.324644,1.00e-04,5.0,8508
7,0,0.022418,1.00e-04,5.3,8508
8,0,0.242983,1.00e-04,5.7,8508
9,0,0.083259,1.00e-04,6.0,8508
10,0,0.026233,1.00e-04,6.4,8508
11,0,0.025833,1.00e-04,6.7,8508
12,0,0.083539,1.00e-04,7.1,8508
13,0,0.194391,1.00e-04,7.4,8508
14,0,0.078566,1.00e-04,7.8,8508
15,0,0.011977,1.00e-04,8.1,8508
16,0,0.023180,1.00e-04,8.5,8508
17,0,0.200550,1.00e-04,8.8,8508
18,0,0.006604,1.00e-04,9.2,8508
19,0,0.107215,1.00e-04,9.5,8508
20,0,0.158879,1.00e-04,9.9,8508
21,0,0.326261,1.00e-04,10.2,8508
22,0,0.176613,1.00e-04,10.6,8508
23,0,0.070636,1.00e-04,10.9,8508
24,0,0.113218,1.00e-04,11.3,8508
25,0,0.005740,1.00e-04,11.6,8508
26,0,0.119658,1.00e-04,12.0,8508
27,0,0.376657,1.00e-04,12.3,8508
28,0,0.013939,1.00e-04,12.7,8508
29,0,0.488433,1.00e-04,13.0,8508
30,0,0.118377,1.00e-04,13.4,8508
31,0,0.191365,1.00e-04,13.7,8508
32,0,0.142321,1.00e-04,14.1,8508
33,0,0.367800,1.00e-04,14.4,8508
34,0,0.083854,1.00e-04,14.8,8508
35,0,0.254301,1.00e-04,15.1,8508
36,0,0.293958,1.00e-04,15.5,8508
37,0,0.368072,1.00e-04,15.9,8508
38,0,0.038487,1.00e-04,16.2,8508
39,0,0.038941,1.00e-04,16.5,8508
40,0,0.245634,1.00e-04,16.9,8508
41,0,0.075518,1.00e-04,17.2,8508
42,0,0.134271,1.00e-04,17.6,8508
43,0,0.116124,1.00e-04,17.9,8508
44,0,0.289724,1.00e-04,18.3,8508
45,0,0.039281,1.00e-04,18.6,8508
46,0,0.157337,1.00e-04,19.0,8508
47,0,0.364110,1.00e-04,19.3,8508
48,0,0.125702,1.00e-04,19.7,8508
49,0,0.021660,1.00e-04,20.0,8508
50,0,0.015680,1.00e-04,20.4,8508
51,0,0.129716,1.00e-04,20.7,8508
52,0,0.017138,1.00e-04,21.1,8508
53,0,0.047546,1.00e-04,21.4,8508
54,0,0.247645,1.00e-04,21.8,8508
55,0,0.009477,1.00e-04,22.1,8508
56,0,0.308262,1.00e-04,22.5,8508
57,0,0.217410,1.00e-04,22.9,8508
58,0,0.029408,1.00e-04,23.2,8508
59,0,0.043683,1.00e-04,23.6,8508
60,0,0.036210,1.00e-04,23.9,8508
61,0,0.111872,1.00e-04,24.3,8508
62,0,0.509421,1.00e-04,24.7,8508
63,0,0.385873,1.00e-04,25.0,8508
64,0,0.124635,1.00e-04,25.4,8508
65,0,0.017821,1.00e-04,25.8,8508
66,0,0.135229,1.00e-04,26.2,8508
67,0,0.341449,1.00e-04,26.5,8508
68,0,0.292923,1.00e-04,26.9,8508
69,0,0.012611,1.00e-04,27.2,8508
70,0,0.185676,1.00e-04,27.6,8508
71,0,0.075818,1.00e-04,27.9,8508
72,0,0.499525,1.00e-04,28.3,8508
73,0,0.323426,1.00e-04,28.7,8508
74,0,0.109920,1.00e-04,29.0,8508
75,0,0.262572,1.00e-04,29.4,8508
76,0,0.109432,1.00e-04,29.7,8508
77,0,0.216135,1.00e-04,30.1,8508
78,0,0.006030,1.00e-04,30.4,8508
79,0,0.324405,1.00e-04,30.8,8508
80,0,0.135805,1.00e-04,31.2,8508
81,0,0.149046,1.00e-04,31.5,8508
82,0,0.053546,1.00e-04,31.9,8508
83,0,0.007857,1.00e-04,32.2,8508
84,0,0.257285,1.00e-04,32.6,8508
85,0,0.005654,1.00e-04,33.0,8508
86,0,0.006597,1.00e-04,33.4,8508
87,0,0.069986,1.00e-04,33.7,8508
88,0,0.062825,1.00e-04,34.0,8508
89,0,0.099119,1.00e-04,34.5,8508
90,0,0.012823,1.00e-04,34.8,8508
91,0,0.059420,1.00e-04,35.2,8508
