step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.187809,1.00e-04,3.0,8463
2,0,0.448652,1.00e-04,3.4,8482
3,0,0.031936,1.00e-04,3.8,8482
4,0,0.014473,1.00e-04,4.2,8482
5,0,0.164347,1.00e-04,4.5,8495
6,0,0.172181,1.00e-04,4.9,8508
7,0,0.233704,1.00e-04,5.2,8508
8,0,0.068083,1.00e-04,5.6,8508
9,0,0.232284,1.00e-04,5.9,8508
10,0,0.104116,1.00e-04,6.3,8508
11,0,0.222662,1.00e-04,6.6,8508
12,0,0.045676,1.00e-04,7.0,8508
13,0,0.148940,1.00e-04,7.3,8508
14,0,0.189147,1.00e-04,7.7,8508
15,0,0.051801,1.00e-04,8.0,8508
16,0,0.270850,1.00e-04,8.4,8508
17,0,0.018549,1.00e-04,8.7,8508
18,0,0.474041,1.00e-04,9.0,8508
19,0,0.064934,1.00e-04,9.4,8508
20,0,0.052982,1.00e-04,9.8,8508
21,0,0.062609,1.00e-04,10.1,8508
22,0,0.110141,1.00e-04,10.5,8508
23,0,0.077520,1.00e-04,10.9,8508
24,0,0.346899,1.00e-04,11.2,8508
25,0,0.070745,1.00e-04,11.5,8508
26,0,0.144450,1.00e-04,11.9,8508
27,0,0.075568,1.00e-04,12.2,8508
28,0,0.127372,1.00e-04,12.6,8508
29,0,0.199887,1.00e-04,13.0,8508
30,0,0.047585,1.00e-04,13.3,8508
31,0,0.015020,1.00e-04,13.7,8508
32,0,0.196865,1.00e-04,14.0,8508
33,0,0.112368,1.00e-04,14.4,8508
34,0,0.078855,1.00e-04,14.8,8508
35,0,0.182236,1.00e-04,15.1,8508
36,0,0.149942,1.00e-04,15.5,8508
37,0,0.256467,1.00e-04,15.8,8508
38,0,0.241017,1.00e-04,16.2,8508
39,0,0.020339,1.00e-04,16.5,8508
40,0,0.135903,1.00e-04,16.9,8508
41,0,0.096790,1.00e-04,17.2,8508
42,0,0.101943,1.00e-04,17.6,8508
43,0,0.043709,1.00e-04,17.9,8508
44,0,0.142870,1.00e-04,18.3,8508
45,0,0.072702,1.00e-04,18.7,8508
46,0,0.047556,1.00e-04,19.0,8508
47,0,0.131861,1.00e-04,19.4,8508
48,0,0.456885,1.00e-04,19.7,8508
49,0,0.176055,1.00e-04,20.1,8508
50,0,0.012927,1.00e-04,20.4,8508
51,0,0.024262,1.00e-04,20.8,8508
52,0,0.093934,1.00e-04,21.1,8508
53,0,0.050826,1.00e-04,21.5,8508
54,0,0.119789,1.00e-04,21.8,8508
55,0,0.120313,1.00e-04,22.2,8508
56,0,0.349846,1.00e-04,22.6,8508
57,0,0.340861,1.00e-04,23.0,8508
58,0,0.281171,1.00e-04,23.3,8508
59,0,0.355065,1.00e-04,23.7,8508
60,0,0.074519,1.00e-04,24.0,8508
61,0,0.140301,1.00e-04,24.4,8508
62,0,0.442843,1.00e-04,24.7,8508
63,0,0.174728,1.00e-04,25.1,8508
64,0,0.260187,1.00e-04,25.4,8508
65,0,0.247724,1.00e-04,25.8,8508
66,0,0.117191,1.00e-04,26.1,8508
67,0,0.228670,1.00e-04,26.5,8508
68,0,0.135669,1.00e-04,26.9,8508
69,0,0.104687,1.00e-04,27.2,8508
70,0,0.355689,1.00e-04,27.5,8508
71,0,0.321207,1.00e-04,27.9,8508
72,0,0.181390,1.00e-04,28.2,8508
73,0,0.056821,1.00e-04,28.6,8508
74,0,0.315396,1.00e-04,29.0,8508
75,0,0.100153,1.00e-04,29.3,8508
76,0,0.011080,1.00e-04,29.7,8508
77,0,0.216479,1.00e-04,30.0,8508
78,0,0.335786,1.00e-04,30.4,8508
79,0,0.389894,1.00e-04,30.7,8508
80,0,0.338966,1.00e-04,31.1,8508
81,0,0.189631,1.00e-04,31.5,8508
82,0,0.147719,1.00e-04,31.8,8508
83,0,0.465170,1.00e-04,32.2,8508
84,0,0.004512,1.00e-04,32.6,8508
85,0,0.212383,1.00e-04,32.9,8508
86,0,0.107986,1.00e-04,33.3,8508
87,0,0.203811,1.00e-04,33.6,8508
88,0,0.167164,1.00e-04,34.0,8508
89,0,0.403819,1.00e-04,34.4,8508
