step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.220274,1.00e-04,2.9,8463
2,0,0.158796,1.00e-04,3.3,8482
3,0,0.020007,1.00e-04,3.6,8482
4,0,0.342432,1.00e-04,4.1,8482
5,0,0.096078,1.00e-04,4.4,8495
6,0,0.455549,1.00e-04,4.8,8508
7,0,0.023006,1.00e-04,5.1,8508
8,0,0.229708,1.00e-04,5.5,8508
9,0,0.105673,1.00e-04,5.8,8508
10,0,0.027958,1.00e-04,6.2,8508
11,0,0.025298,1.00e-04,6.5,8508
12,0,0.075220,1.00e-04,6.9,8508
13,0,0.123807,1.00e-04,7.2,8508
14,0,0.074116,1.00e-04,7.6,8508
15,0,0.009063,1.00e-04,7.9,8508
16,0,0.025324,1.00e-04,8.3,8508
17,0,0.206078,1.00e-04,8.6,8508
18,0,0.006881,1.00e-04,9.0,8508
19,0,0.187957,1.00e-04,9.3,8508
20,0,0.126925,1.00e-04,9.6,8508
21,0,0.291831,1.00e-04,10.0,8508
22,0,0.213040,1.00e-04,10.3,8508
23,0,0.070485,1.00e-04,10.7,8508
24,0,0.135808,1.00e-04,11.1,8508
25,0,0.007682,1.00e-04,11.4,8508
26,0,0.133913,1.00e-04,11.8,8508
27,0,0.356779,1.00e-04,12.1,8508
28,0,0.017667,1.00e-04,12.5,8508
29,0,0.458843,1.00e-04,12.9,8508
30,0,0.142781,1.00e-04,13.2,8508
31,0,0.185236,1.00e-04,13.6,8508
32,0,0.133413,1.00e-04,14.0,8508
33,0,0.363566,1.00e-04,14.3,8508
34,0,0.075173,1.00e-04,14.6,8508
35,0,0.140065,1.00e-04,15.0,8508
36,0,0.398403,1.00e-04,15.3,8508
37,0,0.406397,1.00e-04,15.7,8508
38,0,0.057828,1.00e-04,16.1,8508
39,0,0.039384,1.00e-04,16.5,8508
40,0,0.224286,1.00e-04,16.8,8508
41,0,0.074802,1.00e-04,17.2,8508
42,0,0.133463,1.00e-04,17.5,8508
43,0,0.128275,1.00e-04,17.9,8508
44,0,0.279133,1.00e-04,18.2,8508
45,0,0.043492,1.00e-04,18.6,8508
46,0,0.114137,1.00e-04,18.9,8508
47,0,0.466008,1.00e-04,19.3,8508
48,0,0.071120,1.00e-04,19.7,8508
49,0,0.020837,1.00e-04,20.0,8508
50,0,0.013505,1.00e-04,20.4,8508
51,0,0.107020,1.00e-04,20.7,8508
52,0,0.017533,1.00e-04,21.1,8508
53,0,0.044795,1.00e-04,21.4,8508
54,0,0.265220,1.00e-04,21.8,8508
55,0,0.006432,1.00e-04,22.1,8508
56,0,0.207197,1.00e-04,22.5,8508
57,0,0.384409,1.00e-04,22.8,8508
58,0,0.039102,1.00e-04,23.2,8508
59,0,0.053998,1.00e-04,23.6,8508
60,0,0.032036,1.00e-04,23.9,8508
61,0,0.110255,1.00e-04,24.3,8508
62,0,0.481405,1.00e-04,24.6,8508
63,0,0.334188,1.00e-04,25.0,8508
64,0,0.083216,1.00e-04,25.3,8508
65,0,0.013023,1.00e-04,25.7,8508
66,0,0.171363,1.00e-04,26.0,8508
67,0,0.335372,1.00e-04,26.4,8508
68,0,0.255285,1.00e-04,26.7,8508
69,0,0.012003,1.00e-04,27.1,8508
70,0,0.293478,1.00e-04,27.4,8508
71,0,0.101743,1.00e-04,27.8,8508
72,0,0.240248,1.00e-04,28.1,8508
73,0,0.306036,1.00e-04,28.5,8508
74,0,0.088526,1.00e-04,28.8,8508
