step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.192795,2.00e-05,3.0,8463
2,0,0.321014,2.00e-05,3.4,8482
3,0,0.188752,2.00e-05,3.7,8482
4,0,0.195223,2.00e-05,4.1,8482
5,0,0.122205,2.00e-05,4.5,8495
6,0,0.076417,2.00e-05,4.9,8508
7,0,0.005133,2.00e-05,5.3,8508
8,0,0.314720,2.00e-05,5.6,8508
9,0,0.097286,2.00e-05,6.0,8508
10,0,0.282463,2.00e-05,6.3,8508
11,0,0.277677,2.00e-05,6.7,8508
12,0,0.309068,2.00e-05,7.1,8508
13,0,0.152050,2.00e-05,7.4,8508
14,0,0.503576,2.00e-05,7.8,8508
15,0,0.015276,2.00e-05,8.2,8508
16,0,0.186510,2.00e-05,8.5,8508
17,0,0.279384,2.00e-05,8.9,8508
18,0,0.109617,2.00e-05,9.3,8508
19,0,0.004608,2.00e-05,9.6,8508
20,0,0.316313,2.00e-05,10.0,8508
21,0,0.118068,2.00e-05,10.4,8508
22,0,0.033798,2.00e-05,10.7,8508
23,0,0.219119,2.00e-05,11.1,8508
24,0,0.533543,2.00e-05,11.5,8508
25,0,0.366272,2.00e-05,11.8,8508
26,0,0.157747,2.00e-05,12.2,8508
27,0,0.191642,2.00e-05,12.5,8508
28,0,0.267122,2.00e-05,12.9,8508
29,0,0.209058,2.00e-05,13.3,8508
30,0,0.098441,2.00e-05,13.6,8508
31,0,0.159200,2.00e-05,14.1,8508
32,0,0.149879,2.00e-05,14.5,8508
33,0,0.401588,2.00e-05,14.8,8508
34,0,0.134802,2.00e-05,15.2,8508
35,0,0.125170,2.00e-05,15.5,8508
36,0,0.102484,2.00e-05,15.9,8508
37,0,0.060890,2.00e-05,16.3,8508
38,0,0.430827,2.00e-05,16.7,8508
39,1,0.476942,2.00e-05,17.0,8508
40,1,0.154177,2.00e-05,17.4,8508
41,1,0.187001,2.00e-05,17.8,8508
42,1,0.196347,2.00e-05,18.1,8508
43,1,0.396748,2.00e-05,18.5,8508
44,1,0.133865,2.00e-05,18.8,8508
45,1,0.018329,2.00e-05,19.2,8508
46,1,0.176058,2.00e-05,19.6,8508
47,1,0.077135,2.00e-05,19.9,8508
