step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.109145,1.00e-04,2.8,7220
2,0,0.023569,1.00e-04,3.2,7236
3,0,0.338167,1.00e-04,3.4,7236
4,0,0.109521,1.00e-04,3.8,7236
5,0,0.264143,1.00e-04,4.1,7242
6,0,0.036118,1.00e-04,4.4,7249
7,1,0.113987,1.00e-04,4.7,7249
8,1,0.016021,1.00e-04,5.0,7249
9,1,0.084147,1.00e-04,5.3,7249
10,1,0.031263,1.00e-04,5.7,7249
11,1,0.100563,1.00e-04,6.0,7249
12,1,0.072565,1.00e-04,6.2,7249
13,2,0.068114,1.00e-04,6.6,7249
14,2,0.703634,1.00e-04,6.9,7249
15,2,0.123716,1.00e-04,7.2,7249
16,2,0.013849,1.00e-04,7.5,7249
17,2,0.004178,1.00e-04,7.8,7249
18,2,0.468132,1.00e-04,8.1,7249
19,3,0.062001,1.00e-04,8.4,7249
20,3,0.097606,1.00e-04,8.7,7249
21,3,0.212060,1.00e-04,9.0,7249
22,3,0.211591,1.00e-04,9.3,7249
23,3,0.270633,1.00e-04,9.7,7249
24,3,0.222013,1.00e-04,10.0,7249
25,4,0.115873,1.00e-04,10.3,7249
26,4,0.021186,1.00e-04,10.6,7249
27,4,0.255908,1.00e-04,10.9,7249
28,4,0.007802,1.00e-04,11.2,7249
29,4,0.488717,1.00e-04,11.5,7249
30,4,0.208921,1.00e-04,11.8,7249
31,5,0.488464,1.00e-04,12.1,7249
32,5,0.458024,1.00e-04,12.4,7249
33,5,0.631938,1.00e-04,12.7,7249
34,5,0.193506,1.00e-04,13.1,7249
35,5,0.155221,1.00e-04,13.4,7249
36,5,0.396058,1.00e-04,13.6,7249
37,6,0.078106,1.00e-04,14.0,7249
38,6,0.202883,1.00e-04,14.3,7249
39,6,0.438798,1.00e-04,14.6,7249
40,6,0.760252,1.00e-04,14.9,7249
41,6,0.007698,1.00e-04,15.3,7249
42,6,0.058981,1.00e-04,15.6,7249
43,7,0.012390,1.00e-04,15.9,7249
44,7,0.087350,1.00e-04,16.2,7249
45,7,0.012005,1.00e-04,16.5,7249
46,7,0.183244,1.00e-04,16.8,7249
47,7,0.058170,1.00e-04,17.1,7249
48,7,0.230956,1.00e-04,17.4,7249
49,8,0.194575,1.00e-04,17.7,7249
50,8,0.077999,1.00e-04,18.1,7249
51,8,0.063750,1.00e-04,18.4,7249
52,8,0.176494,1.00e-04,18.7,7249
53,8,0.019979,1.00e-04,19.0,7249
54,8,0.006981,1.00e-04,19.2,7249
55,9,0.056549,1.00e-04,19.6,7249
56,9,0.334376,1.00e-04,19.9,7249
57,9,0.024485,1.00e-04,20.2,7249
58,9,0.159778,1.00e-04,20.5,7249
59,9,0.010130,1.00e-04,20.9,7249
60,9,0.093704,1.00e-04,21.2,7249
61,10,0.031461,1.00e-04,21.6,7249
62,10,0.390572,1.00e-04,21.9,7249
63,10,0.008462,1.00e-04,22.2,7249
64,10,0.068014,1.00e-04,22.5,7249
65,10,0.438623,1.00e-04,22.8,7249
66,10,0.022470,1.00e-04,23.1,7249
67,11,0.122511,1.00e-04,23.4,7249
68,11,0.105914,1.00e-04,23.7,7249
69,11,0.590273,1.00e-04,24.1,7249
70,11,0.433203,1.00e-04,24.4,7249
71,11,0.416763,1.00e-04,24.7,7249
72,11,0.643247,1.00e-04,25.0,7249
73,12,0.229340,1.00e-04,25.3,7249
74,12,0.225974,1.00e-04,25.6,7249
75,12,0.280983,1.00e-04,25.9,7249
76,12,0.018088,1.00e-04,26.2,7249
77,12,0.018452,1.00e-04,26.6,7249
78,12,0.034975,1.00e-04,26.8,7249
79,13,0.140419,1.00e-04,27.2,7249
80,13,0.019581,1.00e-04,27.5,7249
81,13,0.044942,1.00e-04,27.8,7249
82,13,0.016369,1.00e-04,28.1,7249
83,13,0.031104,1.00e-04,28.5,7249
84,13,0.159066,1.00e-04,28.7,7249
85,14,0.047425,1.00e-04,29.1,7249
86,14,0.421594,1.00e-04,29.4,7249
87,14,0.194839,1.00e-04,29.8,7249
88,14,0.054192,1.00e-04,30.0,7249
89,14,0.017858,1.00e-04,30.3,7249
90,14,0.006479,1.00e-04,30.6,7249
91,15,0.016200,1.00e-04,31.0,7249
92,15,0.078553,1.00e-04,31.3,7249
93,15,0.290644,1.00e-04,31.6,7249
94,15,0.006908,1.00e-04,31.9,7249
95,15,0.003795,1.00e-04,32.2,7249
96,15,0.024389,1.00e-04,32.4,7249
97,16,0.196515,1.00e-04,32.8,7249
98,16,0.219717,1.00e-04,33.1,7249
99,16,0.651633,1.00e-04,33.4,7249
100,16,0.053795,1.00e-04,33.7,7249
101,16,0.002871,1.00e-04,34.1,7249
102,16,0.024729,1.00e-04,34.3,7249
103,17,0.004204,1.00e-04,34.7,7249
104,17,0.275156,1.00e-04,35.0,7249
105,17,0.146773,1.00e-04,35.3,7249
106,17,0.255140,1.00e-04,35.6,7249
107,17,0.081500,1.00e-04,35.9,7249
108,17,0.018558,1.00e-04,36.2,7249
109,18,0.009165,1.00e-04,36.5,7249
110,18,0.095316,1.00e-04,36.8,7249
111,18,0.003206,1.00e-04,37.1,7249
112,18,0.187813,1.00e-04,37.4,7249
