step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.761401,1.00e-04,2.8,7220
2,0,0.727517,1.00e-04,3.2,7236
3,0,0.451643,1.00e-04,3.5,7236
4,0,0.248129,1.00e-04,3.8,7236
5,0,0.091246,1.00e-04,4.2,7242
6,0,0.078248,1.00e-04,4.5,7249
7,0,0.158653,1.00e-04,4.9,7249
8,0,0.289240,1.00e-04,5.3,7249
9,0,0.290248,1.00e-04,5.6,7249
10,0,0.094016,1.00e-04,5.9,7249
11,0,0.014108,1.00e-04,6.2,7249
12,0,0.183177,1.00e-04,6.6,7249
13,0,0.025066,1.00e-04,6.8,7249
14,0,0.004968,1.00e-04,7.2,7249
15,0,0.102849,1.00e-04,7.6,7249
16,0,0.608689,1.00e-04,7.9,7249
17,0,0.011211,1.00e-04,8.3,7249
18,0,0.017469,1.00e-04,8.6,7249
19,0,0.225174,1.00e-04,8.9,7249
20,0,0.065281,1.00e-04,9.3,7249
21,0,0.071004,1.00e-04,9.6,7249
22,0,0.347079,1.00e-04,10.0,7249
23,0,0.676915,1.00e-04,10.5,7249
24,0,0.006239,1.00e-04,10.8,7249
25,0,0.296714,1.00e-04,11.1,7249
26,0,0.003490,1.00e-04,11.4,7249
27,0,0.018122,1.00e-04,11.8,7249
28,0,0.080829,1.00e-04,12.1,7249
29,1,0.475966,1.00e-04,12.6,7249
30,1,0.342305,1.00e-04,12.9,7249
31,1,0.193680,1.00e-04,13.2,7249
32,1,0.198255,1.00e-04,13.5,7249
33,1,0.469774,1.00e-04,13.8,7249
34,1,0.152872,1.00e-04,14.2,7249
35,1,0.645316,1.00e-04,14.5,7249
36,1,0.135035,1.00e-04,14.8,7249
37,1,0.169072,1.00e-04,15.1,7249
38,1,0.003931,1.00e-04,15.4,7249
39,1,0.128339,1.00e-04,15.9,7249
40,1,0.002008,1.00e-04,16.2,7249
41,1,0.531199,1.00e-04,16.5,7249
42,1,0.055973,1.00e-04,16.9,7249
43,1,0.279470,1.00e-04,17.3,7249
44,1,0.309661,1.00e-04,17.6,7249
45,1,0.019272,1.00e-04,17.9,7249
46,1,0.060170,1.00e-04,18.2,7249
47,1,0.019018,1.00e-04,18.5,7249
48,1,0.119467,1.00e-04,18.9,7249
49,1,0.009027,1.00e-04,19.2,7249
50,1,0.489741,1.00e-04,19.5,7249
51,1,0.044561,1.00e-04,19.9,7249
52,1,0.014009,1.00e-04,20.2,7249
53,1,0.079452,1.00e-04,20.5,7249
54,1,0.087325,1.00e-04,20.9,7249
55,1,0.352709,1.00e-04,21.2,7249
56,1,0.032446,1.00e-04,21.5,7249
57,2,0.177074,1.00e-04,21.9,7249
58,2,0.098540,1.00e-04,22.2,7249
59,2,0.023515,1.00e-04,22.6,7249
60,2,0.161609,1.00e-04,22.9,7249
61,2,0.178134,1.00e-04,23.2,7249
62,2,0.096194,1.00e-04,23.5,7249
63,2,0.009711,1.00e-04,23.8,7249
64,2,0.116451,1.00e-04,24.1,7249
65,2,0.008828,1.00e-04,24.5,7249
66,2,0.454098,1.00e-04,24.9,7249
67,2,0.404216,1.00e-04,25.2,7249
68,2,0.586507,1.00e-04,25.5,7249
69,2,0.053281,1.00e-04,25.9,7249
70,2,0.015926,1.00e-04,26.2,7249
71,2,0.271333,1.00e-04,26.6,7249
72,2,0.023781,1.00e-04,26.9,7249
73,2,0.113174,1.00e-04,27.3,7249
74,2,0.020148,1.00e-04,27.6,7249
75,2,0.013612,1.00e-04,28.0,7249
76,2,0.073406,1.00e-04,28.3,7249
77,2,0.185176,1.00e-04,28.7,7249
78,2,0.635672,1.00e-04,29.0,7249
79,2,0.522844,1.00e-04,29.3,7249
80,2,0.066265,1.00e-04,29.6,7249
81,2,0.020630,1.00e-04,30.0,7249
82,2,0.076095,1.00e-04,30.3,7249
83,2,0.365286,1.00e-04,30.6,7249
84,2,0.381664,1.00e-04,30.9,7249
85,3,0.022814,1.00e-04,31.2,7249
86,3,0.032089,1.00e-04,31.5,7249
87,3,0.077809,1.00e-04,31.9,7249
88,3,0.008465,1.00e-04,32.2,7249
89,3,0.182792,1.00e-04,32.6,7249
90,3,0.612902,1.00e-04,33.0,7249
91,3,0.268437,1.00e-04,33.3,7249
92,3,0.020883,1.00e-04,33.6,7249
93,3,0.136011,1.00e-04,34.0,7249
94,3,0.019915,1.00e-04,34.4,7249
95,3,0.214179,1.00e-04,34.7,7249
96,3,0.260690,1.00e-04,35.1,7249
97,3,0.020948,1.00e-04,35.5,7249
98,3,0.046517,1.00e-04,35.8,7249
99,3,0.109519,1.00e-04,36.1,7249
100,3,0.242760,1.00e-04,36.5,7249
101,3,0.084356,1.00e-04,36.9,7249
102,3,0.082689,1.00e-04,37.3,7249
103,3,0.290316,1.00e-04,37.6,7249
104,3,0.079051,1.00e-04,37.9,7249
105,3,0.008178,1.00e-04,38.2,7249
106,3,0.044234,1.00e-04,38.5,7249
107,3,0.586341,1.00e-04,38.8,7249
108,3,0.081578,1.00e-04,39.2,7249
109,3,0.036649,1.00e-04,39.5,7249
110,3,0.278239,1.00e-04,39.9,7249
