step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.018838,1.00e-04,2.8,7220
2,0,0.169365,1.00e-04,3.1,7236
3,0,0.009571,1.00e-04,3.4,7236
4,0,0.270194,1.00e-04,3.7,7236
5,0,0.224154,1.00e-04,4.1,7242
6,0,0.005757,1.00e-04,4.5,7249
7,0,0.039047,1.00e-04,4.8,7249
8,0,0.769064,1.00e-04,5.2,7249
9,0,0.353363,1.00e-04,5.5,7249
10,0,0.007142,1.00e-04,5.9,7249
11,0,0.338152,1.00e-04,6.2,7249
12,0,0.833497,1.00e-04,6.6,7249
13,0,0.003510,1.00e-04,6.9,7249
14,0,0.194032,1.00e-04,7.2,7249
15,0,0.352510,1.00e-04,7.6,7249
16,0,0.004794,1.00e-04,8.0,7249
17,0,0.073050,1.00e-04,8.3,7249
18,0,0.211903,1.00e-04,8.7,7249
19,0,0.010019,1.00e-04,9.1,7249
20,0,0.520853,1.00e-04,9.4,7249
21,0,0.059454,1.00e-04,9.7,7249
22,0,0.083916,1.00e-04,10.0,7249
23,0,0.070870,1.00e-04,10.4,7249
24,0,0.009854,1.00e-04,10.7,7249
25,0,0.044184,1.00e-04,11.0,7249
26,0,0.305352,1.00e-04,11.4,7249
27,0,0.033344,1.00e-04,11.7,7249
28,0,0.132389,1.00e-04,12.1,7249
29,0,0.159640,1.00e-04,12.4,7249
30,0,0.287653,1.00e-04,12.7,7249
31,1,0.530131,1.00e-04,13.0,7249
32,1,0.155158,1.00e-04,13.3,7249
33,1,0.015083,1.00e-04,13.6,7249
34,1,0.056244,1.00e-04,14.0,7249
35,1,0.223217,1.00e-04,14.2,7249
36,1,0.047726,1.00e-04,14.6,7249
37,1,0.659922,1.00e-04,15.0,7249
38,1,0.389873,1.00e-04,15.3,7249
39,1,0.003743,1.00e-04,15.6,7249
40,1,0.578313,1.00e-04,15.9,7249
41,1,0.151763,1.00e-04,16.2,7249
42,1,0.823488,1.00e-04,16.5,7249
43,1,0.133233,1.00e-04,16.9,7249
44,1,0.020680,1.00e-04,17.3,7249
45,1,0.371477,1.00e-04,17.6,7249
46,1,0.215850,1.00e-04,18.0,7249
47,1,0.290430,1.00e-04,18.4,7249
48,1,0.416362,1.00e-04,18.7,7249
49,1,0.373647,1.00e-04,19.0,7249
50,1,0.107834,1.00e-04,19.3,7249
51,1,0.017845,1.00e-04,19.6,7249
52,1,0.205464,1.00e-04,20.0,7249
53,1,0.002811,1.00e-04,20.3,7249
54,1,0.220516,1.00e-04,20.6,7249
55,1,0.002219,1.00e-04,21.0,7249
56,1,0.008745,1.00e-04,21.4,7249
57,1,0.073481,1.00e-04,21.7,7249
58,1,0.102312,1.00e-04,22.1,7249
59,1,0.165234,1.00e-04,22.4,7249
60,1,0.032065,1.00e-04,22.7,7249
61,2,0.122349,1.00e-04,23.0,7249
62,2,0.081201,1.00e-04,23.4,7249
63,2,0.787763,1.00e-04,23.7,7249
64,2,0.020748,1.00e-04,24.0,7249
65,2,0.201183,1.00e-04,24.3,7249
66,2,0.059426,1.00e-04,24.6,7249
67,2,0.041278,1.00e-04,25.0,7249
68,2,0.231242,1.00e-04,25.3,7249
69,2,0.072872,1.00e-04,25.6,7249
70,2,0.708978,1.00e-04,26.0,7249
71,2,0.084604,1.00e-04,26.3,7249
72,2,0.074794,1.00e-04,26.6,7249
73,2,0.024317,1.00e-04,26.9,7249
74,2,0.308560,1.00e-04,27.2,7249
75,2,0.271984,1.00e-04,27.6,7249
76,2,0.037800,1.00e-04,28.0,7249
77,2,0.063696,1.00e-04,28.3,7249
78,2,0.453192,1.00e-04,28.7,7249
79,2,0.118739,1.00e-04,29.0,7249
80,2,0.016237,1.00e-04,29.3,7249
81,2,0.040785,1.00e-04,29.7,7249
82,2,0.130711,1.00e-04,30.1,7249
83,2,0.099568,1.00e-04,30.5,7249
84,2,0.274907,1.00e-04,30.8,7249
85,2,0.041886,1.00e-04,31.1,7249
86,2,0.008680,1.00e-04,31.5,7249
87,2,0.858411,1.00e-04,31.9,7249
88,2,0.001926,1.00e-04,32.2,7249
89,2,0.112537,1.00e-04,32.5,7249
90,2,0.615201,1.00e-04,32.8,7249
91,3,0.031203,1.00e-04,33.2,7249
92,3,0.164344,1.00e-04,33.6,7249
93,3,0.067365,1.00e-04,33.8,7249
94,3,0.054731,1.00e-04,34.2,7249
95,3,0.228018,1.00e-04,34.5,7249
