step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.044656,2.00e-05,2.8,7220
2,0,0.098163,2.00e-05,3.1,7236
3,0,0.267414,2.00e-05,3.4,7236
4,0,0.091818,2.00e-05,3.7,7236
5,0,0.335508,2.00e-05,4.1,7242
6,0,0.013152,2.00e-05,4.4,7249
7,0,0.053040,2.00e-05,4.8,7249
8,0,0.494197,2.00e-05,5.2,7249
9,0,0.003058,2.00e-05,5.6,7249
10,0,0.261847,2.00e-05,5.8,7249
11,1,0.047053,2.00e-05,6.2,7249
12,1,0.009931,2.00e-05,6.6,7249
13,1,0.009812,2.00e-05,7.0,7249
14,1,0.379645,2.00e-05,7.4,7249
15,1,0.385847,2.00e-05,7.8,7249
16,1,0.064779,2.00e-05,8.1,7249
17,1,0.092038,2.00e-05,8.4,7249
18,1,0.029362,2.00e-05,8.7,7249
19,1,0.176703,2.00e-05,9.0,7249
20,1,0.016441,2.00e-05,9.2,7249
21,2,0.029776,2.00e-05,9.7,7249
22,2,0.180822,2.00e-05,9.9,7249
23,2,0.061349,2.00e-05,10.2,7249
24,2,0.011405,2.00e-05,10.6,7249
25,2,0.378519,2.00e-05,11.0,7249
26,2,0.015842,2.00e-05,11.3,7249
27,2,0.105413,2.00e-05,11.6,7249
28,2,0.415145,2.00e-05,11.9,7249
29,2,0.135903,2.00e-05,12.3,7249
30,2,0.564328,2.00e-05,12.6,7249
31,3,0.309117,2.00e-05,12.9,7249
32,3,0.044078,2.00e-05,13.2,7249
33,3,0.574798,2.00e-05,13.5,7249
34,3,0.017784,2.00e-05,13.9,7249
35,3,0.004032,2.00e-05,14.2,7249
36,3,0.020757,2.00e-05,14.6,7249
37,3,0.033578,2.00e-05,14.9,7249
38,3,0.038532,2.00e-05,15.3,7249
39,3,0.022343,2.00e-05,15.7,7249
40,3,0.015167,2.00e-05,16.0,7249
41,4,0.004015,2.00e-05,16.4,7249
42,4,0.005447,2.00e-05,16.8,7249
43,4,0.224004,2.00e-05,17.1,7249
44,4,0.065227,2.00e-05,17.4,7249
45,4,0.591995,2.00e-05,17.7,7249
46,4,0.038025,2.00e-05,18.0,7249
47,4,0.002188,2.00e-05,18.3,7249
48,4,0.033022,2.00e-05,18.6,7249
49,4,0.427259,2.00e-05,19.0,7249
50,4,0.083653,2.00e-05,19.3,7249
51,5,0.034483,2.00e-05,19.6,7249
52,5,0.056227,2.00e-05,19.9,7249
53,5,0.076124,2.00e-05,20.3,7249
54,5,0.032129,2.00e-05,20.7,7249
55,5,0.386308,2.00e-05,20.9,7249
56,5,0.129234,2.00e-05,21.3,7249
57,5,0.595618,2.00e-05,21.7,7249
58,5,0.487140,2.00e-05,22.0,7249
59,5,0.499525,2.00e-05,22.3,7249
60,5,0.248999,2.00e-05,22.6,7249
61,6,0.004440,2.00e-05,23.0,7249
62,6,0.035419,2.00e-05,23.4,7249
63,6,0.127043,2.00e-05,23.8,7249
64,6,0.304058,2.00e-05,24.1,7249
65,6,0.007190,2.00e-05,24.4,7249
66,6,0.003656,2.00e-05,24.7,7249
67,6,0.086088,2.00e-05,25.0,7249
68,6,0.198430,2.00e-05,25.3,7249
69,6,0.231686,2.00e-05,25.6,7249
70,6,0.011304,2.00e-05,25.9,7249
71,7,0.150785,2.00e-05,26.3,7249
72,7,0.004617,2.00e-05,26.6,7249
73,7,0.033878,2.00e-05,26.8,7249
74,7,0.019530,2.00e-05,27.2,7249
75,7,0.143360,2.00e-05,27.6,7249
76,7,0.458561,2.00e-05,27.9,7249
77,7,0.011511,2.00e-05,28.3,7249
78,7,0.090354,2.00e-05,28.6,7249
79,7,0.031591,2.00e-05,28.8,7249
80,7,0.002079,2.00e-05,29.1,7249
81,8,0.050197,2.00e-05,29.5,7249
82,8,0.004448,2.00e-05,29.8,7249
83,8,0.226311,2.00e-05,30.1,7249
84,8,0.021790,2.00e-05,30.5,7249
85,8,0.918952,2.00e-05,30.9,7249
86,8,0.007817,2.00e-05,31.2,7249
87,8,0.004409,2.00e-05,31.5,7249
88,8,0.161232,2.00e-05,31.9,7249
89,8,0.683004,2.00e-05,32.2,7249
90,8,0.199409,2.00e-05,32.5,7249
91,9,0.083640,2.00e-05,32.8,7249
92,9,0.016774,2.00e-05,33.2,7249
93,9,0.217985,2.00e-05,33.5,7249
94,9,0.258028,2.00e-05,33.8,7249
95,9,0.150234,2.00e-05,34.2,7249
96,9,0.002967,2.00e-05,34.6,7249
