step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.004337,1.00e-04,2.8,7220
2,0,0.027229,1.00e-04,3.1,7236
3,0,0.003493,1.00e-04,3.4,7236
4,0,0.003277,1.00e-04,3.8,7236
5,0,0.517403,1.00e-04,4.1,7242
6,0,0.667619,1.00e-04,4.4,7249
7,1,0.563546,1.00e-04,4.7,7249
8,1,0.485242,1.00e-04,5.0,7249
9,1,0.074223,1.00e-04,5.3,7249
10,1,0.252465,1.00e-04,5.6,7249
11,1,0.257650,1.00e-04,5.9,7249
12,1,0.483915,1.00e-04,6.2,7249
13,2,0.051671,1.00e-04,6.6,7249
14,2,0.006922,1.00e-04,6.9,7249
15,2,0.004326,1.00e-04,7.2,7249
16,2,0.036270,1.00e-04,7.5,7249
17,2,0.315499,1.00e-04,7.8,7249
18,2,0.009198,1.00e-04,8.0,7249
19,3,0.007037,1.00e-04,8.4,7249
20,3,0.064691,1.00e-04,8.7,7249
21,3,0.003555,1.00e-04,9.0,7249
22,3,0.017149,1.00e-04,9.3,7249
23,3,0.210710,1.00e-04,9.6,7249
24,3,0.151266,1.00e-04,9.9,7249
25,4,0.012833,1.00e-04,10.2,7249
26,4,0.745894,1.00e-04,10.5,7249
27,4,0.430394,1.00e-04,10.8,7249
28,4,0.346750,1.00e-04,11.2,7249
29,4,0.343613,1.00e-04,11.5,7249
30,4,0.024858,1.00e-04,11.7,7249
31,5,0.540822,1.00e-04,12.1,7249
32,5,0.197580,1.00e-04,12.3,7249
33,5,0.327716,1.00e-04,12.7,7249
34,5,0.191762,1.00e-04,13.0,7249
35,5,0.007659,1.00e-04,13.3,7249
36,5,0.003053,1.00e-04,13.6,7249
37,6,0.638645,1.00e-04,13.9,7249
38,6,0.203521,1.00e-04,14.3,7249
39,6,0.275443,1.00e-04,14.6,7249
40,6,0.154485,1.00e-04,14.9,7249
41,6,0.324753,1.00e-04,15.3,7249
42,6,0.317306,1.00e-04,15.5,7249
43,7,0.028561,1.00e-04,15.9,7249
44,7,0.115031,1.00e-04,16.2,7249
45,7,0.061826,1.00e-04,16.5,7249
46,7,0.212341,1.00e-04,16.8,7249
47,7,0.003076,1.00e-04,17.1,7249
48,7,0.019357,1.00e-04,17.4,7249
49,8,0.052745,1.00e-04,17.7,7249
50,8,0.088983,1.00e-04,18.0,7249
51,8,0.370556,1.00e-04,18.3,7249
52,8,0.315890,1.00e-04,18.6,7249
53,8,0.017306,1.00e-04,19.0,7249
54,8,0.153911,1.00e-04,19.3,7249
55,9,0.036575,1.00e-04,19.7,7249
56,9,0.023101,1.00e-04,20.0,7249
57,9,0.095419,1.00e-04,20.2,7249
58,9,0.008127,1.00e-04,20.6,7249
59,9,0.008949,1.00e-04,20.9,7249
60,9,0.529145,1.00e-04,21.2,7249
61,10,0.150777,1.00e-04,21.5,7249
62,10,0.149006,1.00e-04,21.9,7249
63,10,0.015469,1.00e-04,22.2,7249
64,10,0.397477,1.00e-04,22.5,7249
65,10,0.402727,1.00e-04,22.8,7249
66,10,0.116962,1.00e-04,23.0,7249
67,11,0.020463,1.00e-04,23.4,7249
68,11,0.159510,1.00e-04,23.7,7249
69,11,0.013136,1.00e-04,24.0,7249
70,11,0.140929,1.00e-04,24.3,7249
71,11,0.055888,1.00e-04,24.6,7249
72,11,0.120658,1.00e-04,24.9,7249
73,12,0.557437,1.00e-04,25.3,7249
74,12,0.049705,1.00e-04,25.6,7249
75,12,0.040235,1.00e-04,25.9,7249
76,12,0.012430,1.00e-04,26.3,7249
77,12,0.033168,1.00e-04,26.6,7249
78,12,0.202615,1.00e-04,26.8,7249
79,13,0.046522,1.00e-04,27.2,7249
80,13,0.007810,1.00e-04,27.5,7249
81,13,0.004062,1.00e-04,27.8,7249
82,13,0.213754,1.00e-04,28.1,7249
83,13,0.022849,1.00e-04,28.4,7249
84,13,0.212389,1.00e-04,28.7,7249
85,14,0.049002,1.00e-04,29.0,7249
86,14,0.069454,1.00e-04,29.3,7249
87,14,0.277217,1.00e-04,29.6,7249
88,14,0.101676,1.00e-04,29.9,7249
89,14,0.165182,1.00e-04,30.2,7249
90,14,0.021259,1.00e-04,30.5,7249
91,15,0.142385,1.00e-04,30.8,7249
92,15,0.073023,1.00e-04,31.1,7249
93,15,0.096015,1.00e-04,31.5,7249
94,15,0.143630,1.00e-04,31.8,7249
95,15,0.062441,1.00e-04,32.1,7249
96,15,0.048940,1.00e-04,32.4,7249
97,16,0.555874,1.00e-04,32.8,7249
98,16,0.264590,1.00e-04,33.1,7249
99,16,0.141239,1.00e-04,33.4,7249
100,16,0.182769,1.00e-04,33.7,7249
101,16,0.121494,1.00e-04,34.1,7249
102,16,0.124242,1.00e-04,34.3,7249
103,17,0.182377,1.00e-04,34.7,7249
104,17,0.005884,1.00e-04,35.0,7249
105,17,0.009124,1.00e-04,35.4,7249
106,17,0.360039,1.00e-04,35.7,7249
107,17,0.004350,1.00e-04,36.0,7249
108,17,0.113352,1.00e-04,36.3,7249
109,18,0.686501,1.00e-04,36.6,7249
110,18,0.166028,1.00e-04,36.9,7249
111,18,0.085110,1.00e-04,37.2,7249
112,18,0.155000,1.00e-04,37.6,7249
113,18,0.006361,1.00e-04,37.9,7249
114,18,0.026645,1.00e-04,38.1,7249
115,19,0.288831,1.00e-04,38.5,7249
116,19,0.133925,1.00e-04,38.8,7249
117,19,0.116243,1.00e-04,39.1,7249
118,19,0.048086,1.00e-04,39.4,7249
119,19,0.098809,1.00e-04,39.7,7249
120,19,0.364814,1.00e-04,40.0,7249
121,20,0.054528,1.00e-04,40.3,7249
122,20,0.120635,1.00e-04,40.7,7249
123,20,0.086443,1.00e-04,41.0,7249
124,20,0.248020,1.00e-04,41.4,7249
125,20,0.123256,1.00e-04,41.7,7249
126,20,0.016233,1.00e-04,42.0,7249
127,21,0.046838,1.00e-04,42.4,7249
128,21,0.374176,1.00e-04,42.7,7249
129,21,0.002195,1.00e-04,43.0,7249
130,21,0.002907,1.00e-04,43.3,7249
131,21,0.050096,1.00e-04,43.6,7249
132,21,0.013697,1.00e-04,43.8,7249
133,22,0.168154,1.00e-04,44.2,7249
134,22,0.026359,1.00e-04,44.5,7249
135,22,0.029306,1.00e-04,44.8,7249
136,22,0.003039,1.00e-04,45.2,7249
137,22,0.048832,1.00e-04,45.6,7249
138,22,0.062411,1.00e-04,45.8,7249
139,23,0.222041,1.00e-04,46.1,7249
140,23,0.008025,1.00e-04,46.5,7249
141,23,0.243507,1.00e-04,46.8,7249
142,23,0.227313,1.00e-04,47.1,7249
143,23,0.145638,1.00e-04,47.4,7249
144,23,0.252033,1.00e-04,47.7,7249
145,24,0.009075,1.00e-04,48.0,7249
146,24,0.005354,1.00e-04,48.3,7249
147,24,0.141015,1.00e-04,48.6,7249
148,24,0.188324,1.00e-04,48.9,7249
149,24,0.015664,1.00e-04,49.3,7249
150,24,0.035482,1.00e-04,49.5,7249
151,25,0.019916,1.00e-04,49.8,7249
152,25,0.113390,1.00e-04,50.1,7249
153,25,0.275128,1.00e-04,50.5,7249
154,25,0.492207,1.00e-04,50.8,7249
155,25,0.093524,1.00e-04,51.2,7249
156,25,0.310816,1.00e-04,51.4,7249
157,26,0.003658,1.00e-04,51.8,7249
158,26,0.242691,1.00e-04,52.1,7249
159,26,0.004810,1.00e-04,52.4,7249
160,26,0.004052,1.00e-04,52.7,7249
161,26,0.487180,1.00e-04,53.0,7249
162,26,0.026637,1.00e-04,53.3,7249
163,27,0.298131,1.00e-04,53.6,7249
164,27,0.207991,1.00e-04,53.9,7249
165,27,0.006086,1.00e-04,54.2,7249
166,27,0.012315,1.00e-04,54.5,7249
167,27,0.510545,1.00e-04,54.9,7249
168,27,0.010432,1.00e-04,55.1,7249
169,28,0.034164,1.00e-04,55.5,7249
170,28,0.056240,1.00e-04,55.8,7249
171,28,0.318605,1.00e-04,56.1,7249
172,28,0.126854,1.00e-04,56.4,7249
173,28,0.654953,1.00e-04,56.8,7249
174,28,0.037366,1.00e-04,57.0,7249
175,29,0.437443,1.00e-04,57.4,7249
176,29,0.017168,1.00e-04,57.7,7249
177,29,0.005104,1.00e-04,58.0,7249
178,29,0.026334,1.00e-04,58.3,7249
179,29,0.002405,1.00e-04,58.6,7249
180,29,0.135766,1.00e-04,58.9,7249
181,30,0.017572,1.00e-04,59.2,7249
182,30,0.036106,1.00e-04,59.6,7249
183,30,0.181869,1.00e-04,59.9,7249
184,30,0.045301,1.00e-04,60.3,7249
185,30,0.265037,1.00e-04,60.6,7249
186,30,0.004879,1.00e-04,60.8,7249
187,31,0.495923,1.00e-04,61.2,7249
188,31,0.119161,1.00e-04,61.5,7249
189,31,0.163700,1.00e-04,61.8,7249
190,31,0.359815,1.00e-04,62.1,7249
191,31,0.081102,1.00e-04,62.4,7249
192,31,0.439303,1.00e-04,62.7,7249
193,32,0.073820,1.00e-04,63.0,7249
194,32,0.403459,1.00e-04,63.4,7249
