step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.069431,2.00e-05,2.8,7220
2,0,0.138436,2.00e-05,3.1,7236
3,0,0.203526,2.00e-05,3.5,7236
4,1,0.142789,2.00e-05,3.9,7242
5,1,0.351451,2.00e-05,4.2,7249
6,1,0.012739,2.00e-05,4.5,7249
7,2,0.051033,2.00e-05,4.8,7249
8,2,0.279515,2.00e-05,5.1,7249
9,2,0.003559,2.00e-05,5.4,7249
10,3,0.290406,2.00e-05,5.8,7249
11,3,0.049955,2.00e-05,6.1,7249
12,3,0.007610,2.00e-05,6.3,7249
13,4,0.007963,2.00e-05,6.7,7249
14,4,0.355226,2.00e-05,7.0,7249
15,4,0.406669,2.00e-05,7.2,7249
16,5,0.041039,2.00e-05,7.6,7249
17,5,0.135520,2.00e-05,7.9,7249
18,5,0.042963,2.00e-05,8.2,7249
19,6,0.240197,2.00e-05,8.5,7249
20,6,0.022527,2.00e-05,8.9,7249
21,6,0.021790,2.00e-05,9.2,7249
22,7,0.216125,2.00e-05,9.5,7249
23,7,0.053860,2.00e-05,9.8,7249
24,7,0.015079,2.00e-05,10.1,7249
25,8,0.236672,2.00e-05,10.5,7249
26,8,0.017093,2.00e-05,10.8,7249
27,8,0.152613,2.00e-05,11.0,7249
28,9,0.492246,2.00e-05,11.4,7249
29,9,0.202067,2.00e-05,11.7,7249
30,9,0.410225,2.00e-05,12.0,7249
31,10,0.374894,2.00e-05,12.4,7249
32,10,0.040302,2.00e-05,12.7,7249
33,10,0.695009,2.00e-05,12.9,7249
34,11,0.014531,2.00e-05,13.3,7249
35,11,0.004965,2.00e-05,13.6,7249
36,11,0.023872,2.00e-05,13.9,7249
37,12,0.031640,2.00e-05,14.2,7249
38,12,0.062108,2.00e-05,14.5,7249
39,12,0.015250,2.00e-05,14.8,7249
40,13,0.012177,2.00e-05,15.2,7249
41,13,0.004061,2.00e-05,15.5,7249
42,13,0.005091,2.00e-05,15.8,7249
43,14,0.134092,2.00e-05,16.2,7249
44,14,0.093559,2.00e-05,16.5,7249
45,14,0.570468,2.00e-05,16.7,7249
46,15,0.055824,2.00e-05,17.1,7249
47,15,0.002443,2.00e-05,17.4,7249
48,15,0.028163,2.00e-05,17.7,7249
49,16,0.492887,2.00e-05,18.0,7249
50,16,0.052960,2.00e-05,18.3,7249
51,16,0.046092,2.00e-05,18.6,7249
52,17,0.085931,2.00e-05,19.0,7249
53,17,0.104066,2.00e-05,19.3,7249
54,17,0.022411,2.00e-05,19.6,7249
55,18,0.416156,2.00e-05,19.9,7249
56,18,0.192180,2.00e-05,20.3,7249
57,18,0.380780,2.00e-05,20.5,7249
58,19,0.426624,2.00e-05,20.9,7249
59,19,0.384163,2.00e-05,21.2,7249
60,19,0.376843,2.00e-05,21.5,7249
