step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.016599,1.00e-04,2.9,7220
2,0,0.195874,1.00e-04,3.2,7236
3,0,0.010244,1.00e-04,3.6,7236
4,0,0.307121,1.00e-04,3.9,7236
5,0,0.126530,1.00e-04,4.2,7242
6,0,0.007595,1.00e-04,4.5,7249
7,0,0.042786,1.00e-04,4.8,7249
8,0,0.750618,1.00e-04,5.2,7249
9,0,0.467201,1.00e-04,5.5,7249
10,0,0.006523,1.00e-04,5.9,7249
11,0,0.345776,1.00e-04,6.2,7249
12,0,0.772728,1.00e-04,6.6,7249
13,0,0.002853,1.00e-04,6.9,7249
14,0,0.360323,1.00e-04,7.3,7249
15,0,0.400031,1.00e-04,7.6,7249
16,0,0.005118,1.00e-04,7.9,7249
17,0,0.116165,1.00e-04,8.2,7249
18,0,0.395192,1.00e-04,8.5,7249
19,0,0.010647,1.00e-04,8.8,7249
20,0,0.476690,1.00e-04,9.1,7249
21,0,0.044626,1.00e-04,9.5,7249
22,0,0.069568,1.00e-04,9.9,7249
23,0,0.111615,1.00e-04,10.2,7249
24,0,0.010234,1.00e-04,10.6,7249
25,0,0.045872,1.00e-04,11.0,7249
26,0,0.398017,1.00e-04,11.4,7249
27,0,0.034637,1.00e-04,11.7,7249
28,0,0.059608,1.00e-04,12.0,7249
29,1,0.233733,1.00e-04,12.4,7249
30,1,0.214633,1.00e-04,12.7,7249
31,1,0.548786,1.00e-04,13.0,7249
32,1,0.141372,1.00e-04,13.3,7249
33,1,0.016378,1.00e-04,13.7,7249
34,1,0.087104,1.00e-04,14.0,7249
35,1,0.288314,1.00e-04,14.3,7249
36,1,0.047805,1.00e-04,14.6,7249
37,1,0.460667,1.00e-04,14.9,7249
38,1,0.475859,1.00e-04,15.3,7249
39,1,0.004775,1.00e-04,15.6,7249
40,1,0.282505,1.00e-04,15.9,7249
41,1,0.137861,1.00e-04,16.3,7249
42,1,0.534724,1.00e-04,16.7,7249
43,1,0.210701,1.00e-04,17.1,7249
44,1,0.012721,1.00e-04,17.4,7249
45,1,0.371226,1.00e-04,17.8,7249
46,1,0.276728,1.00e-04,18.2,7249
47,1,0.290434,1.00e-04,18.6,7249
48,1,0.413483,1.00e-04,19.0,7249
49,1,0.284383,1.00e-04,19.4,7249
50,1,0.226264,1.00e-04,19.8,7249
51,1,0.021431,1.00e-04,20.1,7249
52,1,0.258046,1.00e-04,20.4,7249
53,1,0.003271,1.00e-04,20.7,7249
54,1,0.280935,1.00e-04,21.0,7249
55,1,0.002052,1.00e-04,21.3,7249
56,1,0.006969,1.00e-04,21.6,7249
57,2,0.090086,1.00e-04,22.0,7249
58,2,0.152369,1.00e-04,22.4,7249
59,2,0.131249,1.00e-04,22.7,7249
60,2,0.046152,1.00e-04,23.0,7249
61,2,0.177993,1.00e-04,23.4,7249
62,2,0.062632,1.00e-04,23.8,7249
63,2,0.901676,1.00e-04,24.2,7249
64,2,0.026809,1.00e-04,24.5,7249
65,2,0.223962,1.00e-04,24.8,7249
66,2,0.037421,1.00e-04,25.1,7249
67,2,0.038790,1.00e-04,25.5,7249
68,2,0.102621,1.00e-04,25.8,7249
69,2,0.062935,1.00e-04,26.1,7249
70,2,0.680512,1.00e-04,26.4,7249
71,2,0.138135,1.00e-04,26.8,7249
72,2,0.106821,1.00e-04,27.1,7249
73,2,0.014108,1.00e-04,27.5,7249
74,2,0.411768,1.00e-04,27.8,7249
75,2,0.263886,1.00e-04,28.2,7249
76,2,0.049173,1.00e-04,28.6,7249
77,2,0.039803,1.00e-04,28.9,7249
78,2,0.565519,1.00e-04,29.2,7249
79,2,0.078231,1.00e-04,29.5,7249
80,2,0.027812,1.00e-04,29.9,7249
81,2,0.036423,1.00e-04,30.2,7249
82,2,0.096626,1.00e-04,30.5,7249
83,2,0.073546,1.00e-04,30.8,7249
84,2,0.195299,1.00e-04,31.1,7249
