step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.044983,2.00e-05,2.8,7220
2,0,0.099947,2.00e-05,3.1,7236
3,0,0.324694,2.00e-05,3.5,7236
4,0,0.121994,2.00e-05,3.9,7236
5,0,0.341919,2.00e-05,4.3,7242
6,0,0.014630,2.00e-05,4.6,7249
7,0,0.048902,2.00e-05,4.9,7249
8,0,0.321880,2.00e-05,5.2,7249
9,0,0.003126,2.00e-05,5.5,7249
10,1,0.203749,2.00e-05,5.8,7249
11,1,0.034156,2.00e-05,6.2,7249
12,1,0.009963,2.00e-05,6.5,7249
13,1,0.010090,2.00e-05,6.8,7249
14,1,0.243039,2.00e-05,7.0,7249
15,1,0.328047,2.00e-05,7.4,7249
16,1,0.056949,2.00e-05,7.7,7249
17,1,0.105811,2.00e-05,8.1,7249
18,1,0.036228,2.00e-05,8.4,7249
19,2,0.223757,2.00e-05,8.8,7249
20,2,0.019136,2.00e-05,9.1,7249
21,2,0.027432,2.00e-05,9.4,7249
22,2,0.199826,2.00e-05,9.7,7249
23,2,0.058386,2.00e-05,10.1,7249
24,2,0.013620,2.00e-05,10.4,7249
25,2,0.272213,2.00e-05,10.7,7249
26,2,0.012895,2.00e-05,11.0,7249
27,2,0.110291,2.00e-05,11.3,7249
28,3,0.489225,2.00e-05,11.8,7249
29,3,0.210835,2.00e-05,12.1,7249
30,3,0.442763,2.00e-05,12.4,7249
31,3,0.283990,2.00e-05,12.7,7249
32,3,0.058742,2.00e-05,13.0,7249
33,3,0.702241,2.00e-05,13.3,7249
34,3,0.016383,2.00e-05,13.6,7249
35,3,0.004484,2.00e-05,13.9,7249
36,3,0.019395,2.00e-05,14.2,7249
37,4,0.023070,2.00e-05,14.5,7249
38,4,0.041676,2.00e-05,14.8,7249
39,4,0.016528,2.00e-05,15.1,7249
40,4,0.013687,2.00e-05,15.5,7249
41,4,0.003634,2.00e-05,15.8,7249
42,4,0.005110,2.00e-05,16.2,7249
43,4,0.224024,2.00e-05,16.5,7249
44,4,0.057910,2.00e-05,16.8,7249
45,4,0.515819,2.00e-05,17.1,7249
46,5,0.035155,2.00e-05,17.5,7249
47,5,0.002477,2.00e-05,17.8,7249
48,5,0.030731,2.00e-05,18.1,7249
49,5,0.471297,2.00e-05,18.4,7249
50,5,0.056527,2.00e-05,18.7,7249
51,5,0.034787,2.00e-05,19.0,7249
52,5,0.059577,2.00e-05,19.3,7249
53,5,0.076921,2.00e-05,19.7,7249
54,5,0.034709,2.00e-05,19.9,7249
55,6,0.382704,2.00e-05,20.3,7249
56,6,0.125437,2.00e-05,20.6,7249
57,6,0.555305,2.00e-05,20.9,7249
58,6,0.363814,2.00e-05,21.3,7249
59,6,0.588391,2.00e-05,21.6,7249
60,6,0.253781,2.00e-05,21.9,7249
61,6,0.004691,2.00e-05,22.2,7249
62,6,0.024953,2.00e-05,22.6,7249
63,6,0.121463,2.00e-05,22.8,7249
64,7,0.249289,2.00e-05,23.3,7249
65,7,0.008546,2.00e-05,23.6,7249
66,7,0.003437,2.00e-05,23.9,7249
67,7,0.081853,2.00e-05,24.2,7249
68,7,0.150611,2.00e-05,24.5,7249
69,7,0.228282,2.00e-05,24.8,7249
70,7,0.013684,2.00e-05,25.2,7249
71,7,0.130966,2.00e-05,25.5,7249
72,7,0.004660,2.00e-05,25.8,7249
73,8,0.037133,2.00e-05,26.1,7249
74,8,0.018365,2.00e-05,26.5,7249
75,8,0.142806,2.00e-05,26.8,7249
76,8,0.281254,2.00e-05,27.1,7249
77,8,0.011103,2.00e-05,27.4,7249
78,8,0.091745,2.00e-05,27.9,7249
79,8,0.043477,2.00e-05,28.1,7249
80,8,0.001956,2.00e-05,28.5,7249
81,8,0.042151,2.00e-05,28.7,7249
82,9,0.004233,2.00e-05,29.0,7249
83,9,0.259177,2.00e-05,29.4,7249
84,9,0.027889,2.00e-05,29.7,7249
85,9,0.876871,2.00e-05,30.0,7249
86,9,0.007638,2.00e-05,30.4,7249
87,9,0.003256,2.00e-05,30.8,7249
88,9,0.231756,2.00e-05,31.1,7249
89,9,0.629898,2.00e-05,31.4,7249
90,9,0.189244,2.00e-05,31.7,7249
91,10,0.077573,2.00e-05,32.0,7249
92,10,0.015715,2.00e-05,32.3,7249
93,10,0.141027,2.00e-05,32.6,7249
94,10,0.349760,2.00e-05,33.0,7249
95,10,0.196118,2.00e-05,33.4,7249
96,10,0.003247,2.00e-05,33.7,7249
97,10,0.047585,2.00e-05,34.0,7249
98,10,0.005919,2.00e-05,34.3,7249
99,10,0.061155,2.00e-05,34.6,7249
100,11,0.246809,2.00e-05,35.0,7249
101,11,0.049137,2.00e-05,35.3,7249
102,11,0.355378,2.00e-05,35.6,7249
103,11,0.281028,2.00e-05,35.9,7249
104,11,0.113121,2.00e-05,36.3,7249
105,11,0.004976,2.00e-05,36.6,7249
106,11,0.350573,2.00e-05,37.0,7249
107,11,0.373377,2.00e-05,37.3,7249
108,11,0.337750,2.00e-05,37.6,7249
109,12,0.012520,2.00e-05,37.9,7249
110,12,0.178030,2.00e-05,38.1,7249
111,12,0.129679,2.00e-05,38.4,7249
112,12,0.009131,2.00e-05,38.7,7249
113,12,0.600525,2.00e-05,39.1,7249
114,12,0.044222,2.00e-05,39.4,7249
115,12,0.017208,2.00e-05,39.8,7249
116,12,0.316649,2.00e-05,40.2,7249
117,12,0.115334,2.00e-05,40.4,7249
118,13,0.002677,2.00e-05,40.8,7249
119,13,0.012497,2.00e-05,41.1,7249
120,13,0.069557,2.00e-05,41.4,7249
121,13,0.231940,2.00e-05,41.7,7249
122,13,0.142830,2.00e-05,42.1,7249
123,13,0.093793,2.00e-05,42.5,7249
124,13,0.158753,2.00e-05,42.8,7249
125,13,0.043292,2.00e-05,43.0,7249
126,13,0.015273,2.00e-05,43.3,7249
127,14,0.287778,2.00e-05,43.6,7249
128,14,0.196490,2.00e-05,43.9,7249
129,14,0.088995,2.00e-05,44.3,7249
130,14,0.708827,2.00e-05,44.6,7249
131,14,0.110378,2.00e-05,44.9,7249
132,14,0.062580,2.00e-05,45.3,7249
133,14,0.161176,2.00e-05,45.7,7249
134,14,0.240110,2.00e-05,46.0,7249
135,14,0.200298,2.00e-05,46.3,7249
136,15,0.014519,2.00e-05,46.7,7249
137,15,0.252090,2.00e-05,47.0,7249
138,15,0.126329,2.00e-05,47.4,7249
139,15,0.184019,2.00e-05,47.8,7249
