step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.015262,2.00e-05,2.6,7220
2,0,0.167383,2.00e-05,2.9,7236
3,0,0.008096,2.00e-05,3.3,7236
4,0,0.426138,2.00e-05,3.6,7236
5,0,0.236370,2.00e-05,3.9,7242
6,1,0.007735,2.00e-05,4.3,7242
7,1,0.035180,2.00e-05,4.5,7249
8,1,0.769688,2.00e-05,4.8,7249
9,1,0.301470,2.00e-05,5.2,7249
10,1,0.008355,2.00e-05,5.4,7249
11,2,0.261208,2.00e-05,5.7,7249
12,2,0.760337,2.00e-05,6.0,7249
13,2,0.002513,2.00e-05,6.4,7249
14,2,0.395449,2.00e-05,6.7,7249
15,2,0.276065,2.00e-05,6.9,7249
16,3,0.005106,2.00e-05,7.2,7249
17,3,0.108867,2.00e-05,7.6,7249
18,3,0.297634,2.00e-05,7.9,7249
19,3,0.008988,2.00e-05,8.2,7249
20,3,0.518103,2.00e-05,8.6,7249
21,4,0.059737,2.00e-05,8.9,7249
22,4,0.051723,2.00e-05,9.2,7249
23,4,0.075026,2.00e-05,9.5,7249
24,4,0.009354,2.00e-05,9.9,7249
25,4,0.047475,2.00e-05,10.1,7249
26,5,0.385004,2.00e-05,10.5,7249
27,5,0.025087,2.00e-05,10.8,7249
28,5,0.079417,2.00e-05,11.1,7249
29,5,0.167026,2.00e-05,11.4,7249
30,5,0.245152,2.00e-05,11.7,7249
31,6,0.566242,2.00e-05,12.0,7249
32,6,0.098570,2.00e-05,12.3,7249
33,6,0.013512,2.00e-05,12.7,7249
34,6,0.088469,2.00e-05,12.9,7249
35,6,0.307770,2.00e-05,13.2,7249
36,7,0.064186,2.00e-05,13.6,7249
37,7,0.411163,2.00e-05,13.9,7249
38,7,0.474580,2.00e-05,14.2,7249
39,7,0.004721,2.00e-05,14.5,7249
40,7,0.459721,2.00e-05,14.8,7249
41,8,0.124567,2.00e-05,15.1,7249
42,8,0.761972,2.00e-05,15.4,7249
43,8,0.141634,2.00e-05,15.7,7249
44,8,0.018628,2.00e-05,16.0,7249
45,8,0.266807,2.00e-05,16.3,7249
46,9,0.199210,2.00e-05,16.7,7249
47,9,0.324960,2.00e-05,17.0,7249
48,9,0.225283,2.00e-05,17.3,7249
