step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.058361,1.00e-04,2.9,7220
2,0,0.095209,1.00e-04,3.2,7236
3,0,0.245279,1.00e-04,3.7,7236
4,0,0.135020,1.00e-04,4.1,7236
5,0,0.312686,1.00e-04,4.4,7242
6,0,0.017136,1.00e-04,4.8,7249
7,0,0.059274,1.00e-04,5.1,7249
8,0,0.494775,1.00e-04,5.5,7249
9,0,0.003330,1.00e-04,5.8,7249
10,0,0.281583,1.00e-04,6.1,7249
11,0,0.037311,1.00e-04,6.5,7249
12,0,0.009778,1.00e-04,6.9,7249
13,0,0.005729,1.00e-04,7.2,7249
14,0,0.325067,1.00e-04,7.4,7249
15,0,0.322304,1.00e-04,7.8,7249
16,0,0.067890,1.00e-04,8.1,7249
17,0,0.085468,1.00e-04,8.4,7249
18,0,0.042517,1.00e-04,8.8,7249
19,0,0.246238,1.00e-04,9.1,7249
20,0,0.017421,1.00e-04,9.6,7249
21,0,0.030675,1.00e-04,9.9,7249
22,0,0.106699,1.00e-04,10.2,7249
23,0,0.066427,1.00e-04,10.5,7249
24,0,0.014141,1.00e-04,10.8,7249
25,0,0.341231,1.00e-04,11.2,7249
26,0,0.008905,1.00e-04,11.5,7249
27,0,0.106421,1.00e-04,11.8,7249
28,0,0.315742,1.00e-04,12.2,7249
29,0,0.093446,1.00e-04,12.5,7249
30,0,0.608575,1.00e-04,12.8,7249
31,1,0.414064,1.00e-04,13.2,7249
32,1,0.063728,1.00e-04,13.5,7249
33,1,0.573004,1.00e-04,13.9,7249
34,1,0.012494,1.00e-04,14.2,7249
35,1,0.004522,1.00e-04,14.6,7249
36,1,0.023773,1.00e-04,14.9,7249
37,1,0.025445,1.00e-04,15.3,7249
38,1,0.027547,1.00e-04,15.5,7249
39,1,0.016852,1.00e-04,15.8,7249
40,1,0.014412,1.00e-04,16.1,7249
41,1,0.004119,1.00e-04,16.5,7249
42,1,0.005131,1.00e-04,16.8,7249
43,1,0.125066,1.00e-04,17.1,7249
44,1,0.066637,1.00e-04,17.4,7249
45,1,0.485294,1.00e-04,17.7,7249
46,1,0.038807,1.00e-04,18.0,7249
47,1,0.002349,1.00e-04,18.4,7249
48,1,0.046435,1.00e-04,18.7,7249
49,1,0.310786,1.00e-04,19.1,7249
50,1,0.085714,1.00e-04,19.5,7249
51,1,0.043441,1.00e-04,19.7,7249
52,1,0.052105,1.00e-04,20.1,7249
53,1,0.096784,1.00e-04,20.5,7249
54,1,0.039263,1.00e-04,20.8,7249
55,1,0.205299,1.00e-04,21.2,7249
56,1,0.164781,1.00e-04,21.5,7249
57,1,0.561212,1.00e-04,21.9,7249
58,1,0.340836,1.00e-04,22.2,7249
59,1,0.416217,1.00e-04,22.6,7249
60,1,0.363453,1.00e-04,22.8,7249
61,2,0.005124,1.00e-04,23.3,7249
62,2,0.031741,1.00e-04,23.6,7249
63,2,0.104262,1.00e-04,24.0,7249
64,2,0.145458,1.00e-04,24.3,7249
65,2,0.007598,1.00e-04,24.6,7249
66,2,0.003481,1.00e-04,24.9,7249
67,2,0.088171,1.00e-04,25.3,7249
68,2,0.224304,1.00e-04,25.6,7249
69,2,0.228498,1.00e-04,26.0,7249
70,2,0.016754,1.00e-04,26.3,7249
71,2,0.067236,1.00e-04,26.6,7249
72,2,0.005489,1.00e-04,26.9,7249
73,2,0.054635,1.00e-04,27.3,7249
74,2,0.023368,1.00e-04,27.7,7249
