step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.773114,2.00e-05,2.9,7220
2,0,0.785093,2.00e-05,3.2,7236
3,0,0.395493,2.00e-05,3.5,7236
4,0,0.259112,2.00e-05,3.9,7236
5,0,0.119471,2.00e-05,4.2,7242
6,0,0.100863,2.00e-05,4.5,7249
7,0,0.171633,2.00e-05,4.9,7249
8,0,0.289217,2.00e-05,5.2,7249
9,1,0.431122,2.00e-05,5.5,7249
10,1,0.105546,2.00e-05,5.9,7249
11,1,0.020102,2.00e-05,6.2,7249
12,1,0.258883,2.00e-05,6.5,7249
13,1,0.024755,2.00e-05,6.8,7249
14,1,0.005250,2.00e-05,7.1,7249
15,1,0.128035,2.00e-05,7.5,7249
16,1,0.670767,2.00e-05,7.8,7249
17,2,0.007640,2.00e-05,8.1,7249
18,2,0.013768,2.00e-05,8.5,7249
19,2,0.201072,2.00e-05,8.9,7249
20,2,0.097048,2.00e-05,9.3,7249
21,2,0.074434,2.00e-05,9.6,7249
22,2,0.286916,2.00e-05,9.9,7249
23,2,0.542641,2.00e-05,10.2,7249
24,2,0.005106,2.00e-05,10.5,7249
25,3,0.242865,2.00e-05,10.9,7249
26,3,0.005263,2.00e-05,11.2,7249
27,3,0.015675,2.00e-05,11.5,7249
28,3,0.057803,2.00e-05,11.9,7249
29,3,0.621544,2.00e-05,12.3,7249
30,3,0.332085,2.00e-05,12.6,7249
31,3,0.177635,2.00e-05,12.9,7249
32,3,0.162093,2.00e-05,13.2,7249
33,4,0.531021,2.00e-05,13.6,7249
34,4,0.248439,2.00e-05,13.9,7249
35,4,0.580037,2.00e-05,14.3,7249
36,4,0.337001,2.00e-05,14.6,7249
37,4,0.206085,2.00e-05,14.9,7249
38,4,0.003572,2.00e-05,15.3,7249
39,4,0.226065,2.00e-05,15.5,7249
40,4,0.002356,2.00e-05,15.8,7249
41,5,0.584421,2.00e-05,16.3,7249
42,5,0.051265,2.00e-05,16.7,7249
43,5,0.327634,2.00e-05,17.0,7249
44,5,0.310625,2.00e-05,17.4,7249
45,5,0.021435,2.00e-05,17.7,7249
46,5,0.060698,2.00e-05,17.9,7249
47,5,0.024513,2.00e-05,18.3,7249
48,5,0.076818,2.00e-05,18.5,7249
49,6,0.007588,2.00e-05,19.0,7249
50,6,0.543326,2.00e-05,19.2,7249
51,6,0.030636,2.00e-05,19.6,7249
52,6,0.023635,2.00e-05,20.0,7249
53,6,0.083877,2.00e-05,20.3,7249
54,6,0.093535,2.00e-05,20.6,7249
55,6,0.222606,2.00e-05,20.9,7249
56,6,0.043661,2.00e-05,21.1,7249
57,7,0.380647,2.00e-05,21.6,7249
58,7,0.092630,2.00e-05,21.8,7249
59,7,0.020164,2.00e-05,22.3,7249
60,7,0.133875,2.00e-05,22.6,7249
61,7,0.113903,2.00e-05,22.9,7249
62,7,0.166744,2.00e-05,23.2,7249
63,7,0.011105,2.00e-05,23.6,7249
64,7,0.222430,2.00e-05,23.8,7249
65,8,0.009854,2.00e-05,24.1,7249
66,8,0.309721,2.00e-05,24.4,7249
67,8,0.236247,2.00e-05,24.8,7249
68,8,0.637545,2.00e-05,25.2,7249
69,8,0.077045,2.00e-05,25.6,7249
70,8,0.016087,2.00e-05,25.9,7249
71,8,0.448874,2.00e-05,26.2,7249
72,8,0.017805,2.00e-05,26.4,7249
73,9,0.279266,2.00e-05,26.9,7249
74,9,0.019029,2.00e-05,27.2,7249
75,9,0.012853,2.00e-05,27.6,7249
76,9,0.097550,2.00e-05,27.9,7249
77,9,0.229462,2.00e-05,28.2,7249
78,9,0.431407,2.00e-05,28.5,7249
79,9,0.386359,2.00e-05,28.8,7249
80,9,0.067434,2.00e-05,29.0,7249
81,10,0.024712,2.00e-05,29.6,7249
82,10,0.106121,2.00e-05,29.9,7249
83,10,0.454107,2.00e-05,30.2,7249
84,10,0.422945,2.00e-05,30.5,7249
85,10,0.025789,2.00e-05,30.9,7249
86,10,0.034814,2.00e-05,31.1,7249
87,10,0.056432,2.00e-05,31.4,7249
88,10,0.005979,2.00e-05,31.7,7249
89,11,0.346546,2.00e-05,32.1,7249
90,11,0.523997,2.00e-05,32.4,7249
91,11,0.411536,2.00e-05,32.7,7249
92,11,0.016539,2.00e-05,33.1,7249
93,11,0.129139,2.00e-05,33.4,7249
94,11,0.018277,2.00e-05,33.8,7249
95,11,0.239568,2.00e-05,34.1,7249
96,11,0.220703,2.00e-05,34.4,7249
97,12,0.020543,2.00e-05,34.8,7249
98,12,0.039236,2.00e-05,35.1,7249
99,12,0.109542,2.00e-05,35.4,7249
100,12,0.213081,2.00e-05,35.8,7249
101,12,0.084441,2.00e-05,36.2,7249
102,12,0.074380,2.00e-05,36.6,7249
103,12,0.278862,2.00e-05,36.8,7249
104,12,0.086889,2.00e-05,37.1,7249
105,13,0.008732,2.00e-05,37.6,7249
106,13,0.048118,2.00e-05,38.0,7249
107,13,0.581711,2.00e-05,38.3,7249
108,13,0.133214,2.00e-05,38.6,7249
109,13,0.026170,2.00e-05,38.9,7249
110,13,0.497732,2.00e-05,39.2,7249
111,13,0.224990,2.00e-05,39.5,7249
112,13,0.022119,2.00e-05,39.8,7249
113,14,0.043664,2.00e-05,40.2,7249
114,14,0.028635,2.00e-05,40.5,7249
115,14,0.278887,2.00e-05,40.8,7249
116,14,0.139608,2.00e-05,41.2,7249
117,14,0.042961,2.00e-05,41.5,7249
118,14,0.160393,2.00e-05,41.8,7249
119,14,0.042243,2.00e-05,42.2,7249
120,14,0.011713,2.00e-05,42.4,7249
121,15,0.326992,2.00e-05,42.7,7249
122,15,0.327927,2.00e-05,43.1,7249
123,15,0.439278,2.00e-05,43.4,7249
124,15,0.006675,2.00e-05,43.7,7249
125,15,0.020399,2.00e-05,44.1,7249
126,15,0.287674,2.00e-05,44.4,7249
127,15,0.002338,2.00e-05,44.8,7249
128,15,0.007098,2.00e-05,45.1,7249
129,16,0.110743,2.00e-05,45.4,7249
130,16,0.006283,2.00e-05,45.8,7249
131,16,0.029019,2.00e-05,46.1,7249
132,16,0.057251,2.00e-05,46.4,7249
133,16,0.018019,2.00e-05,46.8,7249
134,16,0.031838,2.00e-05,47.1,7249
135,16,0.016050,2.00e-05,47.5,7249
136,16,0.013162,2.00e-05,47.7,7249
137,17,0.471771,2.00e-05,48.0,7249
138,17,0.101949,2.00e-05,48.4,7249
139,17,0.194358,2.00e-05,48.7,7249
140,17,0.510951,2.00e-05,49.0,7249
141,17,0.147763,2.00e-05,49.4,7249
142,17,0.109590,2.00e-05,49.9,7249
143,17,0.016000,2.00e-05,50.1,7249
144,17,0.188939,2.00e-05,50.4,7249
145,18,0.003544,2.00e-05,50.8,7249
146,18,0.050363,2.00e-05,51.1,7249
147,18,0.083942,2.00e-05,51.4,7249
148,18,0.066116,2.00e-05,51.8,7249
149,18,0.081861,2.00e-05,52.1,7249
150,18,0.127149,2.00e-05,52.5,7249
151,18,0.348702,2.00e-05,52.8,7249
152,18,0.041552,2.00e-05,53.1,7249
153,19,0.658847,2.00e-05,53.5,7249
154,19,0.003482,2.00e-05,53.8,7249
155,19,0.055608,2.00e-05,54.1,7249
156,19,0.027071,2.00e-05,54.4,7249
157,19,0.013471,2.00e-05,54.7,7249
158,19,0.035937,2.00e-05,55.1,7249
159,19,0.071743,2.00e-05,55.5,7249
160,19,0.012702,2.00e-05,55.7,7249
161,20,0.090301,2.00e-05,56.2,7249
162,20,0.081850,2.00e-05,56.5,7249
163,20,0.159387,2.00e-05,56.8,7249
164,20,0.492849,2.00e-05,57.1,7249
165,20,0.027784,2.00e-05,57.4,7249
166,20,0.024247,2.00e-05,57.7,7249
167,20,0.040993,2.00e-05,58.1,7249
168,20,0.246913,2.00e-05,58.3,7249
169,21,0.106316,2.00e-05,58.8,7249
170,21,0.684228,2.00e-05,59.2,7249
171,21,0.329569,2.00e-05,59.5,7249
172,21,0.269715,2.00e-05,59.8,7249
173,21,0.003095,2.00e-05,60.1,7249
174,21,0.195602,2.00e-05,60.4,7249
175,21,0.026412,2.00e-05,60.7,7249
176,21,0.219945,2.00e-05,61.0,7249
177,22,0.246914,2.00e-05,61.4,7249
178,22,0.003677,2.00e-05,61.7,7249
179,22,0.306670,2.00e-05,62.0,7249
180,22,0.157648,2.00e-05,62.3,7249
181,22,0.140853,2.00e-05,62.7,7249
182,22,0.123172,2.00e-05,62.9,7249
183,22,0.316189,2.00e-05,63.4,7249
184,22,0.659155,2.00e-05,63.6,7249
185,23,0.338695,2.00e-05,64.1,7249
186,23,0.188237,2.00e-05,64.5,7249
187,23,0.035718,2.00e-05,64.8,7249
188,23,0.071383,2.00e-05,65.1,7249
189,23,0.091354,2.00e-05,65.4,7249
190,23,0.085282,2.00e-05,65.7,7249
191,23,0.011020,2.00e-05,66.0,7249
192,23,0.242330,2.00e-05,66.3,7249
193,24,0.013608,2.00e-05,66.7,7249
194,24,0.003791,2.00e-05,67.1,7249
195,24,0.041879,2.00e-05,67.3,7249
196,24,0.156973,2.00e-05,67.6,7249
197,24,0.143174,2.00e-05,68.0,7249
198,24,0.123843,2.00e-05,68.3,7249
199,24,0.086025,2.00e-05,68.6,7249
200,24,0.031026,2.00e-05,68.8,7249
201,25,0.324458,2.00e-05,69.3,7249
202,25,0.425570,2.00e-05,69.6,7249
