step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.066906,2.00e-05,2.8,7220
2,0,0.167057,2.00e-05,3.1,7236
3,1,0.360024,2.00e-05,3.5,7242
4,1,0.149847,2.00e-05,3.8,7249
5,2,0.381705,2.00e-05,4.1,7249
6,2,0.019718,2.00e-05,4.4,7249
7,3,0.055228,2.00e-05,4.7,7249
8,3,0.464747,2.00e-05,5.0,7249
9,4,0.004124,2.00e-05,5.4,7249
10,4,0.281624,2.00e-05,5.6,7249
11,5,0.058749,2.00e-05,6.0,7249
12,5,0.011230,2.00e-05,6.3,7249
13,6,0.011867,2.00e-05,6.6,7249
14,6,0.351801,2.00e-05,6.9,7249
15,7,0.428301,2.00e-05,7.3,7249
16,7,0.071032,2.00e-05,7.5,7249
17,8,0.144370,2.00e-05,7.9,7249
18,8,0.045690,2.00e-05,8.1,7249
19,9,0.219916,2.00e-05,8.5,7249
20,9,0.026617,2.00e-05,8.8,7249
21,10,0.038526,2.00e-05,9.1,7249
22,10,0.222456,2.00e-05,9.5,7249
23,11,0.103936,2.00e-05,9.8,7249
24,11,0.015304,2.00e-05,10.1,7249
25,12,0.409406,2.00e-05,10.5,7249
26,12,0.016007,2.00e-05,10.8,7249
27,13,0.175259,2.00e-05,11.1,7249
28,13,0.503368,2.00e-05,11.4,7249
29,14,0.227464,2.00e-05,11.8,7249
30,14,0.577488,2.00e-05,12.0,7249
31,15,0.384673,2.00e-05,12.4,7249
32,15,0.070869,2.00e-05,12.6,7249
33,16,0.700034,2.00e-05,13.0,7249
34,16,0.022892,2.00e-05,13.3,7249
35,17,0.005754,2.00e-05,13.7,7249
36,17,0.027090,2.00e-05,13.9,7249
37,18,0.034037,2.00e-05,14.3,7249
38,18,0.064960,2.00e-05,14.6,7249
39,19,0.025407,2.00e-05,14.9,7249
40,19,0.017768,2.00e-05,15.2,7249
41,20,0.004810,2.00e-05,15.6,7249
42,20,0.006166,2.00e-05,15.8,7249
43,21,0.250743,2.00e-05,16.2,7249
44,21,0.099193,2.00e-05,16.5,7249
45,22,0.583471,2.00e-05,16.9,7249
46,22,0.053681,2.00e-05,17.1,7249
47,23,0.002722,2.00e-05,17.5,7249
48,23,0.049995,2.00e-05,17.8,7249
49,24,0.504914,2.00e-05,18.2,7249
50,24,0.088433,2.00e-05,18.4,7249
51,25,0.053907,2.00e-05,18.8,7249
52,25,0.086235,2.00e-05,19.1,7249
53,26,0.126557,2.00e-05,19.4,7249
54,26,0.037162,2.00e-05,19.7,7249
55,27,0.414271,2.00e-05,20.1,7249
56,27,0.201658,2.00e-05,20.3,7249
57,28,0.564610,2.00e-05,20.7,7249
58,28,0.426271,2.00e-05,20.9,7249
59,29,0.564174,2.00e-05,21.3,7249
60,29,0.370971,2.00e-05,21.6,7249
61,30,0.005111,2.00e-05,22.0,7249
62,30,0.039173,2.00e-05,22.2,7249
63,31,0.135425,2.00e-05,22.6,7249
64,31,0.355802,2.00e-05,22.9,7249
65,32,0.009653,2.00e-05,23.2,7249
66,32,0.004679,2.00e-05,23.5,7249
67,33,0.137007,2.00e-05,23.8,7249
68,33,0.234762,2.00e-05,24.1,7249
69,34,0.338969,2.00e-05,24.4,7249
70,34,0.015845,2.00e-05,24.7,7249
71,35,0.170357,2.00e-05,25.1,7249
72,35,0.005631,2.00e-05,25.3,7249
73,36,0.048947,2.00e-05,25.7,7249
74,36,0.027772,2.00e-05,25.9,7249
75,37,0.185718,2.00e-05,26.3,7249
76,37,0.412384,2.00e-05,26.6,7249
77,38,0.013004,2.00e-05,27.0,7249
78,38,0.110168,2.00e-05,27.2,7249
79,39,0.049412,2.00e-05,27.6,7249
80,39,0.002735,2.00e-05,27.9,7249
81,40,0.067215,2.00e-05,28.2,7249
82,40,0.004775,2.00e-05,28.5,7249
83,41,0.290475,2.00e-05,28.9,7249
84,41,0.032053,2.00e-05,29.1,7249
85,42,0.872451,2.00e-05,29.5,7249
86,42,0.009552,2.00e-05,29.8,7249
87,43,0.004667,2.00e-05,30.1,7249
88,43,0.230262,2.00e-05,30.4,7249
89,44,0.683323,2.00e-05,30.8,7249
90,44,0.292159,2.00e-05,31.0,7249
91,45,0.122431,2.00e-05,31.4,7249
92,45,0.024176,2.00e-05,31.6,7249
93,46,0.224767,2.00e-05,32.0,7249
94,46,0.384530,2.00e-05,32.3,7249
95,47,0.234510,2.00e-05,32.6,7249
96,47,0.003163,2.00e-05,32.9,7249
97,48,0.068807,2.00e-05,33.3,7249
98,48,0.006654,2.00e-05,33.6,7249
99,49,0.105266,2.00e-05,33.9,7249
100,49,0.249052,2.00e-05,34.2,7249
101,50,0.083021,2.00e-05,34.6,7249
102,50,0.480089,2.00e-05,34.9,7249
103,51,0.318495,2.00e-05,35.3,7249
104,51,0.184982,2.00e-05,35.6,7249
105,52,0.005361,2.00e-05,35.9,7249
106,52,0.441177,2.00e-05,36.2,7249
107,53,0.396938,2.00e-05,36.5,7249
108,53,0.430081,2.00e-05,36.8,7249
109,54,0.015541,2.00e-05,37.2,7249
110,54,0.262939,2.00e-05,37.5,7249
111,55,0.201336,2.00e-05,37.8,7249
112,55,0.013480,2.00e-05,38.1,7249
113,56,0.704741,2.00e-05,38.5,7249
114,56,0.055792,2.00e-05,38.8,7249
115,57,0.023011,2.00e-05,39.1,7249
116,57,0.323938,2.00e-05,39.4,7249
117,58,0.137075,2.00e-05,39.8,7249
118,58,0.002887,2.00e-05,40.0,7249
119,59,0.017529,2.00e-05,40.4,7249
