step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.003450,2.00e-05,2.9,7220
2,0,0.024336,2.00e-05,3.2,7236
3,0,0.003398,2.00e-05,3.6,7236
4,0,0.002823,2.00e-05,4.0,7236
5,0,0.451010,2.00e-05,4.2,7242
6,0,0.545747,2.00e-05,4.5,7249
7,0,0.560862,2.00e-05,4.8,7249
8,1,0.673384,2.00e-05,5.3,7249
9,1,0.105021,2.00e-05,5.6,7249
10,1,0.187107,2.00e-05,5.9,7249
11,1,0.278195,2.00e-05,6.2,7249
12,1,0.375031,2.00e-05,6.5,7249
13,1,0.035616,2.00e-05,6.8,7249
14,1,0.006882,2.00e-05,7.1,7249
15,2,0.004153,2.00e-05,7.4,7249
16,2,0.035799,2.00e-05,7.7,7249
17,2,0.439644,2.00e-05,8.0,7249
18,2,0.008456,2.00e-05,8.4,7249
19,2,0.006371,2.00e-05,8.7,7249
20,2,0.045913,2.00e-05,9.0,7249
21,2,0.003502,2.00e-05,9.3,7249
22,3,0.013838,2.00e-05,9.7,7249
23,3,0.368910,2.00e-05,10.0,7249
24,3,0.211224,2.00e-05,10.3,7249
25,3,0.012428,2.00e-05,10.7,7249
26,3,0.755209,2.00e-05,11.0,7249
27,3,0.379545,2.00e-05,11.3,7249
28,3,0.423627,2.00e-05,11.5,7249
29,4,0.328696,2.00e-05,11.9,7249
30,4,0.028048,2.00e-05,12.2,7249
31,4,0.403948,2.00e-05,12.5,7249
32,4,0.275325,2.00e-05,12.8,7249
33,4,0.420323,2.00e-05,13.1,7249
34,4,0.134449,2.00e-05,13.5,7249
35,4,0.007315,2.00e-05,13.8,7249
36,5,0.002478,2.00e-05,14.1,7249
37,5,0.645827,2.00e-05,14.5,7249
38,5,0.342194,2.00e-05,14.8,7249
39,5,0.228891,2.00e-05,15.0,7249
40,5,0.088370,2.00e-05,15.4,7249
41,5,0.419603,2.00e-05,15.7,7249
42,5,0.300138,2.00e-05,16.0,7249
43,6,0.023566,2.00e-05,16.4,7249
44,6,0.149929,2.00e-05,16.7,7249
45,6,0.041998,2.00e-05,17.0,7249
46,6,0.178055,2.00e-05,17.4,7249
47,6,0.002459,2.00e-05,17.7,7249
48,6,0.020210,2.00e-05,18.0,7249
49,6,0.054916,2.00e-05,18.2,7249
50,7,0.062617,2.00e-05,18.5,7249
51,7,0.513744,2.00e-05,18.8,7249
52,7,0.332703,2.00e-05,19.1,7249
53,7,0.014627,2.00e-05,19.5,7249
54,7,0.133517,2.00e-05,19.9,7249
55,7,0.048344,2.00e-05,20.2,7249
56,7,0.021153,2.00e-05,20.5,7249
57,8,0.151676,2.00e-05,20.9,7249
58,8,0.008118,2.00e-05,21.2,7249
59,8,0.008071,2.00e-05,21.4,7249
60,8,0.526608,2.00e-05,21.8,7249
61,8,0.092202,2.00e-05,22.2,7249
62,8,0.131250,2.00e-05,22.4,7249
63,8,0.016530,2.00e-05,22.7,7249
64,9,0.395413,2.00e-05,23.0,7249
65,9,0.438366,2.00e-05,23.4,7249
66,9,0.184078,2.00e-05,23.8,7249
67,9,0.023899,2.00e-05,24.1,7249
68,9,0.171303,2.00e-05,24.3,7249
69,9,0.012729,2.00e-05,24.6,7249
70,9,0.087308,2.00e-05,25.0,7249
71,10,0.045589,2.00e-05,25.3,7249
72,10,0.077344,2.00e-05,25.6,7249
73,10,0.585433,2.00e-05,26.0,7249
74,10,0.039236,2.00e-05,26.4,7249
75,10,0.045356,2.00e-05,26.7,7249
76,10,0.012314,2.00e-05,27.0,7249
77,10,0.028171,2.00e-05,27.2,7249
78,11,0.339916,2.00e-05,27.6,7249
79,11,0.052242,2.00e-05,28.0,7249
80,11,0.005857,2.00e-05,28.3,7249
81,11,0.004416,2.00e-05,28.6,7249
82,11,0.233162,2.00e-05,28.9,7249
83,11,0.019938,2.00e-05,29.2,7249
84,11,0.266222,2.00e-05,29.5,7249
85,12,0.045940,2.00e-05,29.9,7249
86,12,0.047213,2.00e-05,30.3,7249
87,12,0.405114,2.00e-05,30.6,7249
88,12,0.108079,2.00e-05,30.9,7249
89,12,0.131106,2.00e-05,31.2,7249
90,12,0.021029,2.00e-05,31.5,7249
91,12,0.175593,2.00e-05,31.8,7249
92,13,0.119345,2.00e-05,32.3,7249
93,13,0.064228,2.00e-05,32.6,7249
94,13,0.135581,2.00e-05,32.9,7249
95,13,0.058282,2.00e-05,33.2,7249
96,13,0.033722,2.00e-05,33.5,7249
97,13,0.533506,2.00e-05,33.8,7249
98,13,0.188407,2.00e-05,34.1,7249
99,14,0.108099,2.00e-05,34.4,7249
100,14,0.197046,2.00e-05,34.7,7249
101,14,0.159778,2.00e-05,35.1,7249
102,14,0.149274,2.00e-05,35.5,7249
103,14,0.195376,2.00e-05,35.8,7249
104,14,0.004653,2.00e-05,36.2,7249
105,14,0.010031,2.00e-05,36.4,7249
106,15,0.384636,2.00e-05,36.9,7249
107,15,0.003761,2.00e-05,37.2,7249
108,15,0.146384,2.00e-05,37.5,7249
109,15,0.660834,2.00e-05,37.8,7249
