step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.048246,2.00e-05,3.0,7220
2,0,0.157732,2.00e-05,3.3,7236
3,0,0.245318,2.00e-05,3.6,7236
4,0,0.087489,2.00e-05,4.0,7236
5,0,0.344794,2.00e-05,4.4,7242
6,0,0.016073,2.00e-05,4.7,7249
7,0,0.044313,2.00e-05,5.0,7249
8,0,0.368455,2.00e-05,5.3,7249
9,1,0.003336,2.00e-05,5.6,7249
10,1,0.208493,2.00e-05,5.9,7249
11,1,0.036492,2.00e-05,6.3,7249
12,1,0.009803,2.00e-05,6.6,7249
13,1,0.010252,2.00e-05,7.0,7249
14,1,0.325657,2.00e-05,7.3,7249
15,1,0.387921,2.00e-05,7.7,7249
16,1,0.071674,2.00e-05,7.9,7249
17,2,0.121179,2.00e-05,8.4,7249
18,2,0.042871,2.00e-05,8.7,7249
19,2,0.143624,2.00e-05,9.0,7249
20,2,0.022364,2.00e-05,9.4,7249
21,2,0.031151,2.00e-05,9.7,7249
22,2,0.152122,2.00e-05,10.0,7249
23,2,0.065747,2.00e-05,10.3,7249
24,2,0.011750,2.00e-05,10.6,7249
25,3,0.437706,2.00e-05,11.0,7249
26,3,0.012890,2.00e-05,11.4,7249
27,3,0.161888,2.00e-05,11.7,7249
28,3,0.418424,2.00e-05,12.0,7249
29,3,0.149019,2.00e-05,12.4,7249
30,3,0.565972,2.00e-05,12.7,7249
31,3,0.363657,2.00e-05,13.0,7249
32,3,0.045609,2.00e-05,13.3,7249
33,4,0.740690,2.00e-05,13.7,7249
34,4,0.015210,2.00e-05,14.1,7249
35,4,0.004579,2.00e-05,14.4,7249
36,4,0.022526,2.00e-05,14.7,7249
37,4,0.025867,2.00e-05,15.0,7249
38,4,0.050676,2.00e-05,15.4,7249
39,4,0.019022,2.00e-05,15.7,7249
40,4,0.013979,2.00e-05,15.9,7249
41,5,0.004056,2.00e-05,16.4,7249
42,5,0.004721,2.00e-05,16.8,7249
43,5,0.256887,2.00e-05,17.1,7249
44,5,0.063958,2.00e-05,17.4,7249
45,5,0.580098,2.00e-05,17.8,7249
46,5,0.054132,2.00e-05,18.1,7249
47,5,0.002035,2.00e-05,18.4,7249
