step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.796523,2.00e-05,2.9,7220
2,0,0.728661,2.00e-05,3.2,7236
3,0,0.444522,2.00e-05,3.5,7236
4,0,0.259112,2.00e-05,3.8,7236
5,0,0.107264,2.00e-05,4.1,7242
6,0,0.069801,2.00e-05,4.5,7249
7,0,0.239384,2.00e-05,4.8,7249
8,1,0.181752,2.00e-05,5.2,7249
9,1,0.569036,2.00e-05,5.5,7249
10,1,0.140774,2.00e-05,5.8,7249
11,1,0.020922,2.00e-05,6.2,7249
12,1,0.280777,2.00e-05,6.5,7249
13,1,0.021917,2.00e-05,6.7,7249
14,1,0.004514,2.00e-05,7.0,7249
15,2,0.091308,2.00e-05,7.4,7249
16,2,0.654909,2.00e-05,7.8,7249
17,2,0.008257,2.00e-05,8.1,7249
18,2,0.013809,2.00e-05,8.4,7249
19,2,0.143444,2.00e-05,8.7,7249
20,2,0.067323,2.00e-05,9.0,7249
21,2,0.061081,2.00e-05,9.3,7249
22,3,0.290746,2.00e-05,9.7,7249
23,3,0.540627,2.00e-05,9.9,7249
24,3,0.005102,2.00e-05,10.2,7249
25,3,0.337231,2.00e-05,10.7,7249
26,3,0.005261,2.00e-05,10.9,7249
27,3,0.013231,2.00e-05,11.3,7249
28,3,0.067374,2.00e-05,11.6,7249
29,4,0.435563,2.00e-05,12.0,7249
30,4,0.370440,2.00e-05,12.3,7249
31,4,0.177944,2.00e-05,12.6,7249
32,4,0.162494,2.00e-05,13.0,7249
33,4,0.576642,2.00e-05,13.3,7249
34,4,0.228033,2.00e-05,13.6,7249
35,4,0.605264,2.00e-05,13.8,7249
36,5,0.282144,2.00e-05,14.2,7249
37,5,0.254638,2.00e-05,14.5,7249
38,5,0.003572,2.00e-05,14.9,7249
39,5,0.188755,2.00e-05,15.2,7249
40,5,0.002315,2.00e-05,15.5,7249
41,5,0.471965,2.00e-05,15.8,7249
42,5,0.046151,2.00e-05,16.0,7249
43,6,0.327498,2.00e-05,16.4,7249
44,6,0.214757,2.00e-05,16.7,7249
45,6,0.026022,2.00e-05,17.0,7249
46,6,0.064819,2.00e-05,17.4,7249
47,6,0.025231,2.00e-05,17.7,7249
48,6,0.068177,2.00e-05,18.0,7249
49,6,0.007926,2.00e-05,18.3,7249
50,7,0.369737,2.00e-05,18.6,7249
51,7,0.028905,2.00e-05,18.9,7249
52,7,0.022708,2.00e-05,19.2,7249
53,7,0.074300,2.00e-05,19.6,7249
54,7,0.117636,2.00e-05,19.8,7249
55,7,0.242370,2.00e-05,20.2,7249
56,7,0.061922,2.00e-05,20.5,7249
57,8,0.337478,2.00e-05,20.9,7249
58,8,0.124262,2.00e-05,21.2,7249
59,8,0.025251,2.00e-05,21.5,7249
60,8,0.090942,2.00e-05,21.8,7249
61,8,0.126080,2.00e-05,22.2,7249
62,8,0.214331,2.00e-05,22.5,7249
63,8,0.008761,2.00e-05,22.7,7249
64,9,0.140031,2.00e-05,23.1,7249
65,9,0.008316,2.00e-05,23.4,7249
66,9,0.344728,2.00e-05,23.7,7249
67,9,0.243649,2.00e-05,24.1,7249
68,9,0.619377,2.00e-05,24.4,7249
69,9,0.050425,2.00e-05,24.7,7249
70,9,0.014010,2.00e-05,24.9,7249
71,10,0.430918,2.00e-05,25.3,7249
72,10,0.018418,2.00e-05,25.6,7249
73,10,0.168709,2.00e-05,25.9,7249
74,10,0.018070,2.00e-05,26.2,7249
75,10,0.012842,2.00e-05,26.5,7249
76,10,0.086300,2.00e-05,26.9,7249
77,10,0.328828,2.00e-05,27.2,7249
78,11,0.558949,2.00e-05,27.6,7249
79,11,0.514210,2.00e-05,27.9,7249
80,11,0.067225,2.00e-05,28.3,7249
81,11,0.025434,2.00e-05,28.6,7249
82,11,0.070802,2.00e-05,28.9,7249
83,11,0.331743,2.00e-05,29.2,7249
84,11,0.376584,2.00e-05,29.4,7249
85,12,0.029987,2.00e-05,29.9,7249
86,12,0.034725,2.00e-05,30.2,7249
87,12,0.056378,2.00e-05,30.5,7249
88,12,0.006422,2.00e-05,30.7,7249
89,12,0.294562,2.00e-05,31.1,7249
90,12,0.530643,2.00e-05,31.4,7249
91,12,0.421443,2.00e-05,31.7,7249
92,13,0.018630,2.00e-05,32.0,7249
93,13,0.089808,2.00e-05,32.4,7249
94,13,0.020395,2.00e-05,32.7,7249
95,13,0.161986,2.00e-05,33.0,7249
96,13,0.223555,2.00e-05,33.3,7249
97,13,0.017186,2.00e-05,33.7,7249
98,13,0.053845,2.00e-05,33.9,7249
99,14,0.109530,2.00e-05,34.2,7249
100,14,0.237441,2.00e-05,34.6,7249
101,14,0.069332,2.00e-05,35.0,7249
102,14,0.060545,2.00e-05,35.4,7249
103,14,0.334119,2.00e-05,35.7,7249
104,14,0.086824,2.00e-05,36.0,7249
105,14,0.007451,2.00e-05,36.3,7249
106,15,0.035196,2.00e-05,36.7,7249
107,15,0.693042,2.00e-05,37.0,7249
108,15,0.090374,2.00e-05,37.3,7249
109,15,0.023542,2.00e-05,37.7,7249
110,15,0.588691,2.00e-05,38.0,7249
111,15,0.206644,2.00e-05,38.3,7249
112,15,0.025274,2.00e-05,38.5,7249
113,16,0.045305,2.00e-05,39.0,7249
114,16,0.031061,2.00e-05,39.3,7249
115,16,0.345949,2.00e-05,39.6,7249
116,16,0.138643,2.00e-05,39.9,7249
117,16,0.030943,2.00e-05,40.2,7249
118,16,0.160256,2.00e-05,40.5,7249
119,16,0.047478,2.00e-05,40.8,7249
120,17,0.011969,2.00e-05,41.2,7249
121,17,0.338640,2.00e-05,41.5,7249
122,17,0.336839,2.00e-05,41.8,7249
123,17,0.432444,2.00e-05,42.1,7249
124,17,0.006757,2.00e-05,42.5,7249
125,17,0.025109,2.00e-05,42.8,7249
126,17,0.189563,2.00e-05,43.1,7249
127,18,0.002006,2.00e-05,43.5,7249
128,18,0.007128,2.00e-05,43.8,7249
129,18,0.101520,2.00e-05,44.1,7249
130,18,0.006348,2.00e-05,44.4,7249
131,18,0.023147,2.00e-05,44.6,7249
132,18,0.058750,2.00e-05,45.0,7249
133,18,0.022359,2.00e-05,45.3,7249
134,19,0.026561,2.00e-05,45.6,7249
135,19,0.018648,2.00e-05,45.9,7249
136,19,0.010247,2.00e-05,46.2,7249
137,19,0.369333,2.00e-05,46.6,7249
138,19,0.154247,2.00e-05,47.0,7249
139,19,0.194288,2.00e-05,47.2,7249
140,19,0.433681,2.00e-05,47.5,7249
141,20,0.137764,2.00e-05,47.8,7249
142,20,0.075015,2.00e-05,48.1,7249
143,20,0.014879,2.00e-05,48.5,7249
144,20,0.266837,2.00e-05,48.9,7249
145,20,0.004043,2.00e-05,49.2,7249
146,20,0.040696,2.00e-05,49.5,7249
147,20,0.084036,2.00e-05,49.8,7249
148,21,0.073142,2.00e-05,50.2,7249
149,21,0.052347,2.00e-05,50.5,7249
150,21,0.127131,2.00e-05,50.8,7249
151,21,0.241705,2.00e-05,51.1,7249
152,21,0.042444,2.00e-05,51.4,7249
153,21,0.720108,2.00e-05,51.8,7249
154,21,0.002985,2.00e-05,52.1,7249
155,22,0.054826,2.00e-05,52.4,7249
156,22,0.026532,2.00e-05,52.6,7249
157,22,0.013468,2.00e-05,53.0,7249
158,22,0.029005,2.00e-05,53.3,7249
159,22,0.063247,2.00e-05,53.6,7249
160,22,0.012375,2.00e-05,54.0,7249
161,22,0.099888,2.00e-05,54.3,7249
162,23,0.057476,2.00e-05,54.6,7249
163,23,0.223335,2.00e-05,54.9,7249
164,23,0.599679,2.00e-05,55.2,7249
165,23,0.025839,2.00e-05,55.5,7249
166,23,0.025519,2.00e-05,55.8,7249
167,23,0.037047,2.00e-05,56.2,7249
168,23,0.233263,2.00e-05,56.5,7249
169,24,0.136225,2.00e-05,56.9,7249
170,24,0.573320,2.00e-05,57.2,7249
171,24,0.224250,2.00e-05,57.5,7249
172,24,0.249343,2.00e-05,57.9,7249
173,24,0.003293,2.00e-05,58.2,7249
174,24,0.155504,2.00e-05,58.5,7249
175,24,0.026249,2.00e-05,58.8,7249
176,25,0.219491,2.00e-05,59.2,7249
177,25,0.298167,2.00e-05,59.5,7249
178,25,0.003336,2.00e-05,59.8,7249
179,25,0.224359,2.00e-05,60.1,7249
180,25,0.165501,2.00e-05,60.5,7249
181,25,0.214204,2.00e-05,60.8,7249
182,25,0.088127,2.00e-05,61.1,7249
183,26,0.422995,2.00e-05,61.5,7249
184,26,0.615319,2.00e-05,61.8,7249
185,26,0.227917,2.00e-05,62.2,7249
186,26,0.187778,2.00e-05,62.5,7249
187,26,0.025351,2.00e-05,62.8,7249
188,26,0.071320,2.00e-05,63.1,7249
189,26,0.095319,2.00e-05,63.4,7249
190,27,0.091907,2.00e-05,63.7,7249
191,27,0.011002,2.00e-05,64.0,7249
192,27,0.189853,2.00e-05,64.3,7249
193,27,0.013612,2.00e-05,64.6,7249
194,27,0.004066,2.00e-05,64.9,7249
195,27,0.040777,2.00e-05,65.3,7249
196,27,0.243490,2.00e-05,65.6,7249
197,28,0.192972,2.00e-05,66.0,7249
198,28,0.078263,2.00e-05,66.2,7249
199,28,0.080204,2.00e-05,66.6,7249
200,28,0.028330,2.00e-05,66.9,7249
201,28,0.367398,2.00e-05,67.2,7249
202,28,0.427482,2.00e-05,67.6,7249
203,28,0.004864,2.00e-05,67.9,7249
204,29,0.005828,2.00e-05,68.2,7249
205,29,0.010272,2.00e-05,68.5,7249
206,29,0.550158,2.00e-05,68.8,7249
207,29,0.266766,2.00e-05,69.2,7249
208,29,0.031787,2.00e-05,69.5,7249
209,29,0.136978,2.00e-05,69.8,7249
210,29,0.132891,2.00e-05,70.1,7249
211,30,0.136420,2.00e-05,70.4,7249
212,30,0.286526,2.00e-05,70.8,7249
213,30,0.020495,2.00e-05,71.1,7249
214,30,0.008857,2.00e-05,71.5,7249
215,30,0.016555,2.00e-05,71.8,7249
216,30,0.011621,2.00e-05,72.1,7249
217,30,0.299131,2.00e-05,72.3,7249
218,31,0.545144,2.00e-05,72.6,7249
219,31,0.247068,2.00e-05,72.9,7249
220,31,0.039398,2.00e-05,73.2,7249
221,31,0.044849,2.00e-05,73.5,7249
222,31,0.004280,2.00e-05,73.9,7249
223,31,0.020857,2.00e-05,74.3,7249
224,31,0.017083,2.00e-05,74.6,7249
225,32,0.095987,2.00e-05,75.0,7249
