step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.015265,2.00e-05,2.7,7220
2,0,0.167387,2.00e-05,3.0,7236
3,0,0.008096,2.00e-05,3.3,7236
4,0,0.426135,2.00e-05,3.7,7236
5,0,0.236373,2.00e-05,3.9,7242
6,1,0.007736,2.00e-05,4.3,7242
7,1,0.035173,2.00e-05,4.6,7249
8,1,0.769671,2.00e-05,4.9,7249
9,1,0.301472,2.00e-05,5.2,7249
10,1,0.008356,2.00e-05,5.4,7249
11,2,0.261210,2.00e-05,5.7,7249
12,2,0.760339,2.00e-05,6.0,7249
13,2,0.002513,2.00e-05,6.3,7249
14,2,0.395449,2.00e-05,6.7,7249
15,2,0.276075,2.00e-05,6.9,7249
16,3,0.005106,2.00e-05,7.2,7249
17,3,0.108871,2.00e-05,7.6,7249
18,3,0.297637,2.00e-05,7.9,7249
19,3,0.008988,2.00e-05,8.3,7249
20,3,0.518107,2.00e-05,8.5,7249
21,4,0.059752,2.00e-05,8.8,7249
22,4,0.051716,2.00e-05,9.1,7249
23,4,0.075014,2.00e-05,9.4,7249
24,4,0.009354,2.00e-05,9.7,7249
25,4,0.047478,2.00e-05,10.0,7249
26,5,0.385005,2.00e-05,10.4,7249
27,5,0.025092,2.00e-05,10.7,7249
28,5,0.079421,2.00e-05,11.0,7249
29,5,0.167021,2.00e-05,11.2,7249
30,5,0.245155,2.00e-05,11.5,7249
31,6,0.566235,2.00e-05,11.8,7249
32,6,0.098561,2.00e-05,12.2,7249
33,6,0.013515,2.00e-05,12.5,7249
34,6,0.088469,2.00e-05,12.8,7249
35,6,0.307773,2.00e-05,13.1,7249
36,7,0.064186,2.00e-05,13.5,7249
37,7,0.411170,2.00e-05,13.8,7249
38,7,0.474565,2.00e-05,14.0,7249
39,7,0.004720,2.00e-05,14.3,7249
40,7,0.459714,2.00e-05,14.6,7249
41,8,0.124570,2.00e-05,14.9,7249
42,8,0.761961,2.00e-05,15.1,7249
43,8,0.141627,2.00e-05,15.5,7249
44,8,0.018635,2.00e-05,15.8,7249
45,8,0.266812,2.00e-05,16.1,7249
46,9,0.199216,2.00e-05,16.5,7249
47,9,0.324958,2.00e-05,16.8,7249
48,9,0.225291,2.00e-05,17.0,7249
49,9,0.281876,2.00e-05,17.3,7249
50,9,0.164971,2.00e-05,17.6,7249
51,10,0.015313,2.00e-05,18.0,7249
52,10,0.241340,2.00e-05,18.3,7249
53,10,0.002624,2.00e-05,18.6,7249
54,10,0.222679,2.00e-05,18.8,7249
55,10,0.002606,2.00e-05,19.1,7249
56,11,0.007315,2.00e-05,19.4,7249
57,11,0.065644,2.00e-05,19.7,7249
58,11,0.084463,2.00e-05,20.0,7249
59,11,0.105333,2.00e-05,20.4,7249
60,11,0.057260,2.00e-05,20.6,7249
61,12,0.125531,2.00e-05,20.9,7249
62,12,0.050154,2.00e-05,21.3,7249
63,12,0.865340,2.00e-05,21.6,7249
64,12,0.018741,2.00e-05,21.9,7249
65,12,0.259531,2.00e-05,22.1,7249
66,13,0.070625,2.00e-05,22.5,7249
67,13,0.041130,2.00e-05,22.8,7249
68,13,0.164777,2.00e-05,23.1,7249
69,13,0.054182,2.00e-05,23.4,7249
70,13,0.725257,2.00e-05,23.7,7249
71,14,0.106706,2.00e-05,24.0,7249
72,14,0.071502,2.00e-05,24.3,7249
73,14,0.025408,2.00e-05,24.6,7249
74,14,0.337410,2.00e-05,24.9,7249
75,14,0.338857,2.00e-05,25.2,7249
76,15,0.031324,2.00e-05,25.5,7249
77,15,0.054218,2.00e-05,25.8,7249
78,15,0.590587,2.00e-05,26.1,7249
79,15,0.077115,2.00e-05,26.5,7249
80,15,0.021680,2.00e-05,26.7,7249
81,16,0.028694,2.00e-05,27.0,7249
82,16,0.085349,2.00e-05,27.4,7249
83,16,0.067402,2.00e-05,27.8,7249
84,16,0.275587,2.00e-05,28.1,7249
85,16,0.040328,2.00e-05,28.4,7249
86,17,0.009983,2.00e-05,28.7,7249
87,17,0.683734,2.00e-05,29.0,7249
88,17,0.002720,2.00e-05,29.3,7249
89,17,0.203699,2.00e-05,29.6,7249
90,17,0.604484,2.00e-05,29.9,7249
91,18,0.022503,2.00e-05,30.3,7249
92,18,0.223866,2.00e-05,30.5,7249
93,18,0.077738,2.00e-05,30.8,7249
94,18,0.053125,2.00e-05,31.1,7249
95,18,0.165342,2.00e-05,31.4,7249
96,19,0.007272,2.00e-05,31.7,7249
97,19,0.041522,2.00e-05,32.0,7249
98,19,0.324080,2.00e-05,32.4,7249
99,19,0.117609,2.00e-05,32.7,7249
100,19,0.219223,2.00e-05,32.9,7249
101,20,0.009094,2.00e-05,33.3,7249
102,20,0.399310,2.00e-05,33.6,7249
103,20,0.003027,2.00e-05,33.9,7249
104,20,0.006605,2.00e-05,34.2,7249
105,20,0.385238,2.00e-05,34.5,7249
106,21,0.003067,2.00e-05,34.9,7249
107,21,0.080677,2.00e-05,35.2,7249
108,21,0.013910,2.00e-05,35.5,7249
109,21,0.067867,2.00e-05,35.7,7249
110,21,0.158466,2.00e-05,36.0,7249
111,22,0.045717,2.00e-05,36.4,7249
112,22,0.276282,2.00e-05,36.7,7249
113,22,0.363767,2.00e-05,37.0,7249
114,22,0.495300,2.00e-05,37.3,7249
115,22,0.334072,2.00e-05,37.5,7249
116,23,0.223062,2.00e-05,37.8,7249
117,23,0.020196,2.00e-05,38.1,7249
118,23,0.011597,2.00e-05,38.4,7249
119,23,0.444943,2.00e-05,38.8,7249
120,23,0.021049,2.00e-05,39.1,7249
121,24,0.024470,2.00e-05,39.4,7249
122,24,0.123383,2.00e-05,39.7,7249
123,24,0.235307,2.00e-05,40.1,7249
124,24,0.006412,2.00e-05,40.4,7249
125,24,0.339624,2.00e-05,40.6,7249
126,25,0.072077,2.00e-05,40.9,7249
127,25,0.046246,2.00e-05,41.4,7249
128,25,0.202109,2.00e-05,41.6,7249
129,25,0.174201,2.00e-05,41.9,7249
130,25,0.013389,2.00e-05,42.2,7249
131,26,0.132682,2.00e-05,42.5,7249
132,26,0.008371,2.00e-05,43.0,7249
133,26,0.053345,2.00e-05,43.2,7249
134,26,0.083925,2.00e-05,43.5,7249
135,26,0.044766,2.00e-05,43.8,7249
136,27,0.005277,2.00e-05,44.2,7249
137,27,0.119866,2.00e-05,44.4,7249
138,27,0.046120,2.00e-05,44.7,7249
139,27,0.019023,2.00e-05,45.0,7249
140,27,0.025348,2.00e-05,45.3,7249
141,28,0.159653,2.00e-05,45.5,7249
142,28,0.268532,2.00e-05,45.9,7249
143,28,0.007715,2.00e-05,46.2,7249
144,28,0.108269,2.00e-05,46.5,7249
145,28,0.062599,2.00e-05,46.7,7249
146,29,0.152664,2.00e-05,47.0,7249
147,29,0.139502,2.00e-05,47.3,7249
148,29,0.045645,2.00e-05,47.7,7249
149,29,0.168213,2.00e-05,48.0,7249
150,29,0.107090,2.00e-05,48.2,7249
151,30,0.072852,2.00e-05,48.6,7249
152,30,0.028392,2.00e-05,48.9,7249
153,30,0.050051,2.00e-05,49.2,7249
154,30,0.525154,2.00e-05,49.5,7249
155,30,0.247108,2.00e-05,49.8,7249
156,31,0.121618,2.00e-05,50.2,7249
157,31,0.435961,2.00e-05,50.5,7249
158,31,0.023485,2.00e-05,50.8,7249
159,31,0.023353,2.00e-05,51.0,7249
160,31,0.005364,2.00e-05,51.3,7249
161,32,0.008911,2.00e-05,51.6,7249
162,32,0.053157,2.00e-05,51.9,7249
163,32,0.028995,2.00e-05,52.2,7249
164,32,0.023251,2.00e-05,52.6,7249
165,32,0.029826,2.00e-05,52.9,7249
166,33,0.067628,2.00e-05,53.2,7249
167,33,0.002038,2.00e-05,53.5,7249
168,33,0.012459,2.00e-05,53.8,7249
169,33,0.007050,2.00e-05,54.2,7249
170,33,0.171683,2.00e-05,54.4,7249
171,34,0.003418,2.00e-05,54.7,7249
172,34,0.529359,2.00e-05,55.1,7249
173,34,0.009995,2.00e-05,55.4,7249
174,34,0.117110,2.00e-05,55.7,7249
175,34,0.644925,2.00e-05,56.0,7249
176,35,0.109560,2.00e-05,56.3,7249
177,35,0.035300,2.00e-05,56.7,7249
178,35,0.077542,2.00e-05,57.0,7249
179,35,0.003129,2.00e-05,57.3,7249
180,35,0.519090,2.00e-05,57.6,7249
181,36,0.054444,2.00e-05,58.0,7249
182,36,0.310781,2.00e-05,58.3,7249
183,36,0.108088,2.00e-05,58.5,7249
184,36,0.221587,2.00e-05,58.8,7249
185,36,0.014312,2.00e-05,59.1,7249
186,37,0.021400,2.00e-05,59.4,7249
187,37,0.086119,2.00e-05,59.8,7249
188,37,0.342260,2.00e-05,60.1,7249
189,37,0.182239,2.00e-05,60.4,7249
190,37,0.008779,2.00e-05,60.7,7249
191,38,0.005165,2.00e-05,61.1,7249
192,38,0.275165,2.00e-05,61.4,7249
193,38,0.435654,2.00e-05,61.7,7249
194,38,0.057074,2.00e-05,62.0,7249
195,38,0.093911,2.00e-05,62.3,7249
196,39,0.598021,2.00e-05,62.6,7249
197,39,0.120747,2.00e-05,62.9,7249
198,39,0.012411,2.00e-05,63.3,7249
