step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.796523,1.00e-04,2.9,7220
2,0,0.736824,1.00e-04,3.3,7236
3,0,0.593218,1.00e-04,3.6,7236
4,0,0.360780,1.00e-04,4.0,7236
5,0,0.068830,1.00e-04,4.3,7242
6,0,0.078962,1.00e-04,4.7,7249
7,0,0.246488,1.00e-04,5.0,7249
8,0,0.112379,1.00e-04,5.3,7249
9,0,0.432052,1.00e-04,5.7,7249
10,0,0.112435,1.00e-04,6.1,7249
11,0,0.020937,1.00e-04,6.5,7249
12,0,0.347038,1.00e-04,6.8,7249
13,0,0.028310,1.00e-04,7.1,7249
14,0,0.004195,1.00e-04,7.4,7249
15,0,0.086750,1.00e-04,7.8,7249
16,0,0.488306,1.00e-04,8.1,7249
17,0,0.007426,1.00e-04,8.4,7249
18,0,0.016199,1.00e-04,8.7,7249
19,0,0.093257,1.00e-04,9.1,7249
20,0,0.092497,1.00e-04,9.4,7249
21,0,0.062426,1.00e-04,9.8,7249
22,0,0.342430,1.00e-04,10.1,7249
23,0,0.506251,1.00e-04,10.4,7249
24,0,0.005533,1.00e-04,10.8,7249
25,0,0.399628,1.00e-04,11.1,7249
26,0,0.005096,1.00e-04,11.4,7249
27,0,0.015507,1.00e-04,11.8,7249
28,0,0.066418,1.00e-04,12.1,7249
29,0,0.373049,1.00e-04,12.4,7249
30,0,0.211506,1.00e-04,12.7,7249
31,1,0.285512,1.00e-04,13.1,7249
32,1,0.169992,1.00e-04,13.4,7249
33,1,0.428489,1.00e-04,13.7,7249
34,1,0.209559,1.00e-04,14.1,7249
35,1,0.701125,1.00e-04,14.4,7249
36,1,0.263491,1.00e-04,14.8,7249
37,1,0.235489,1.00e-04,15.1,7249
38,1,0.003997,1.00e-04,15.5,7249
39,1,0.152933,1.00e-04,15.7,7249
40,1,0.002565,1.00e-04,16.1,7249
41,1,0.538391,1.00e-04,16.3,7249
42,1,0.036794,1.00e-04,16.7,7249
43,1,0.236113,1.00e-04,17.0,7249
44,1,0.170709,1.00e-04,17.4,7249
45,1,0.030543,1.00e-04,17.8,7249
46,1,0.084786,1.00e-04,18.2,7249
47,1,0.023577,1.00e-04,18.5,7249
48,1,0.048283,1.00e-04,18.8,7249
49,1,0.008328,1.00e-04,19.1,7249
50,1,0.386359,1.00e-04,19.4,7249
51,1,0.029686,1.00e-04,19.8,7249
52,1,0.014073,1.00e-04,20.2,7249
53,1,0.084881,1.00e-04,20.4,7249
54,1,0.090067,1.00e-04,20.7,7249
55,1,0.287750,1.00e-04,21.1,7249
56,1,0.031991,1.00e-04,21.3,7249
57,1,0.269191,1.00e-04,21.8,7249
58,1,0.123951,1.00e-04,22.1,7249
59,1,0.016842,1.00e-04,22.5,7249
60,1,0.166858,1.00e-04,22.8,7249
61,2,0.137304,1.00e-04,23.2,7249
62,2,0.217208,1.00e-04,23.5,7249
63,2,0.009241,1.00e-04,23.9,7249
64,2,0.183565,1.00e-04,24.3,7249
65,2,0.009318,1.00e-04,24.7,7249
66,2,0.476171,1.00e-04,25.0,7249
67,2,0.366462,1.00e-04,25.3,7249
68,2,0.568257,1.00e-04,25.6,7249
69,2,0.052986,1.00e-04,25.9,7249
70,2,0.015873,1.00e-04,26.2,7249
71,2,0.404830,1.00e-04,26.5,7249
72,2,0.012594,1.00e-04,26.9,7249
73,2,0.285180,1.00e-04,27.3,7249
74,2,0.020913,1.00e-04,27.6,7249
75,2,0.009906,1.00e-04,27.9,7249
76,2,0.087933,1.00e-04,28.3,7249
77,2,0.235703,1.00e-04,28.7,7249
78,2,0.636698,1.00e-04,29.0,7249
79,2,0.518012,1.00e-04,29.3,7249
