step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.052747,1.00e-04,2.9,8463
2,0,0.204337,1.00e-04,3.3,8482
3,0,0.421680,1.00e-04,3.6,8482
4,0,0.318724,1.00e-04,4.1,8482
5,0,0.028736,1.00e-04,4.4,8495
6,0,0.112660,1.00e-04,4.8,8508
7,0,0.100757,1.00e-04,5.1,8508
8,0,0.154329,1.00e-04,5.5,8508
9,0,0.355798,1.00e-04,5.9,8508
10,0,0.091648,1.00e-04,6.2,8508
11,0,0.205162,1.00e-04,6.6,8508
12,0,0.036986,1.00e-04,7.0,8508
13,0,0.203863,1.00e-04,7.4,8508
14,0,0.098490,1.00e-04,7.8,8508
15,0,0.193881,1.00e-04,8.1,8508
16,0,0.043619,1.00e-04,8.5,8508
17,0,0.295038,1.00e-04,8.9,8508
18,0,0.254325,1.00e-04,9.3,8508
19,0,0.019691,1.00e-04,9.6,8508
20,0,0.096068,1.00e-04,10.0,8508
21,0,0.039474,1.00e-04,10.3,8508
22,0,0.051431,1.00e-04,10.7,8508
23,0,0.195227,1.00e-04,11.1,8508
24,0,0.075144,1.00e-04,11.4,8508
25,0,0.016539,1.00e-04,11.8,8508
26,0,0.106951,1.00e-04,12.1,8508
27,0,0.133675,1.00e-04,12.5,8508
28,0,0.205832,1.00e-04,12.9,8508
29,0,0.331471,1.00e-04,13.3,8508
30,0,0.013099,1.00e-04,13.6,8508
31,0,0.029225,1.00e-04,14.0,8508
32,0,0.036015,1.00e-04,14.4,8508
33,0,0.198193,1.00e-04,14.7,8508
34,0,0.416416,1.00e-04,15.1,8508
35,0,0.051660,1.00e-04,15.4,8508
36,0,0.082747,1.00e-04,15.8,8508
37,0,0.204692,1.00e-04,16.2,8508
38,0,0.108336,1.00e-04,16.5,8508
39,0,0.148552,1.00e-04,16.9,8508
40,0,0.066739,1.00e-04,17.3,8508
41,0,0.020198,1.00e-04,17.7,8508
42,0,0.005007,1.00e-04,18.0,8508
43,0,0.481469,1.00e-04,18.4,8508
44,0,0.106989,1.00e-04,18.8,8508
45,0,0.256884,1.00e-04,19.1,8508
46,0,0.220672,1.00e-04,19.5,8508
47,0,0.356624,1.00e-04,19.8,8508
48,0,0.279124,1.00e-04,20.3,8508
49,0,0.081216,1.00e-04,20.6,8508
50,0,0.073807,1.00e-04,21.0,8508
51,0,0.050376,1.00e-04,21.4,8508
52,0,0.242614,1.00e-04,21.7,8508
53,0,0.040167,1.00e-04,22.1,8508
54,0,0.041691,1.00e-04,22.4,8508
55,0,0.085289,1.00e-04,22.8,8508
56,0,0.150450,1.00e-04,23.2,8508
57,0,0.277272,1.00e-04,23.6,8508
58,0,0.220028,1.00e-04,24.0,8508
59,0,0.217148,1.00e-04,24.3,8508
60,0,0.153002,1.00e-04,24.7,8508
61,0,0.137551,1.00e-04,25.1,8508
62,0,0.158232,1.00e-04,25.5,8508
63,0,0.177506,1.00e-04,25.8,8508
64,0,0.116456,1.00e-04,26.2,8508
65,0,0.180942,1.00e-04,26.6,8508
66,0,0.235571,1.00e-04,27.0,8508
67,0,0.254364,1.00e-04,27.3,8508
68,0,0.207775,1.00e-04,27.7,8508
69,0,0.012744,1.00e-04,28.0,8508
70,0,0.038006,1.00e-04,28.4,8508
71,0,0.246921,1.00e-04,28.8,8508
72,0,0.091432,1.00e-04,29.2,8508
73,0,0.051194,1.00e-04,29.5,8508
74,0,0.059824,1.00e-04,29.9,8508
75,0,0.140735,1.00e-04,30.3,8508
76,0,0.005586,1.00e-04,30.6,8508
77,0,0.136068,1.00e-04,31.0,8508
78,0,0.161157,1.00e-04,31.4,8508
79,0,0.485296,1.00e-04,31.8,8508
80,0,0.268527,1.00e-04,32.1,8508
81,0,0.299763,1.00e-04,32.5,8508
82,0,0.067400,1.00e-04,32.9,8508
83,0,0.487438,1.00e-04,33.2,8508
84,0,0.369537,1.00e-04,33.6,8508
85,0,0.137549,1.00e-04,34.0,8508
86,0,0.063342,1.00e-04,34.4,8508
87,0,0.195386,1.00e-04,34.7,8508
88,0,0.185690,1.00e-04,35.1,8508
89,0,0.006206,1.00e-04,35.5,8508
