step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.156985,1.00e-04,2.7,8463
2,0,0.127118,1.00e-04,3.1,8482
3,0,0.019586,1.00e-04,3.5,8482
4,0,0.413842,1.00e-04,3.8,8482
5,0,0.072206,1.00e-04,4.2,8495
6,0,0.327737,1.00e-04,4.5,8508
7,0,0.023991,1.00e-04,4.9,8508
8,0,0.220575,1.00e-04,5.2,8508
9,0,0.071532,1.00e-04,5.5,8508
10,0,0.026420,1.00e-04,5.9,8508
11,0,0.016780,1.00e-04,6.2,8508
12,0,0.106741,1.00e-04,6.6,8508
13,0,0.107755,1.00e-04,6.9,8508
14,0,0.060841,1.00e-04,7.2,8508
15,0,0.010121,1.00e-04,7.6,8508
16,0,0.028211,1.00e-04,7.9,8508
17,0,0.170267,1.00e-04,8.2,8508
18,0,0.005577,1.00e-04,8.6,8508
19,0,0.066873,1.00e-04,8.9,8508
20,0,0.097771,1.00e-04,9.2,8508
21,0,0.258788,1.00e-04,9.6,8508
22,0,0.244442,1.00e-04,9.9,8508
23,0,0.081772,1.00e-04,10.3,8508
24,0,0.123722,1.00e-04,10.7,8508
25,0,0.006767,1.00e-04,11.1,8508
26,0,0.113206,1.00e-04,11.4,8508
27,0,0.306911,1.00e-04,11.7,8508
28,0,0.016669,1.00e-04,12.1,8508
29,0,0.458305,1.00e-04,12.4,8508
30,0,0.136961,1.00e-04,12.8,8508
31,0,0.211595,1.00e-04,13.1,8508
32,0,0.090885,1.00e-04,13.5,8508
33,0,0.348848,1.00e-04,13.8,8508
34,0,0.073854,1.00e-04,14.1,8508
35,0,0.242175,1.00e-04,14.5,8508
36,0,0.227912,1.00e-04,14.8,8508
37,0,0.350345,1.00e-04,15.2,8508
38,0,0.060546,1.00e-04,15.5,8508
39,0,0.036758,1.00e-04,15.8,8508
40,0,0.228614,1.00e-04,16.2,8508
41,0,0.066738,1.00e-04,16.5,8508
42,0,0.117434,1.00e-04,16.9,8508
43,0,0.099764,1.00e-04,17.2,8508
44,0,0.307309,1.00e-04,17.6,8508
45,0,0.032993,1.00e-04,17.9,8508
46,0,0.138932,1.00e-04,18.3,8508
47,0,0.365062,1.00e-04,18.6,8508
