step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.052102,1.00e-04,2.8,8463
2,0,0.140594,1.00e-04,3.2,8482
3,0,0.432400,1.00e-04,3.6,8482
4,0,0.289082,1.00e-04,4.0,8482
5,0,0.020539,1.00e-04,4.3,8495
6,0,0.124909,1.00e-04,4.7,8508
7,0,0.085155,1.00e-04,5.0,8508
8,0,0.143056,1.00e-04,5.4,8508
9,0,0.355476,1.00e-04,5.8,8508
10,0,0.094175,1.00e-04,6.1,8508
11,0,0.205151,1.00e-04,6.5,8508
12,0,0.062191,1.00e-04,6.8,8508
13,0,0.205123,1.00e-04,7.2,8508
14,0,0.054836,1.00e-04,7.6,8508
15,0,0.228058,1.00e-04,8.0,8508
16,0,0.039087,1.00e-04,8.3,8508
17,0,0.273483,1.00e-04,8.6,8508
18,0,0.255453,1.00e-04,9.0,8508
19,0,0.021322,1.00e-04,9.4,8508
20,0,0.064504,1.00e-04,9.7,8508
21,0,0.037201,1.00e-04,10.1,8508
22,0,0.055867,1.00e-04,10.5,8508
23,0,0.124735,1.00e-04,10.8,8508
24,0,0.044709,1.00e-04,11.2,8508
25,0,0.024102,1.00e-04,11.6,8508
26,0,0.147048,1.00e-04,12.0,8508
27,0,0.190721,1.00e-04,12.4,8508
28,0,0.214918,1.00e-04,12.7,8508
29,0,0.426795,1.00e-04,13.1,8508
30,0,0.012454,1.00e-04,13.4,8508
31,0,0.023927,1.00e-04,13.8,8508
32,0,0.035139,1.00e-04,14.2,8508
33,0,0.115767,1.00e-04,14.5,8508
34,0,0.425531,1.00e-04,14.9,8508
35,0,0.041967,1.00e-04,15.2,8508
36,0,0.104252,1.00e-04,15.6,8508
37,0,0.178427,1.00e-04,15.9,8508
38,0,0.125341,1.00e-04,16.3,8508
39,0,0.161839,1.00e-04,16.7,8508
40,0,0.072401,1.00e-04,17.0,8508
41,0,0.016607,1.00e-04,17.4,8508
42,0,0.005326,1.00e-04,17.7,8508
43,0,0.349110,1.00e-04,18.1,8508
44,0,0.269045,1.00e-04,18.4,8508
45,0,0.353792,1.00e-04,18.8,8508
46,0,0.179306,1.00e-04,19.1,8508
47,0,0.416649,1.00e-04,19.5,8508
48,0,0.248325,1.00e-04,19.9,8508
49,0,0.098238,1.00e-04,20.2,8508
50,0,0.077917,1.00e-04,20.6,8508
51,0,0.053478,1.00e-04,20.9,8508
52,0,0.219583,1.00e-04,21.3,8508
53,0,0.043325,1.00e-04,21.6,8508
54,0,0.042996,1.00e-04,22.0,8508
55,0,0.105898,1.00e-04,22.4,8508
56,0,0.161937,1.00e-04,22.7,8508
57,0,0.193388,1.00e-04,23.1,8508
58,0,0.236110,1.00e-04,23.4,8508
59,0,0.154937,1.00e-04,23.8,8508
60,0,0.227583,1.00e-04,24.1,8508
61,0,0.124560,1.00e-04,24.5,8508
62,0,0.148694,1.00e-04,24.8,8508
63,0,0.218096,1.00e-04,25.2,8508
64,0,0.110300,1.00e-04,25.6,8508
65,0,0.214787,1.00e-04,25.9,8508
66,0,0.276236,1.00e-04,26.3,8508
67,0,0.207193,1.00e-04,26.6,8508
68,0,0.261306,1.00e-04,27.0,8508
69,0,0.015171,1.00e-04,27.4,8508
70,0,0.036564,1.00e-04,27.7,8508
71,0,0.179230,1.00e-04,28.1,8508
72,0,0.098120,1.00e-04,28.4,8508
73,0,0.027501,1.00e-04,28.8,8508
74,0,0.060782,1.00e-04,29.2,8508
75,0,0.098438,1.00e-04,29.6,8508
76,0,0.004745,1.00e-04,29.9,8508
77,0,0.142835,1.00e-04,30.3,8508
78,0,0.140079,1.00e-04,30.6,8508
79,0,0.490159,1.00e-04,31.0,8508
80,0,0.160604,1.00e-04,31.4,8508
81,0,0.267196,1.00e-04,31.7,8508
82,0,0.101722,1.00e-04,32.1,8508
83,0,0.521602,1.00e-04,32.4,8508
84,0,0.418081,1.00e-04,32.8,8508
85,0,0.104690,1.00e-04,33.1,8508
86,0,0.048376,1.00e-04,33.5,8508
87,0,0.191154,1.00e-04,33.9,8508
88,0,0.159968,1.00e-04,34.2,8508
89,0,0.008684,1.00e-04,34.6,8508
90,0,0.422162,1.00e-04,34.9,8508
91,0,0.044965,1.00e-04,35.3,8508
92,0,0.165994,1.00e-04,35.6,8508
93,0,0.039748,1.00e-04,36.0,8508
94,0,0.018075,1.00e-04,36.3,8508
95,0,0.286034,1.00e-04,36.7,8508
96,0,0.206519,1.00e-04,37.1,8508
97,0,0.229996,1.00e-04,37.4,8508
98,0,0.352502,1.00e-04,37.8,8508
99,0,0.047356,1.00e-04,38.1,8508
100,0,0.150761,1.00e-04,38.5,8508
101,0,0.111788,1.00e-04,38.8,8508
102,0,0.291825,1.00e-04,39.2,8508
103,0,0.156663,1.00e-04,39.5,8508
104,0,0.328977,1.00e-04,39.9,8508
105,0,0.147898,1.00e-04,40.3,8508
106,0,0.448838,1.00e-04,40.6,8508
107,0,0.035193,1.00e-04,41.0,8508
108,0,0.161525,1.00e-04,41.3,8508
109,0,0.183695,1.00e-04,41.7,8508
110,0,0.053858,1.00e-04,42.1,8508
111,0,0.230225,1.00e-04,42.4,8508
112,0,0.209302,1.00e-04,42.8,8508
113,0,0.003999,1.00e-04,43.1,8508
114,0,0.090104,1.00e-04,43.5,8508
115,0,0.155496,1.00e-04,43.8,8508
116,0,0.014968,1.00e-04,44.2,8508
117,0,0.250174,1.00e-04,44.6,8508
118,0,0.300669,1.00e-04,44.9,8508
119,0,0.079884,1.00e-04,45.3,8508
120,0,0.140098,1.00e-04,45.7,8508
121,0,0.071202,1.00e-04,46.0,8508
122,0,0.439392,1.00e-04,46.4,8508
123,0,0.006838,1.00e-04,46.8,8508
124,0,0.034751,1.00e-04,47.1,8508
125,0,0.043608,1.00e-04,47.5,8508
126,0,0.274586,1.00e-04,47.8,8508
127,0,0.016202,1.00e-04,48.2,8508
128,0,0.012139,1.00e-04,48.6,8508
129,0,0.466999,1.00e-04,48.9,8508
130,0,0.050358,1.00e-04,49.3,8508
131,0,0.019179,1.00e-04,49.6,8508
132,0,0.077046,1.00e-04,50.0,8508
133,0,0.107097,1.00e-04,50.4,8508
134,0,0.079942,1.00e-04,50.7,8508
135,0,0.018409,1.00e-04,51.1,8508
136,1,0.155107,1.00e-04,51.4,8508
137,1,0.155765,1.00e-04,51.8,8508
138,1,0.183803,1.00e-04,52.2,8508
139,1,0.293766,1.00e-04,52.5,8508
140,1,0.012626,1.00e-04,52.9,8508
141,1,0.111521,1.00e-04,53.3,8508
142,1,0.047477,1.00e-04,53.6,8508
143,1,0.105660,1.00e-04,54.0,8508
144,1,0.012898,1.00e-04,54.3,8508
145,1,0.084007,1.00e-04,54.7,8508
146,1,0.124293,1.00e-04,55.0,8508
147,1,0.144343,1.00e-04,55.4,8508
148,1,0.210749,1.00e-04,55.8,8508
149,1,0.309609,1.00e-04,56.1,8508
150,1,0.207551,1.00e-04,56.5,8508
151,1,0.041563,1.00e-04,56.8,8508
152,1,0.118494,1.00e-04,57.2,8508
153,1,0.041308,1.00e-04,57.5,8508
154,1,0.055511,1.00e-04,57.9,8508
155,1,0.373938,1.00e-04,58.2,8508
156,1,0.159196,1.00e-04,58.6,8508
157,1,0.290740,1.00e-04,58.9,8508
158,1,0.167526,1.00e-04,59.3,8508
159,1,0.133932,1.00e-04,59.7,8508
160,1,0.071735,1.00e-04,60.0,8508
161,1,0.288385,1.00e-04,60.4,8508
162,1,0.288596,1.00e-04,60.7,8508
163,1,0.148542,1.00e-04,61.1,8508
164,1,0.026614,1.00e-04,61.4,8508
165,1,0.396728,1.00e-04,61.8,8508
166,1,0.070184,1.00e-04,62.1,8508
167,1,0.122818,1.00e-04,62.5,8508
168,1,0.268056,1.00e-04,62.8,8508
169,1,0.258393,1.00e-04,63.2,8508
170,1,0.127845,1.00e-04,63.6,8508
171,1,0.274198,1.00e-04,64.0,8508
172,1,0.147487,1.00e-04,64.3,8508
173,1,0.117727,1.00e-04,64.7,8508
174,1,0.055234,1.00e-04,65.0,8508
175,1,0.108413,1.00e-04,65.4,8508
176,1,0.081379,1.00e-04,65.8,8508
177,1,0.179740,1.00e-04,66.1,8508
178,1,0.144500,1.00e-04,66.5,8508
179,1,0.620273,1.00e-04,66.9,8508
180,1,0.127443,1.00e-04,67.2,8508
181,1,0.177668,1.00e-04,67.6,8508
182,1,0.011784,1.00e-04,68.0,8508
183,1,0.029370,1.00e-04,68.3,8508
184,1,0.035572,1.00e-04,68.7,8508
185,1,0.231757,1.00e-04,69.0,8508
186,1,0.250740,1.00e-04,69.4,8508
187,1,0.139914,1.00e-04,69.8,8508
188,1,0.240615,1.00e-04,70.1,8508
189,1,0.272065,1.00e-04,70.5,8508
190,1,0.210710,1.00e-04,70.8,8508
191,1,0.131426,1.00e-04,71.2,8508
192,1,0.025570,1.00e-04,71.6,8508
193,1,0.069482,1.00e-04,72.0,8508
194,1,0.354794,1.00e-04,72.3,8508
195,1,0.122626,1.00e-04,72.7,8508
196,1,0.155164,1.00e-04,73.0,8508
197,1,0.072189,1.00e-04,73.4,8508
198,1,0.369993,1.00e-04,73.7,8508
199,1,0.186185,1.00e-04,74.1,8508
200,1,0.068392,1.00e-04,74.4,8508
201,1,0.242024,1.00e-04,74.9,8508
202,1,0.079304,1.00e-04,75.3,8508
203,1,0.089721,1.00e-04,75.6,8508
204,1,0.058741,1.00e-04,76.0,8508
205,1,0.079524,1.00e-04,76.3,8508
206,1,0.058128,1.00e-04,76.7,8508
207,1,0.042451,1.00e-04,77.0,8508
208,1,0.006327,1.00e-04,77.4,8508
209,1,0.004524,1.00e-04,77.8,8508
210,1,0.229405,1.00e-04,78.2,8508
211,1,0.200652,1.00e-04,78.5,8508
212,1,0.213286,1.00e-04,78.9,8508
213,1,0.154129,1.00e-04,79.3,8508
214,1,0.099106,1.00e-04,79.7,8508
215,1,0.032123,1.00e-04,80.0,8508
216,1,0.005024,1.00e-04,80.4,8508
217,1,0.073268,1.00e-04,80.8,8508
218,1,0.092917,1.00e-04,81.1,8508
219,1,0.046974,1.00e-04,81.5,8508
220,1,0.031106,1.00e-04,81.8,8508
221,1,0.160792,1.00e-04,82.2,8508
222,1,0.076750,1.00e-04,82.5,8508
223,1,0.379438,1.00e-04,82.9,8508
224,1,0.348632,1.00e-04,83.3,8508
225,1,0.019928,1.00e-04,83.7,8508
226,1,0.015219,1.00e-04,84.1,8508
227,1,0.466434,1.00e-04,84.4,8508
228,1,0.006479,1.00e-04,84.8,8508
229,1,0.149861,1.00e-04,85.1,8508
230,1,0.060892,1.00e-04,85.5,8508
231,1,0.035901,1.00e-04,85.8,8508
232,1,0.011894,1.00e-04,86.2,8508
233,1,0.039405,1.00e-04,86.5,8508
234,1,0.262448,1.00e-04,86.9,8508
235,1,0.077121,1.00e-04,87.2,8508
236,1,0.339897,1.00e-04,87.6,8508
237,1,0.102412,1.00e-04,87.9,8508
238,1,0.203283,1.00e-04,88.3,8508
239,1,0.059466,1.00e-04,88.7,8508
240,1,0.285293,1.00e-04,89.0,8508
241,1,0.108825,1.00e-04,89.4,8508
242,1,0.781979,1.00e-04,89.8,8508
243,1,0.181614,1.00e-04,90.2,8508
244,1,0.014059,1.00e-04,90.5,8508
245,1,0.022443,1.00e-04,90.9,8508
246,1,0.299231,1.00e-04,91.2,8508
247,1,0.017775,1.00e-04,91.6,8508
248,1,0.009982,1.00e-04,92.0,8508
249,1,0.076856,1.00e-04,92.3,8508
250,1,0.014486,1.00e-04,92.7,8508
251,1,0.044902,1.00e-04,93.1,8508
252,1,0.066223,1.00e-04,93.4,8508
253,1,0.200924,1.00e-04,93.8,8508
254,1,0.127662,1.00e-04,94.1,8508
255,1,0.215909,1.00e-04,94.5,8508
256,1,0.274414,1.00e-04,94.9,8508
257,1,0.217050,1.00e-04,95.2,8508
258,1,0.073982,1.00e-04,95.6,8508
259,1,0.171934,1.00e-04,95.9,8508
260,1,0.290980,1.00e-04,96.3,8508
261,1,0.147064,1.00e-04,96.6,8508
262,1,0.129064,1.00e-04,97.0,8508
263,1,0.123535,1.00e-04,97.4,8508
264,1,0.200739,1.00e-04,97.7,8508
265,1,0.054462,1.00e-04,98.1,8508
266,1,0.135712,1.00e-04,98.4,8508
267,1,0.187726,1.00e-04,98.8,8508
268,1,0.248708,1.00e-04,99.1,8508
269,1,0.453509,1.00e-04,99.6,8508
270,1,0.070996,1.00e-04,99.9,8508
271,2,0.254732,1.00e-04,100.3,8508
272,2,0.567007,1.00e-04,100.6,8508
273,2,0.145926,1.00e-04,101.0,8508
274,2,0.113141,1.00e-04,101.3,8508
275,2,0.052154,1.00e-04,101.7,8508
276,2,0.366366,1.00e-04,102.0,8508
277,2,0.570070,1.00e-04,102.4,8508
278,2,0.046788,1.00e-04,102.8,8508
279,2,0.507915,1.00e-04,103.1,8508
280,2,0.105430,1.00e-04,103.5,8508
281,2,0.146966,1.00e-04,103.8,8508
282,2,0.201327,1.00e-04,104.2,8508
283,2,0.094631,1.00e-04,104.5,8508
284,2,0.012518,1.00e-04,104.9,8508
285,2,0.009569,1.00e-04,105.3,8508
286,2,0.083358,1.00e-04,105.6,8508
287,2,0.135733,1.00e-04,106.0,8508
288,2,0.176153,1.00e-04,106.3,8508
289,2,0.159664,1.00e-04,106.7,8508
290,2,0.256956,1.00e-04,107.0,8508
291,2,0.002816,1.00e-04,107.4,8508
292,2,0.442070,1.00e-04,107.8,8508
293,2,0.165685,1.00e-04,108.1,8508
294,2,0.166455,1.00e-04,108.5,8508
295,2,0.226423,1.00e-04,108.9,8508
296,2,0.312747,1.00e-04,109.2,8508
297,2,0.211537,1.00e-04,109.6,8508
298,2,0.270349,1.00e-04,109.9,8508
299,2,0.052863,1.00e-04,110.3,8508
300,2,0.079889,1.00e-04,110.7,8508
301,2,0.246963,1.00e-04,111.1,8508
302,2,0.209294,1.00e-04,111.4,8508
303,2,0.238004,1.00e-04,111.8,8508
304,2,0.163377,1.00e-04,112.1,8508
305,2,0.069431,1.00e-04,112.5,8508
306,2,0.244918,1.00e-04,112.8,8508
307,2,0.150239,1.00e-04,113.2,8508
308,2,0.033337,1.00e-04,113.6,8508
