step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.055002,2.00e-05,2.8,8463
2,0,0.143838,2.00e-05,3.2,8482
3,0,0.385551,2.00e-05,3.6,8482
4,0,0.380315,2.00e-05,4.0,8482
5,0,0.028063,2.00e-05,4.3,8495
6,0,0.116038,2.00e-05,4.7,8508
7,0,0.101523,2.00e-05,5.1,8508
8,0,0.159808,2.00e-05,5.5,8508
9,0,0.295373,2.00e-05,5.8,8508
10,0,0.075157,2.00e-05,6.2,8508
11,0,0.208595,2.00e-05,6.6,8508
12,0,0.047719,2.00e-05,6.9,8508
13,0,0.177029,2.00e-05,7.3,8508
14,0,0.095685,2.00e-05,7.7,8508
15,0,0.168810,2.00e-05,8.0,8508
16,0,0.042733,2.00e-05,8.4,8508
17,0,0.262435,2.00e-05,8.8,8508
18,0,0.254925,2.00e-05,9.1,8508
19,0,0.024372,2.00e-05,9.5,8508
20,0,0.122810,2.00e-05,9.9,8508
21,0,0.034282,2.00e-05,10.3,8508
22,0,0.059578,2.00e-05,10.7,8508
23,0,0.174074,2.00e-05,11.1,8508
24,0,0.096458,2.00e-05,11.4,8508
25,0,0.022935,2.00e-05,11.8,8508
26,0,0.117276,2.00e-05,12.2,8508
27,0,0.157986,2.00e-05,12.6,8508
28,0,0.185938,2.00e-05,12.9,8508
29,0,0.384605,2.00e-05,13.3,8508
30,0,0.014115,2.00e-05,13.7,8508
31,0,0.029928,2.00e-05,14.0,8508
32,0,0.042540,2.00e-05,14.4,8508
33,0,0.181406,2.00e-05,14.8,8508
34,0,0.350064,2.00e-05,15.1,8508
35,0,0.048361,2.00e-05,15.5,8508
36,0,0.089491,2.00e-05,15.9,8508
37,0,0.261795,2.00e-05,16.2,8508
38,0,0.118171,2.00e-05,16.6,8508
39,0,0.122309,2.00e-05,17.0,8508
40,0,0.083563,2.00e-05,17.4,8508
41,0,0.019134,2.00e-05,17.8,8508
42,0,0.004192,2.00e-05,18.2,8508
43,0,0.464135,2.00e-05,18.6,8508
44,0,0.232392,2.00e-05,19.0,8508
45,0,0.262435,2.00e-05,19.3,8508
46,0,0.212507,2.00e-05,19.7,8508
47,0,0.382178,2.00e-05,20.1,8508
48,1,0.269336,2.00e-05,20.5,8508
49,1,0.090714,2.00e-05,20.8,8508
50,1,0.086149,2.00e-05,21.2,8508
51,1,0.068305,2.00e-05,21.6,8508
52,1,0.221669,2.00e-05,21.9,8508
53,1,0.037657,2.00e-05,22.3,8508
54,1,0.029840,2.00e-05,22.7,8508
55,1,0.116817,2.00e-05,23.1,8508
56,1,0.186359,2.00e-05,23.4,8508
57,1,0.240063,2.00e-05,23.8,8508
58,1,0.230621,2.00e-05,24.1,8508
59,1,0.176523,2.00e-05,24.5,8508
60,1,0.227722,2.00e-05,24.9,8508
61,1,0.126859,2.00e-05,25.3,8508
62,1,0.178797,2.00e-05,25.6,8508
63,1,0.232487,2.00e-05,26.0,8508
64,1,0.105856,2.00e-05,26.4,8508
65,1,0.155594,2.00e-05,26.8,8508
66,1,0.148950,2.00e-05,27.1,8508
67,1,0.178127,2.00e-05,27.5,8508
68,1,0.225129,2.00e-05,27.9,8508
69,1,0.013519,2.00e-05,28.3,8508
70,1,0.035110,2.00e-05,28.7,8508
71,1,0.184270,2.00e-05,29.1,8508
72,1,0.107577,2.00e-05,29.5,8508
73,1,0.042833,2.00e-05,29.8,8508
74,1,0.066664,2.00e-05,30.2,8508
75,1,0.110148,2.00e-05,30.6,8508
76,1,0.004944,2.00e-05,30.9,8508
77,1,0.142784,2.00e-05,31.3,8508
78,1,0.187470,2.00e-05,31.7,8508
79,1,0.484088,2.00e-05,32.1,8508
80,1,0.238221,2.00e-05,32.4,8508
81,1,0.337862,2.00e-05,32.8,8508
82,1,0.175259,2.00e-05,33.2,8508
83,1,0.502433,2.00e-05,33.5,8508
84,1,0.404195,2.00e-05,33.9,8508
85,1,0.137227,2.00e-05,34.3,8508
86,1,0.052114,2.00e-05,34.6,8508
87,1,0.128709,2.00e-05,35.0,8508
88,1,0.193532,2.00e-05,35.4,8508
89,1,0.010559,2.00e-05,35.7,8508
90,1,0.414934,2.00e-05,36.1,8508
91,1,0.040629,2.00e-05,36.4,8508
92,1,0.159399,2.00e-05,36.8,8508
93,1,0.053276,2.00e-05,37.2,8508
94,1,0.016707,2.00e-05,37.5,8508
95,2,0.224606,2.00e-05,37.9,8508
96,2,0.193118,2.00e-05,38.3,8508
97,2,0.258341,2.00e-05,38.6,8508
98,2,0.301792,2.00e-05,39.0,8508
99,2,0.046855,2.00e-05,39.4,8508
100,2,0.286584,2.00e-05,39.8,8508
101,2,0.197362,2.00e-05,40.1,8508
102,2,0.308328,2.00e-05,40.5,8508
103,2,0.140460,2.00e-05,40.9,8508
104,2,0.454522,2.00e-05,41.3,8508
105,2,0.131696,2.00e-05,41.6,8508
106,2,0.431626,2.00e-05,42.0,8508
107,2,0.029894,2.00e-05,42.4,8508
108,2,0.195343,2.00e-05,42.7,8508
109,2,0.261769,2.00e-05,43.1,8508
110,2,0.048387,2.00e-05,43.5,8508
111,2,0.335028,2.00e-05,43.8,8508
112,2,0.258801,2.00e-05,44.2,8508
113,2,0.003978,2.00e-05,44.6,8508
114,2,0.079189,2.00e-05,45.0,8508
115,2,0.154597,2.00e-05,45.3,8508
116,2,0.015957,2.00e-05,45.7,8508
117,2,0.164317,2.00e-05,46.1,8508
118,2,0.297373,2.00e-05,46.4,8508
119,2,0.093277,2.00e-05,46.8,8508
120,2,0.160748,2.00e-05,47.2,8508
121,2,0.074925,2.00e-05,47.5,8508
122,2,0.467161,2.00e-05,47.9,8508
123,2,0.007620,2.00e-05,48.3,8508
124,2,0.047750,2.00e-05,48.7,8508
125,2,0.047653,2.00e-05,49.1,8508
126,2,0.315904,2.00e-05,49.5,8508
127,2,0.019250,2.00e-05,49.9,8508
128,2,0.013156,2.00e-05,50.2,8508
129,2,0.316828,2.00e-05,50.6,8508
130,2,0.031539,2.00e-05,51.0,8508
131,2,0.019609,2.00e-05,51.4,8508
132,2,0.052837,2.00e-05,51.7,8508
133,2,0.160280,2.00e-05,52.1,8508
134,2,0.070463,2.00e-05,52.5,8508
135,2,0.023768,2.00e-05,52.8,8508
136,2,0.160631,2.00e-05,53.2,8508
137,2,0.131119,2.00e-05,53.5,8508
138,2,0.122371,2.00e-05,53.9,8508
139,2,0.262120,2.00e-05,54.3,8508
140,2,0.015758,2.00e-05,54.6,8508
141,2,0.080658,2.00e-05,55.0,8508
142,3,0.048963,2.00e-05,55.4,8508
143,3,0.146541,2.00e-05,55.8,8508
144,3,0.015338,2.00e-05,56.1,8508
145,3,0.087238,2.00e-05,56.5,8508
146,3,0.146387,2.00e-05,56.9,8508
147,3,0.169264,2.00e-05,57.2,8508
148,3,0.197447,2.00e-05,57.6,8508
149,3,0.240434,2.00e-05,58.0,8508
150,3,0.196601,2.00e-05,58.4,8508
151,3,0.056124,2.00e-05,58.7,8508
152,3,0.127763,2.00e-05,59.1,8508
153,3,0.041469,2.00e-05,59.5,8508
154,3,0.068186,2.00e-05,59.8,8508
155,3,0.288724,2.00e-05,60.2,8508
156,3,0.126442,2.00e-05,60.6,8508
157,3,0.329054,2.00e-05,61.0,8508
158,3,0.162536,2.00e-05,61.4,8508
159,3,0.171517,2.00e-05,61.7,8508
160,3,0.098692,2.00e-05,62.1,8508
161,3,0.239314,2.00e-05,62.5,8508
162,3,0.207709,2.00e-05,62.8,8508
163,3,0.115280,2.00e-05,63.2,8508
164,3,0.030769,2.00e-05,63.6,8508
165,3,0.520053,2.00e-05,64.0,8508
166,3,0.075449,2.00e-05,64.3,8508
167,3,0.120244,2.00e-05,64.7,8508
168,3,0.283637,2.00e-05,65.1,8508
169,3,0.267842,2.00e-05,65.5,8508
170,3,0.136070,2.00e-05,65.9,8508
171,3,0.237003,2.00e-05,66.2,8508
172,3,0.260320,2.00e-05,66.6,8508
173,3,0.131182,2.00e-05,67.0,8508
174,3,0.060749,2.00e-05,67.3,8508
175,3,0.130052,2.00e-05,67.7,8508
176,3,0.039155,2.00e-05,68.1,8508
177,3,0.243613,2.00e-05,68.5,8508
178,3,0.107172,2.00e-05,68.8,8508
179,3,0.643962,2.00e-05,69.2,8508
180,3,0.197325,2.00e-05,69.6,8508
181,3,0.200189,2.00e-05,69.9,8508
182,3,0.013432,2.00e-05,70.3,8508
183,3,0.034397,2.00e-05,70.7,8508
184,3,0.038597,2.00e-05,71.1,8508
185,3,0.169049,2.00e-05,71.4,8508
186,3,0.244559,2.00e-05,71.8,8508
187,3,0.182963,2.00e-05,72.2,8508
188,3,0.248342,2.00e-05,72.5,8508
189,4,0.202906,2.00e-05,72.9,8508
190,4,0.280879,2.00e-05,73.3,8508
191,4,0.119042,2.00e-05,73.7,8508
192,4,0.029909,2.00e-05,74.1,8508
193,4,0.069475,2.00e-05,74.4,8508
194,4,0.282605,2.00e-05,74.8,8508
195,4,0.203891,2.00e-05,75.1,8508
196,4,0.116690,2.00e-05,75.5,8508
197,4,0.053530,2.00e-05,75.9,8508
198,4,0.299830,2.00e-05,76.3,8508
199,4,0.237613,2.00e-05,76.6,8508
200,4,0.084861,2.00e-05,77.0,8508
201,4,0.322930,2.00e-05,77.4,8508
202,4,0.119969,2.00e-05,77.8,8508
203,4,0.075246,2.00e-05,78.2,8508
