step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.135734,1.00e-04,2.7,8463
2,0,0.337658,1.00e-04,3.0,8482
3,0,0.170158,1.00e-04,3.4,8482
4,0,0.258000,1.00e-04,3.8,8482
5,0,0.199057,1.00e-04,4.1,8495
6,0,0.105259,1.00e-04,4.5,8508
7,0,0.004758,1.00e-04,4.8,8508
8,0,0.268793,1.00e-04,5.2,8508
9,0,0.083224,1.00e-04,5.5,8508
10,0,0.271555,1.00e-04,5.8,8508
11,0,0.273275,1.00e-04,6.2,8508
12,0,0.323635,1.00e-04,6.5,8508
13,0,0.119460,1.00e-04,6.9,8508
14,0,0.458344,1.00e-04,7.2,8508
15,0,0.012290,1.00e-04,7.6,8508
16,0,0.119446,1.00e-04,7.9,8508
17,0,0.269700,1.00e-04,8.3,8508
18,0,0.070566,1.00e-04,8.6,8508
19,0,0.004224,1.00e-04,9.0,8508
20,0,0.414917,1.00e-04,9.4,8508
21,0,0.112391,1.00e-04,9.7,8508
22,0,0.034353,1.00e-04,10.1,8508
23,0,0.273761,1.00e-04,10.4,8508
24,0,0.613121,1.00e-04,10.8,8508
25,0,0.439145,1.00e-04,11.1,8508
26,0,0.137450,1.00e-04,11.4,8508
27,0,0.114172,1.00e-04,11.8,8508
28,0,0.345859,1.00e-04,12.1,8508
29,0,0.198189,1.00e-04,12.5,8508
30,0,0.072504,1.00e-04,12.8,8508
31,0,0.234657,1.00e-04,13.2,8508
32,0,0.115596,1.00e-04,13.5,8508
33,0,0.393426,1.00e-04,13.9,8508
34,0,0.081060,1.00e-04,14.2,8508
35,0,0.154117,1.00e-04,14.6,8508
36,0,0.076112,1.00e-04,14.9,8508
37,0,0.060929,1.00e-04,15.3,8508
38,0,0.286592,1.00e-04,15.6,8508
39,0,0.248417,1.00e-04,16.0,8508
40,0,0.206430,1.00e-04,16.3,8508
41,0,0.274006,1.00e-04,16.7,8508
42,0,0.307868,1.00e-04,17.0,8508
43,0,0.277786,1.00e-04,17.4,8508
44,0,0.099399,1.00e-04,17.7,8508
45,0,0.412351,1.00e-04,18.1,8508
46,0,0.330461,1.00e-04,18.4,8508
47,0,0.215247,1.00e-04,18.8,8508
48,0,0.330526,1.00e-04,19.1,8508
49,0,0.258042,1.00e-04,19.5,8508
50,0,0.126026,1.00e-04,19.9,8508
51,0,0.247246,1.00e-04,20.2,8508
52,0,0.081939,1.00e-04,20.6,8508
53,0,0.030916,1.00e-04,20.9,8508
54,0,0.008826,1.00e-04,21.2,8508
55,0,0.211544,1.00e-04,21.6,8508
56,0,0.141052,1.00e-04,21.9,8508
57,0,0.010365,1.00e-04,22.3,8508
58,0,0.226805,1.00e-04,22.6,8508
59,0,0.095722,1.00e-04,23.0,8508
60,0,0.629890,1.00e-04,23.4,8508
61,0,0.138772,1.00e-04,23.7,8508
62,0,0.222889,1.00e-04,24.0,8508
63,0,0.021707,1.00e-04,24.4,8508
64,0,0.084775,1.00e-04,24.7,8508
65,0,0.046353,1.00e-04,25.1,8508
66,0,0.235033,1.00e-04,25.4,8508
67,0,0.296199,1.00e-04,25.8,8508
68,0,0.182987,1.00e-04,26.1,8508
69,0,0.157386,1.00e-04,26.5,8508
70,0,0.091791,1.00e-04,26.8,8508
71,0,0.022270,1.00e-04,27.3,8508
72,0,0.388043,1.00e-04,27.6,8508
73,0,0.094526,1.00e-04,27.9,8508
74,0,0.347045,1.00e-04,28.3,8508
75,0,0.166047,1.00e-04,28.7,8508
76,0,0.029174,1.00e-04,29.0,8508
77,0,0.163020,1.00e-04,29.3,8508
78,0,0.037579,1.00e-04,29.7,8508
79,0,0.012239,1.00e-04,30.0,8508
80,0,0.231493,1.00e-04,30.4,8508
81,0,0.331227,1.00e-04,30.7,8508
82,0,0.236099,1.00e-04,31.1,8508
83,0,0.297861,1.00e-04,31.4,8508
84,0,0.030597,1.00e-04,31.8,8508
85,0,0.071562,1.00e-04,32.1,8508
86,0,0.015514,1.00e-04,32.5,8508
87,0,0.007197,1.00e-04,32.8,8508
88,0,0.096974,1.00e-04,33.2,8508
