step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.708744,1.00e-04,2.7,8463
2,0,0.059885,1.00e-04,3.1,8482
3,0,0.161194,1.00e-04,3.4,8482
4,0,0.032284,1.00e-04,3.8,8482
5,0,0.306584,1.00e-04,4.1,8495
6,0,0.378488,1.00e-04,4.4,8508
7,0,0.452707,1.00e-04,4.8,8508
8,0,0.104195,1.00e-04,5.1,8508
9,0,0.113769,1.00e-04,5.5,8508
10,0,0.492099,1.00e-04,5.8,8508
11,0,0.238966,1.00e-04,6.1,8508
12,0,0.325798,1.00e-04,6.5,8508
13,0,0.143983,1.00e-04,6.8,8508
14,0,0.034996,1.00e-04,7.1,8508
15,0,0.044919,1.00e-04,7.5,8508
16,0,0.121049,1.00e-04,7.8,8508
17,0,0.155957,1.00e-04,8.2,8508
18,0,0.087749,1.00e-04,8.5,8508
19,0,0.074783,1.00e-04,8.9,8508
20,0,0.055525,1.00e-04,9.2,8508
21,0,0.008767,1.00e-04,9.6,8508
22,0,0.049392,1.00e-04,9.9,8508
23,0,0.066875,1.00e-04,10.2,8508
24,0,0.151358,1.00e-04,10.6,8508
25,0,0.144321,1.00e-04,10.9,8508
26,0,0.206681,1.00e-04,11.3,8508
27,0,0.021179,1.00e-04,11.6,8508
28,0,0.031531,1.00e-04,11.9,8508
29,0,0.293034,1.00e-04,12.3,8508
30,0,0.081581,1.00e-04,12.6,8508
31,0,0.039503,1.00e-04,13.0,8508
32,0,0.155266,1.00e-04,13.3,8508
33,0,0.175889,1.00e-04,13.6,8508
34,0,0.023876,1.00e-04,14.0,8508
35,0,0.074076,1.00e-04,14.3,8508
36,0,0.007826,1.00e-04,14.7,8508
37,0,0.004767,1.00e-04,15.0,8508
38,0,0.034053,1.00e-04,15.4,8508
39,0,0.047068,1.00e-04,15.7,8508
40,0,0.128170,1.00e-04,16.0,8508
41,0,0.144687,1.00e-04,16.4,8508
42,0,0.068609,1.00e-04,16.7,8508
43,0,0.397680,1.00e-04,17.1,8508
44,0,0.188881,1.00e-04,17.4,8508
45,0,0.051867,1.00e-04,17.7,8508
46,0,0.176471,1.00e-04,18.1,8508
47,0,0.113982,1.00e-04,18.5,8508
48,0,0.400274,1.00e-04,18.8,8508
49,0,0.108870,1.00e-04,19.2,8508
50,0,0.031315,1.00e-04,19.6,8508
51,0,0.023905,1.00e-04,19.9,8508
52,0,0.132992,1.00e-04,20.3,8508
53,0,0.008500,1.00e-04,20.6,8508
54,0,0.102418,1.00e-04,20.9,8508
55,0,0.125838,1.00e-04,21.3,8508
56,0,0.100756,1.00e-04,21.6,8508
57,0,0.252970,1.00e-04,21.9,8508
58,1,0.356677,1.00e-04,22.3,8508
59,1,0.154316,1.00e-04,22.6,8508
60,1,0.227899,1.00e-04,23.0,8508
61,1,0.009944,1.00e-04,23.3,8508
62,1,0.022886,1.00e-04,23.6,8508
63,1,0.198001,1.00e-04,24.0,8508
64,1,0.240136,1.00e-04,24.3,8508
65,1,0.098810,1.00e-04,24.7,8508
66,1,0.177992,1.00e-04,25.0,8508
67,1,0.420279,1.00e-04,25.3,8508
68,1,0.133566,1.00e-04,25.7,8508
69,1,0.367811,1.00e-04,26.1,8508
70,1,0.111705,1.00e-04,26.4,8508
71,1,0.102216,1.00e-04,26.8,8508
72,1,0.191993,1.00e-04,27.1,8508
73,1,0.207141,1.00e-04,27.5,8508
74,1,0.088931,1.00e-04,27.8,8508
75,1,0.072873,1.00e-04,28.1,8508
76,1,0.015381,1.00e-04,28.5,8508
77,1,0.061010,1.00e-04,28.8,8508
78,1,0.126162,1.00e-04,29.2,8508
79,1,0.075030,1.00e-04,29.5,8508
80,1,0.006540,1.00e-04,29.9,8508
81,1,0.189905,1.00e-04,30.3,8508
82,1,0.154031,1.00e-04,30.6,8508
83,1,0.126345,1.00e-04,30.9,8508
84,1,0.444952,1.00e-04,31.3,8508
85,1,0.047943,1.00e-04,31.6,8508
86,1,0.007820,1.00e-04,31.9,8508
87,1,0.018627,1.00e-04,32.4,8508
88,1,0.289946,1.00e-04,32.7,8508
89,1,0.101188,1.00e-04,33.0,8508
90,1,0.179172,1.00e-04,33.4,8508
91,1,0.110002,1.00e-04,33.7,8508
92,1,0.088754,1.00e-04,34.1,8508
93,1,0.086862,1.00e-04,34.4,8508
94,1,0.072965,1.00e-04,34.7,8508
95,1,0.012150,1.00e-04,35.1,8508
96,1,0.168649,1.00e-04,35.4,8508
97,1,0.004652,1.00e-04,35.8,8508
98,1,0.170448,1.00e-04,36.1,8508
99,1,0.080943,1.00e-04,36.4,8508
100,1,0.129251,1.00e-04,36.8,8508
101,1,0.230317,1.00e-04,37.1,8508
102,1,0.039948,1.00e-04,37.5,8508
103,1,0.296208,1.00e-04,37.8,8508
104,1,0.161987,1.00e-04,38.2,8508
105,1,0.261907,1.00e-04,38.5,8508
106,1,0.011001,1.00e-04,38.9,8508
107,1,0.163645,1.00e-04,39.2,8508
108,1,0.453414,1.00e-04,39.6,8508
109,1,0.210151,1.00e-04,39.9,8508
110,1,0.121882,1.00e-04,40.3,8508
111,1,0.241248,1.00e-04,40.7,8508
112,1,0.128582,1.00e-04,41.0,8508
113,1,0.085315,1.00e-04,41.4,8508
114,1,0.115614,1.00e-04,41.7,8508
115,2,0.013852,1.00e-04,42.0,8508
116,2,0.014392,1.00e-04,42.4,8508
117,2,0.175967,1.00e-04,42.7,8508
118,2,0.215804,1.00e-04,43.0,8508
119,2,0.078249,1.00e-04,43.4,8508
120,2,0.015168,1.00e-04,43.7,8508
121,2,0.166554,1.00e-04,44.1,8508
122,2,0.048886,1.00e-04,44.4,8508
123,2,0.411794,1.00e-04,44.8,8508
124,2,0.169774,1.00e-04,45.1,8508
125,2,0.144890,1.00e-04,45.4,8508
126,2,0.178684,1.00e-04,45.8,8508
127,2,0.136240,1.00e-04,46.1,8508
128,2,0.155257,1.00e-04,46.5,8508
129,2,0.064431,1.00e-04,46.8,8508
130,2,0.254832,1.00e-04,47.1,8508
131,2,0.239644,1.00e-04,47.5,8508
132,2,0.043316,1.00e-04,47.8,8508
133,2,0.054769,1.00e-04,48.2,8508
134,2,0.294850,1.00e-04,48.5,8508
135,2,0.033552,1.00e-04,48.9,8508
136,2,0.139127,1.00e-04,49.2,8508
137,2,0.099662,1.00e-04,49.5,8508
138,2,0.072938,1.00e-04,49.9,8508
139,2,0.113703,1.00e-04,50.2,8508
140,2,0.148602,1.00e-04,50.5,8508
141,2,0.081848,1.00e-04,50.9,8508
142,2,0.097040,1.00e-04,51.2,8508
143,2,0.045524,1.00e-04,51.6,8508
144,2,0.096498,1.00e-04,52.0,8508
145,2,0.027927,1.00e-04,52.3,8508
146,2,0.120424,1.00e-04,52.7,8508
147,2,0.056687,1.00e-04,53.0,8508
148,2,0.195190,1.00e-04,53.3,8508
149,2,0.146944,1.00e-04,53.7,8508
150,2,0.136461,1.00e-04,54.0,8508
151,2,0.083859,1.00e-04,54.4,8508
152,2,0.317605,1.00e-04,54.7,8508
153,2,0.088881,1.00e-04,55.1,8508
154,2,0.106790,1.00e-04,55.4,8508
155,2,0.294929,1.00e-04,55.7,8508
156,2,0.237906,1.00e-04,56.1,8508
157,2,0.094552,1.00e-04,56.4,8508
158,2,0.039407,1.00e-04,56.8,8508
159,2,0.371599,1.00e-04,57.1,8508
160,2,0.035656,1.00e-04,57.5,8508
161,2,0.010077,1.00e-04,57.8,8508
162,2,0.102735,1.00e-04,58.1,8508
163,2,0.376146,1.00e-04,58.5,8508
164,2,0.056635,1.00e-04,58.8,8508
165,2,0.015706,1.00e-04,59.2,8508
166,2,0.071678,1.00e-04,59.5,8508
167,2,0.080537,1.00e-04,59.9,8508
168,2,0.054748,1.00e-04,60.2,8508
169,2,0.065719,1.00e-04,60.6,8508
170,2,0.187337,1.00e-04,60.9,8508
171,2,0.035621,1.00e-04,61.2,8508
172,3,0.060324,1.00e-04,61.6,8508
173,3,0.209423,1.00e-04,61.9,8508
174,3,0.071864,1.00e-04,62.3,8508
175,3,0.296269,1.00e-04,62.6,8508
176,3,0.077667,1.00e-04,63.0,8508
177,3,0.074222,1.00e-04,63.3,8508
178,3,0.270177,1.00e-04,63.7,8508
179,3,0.015519,1.00e-04,64.0,8508
180,3,0.101243,1.00e-04,64.3,8508
181,3,0.170443,1.00e-04,64.7,8508
182,3,0.005316,1.00e-04,65.0,8508
183,3,0.058790,1.00e-04,65.4,8508
184,3,0.183430,1.00e-04,65.7,8508
185,3,0.125231,1.00e-04,66.1,8508
186,3,0.185687,1.00e-04,66.4,8508
187,3,0.357386,1.00e-04,66.7,8508
188,3,0.079574,1.00e-04,67.1,8508
189,3,0.052293,1.00e-04,67.4,8508
190,3,0.032663,1.00e-04,67.8,8508
191,3,0.148893,1.00e-04,68.1,8508
192,3,0.020748,1.00e-04,68.4,8508
193,3,0.047105,1.00e-04,68.8,8508
194,3,0.198393,1.00e-04,69.1,8508
195,3,0.004548,1.00e-04,69.5,8508
196,3,0.145700,1.00e-04,69.8,8508
197,3,0.377433,1.00e-04,70.2,8508
198,3,0.081696,1.00e-04,70.5,8508
199,3,0.101424,1.00e-04,70.9,8508
200,3,0.136971,1.00e-04,71.2,8508
201,3,0.305193,1.00e-04,71.6,8508
202,3,0.275888,1.00e-04,71.9,8508
203,3,0.057441,1.00e-04,72.3,8508
204,3,0.431934,1.00e-04,72.6,8508
205,3,0.579713,1.00e-04,73.0,8508
206,3,0.091759,1.00e-04,73.3,8508
207,3,0.188371,1.00e-04,73.7,8508
208,3,0.093537,1.00e-04,74.0,8508
209,3,0.022819,1.00e-04,74.4,8508
210,3,0.067343,1.00e-04,74.7,8508
211,3,0.128706,1.00e-04,75.1,8508
212,3,0.008013,1.00e-04,75.4,8508
213,3,0.089477,1.00e-04,75.7,8508
214,3,0.182974,1.00e-04,76.1,8508
215,3,0.039761,1.00e-04,76.4,8508
216,3,0.125405,1.00e-04,76.8,8508
217,3,0.225093,1.00e-04,77.1,8508
218,3,0.379276,1.00e-04,77.5,8508
219,3,0.024759,1.00e-04,77.8,8508
220,3,0.140182,1.00e-04,78.1,8508
221,3,0.069732,1.00e-04,78.5,8508
222,3,0.296741,1.00e-04,78.8,8508
223,3,0.388086,1.00e-04,79.2,8508
224,3,0.081936,1.00e-04,79.5,8508
225,3,0.082611,1.00e-04,79.9,8508
226,3,0.008873,1.00e-04,80.2,8508
227,3,0.174277,1.00e-04,80.5,8508
228,3,0.123415,1.00e-04,80.9,8508
229,4,0.007007,1.00e-04,81.2,8508
230,4,0.036275,1.00e-04,81.6,8508
231,4,0.180059,1.00e-04,82.0,8508
232,4,0.504664,1.00e-04,82.3,8508
233,4,0.347443,1.00e-04,82.7,8508
234,4,0.123977,1.00e-04,83.0,8508
235,4,0.258674,1.00e-04,83.3,8508
236,4,0.038015,1.00e-04,83.7,8508
237,4,0.115964,1.00e-04,84.0,8508
238,4,0.100092,1.00e-04,84.4,8508
239,4,0.084736,1.00e-04,84.7,8508
240,4,0.067331,1.00e-04,85.1,8508
241,4,0.171371,1.00e-04,85.4,8508
242,4,0.277544,1.00e-04,85.8,8508
243,4,0.145429,1.00e-04,86.1,8508
244,4,0.250550,1.00e-04,86.4,8508
245,4,0.185730,1.00e-04,86.8,8508
246,4,0.097992,1.00e-04,87.1,8508
247,4,0.320402,1.00e-04,87.5,8508
248,4,0.094995,1.00e-04,87.8,8508
249,4,0.258194,1.00e-04,88.2,8508
250,4,0.041599,1.00e-04,88.5,8508
251,4,0.007594,1.00e-04,88.8,8508
252,4,0.224038,1.00e-04,89.2,8508
253,4,0.134314,1.00e-04,89.5,8508
254,4,0.145134,1.00e-04,89.9,8508
255,4,0.125551,1.00e-04,90.2,8508
256,4,0.181131,1.00e-04,90.6,8508
257,4,0.035479,1.00e-04,90.9,8508
258,4,0.128206,1.00e-04,91.3,8508
259,4,0.167538,1.00e-04,91.6,8508
260,4,0.114217,1.00e-04,92.0,8508
261,4,0.025234,1.00e-04,92.3,8508
262,4,0.034218,1.00e-04,92.6,8508
263,4,0.075603,1.00e-04,93.0,8508
264,4,0.274183,1.00e-04,93.3,8508
265,4,0.034272,1.00e-04,93.7,8508
266,4,0.290706,1.00e-04,94.0,8508
267,4,0.063302,1.00e-04,94.4,8508
268,4,0.057337,1.00e-04,94.7,8508
269,4,0.304303,1.00e-04,95.0,8508
270,4,0.092576,1.00e-04,95.4,8508
271,4,0.009321,1.00e-04,95.7,8508
272,4,0.116571,1.00e-04,96.1,8508
273,4,0.166103,1.00e-04,96.4,8508
274,4,0.150498,1.00e-04,96.8,8508
275,4,0.131503,1.00e-04,97.1,8508
276,4,0.463491,1.00e-04,97.5,8508
277,4,0.120041,1.00e-04,97.8,8508
278,4,0.108487,1.00e-04,98.1,8508
279,4,0.138712,1.00e-04,98.5,8508
280,4,0.053928,1.00e-04,98.8,8508
281,4,0.258581,1.00e-04,99.2,8508
282,4,0.047101,1.00e-04,99.6,8508
283,4,0.290369,1.00e-04,99.9,8508
284,4,0.060398,1.00e-04,100.2,8508
285,4,0.185298,1.00e-04,100.6,8508
286,5,0.147690,1.00e-04,101.0,8508
287,5,0.188576,1.00e-04,101.3,8508
288,5,0.183394,1.00e-04,101.7,8508
289,5,0.509455,1.00e-04,102.0,8508
290,5,0.136610,1.00e-04,102.4,8508
291,5,0.098019,1.00e-04,102.7,8508
292,5,0.138929,1.00e-04,103.1,8508
293,5,0.039065,1.00e-04,103.4,8508
294,5,0.413028,1.00e-04,103.7,8508
295,5,0.312762,1.00e-04,104.1,8508
296,5,0.038655,1.00e-04,104.4,8508
297,5,0.023158,1.00e-04,104.8,8508
298,5,0.106061,1.00e-04,105.1,8508
299,5,0.163290,1.00e-04,105.5,8508
300,5,0.193631,1.00e-04,105.8,8508
301,5,0.080033,1.00e-04,106.1,8508
302,5,0.079087,1.00e-04,106.5,8508
303,5,0.075137,1.00e-04,106.8,8508
304,5,0.105666,1.00e-04,107.2,8508
305,5,0.077569,1.00e-04,107.5,8508
306,5,0.023247,1.00e-04,107.9,8508
307,5,0.282093,1.00e-04,108.2,8508
308,5,0.145808,1.00e-04,108.6,8508
309,5,0.142390,1.00e-04,108.9,8508
310,5,0.265076,1.00e-04,109.3,8508
311,5,0.197694,1.00e-04,109.7,8508
312,5,0.050250,1.00e-04,110.0,8508
313,5,0.128000,1.00e-04,110.3,8508
314,5,0.248563,1.00e-04,110.7,8508
315,5,0.032754,1.00e-04,111.0,8508
316,5,0.032478,1.00e-04,111.4,8508
317,5,0.027191,1.00e-04,111.8,8508
318,5,0.095250,1.00e-04,112.1,8508
319,5,0.113931,1.00e-04,112.5,8508
320,5,0.068647,1.00e-04,112.8,8508
321,5,0.120345,1.00e-04,113.3,8508
322,5,0.016689,1.00e-04,113.6,8508
323,5,0.059964,1.00e-04,114.0,8508
324,5,0.007691,1.00e-04,114.3,8508
325,5,0.082260,1.00e-04,114.6,8508
326,5,0.055687,1.00e-04,115.0,8508
327,5,0.397363,1.00e-04,115.3,8508
328,5,0.273900,1.00e-04,115.7,8508
329,5,0.146407,1.00e-04,116.0,8508
330,5,0.055088,1.00e-04,116.4,8508
331,5,0.390378,1.00e-04,116.7,8508
332,5,0.022334,1.00e-04,117.1,8508
333,5,0.338742,1.00e-04,117.4,8508
334,5,0.210422,1.00e-04,117.8,8508
335,5,0.303946,1.00e-04,118.1,8508
336,5,0.238583,1.00e-04,118.4,8508
337,5,0.071007,1.00e-04,118.8,8508
338,5,0.153116,1.00e-04,119.2,8508
339,5,0.015165,1.00e-04,119.5,8508
340,5,0.030331,1.00e-04,119.9,8508
341,5,0.045280,1.00e-04,120.2,8508
342,5,0.329423,1.00e-04,120.5,8508
343,6,0.031502,1.00e-04,121.0,8508
344,6,0.118830,1.00e-04,121.3,8508
345,6,0.147684,1.00e-04,121.7,8508
346,6,0.030786,1.00e-04,122.0,8508
347,6,0.137621,1.00e-04,122.4,8508
348,6,0.060663,1.00e-04,122.7,8508
349,6,0.028007,1.00e-04,123.0,8508
350,6,0.121478,1.00e-04,123.4,8508
351,6,0.012986,1.00e-04,123.7,8508
352,6,0.005209,1.00e-04,124.1,8508
353,6,0.071798,1.00e-04,124.4,8508
354,6,0.005880,1.00e-04,124.8,8508
355,6,0.053947,1.00e-04,125.1,8508
356,6,0.129706,1.00e-04,125.4,8508
357,6,0.140658,1.00e-04,125.8,8508
358,6,0.490071,1.00e-04,126.1,8508
359,6,0.051825,1.00e-04,126.5,8508
360,6,0.099211,1.00e-04,126.8,8508
361,6,0.028323,1.00e-04,127.2,8508
362,6,0.032773,1.00e-04,127.5,8508
363,6,0.303141,1.00e-04,127.8,8508
364,6,0.074482,1.00e-04,128.3,8508
365,6,0.175256,1.00e-04,128.6,8508
366,6,0.015278,1.00e-04,129.0,8508
367,6,0.168540,1.00e-04,129.3,8508
368,6,0.100769,1.00e-04,129.6,8508
369,6,0.057512,1.00e-04,130.0,8508
370,6,0.169009,1.00e-04,130.3,8508
371,6,0.188701,1.00e-04,130.7,8508
372,6,0.063098,1.00e-04,131.0,8508
373,6,0.177162,1.00e-04,131.4,8508
374,6,0.006821,1.00e-04,131.7,8508
375,6,0.227878,1.00e-04,132.1,8508
376,6,0.021974,1.00e-04,132.4,8508
377,6,0.159983,1.00e-04,132.7,8508
378,6,0.040102,1.00e-04,133.1,8508
379,6,0.065013,1.00e-04,133.4,8508
380,6,0.092927,1.00e-04,133.8,8508
381,6,0.143288,1.00e-04,134.1,8508
382,6,0.036745,1.00e-04,134.5,8508
383,6,0.161151,1.00e-04,134.8,8508
384,6,0.307941,1.00e-04,135.2,8508
385,6,0.131161,1.00e-04,135.5,8508
386,6,0.219707,1.00e-04,135.9,8508
387,6,0.103656,1.00e-04,136.2,8508
388,6,0.279306,1.00e-04,136.6,8508
389,6,0.059060,1.00e-04,136.9,8508
390,6,0.028283,1.00e-04,137.3,8508
391,6,0.004598,1.00e-04,137.6,8508
392,6,0.436395,1.00e-04,138.0,8508
