step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.667248,2.00e-05,2.7,8463
2,0,0.036633,2.00e-05,3.1,8482
3,0,0.186443,2.00e-05,3.4,8482
4,0,0.070071,2.00e-05,3.8,8482
5,0,0.352569,2.00e-05,4.1,8495
6,0,0.274705,2.00e-05,4.5,8508
7,0,0.449928,2.00e-05,4.8,8508
8,0,0.110892,2.00e-05,5.2,8508
9,0,0.102158,2.00e-05,5.5,8508
10,0,0.519553,2.00e-05,5.9,8508
11,0,0.260278,2.00e-05,6.2,8508
12,0,0.538042,2.00e-05,6.5,8508
13,0,0.137655,2.00e-05,6.9,8508
14,0,0.046849,2.00e-05,7.2,8508
15,0,0.042386,2.00e-05,7.6,8508
16,0,0.102341,2.00e-05,7.9,8508
17,0,0.165054,2.00e-05,8.3,8508
18,0,0.177363,2.00e-05,8.6,8508
19,1,0.250970,2.00e-05,9.0,8508
20,1,0.227547,2.00e-05,9.3,8508
21,1,0.009484,2.00e-05,9.7,8508
22,1,0.153042,2.00e-05,10.0,8508
23,1,0.310141,2.00e-05,10.4,8508
24,1,0.028544,2.00e-05,10.7,8508
25,1,0.048295,2.00e-05,11.1,8508
26,1,0.037871,2.00e-05,11.4,8508
27,1,0.107978,2.00e-05,11.8,8508
28,1,0.129776,2.00e-05,12.1,8508
29,1,0.099334,2.00e-05,12.4,8508
30,1,0.159485,2.00e-05,12.8,8508
31,1,0.103921,2.00e-05,13.1,8508
32,1,0.109424,2.00e-05,13.5,8508
33,1,0.117213,2.00e-05,13.8,8508
34,1,0.071071,2.00e-05,14.2,8508
35,1,0.481665,2.00e-05,14.5,8508
36,1,0.133237,2.00e-05,14.8,8508
37,2,0.161613,2.00e-05,15.1,8508
38,2,0.043786,2.00e-05,15.5,8508
39,2,0.031184,2.00e-05,15.8,8508
40,2,0.292473,2.00e-05,16.2,8508
41,2,0.421417,2.00e-05,16.6,8508
42,2,0.008227,2.00e-05,16.9,8508
43,2,0.173838,2.00e-05,17.3,8508
44,2,0.085665,2.00e-05,17.6,8508
45,2,0.381640,2.00e-05,18.0,8508
46,2,0.253759,2.00e-05,18.3,8508
47,2,0.186165,2.00e-05,18.6,8508
48,2,0.382300,2.00e-05,19.0,8508
49,2,0.040816,2.00e-05,19.3,8508
50,2,0.117472,2.00e-05,19.7,8508
51,2,0.193107,2.00e-05,20.0,8508
52,2,0.080262,2.00e-05,20.4,8508
53,2,0.116141,2.00e-05,20.7,8508
