step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.159231,1.00e-04,2.7,8463
2,0,0.297531,1.00e-04,3.1,8482
3,0,0.191556,1.00e-04,3.4,8482
4,0,0.308431,1.00e-04,3.8,8482
5,0,0.182972,1.00e-04,4.1,8495
6,0,0.104249,1.00e-04,4.5,8508
7,0,0.004118,1.00e-04,4.8,8508
8,0,0.320406,1.00e-04,5.1,8508
9,0,0.111224,1.00e-04,5.5,8508
10,0,0.306388,1.00e-04,5.8,8508
11,0,0.280967,1.00e-04,6.2,8508
12,0,0.292451,1.00e-04,6.5,8508
13,0,0.170502,1.00e-04,6.9,8508
14,0,0.396562,1.00e-04,7.2,8508
15,0,0.016037,1.00e-04,7.6,8508
16,0,0.210776,1.00e-04,7.9,8508
17,0,0.288167,1.00e-04,8.2,8508
18,0,0.132388,1.00e-04,8.6,8508
19,0,0.004034,1.00e-04,9.0,8508
20,0,0.247899,1.00e-04,9.3,8508
21,0,0.086881,1.00e-04,9.7,8508
22,0,0.030721,1.00e-04,10.0,8508
23,0,0.189550,1.00e-04,10.3,8508
24,0,0.541728,1.00e-04,10.7,8508
25,0,0.422460,1.00e-04,11.0,8508
26,0,0.138944,1.00e-04,11.4,8508
27,0,0.232357,1.00e-04,11.7,8508
28,0,0.311723,1.00e-04,12.1,8508
29,0,0.203082,1.00e-04,12.4,8508
30,0,0.054965,1.00e-04,12.7,8508
31,0,0.201779,1.00e-04,13.1,8508
32,0,0.134153,1.00e-04,13.4,8508
33,0,0.473354,1.00e-04,13.8,8508
34,0,0.163837,1.00e-04,14.1,8508
35,0,0.168840,1.00e-04,14.5,8508
36,0,0.102403,1.00e-04,14.8,8508
37,0,0.090034,1.00e-04,15.2,8508
38,0,0.315153,1.00e-04,15.5,8508
39,0,0.348875,1.00e-04,15.9,8508
40,0,0.190758,1.00e-04,16.2,8508
41,0,0.220604,1.00e-04,16.5,8508
42,0,0.252325,1.00e-04,16.9,8508
43,0,0.247788,1.00e-04,17.2,8508
44,0,0.080141,1.00e-04,17.6,8508
45,0,0.387657,1.00e-04,17.9,8508
46,0,0.240988,1.00e-04,18.3,8508
47,0,0.263261,1.00e-04,18.6,8508
48,0,0.318991,1.00e-04,19.0,8508
49,0,0.224394,1.00e-04,19.3,8508
50,0,0.131566,1.00e-04,19.7,8508
51,0,0.239607,1.00e-04,20.0,8508
52,0,0.181396,1.00e-04,20.3,8508
53,0,0.023390,1.00e-04,20.7,8508
54,0,0.015103,1.00e-04,21.0,8508
55,0,0.226797,1.00e-04,21.3,8508
56,0,0.112028,1.00e-04,21.7,8508
57,0,0.014770,1.00e-04,22.0,8508
58,0,0.356710,1.00e-04,22.4,8508
59,0,0.101766,1.00e-04,22.7,8508
60,0,0.662936,1.00e-04,23.1,8508
61,0,0.120932,1.00e-04,23.4,8508
62,0,0.195056,1.00e-04,23.7,8508
63,0,0.029226,1.00e-04,24.1,8508
