step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.177076,2.00e-05,2.7,8463
2,0,0.344466,2.00e-05,3.0,8482
3,0,0.189526,2.00e-05,3.4,8482
4,0,0.279275,2.00e-05,3.7,8482
5,0,0.153093,2.00e-05,4.1,8495
6,0,0.142067,2.00e-05,4.4,8508
7,0,0.005130,2.00e-05,4.8,8508
8,0,0.257026,2.00e-05,5.2,8508
9,0,0.109361,2.00e-05,5.5,8508
10,0,0.392572,2.00e-05,5.9,8508
11,0,0.310090,2.00e-05,6.2,8508
12,0,0.308659,2.00e-05,6.6,8508
13,0,0.184751,2.00e-05,6.9,8508
14,0,0.433472,2.00e-05,7.3,8508
15,0,0.018202,2.00e-05,7.6,8508
16,0,0.185981,2.00e-05,8.0,8508
17,0,0.235004,2.00e-05,8.3,8508
18,0,0.111204,2.00e-05,8.7,8508
19,0,0.004096,2.00e-05,9.0,8508
20,0,0.333324,2.00e-05,9.4,8508
21,0,0.099353,2.00e-05,9.7,8508
22,0,0.036125,2.00e-05,10.0,8508
23,0,0.228556,2.00e-05,10.4,8508
24,0,0.525397,2.00e-05,10.9,8508
25,0,0.483531,2.00e-05,11.2,8508
26,0,0.117612,2.00e-05,11.5,8508
27,0,0.201762,2.00e-05,11.9,8508
28,0,0.296678,2.00e-05,12.2,8508
29,0,0.175232,2.00e-05,12.6,8508
30,0,0.078204,2.00e-05,12.9,8508
31,0,0.184312,2.00e-05,13.3,8508
32,0,0.165066,2.00e-05,13.6,8508
33,0,0.447378,2.00e-05,14.0,8508
34,0,0.091556,2.00e-05,14.3,8508
35,0,0.171341,2.00e-05,14.7,8508
36,0,0.095010,2.00e-05,15.0,8508
37,0,0.057328,2.00e-05,15.4,8508
38,0,0.388250,2.00e-05,15.7,8508
39,0,0.252766,2.00e-05,16.0,8508
40,0,0.181521,2.00e-05,16.4,8508
41,0,0.217285,2.00e-05,16.7,8508
42,0,0.313591,2.00e-05,17.1,8508
43,0,0.428973,2.00e-05,17.4,8508
44,1,0.241691,2.00e-05,17.8,8508
45,1,0.018455,2.00e-05,18.2,8508
46,1,0.238677,2.00e-05,18.5,8508
47,1,0.084595,2.00e-05,18.9,8508
48,1,0.119733,2.00e-05,19.3,8508
49,1,0.075233,2.00e-05,19.6,8508
50,1,0.058762,2.00e-05,20.0,8508
51,1,0.174501,2.00e-05,20.4,8508
52,1,0.205161,2.00e-05,20.7,8508
53,1,0.438766,2.00e-05,21.1,8508
54,1,0.022969,2.00e-05,21.4,8508
55,1,0.320690,2.00e-05,21.8,8508
56,1,0.359368,2.00e-05,22.2,8508
57,1,0.156321,2.00e-05,22.5,8508
58,1,0.042170,2.00e-05,22.9,8508
59,1,0.029400,2.00e-05,23.3,8508
60,1,0.131964,2.00e-05,23.6,8508
61,1,0.104427,2.00e-05,24.0,8508
62,1,0.355212,2.00e-05,24.3,8508
63,1,0.078839,2.00e-05,24.7,8508
64,1,0.128315,2.00e-05,25.0,8508
65,1,0.114476,2.00e-05,25.4,8508
66,1,0.016895,2.00e-05,25.7,8508
67,1,0.093650,2.00e-05,26.1,8508
68,1,0.158340,2.00e-05,26.4,8508
69,1,0.321742,2.00e-05,26.8,8508
70,1,0.348944,2.00e-05,27.1,8508
71,1,0.045474,2.00e-05,27.5,8508
72,1,0.008293,2.00e-05,27.8,8508
73,1,0.366656,2.00e-05,28.2,8508
74,1,0.145135,2.00e-05,28.5,8508
75,1,0.134517,2.00e-05,28.9,8508
76,1,0.579790,2.00e-05,29.2,8508
77,1,0.050355,2.00e-05,29.5,8508
78,1,0.079898,2.00e-05,29.9,8508
79,1,0.164198,2.00e-05,30.2,8508
80,1,0.214592,2.00e-05,30.6,8508
81,1,0.186724,2.00e-05,30.9,8508
82,1,0.019032,2.00e-05,31.3,8508
83,1,0.113503,2.00e-05,31.6,8508
84,1,0.157475,2.00e-05,32.0,8508
85,1,0.459244,2.00e-05,32.3,8508
86,1,0.033249,2.00e-05,32.6,8508
87,2,0.132582,2.00e-05,33.0,8508
88,2,0.052310,2.00e-05,33.3,8508
89,2,0.161336,2.00e-05,33.7,8508
90,2,0.020077,2.00e-05,34.0,8508
91,2,0.012416,2.00e-05,34.4,8508
92,2,0.216764,2.00e-05,34.7,8508
93,2,0.061812,2.00e-05,35.1,8508
94,2,0.127245,2.00e-05,35.4,8508
95,2,0.025691,2.00e-05,35.8,8508
96,2,0.189138,2.00e-05,36.1,8508
97,2,0.337543,2.00e-05,36.5,8508
98,2,0.443559,2.00e-05,36.8,8508
99,2,0.383284,2.00e-05,37.2,8508
100,2,0.122028,2.00e-05,37.5,8508
101,2,0.233557,2.00e-05,37.9,8508
102,2,0.182214,2.00e-05,38.2,8508
103,2,0.020751,2.00e-05,38.5,8508
104,2,0.130231,2.00e-05,38.9,8508
105,2,0.346373,2.00e-05,39.3,8508
106,2,0.228003,2.00e-05,39.6,8508
107,2,0.089637,2.00e-05,40.0,8508
108,2,0.012135,2.00e-05,40.3,8508
109,2,0.236938,2.00e-05,40.7,8508
110,2,0.280780,2.00e-05,41.0,8508
111,2,0.470767,2.00e-05,41.4,8508
112,2,0.185643,2.00e-05,41.7,8508
113,2,0.204975,2.00e-05,42.1,8508
114,2,0.016748,2.00e-05,42.5,8508
115,2,0.060262,2.00e-05,42.8,8508
116,2,0.172226,2.00e-05,43.2,8508
117,2,0.008885,2.00e-05,43.5,8508
118,2,0.107449,2.00e-05,43.9,8508
119,2,0.058424,2.00e-05,44.2,8508
120,2,0.073311,2.00e-05,44.6,8508
121,2,0.020804,2.00e-05,44.9,8508
122,2,0.105637,2.00e-05,45.2,8508
123,2,0.024670,2.00e-05,45.6,8508
124,2,0.087714,2.00e-05,45.9,8508
125,2,0.063919,2.00e-05,46.3,8508
126,2,0.112834,2.00e-05,46.6,8508
127,2,0.130220,2.00e-05,47.0,8508
128,2,0.180515,2.00e-05,47.4,8508
129,2,0.188208,2.00e-05,47.6,8508
130,3,0.006435,2.00e-05,48.0,8508
131,3,0.003944,2.00e-05,48.3,8508
132,3,0.109137,2.00e-05,48.7,8508
133,3,0.074109,2.00e-05,49.0,8508
134,3,0.101794,2.00e-05,49.4,8508
135,3,0.017965,2.00e-05,49.7,8508
136,3,0.398379,2.00e-05,50.1,8508
137,3,0.125612,2.00e-05,50.4,8508
138,3,0.140411,2.00e-05,50.8,8508
139,3,0.408313,2.00e-05,51.1,8508
140,3,0.078453,2.00e-05,51.5,8508
141,3,0.299396,2.00e-05,51.8,8508
142,3,0.100706,2.00e-05,52.2,8508
143,3,0.199451,2.00e-05,52.5,8508
144,3,0.179716,2.00e-05,52.9,8508
145,3,0.045185,2.00e-05,53.3,8508
146,3,0.326813,2.00e-05,53.6,8508
147,3,0.205863,2.00e-05,54.0,8508
148,3,0.212685,2.00e-05,54.4,8508
149,3,0.007286,2.00e-05,54.8,8508
150,3,0.625378,2.00e-05,55.1,8508
151,3,0.201235,2.00e-05,55.5,8508
152,3,0.198723,2.00e-05,55.8,8508
153,3,0.386647,2.00e-05,56.2,8508
154,3,0.166353,2.00e-05,56.5,8508
155,3,0.263392,2.00e-05,56.9,8508
156,3,0.298769,2.00e-05,57.2,8508
157,3,0.105742,2.00e-05,57.6,8508
158,3,0.125092,2.00e-05,57.9,8508
159,3,0.228447,2.00e-05,58.2,8508
160,3,0.433147,2.00e-05,58.6,8508
161,3,0.193667,2.00e-05,59.0,8508
162,3,0.119861,2.00e-05,59.3,8508
163,3,0.006593,2.00e-05,59.6,8508
164,3,0.027557,2.00e-05,60.0,8508
165,3,0.444716,2.00e-05,60.3,8508
166,3,0.049999,2.00e-05,60.7,8508
167,3,0.191703,2.00e-05,61.0,8508
168,3,0.078694,2.00e-05,61.4,8508
169,3,0.285125,2.00e-05,61.7,8508
170,3,0.311811,2.00e-05,62.1,8508
171,3,0.133100,2.00e-05,62.4,8508
172,3,0.126873,2.00e-05,62.7,8508
173,4,0.310794,2.00e-05,63.1,8508
174,4,0.231102,2.00e-05,63.4,8508
175,4,0.135343,2.00e-05,63.8,8508
176,4,0.229857,2.00e-05,64.1,8508
177,4,0.069920,2.00e-05,64.5,8508
178,4,0.158370,2.00e-05,64.8,8508
179,4,0.122715,2.00e-05,65.2,8508
180,4,0.008882,2.00e-05,65.5,8508
181,4,0.445254,2.00e-05,65.9,8508
182,4,0.048657,2.00e-05,66.2,8508
183,4,0.288830,2.00e-05,66.5,8508
184,4,0.010304,2.00e-05,66.9,8508
185,4,0.064439,2.00e-05,67.2,8508
186,4,0.099878,2.00e-05,67.6,8508
187,4,0.151350,2.00e-05,67.9,8508
188,4,0.187770,2.00e-05,68.3,8508
189,4,0.041879,2.00e-05,68.6,8508
190,4,0.129201,2.00e-05,69.0,8508
191,4,0.416189,2.00e-05,69.3,8508
192,4,0.029328,2.00e-05,69.7,8508
193,4,0.075663,2.00e-05,70.0,8508
194,4,0.109502,2.00e-05,70.4,8508
195,4,0.026244,2.00e-05,70.7,8508
196,4,0.090204,2.00e-05,71.1,8508
197,4,0.089384,2.00e-05,71.4,8508
198,4,0.415604,2.00e-05,71.8,8508
199,4,0.206238,2.00e-05,72.1,8508
200,4,0.103544,2.00e-05,72.5,8508
201,4,0.359791,2.00e-05,72.9,8508
202,4,0.100910,2.00e-05,73.3,8508
203,4,0.079564,2.00e-05,73.6,8508
204,4,0.144378,2.00e-05,74.0,8508
205,4,0.020498,2.00e-05,74.3,8508
206,4,0.268386,2.00e-05,74.7,8508
207,4,0.326203,2.00e-05,75.0,8508
208,4,0.228974,2.00e-05,75.4,8508
209,4,0.031640,2.00e-05,75.7,8508
210,4,0.153771,2.00e-05,76.1,8508
211,4,0.153068,2.00e-05,76.4,8508
212,4,0.498768,2.00e-05,76.8,8508
213,4,0.137635,2.00e-05,77.2,8508
214,4,0.058395,2.00e-05,77.5,8508
215,4,0.489055,2.00e-05,77.8,8508
216,5,0.042323,2.00e-05,78.2,8508
217,5,0.749922,2.00e-05,78.5,8508
218,5,0.056278,2.00e-05,78.9,8508
219,5,0.312114,2.00e-05,79.2,8508
220,5,0.047628,2.00e-05,79.6,8508
221,5,0.225563,2.00e-05,79.9,8508
222,5,0.185764,2.00e-05,80.3,8508
223,5,0.075441,2.00e-05,80.6,8508
224,5,0.224189,2.00e-05,81.0,8508
225,5,0.039740,2.00e-05,81.3,8508
226,5,0.095586,2.00e-05,81.6,8508
227,5,0.136629,2.00e-05,82.0,8508
228,5,0.163567,2.00e-05,82.3,8508
229,5,0.470750,2.00e-05,82.7,8508
230,5,0.297846,2.00e-05,83.0,8508
231,5,0.105665,2.00e-05,83.4,8508
232,5,0.005740,2.00e-05,83.7,8508
233,5,0.013565,2.00e-05,84.1,8508
234,5,0.101270,2.00e-05,84.4,8508
235,5,0.070023,2.00e-05,84.8,8508
236,5,0.014868,2.00e-05,85.1,8508
237,5,0.229210,2.00e-05,85.5,8508
238,5,0.130302,2.00e-05,85.8,8508
239,5,0.082114,2.00e-05,86.2,8508
240,5,0.206649,2.00e-05,86.5,8508
241,5,0.376044,2.00e-05,86.9,8508
242,5,0.314435,2.00e-05,87.2,8508
243,5,0.180562,2.00e-05,87.6,8508
244,5,0.108516,2.00e-05,87.9,8508
245,5,0.079719,2.00e-05,88.3,8508
246,5,0.085194,2.00e-05,88.7,8508
247,5,0.264401,2.00e-05,89.0,8508
248,5,0.328287,2.00e-05,89.4,8508
249,5,0.022371,2.00e-05,89.8,8508
250,5,0.049806,2.00e-05,90.1,8508
251,5,0.193797,2.00e-05,90.5,8508
252,5,0.168135,2.00e-05,90.8,8508
253,5,0.031898,2.00e-05,91.2,8508
254,5,0.220142,2.00e-05,91.6,8508
255,5,0.014081,2.00e-05,91.9,8508
256,5,0.071429,2.00e-05,92.3,8508
257,5,0.039234,2.00e-05,92.6,8508
258,5,0.004104,2.00e-05,92.9,8508
259,6,0.094506,2.00e-05,93.2,8508
260,6,0.029424,2.00e-05,93.6,8508
261,6,0.011859,2.00e-05,93.9,8508
262,6,0.046003,2.00e-05,94.3,8508
263,6,0.307440,2.00e-05,94.6,8508
264,6,0.118103,2.00e-05,95.0,8508
265,6,0.177395,2.00e-05,95.3,8508
266,6,0.344939,2.00e-05,95.7,8508
267,6,0.018443,2.00e-05,96.1,8508
268,6,0.326321,2.00e-05,96.4,8508
269,6,0.143726,2.00e-05,96.7,8508
270,6,0.110538,2.00e-05,97.1,8508
271,6,0.122215,2.00e-05,97.4,8508
272,6,0.244181,2.00e-05,97.8,8508
273,6,0.267214,2.00e-05,98.1,8508
274,6,0.233108,2.00e-05,98.5,8508
275,6,0.336480,2.00e-05,98.9,8508
276,6,0.117389,2.00e-05,99.2,8508
277,6,0.164422,2.00e-05,99.6,8508
278,6,0.314464,2.00e-05,99.9,8508
279,6,0.443864,2.00e-05,100.3,8508
280,6,0.107633,2.00e-05,100.6,8508
281,6,0.152980,2.00e-05,101.1,8508
282,6,0.282385,2.00e-05,101.4,8508
283,6,0.117231,2.00e-05,101.7,8508
284,6,0.002830,2.00e-05,102.1,8508
285,6,0.037834,2.00e-05,102.4,8508
286,6,0.068558,2.00e-05,102.8,8508
287,6,0.168102,2.00e-05,103.1,8508
288,6,0.258030,2.00e-05,103.5,8508
289,6,0.015672,2.00e-05,103.8,8508
290,6,0.032801,2.00e-05,104.2,8508
291,6,0.085472,2.00e-05,104.5,8508
292,6,0.036684,2.00e-05,104.9,8508
293,6,0.222497,2.00e-05,105.3,8508
294,6,0.101136,2.00e-05,105.6,8508
295,6,0.437965,2.00e-05,106.0,8508
296,6,0.273251,2.00e-05,106.3,8508
297,6,0.090280,2.00e-05,106.7,8508
298,6,0.301296,2.00e-05,107.0,8508
299,6,0.246129,2.00e-05,107.4,8508
300,6,0.112216,2.00e-05,107.7,8508
