step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.047180,1.00e-04,2.7,8463
2,0,0.205711,1.00e-04,3.1,8482
3,0,0.505537,1.00e-04,3.4,8482
4,0,0.368780,1.00e-04,3.8,8482
5,0,0.029180,1.00e-04,4.1,8495
6,0,0.081782,1.00e-04,4.5,8508
7,0,0.074317,1.00e-04,4.9,8508
8,0,0.160985,1.00e-04,5.3,8508
9,0,0.362293,1.00e-04,5.6,8508
10,0,0.069036,1.00e-04,6.0,8508
11,0,0.242448,1.00e-04,6.3,8508
12,0,0.072587,1.00e-04,6.7,8508
13,0,0.194810,1.00e-04,7.0,8508
14,0,0.087396,1.00e-04,7.4,8508
15,0,0.210595,1.00e-04,7.8,8508
16,0,0.035957,1.00e-04,8.1,8508
17,0,0.270068,1.00e-04,8.5,8508
18,0,0.230324,1.00e-04,8.8,8508
19,0,0.024669,1.00e-04,9.2,8508
20,0,0.074523,1.00e-04,9.5,8508
21,0,0.032155,1.00e-04,9.8,8508
22,0,0.060562,1.00e-04,10.2,8508
23,0,0.174353,1.00e-04,10.5,8508
24,0,0.065708,1.00e-04,10.9,8508
25,0,0.019345,1.00e-04,11.2,8508
26,1,0.148377,1.00e-04,11.6,8508
27,1,0.152218,1.00e-04,12.0,8508
28,1,0.237048,1.00e-04,12.3,8508
29,1,0.409359,1.00e-04,12.6,8508
30,1,0.012772,1.00e-04,13.0,8508
31,1,0.037697,1.00e-04,13.3,8508
32,1,0.038823,1.00e-04,13.6,8508
33,1,0.071357,1.00e-04,14.0,8508
34,1,0.417390,1.00e-04,14.3,8508
35,1,0.040362,1.00e-04,14.7,8508
36,1,0.070387,1.00e-04,15.1,8508
37,1,0.189652,1.00e-04,15.4,8508
38,1,0.130598,1.00e-04,15.7,8508
39,1,0.169301,1.00e-04,16.1,8508
40,1,0.078610,1.00e-04,16.4,8508
41,1,0.016279,1.00e-04,16.8,8508
42,1,0.005983,1.00e-04,17.1,8508
43,1,0.373361,1.00e-04,17.5,8508
44,1,0.341131,1.00e-04,17.8,8508
45,1,0.165487,1.00e-04,18.3,8508
46,1,0.273939,1.00e-04,18.6,8508
47,1,0.368515,1.00e-04,18.9,8508
48,1,0.253548,1.00e-04,19.3,8508
49,1,0.095248,1.00e-04,19.6,8508
50,1,0.076318,1.00e-04,20.0,8508
51,2,0.046253,1.00e-04,20.3,8508
52,2,0.309607,1.00e-04,20.7,8508
53,2,0.043623,1.00e-04,21.0,8508
54,2,0.040310,1.00e-04,21.4,8508
55,2,0.139016,1.00e-04,21.7,8508
56,2,0.155007,1.00e-04,22.0,8508
57,2,0.261422,1.00e-04,22.4,8508
58,2,0.217307,1.00e-04,22.7,8508
59,2,0.167799,1.00e-04,23.1,8508
60,2,0.225106,1.00e-04,23.4,8508
61,2,0.129245,1.00e-04,23.7,8508
62,2,0.153162,1.00e-04,24.1,8508
63,2,0.226279,1.00e-04,24.4,8508
64,2,0.103084,1.00e-04,24.8,8508
65,2,0.181832,1.00e-04,25.1,8508
66,2,0.234692,1.00e-04,25.5,8508
67,2,0.254230,1.00e-04,25.8,8508
68,2,0.170927,1.00e-04,26.2,8508
69,2,0.011891,1.00e-04,26.5,8508
70,2,0.042090,1.00e-04,26.8,8508
71,2,0.225997,1.00e-04,27.2,8508
72,2,0.075883,1.00e-04,27.5,8508
73,2,0.037398,1.00e-04,27.9,8508
74,2,0.068352,1.00e-04,28.2,8508
75,2,0.139707,1.00e-04,28.5,8508
76,3,0.004426,1.00e-04,28.9,8508
77,3,0.168750,1.00e-04,29.2,8508
78,3,0.179406,1.00e-04,29.6,8508
79,3,0.394878,1.00e-04,29.9,8508
80,3,0.288768,1.00e-04,30.3,8508
81,3,0.197272,1.00e-04,30.6,8508
82,3,0.040764,1.00e-04,31.0,8508
83,3,0.508895,1.00e-04,31.3,8508
84,3,0.420941,1.00e-04,31.7,8508
85,3,0.153318,1.00e-04,32.0,8508
86,3,0.058810,1.00e-04,32.3,8508
87,3,0.154232,1.00e-04,32.7,8508
88,3,0.158872,1.00e-04,33.0,8508
89,3,0.010407,1.00e-04,33.4,8508
90,3,0.393041,1.00e-04,33.7,8508
91,3,0.038018,1.00e-04,34.1,8508
92,3,0.175810,1.00e-04,34.4,8508
93,3,0.054130,1.00e-04,34.8,8508
94,3,0.023368,1.00e-04,35.1,8508
95,3,0.284466,1.00e-04,35.5,8508
96,3,0.205262,1.00e-04,35.8,8508
97,3,0.229651,1.00e-04,36.2,8508
98,3,0.270642,1.00e-04,36.6,8508
99,3,0.049049,1.00e-04,36.9,8508
100,3,0.220842,1.00e-04,37.2,8508
101,4,0.140766,1.00e-04,37.6,8508
102,4,0.324938,1.00e-04,38.0,8508
103,4,0.187905,1.00e-04,38.3,8508
104,4,0.458863,1.00e-04,38.7,8508
105,4,0.130253,1.00e-04,39.0,8508
106,4,0.411916,1.00e-04,39.4,8508
107,4,0.033067,1.00e-04,39.7,8508
108,4,0.192913,1.00e-04,40.1,8508
109,4,0.208386,1.00e-04,40.4,8508
110,4,0.054885,1.00e-04,40.8,8508
111,4,0.321591,1.00e-04,41.1,8508
112,4,0.282011,1.00e-04,41.5,8508
113,4,0.003636,1.00e-04,41.8,8508
114,4,0.048489,1.00e-04,42.2,8508
115,4,0.170061,1.00e-04,42.5,8508
116,4,0.020289,1.00e-04,42.9,8508
117,4,0.194763,1.00e-04,43.2,8508
118,4,0.247401,1.00e-04,43.6,8508
119,4,0.085405,1.00e-04,43.9,8508
