step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.209863,2.00e-05,2.8,8463
2,0,0.148895,2.00e-05,3.1,8482
3,0,0.018374,2.00e-05,3.5,8482
4,0,0.383197,2.00e-05,3.9,8482
5,0,0.095601,2.00e-05,4.2,8495
6,0,0.357951,2.00e-05,4.5,8508
7,0,0.024575,2.00e-05,4.9,8508
8,0,0.004575,2.00e-05,5.2,8508
9,1,0.297580,2.00e-05,5.6,8508
10,1,0.097092,2.00e-05,6.0,8508
11,1,0.002951,2.00e-05,6.4,8508
12,1,0.153122,2.00e-05,6.7,8508
13,1,0.167417,2.00e-05,7.1,8508
14,1,0.068578,2.00e-05,7.4,8508
15,1,0.096393,2.00e-05,7.8,8508
16,1,0.009472,2.00e-05,8.0,8508
17,2,0.115605,2.00e-05,8.4,8508
18,2,0.343868,2.00e-05,8.7,8508
19,2,0.003714,2.00e-05,9.1,8508
20,2,0.015226,2.00e-05,9.4,8508
21,2,0.038741,2.00e-05,9.8,8508
22,2,0.256518,2.00e-05,10.1,8508
23,2,0.029044,2.00e-05,10.5,8508
24,2,0.337172,2.00e-05,10.7,8508
25,3,0.065230,2.00e-05,11.1,8508
26,3,0.024716,2.00e-05,11.5,8508
27,3,0.108586,2.00e-05,11.8,8508
28,3,0.401686,2.00e-05,12.2,8508
29,3,0.167271,2.00e-05,12.5,8508
30,3,0.174045,2.00e-05,12.9,8508
31,3,0.276996,2.00e-05,13.2,8508
32,3,0.351148,2.00e-05,13.5,8508
33,4,0.258883,2.00e-05,13.8,8508
34,4,0.302709,2.00e-05,14.2,8508
35,4,0.424732,2.00e-05,14.5,8508
36,4,0.232960,2.00e-05,14.9,8508
37,4,0.193185,2.00e-05,15.2,8508
38,4,0.251334,2.00e-05,15.6,8508
39,4,0.024965,2.00e-05,15.9,8508
40,4,0.068490,2.00e-05,16.2,8508
41,5,0.184878,2.00e-05,16.5,8508
42,5,0.024917,2.00e-05,16.9,8508
43,5,0.076426,2.00e-05,17.2,8508
44,5,0.289607,2.00e-05,17.6,8508
45,5,0.203354,2.00e-05,17.9,8508
46,5,0.270709,2.00e-05,18.3,8508
47,5,0.178353,2.00e-05,18.6,8508
48,5,0.034182,2.00e-05,18.9,8508
49,6,0.049868,2.00e-05,19.3,8508
50,6,0.022566,2.00e-05,19.7,8508
51,6,0.124773,2.00e-05,20.0,8508
52,6,0.306207,2.00e-05,20.4,8508
53,6,0.146903,2.00e-05,20.7,8508
54,6,0.115880,2.00e-05,21.1,8508
55,6,0.153180,2.00e-05,21.4,8508
