step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.254540,2.00e-05,2.8,8463
2,0,0.549712,2.00e-05,3.1,8482
3,0,0.043255,2.00e-05,3.5,8482
4,0,0.019510,2.00e-05,3.9,8482
5,0,0.282179,2.00e-05,4.2,8495
6,0,0.255186,2.00e-05,4.6,8508
7,0,0.158810,2.00e-05,5.0,8508
8,0,0.103774,2.00e-05,5.3,8508
9,0,0.294827,2.00e-05,5.7,8508
10,0,0.096281,2.00e-05,6.0,8508
11,0,0.244617,2.00e-05,6.4,8508
12,0,0.060834,2.00e-05,6.7,8508
13,0,0.170053,2.00e-05,7.1,8508
14,0,0.186286,2.00e-05,7.4,8508
15,0,0.048976,2.00e-05,7.8,8508
16,0,0.305769,2.00e-05,8.1,8508
17,0,0.017207,2.00e-05,8.5,8508
18,0,0.470033,2.00e-05,8.8,8508
19,0,0.095447,2.00e-05,9.1,8508
20,0,0.060423,2.00e-05,9.5,8508
21,0,0.065436,2.00e-05,9.8,8508
22,0,0.126297,2.00e-05,10.2,8508
23,0,0.096489,2.00e-05,10.5,8508
24,0,0.315237,2.00e-05,10.9,8508
25,0,0.079090,2.00e-05,11.2,8508
26,0,0.171984,2.00e-05,11.6,8508
27,0,0.204284,2.00e-05,11.9,8508
28,0,0.104542,2.00e-05,12.3,8508
29,0,0.182983,2.00e-05,12.6,8508
30,0,0.046925,2.00e-05,13.0,8508
31,0,0.018719,2.00e-05,13.3,8508
32,0,0.190912,2.00e-05,13.7,8508
33,0,0.159420,2.00e-05,14.0,8508
34,0,0.061404,2.00e-05,14.3,8508
35,0,0.193128,2.00e-05,14.7,8508
36,0,0.258585,2.00e-05,15.0,8508
37,0,0.276525,2.00e-05,15.4,8508
38,0,0.686273,2.00e-05,15.7,8508
39,1,0.141391,2.00e-05,16.1,8508
40,1,0.186648,2.00e-05,16.4,8508
41,1,0.268155,2.00e-05,16.8,8508
42,1,0.083241,2.00e-05,17.1,8508
43,1,0.172835,2.00e-05,17.5,8508
44,1,0.170053,2.00e-05,17.8,8508
45,1,0.119467,2.00e-05,18.2,8508
46,1,0.155534,2.00e-05,18.5,8508
47,1,0.247190,2.00e-05,18.9,8508
48,1,0.152433,2.00e-05,19.2,8508
49,1,0.034059,2.00e-05,19.6,8508
50,1,0.248526,2.00e-05,19.9,8508
51,1,0.245353,2.00e-05,20.3,8508
52,1,0.026065,2.00e-05,20.7,8508
53,1,0.121207,2.00e-05,21.0,8508
54,1,0.012339,2.00e-05,21.4,8508
55,1,0.256303,2.00e-05,21.7,8508
56,1,0.129954,2.00e-05,22.1,8508
57,1,0.175917,2.00e-05,22.4,8508
58,1,0.276027,2.00e-05,22.8,8508
59,1,0.070467,2.00e-05,23.1,8508
60,1,0.478877,2.00e-05,23.5,8508
61,1,0.245368,2.00e-05,23.8,8508
62,1,0.081424,2.00e-05,24.2,8508
63,1,0.205581,2.00e-05,24.5,8508
64,1,0.137890,2.00e-05,24.8,8508
65,1,0.021925,2.00e-05,25.2,8508
66,1,0.202551,2.00e-05,25.6,8508
67,1,0.384397,2.00e-05,25.9,8508
68,1,0.029528,2.00e-05,26.2,8508
69,1,0.020706,2.00e-05,26.6,8508
70,1,0.080782,2.00e-05,26.9,8508
71,1,0.045514,2.00e-05,27.3,8508
72,1,0.212910,2.00e-05,27.6,8508
73,1,0.287291,2.00e-05,28.0,8508
74,1,0.025858,2.00e-05,28.3,8508
75,1,0.060304,2.00e-05,28.7,8508
76,1,0.009266,2.00e-05,28.9,8508
77,2,0.033642,2.00e-05,29.3,8508
78,2,0.122951,2.00e-05,29.7,8508
79,2,0.191599,2.00e-05,30.0,8508
80,2,0.307926,2.00e-05,30.4,8508
81,2,0.065299,2.00e-05,30.7,8508
82,2,0.323810,2.00e-05,31.0,8508
83,2,0.294389,2.00e-05,31.4,8508
84,2,0.008960,2.00e-05,31.8,8508
85,2,0.371885,2.00e-05,32.2,8508
86,2,0.226272,2.00e-05,32.6,8508
87,2,0.124813,2.00e-05,32.9,8508
88,2,0.041492,2.00e-05,33.3,8508
89,2,0.218790,2.00e-05,33.6,8508
90,2,0.184874,2.00e-05,34.0,8508
91,2,0.066588,2.00e-05,34.3,8508
92,2,0.107889,2.00e-05,34.7,8508
93,2,0.116296,2.00e-05,35.0,8508
94,2,0.103588,2.00e-05,35.4,8508
95,2,0.126548,2.00e-05,35.7,8508
96,2,0.045309,2.00e-05,36.1,8508
97,2,0.252484,2.00e-05,36.5,8508
98,2,0.363276,2.00e-05,36.8,8508
99,2,0.040454,2.00e-05,37.2,8508
100,2,0.376133,2.00e-05,37.5,8508
101,2,0.047025,2.00e-05,37.9,8508
102,2,0.114001,2.00e-05,38.2,8508
103,2,0.235616,2.00e-05,38.6,8508
104,2,0.113078,2.00e-05,38.9,8508
105,2,0.111274,2.00e-05,39.3,8508
106,2,0.011603,2.00e-05,39.6,8508
107,2,0.395760,2.00e-05,40.0,8508
108,2,0.065050,2.00e-05,40.3,8508
109,2,0.254489,2.00e-05,40.7,8508
110,2,0.237885,2.00e-05,41.0,8508
111,2,0.140760,2.00e-05,41.4,8508
112,2,0.544951,2.00e-05,41.7,8508
113,2,0.103848,2.00e-05,42.1,8508
114,2,0.166141,2.00e-05,42.3,8508
115,3,0.261945,2.00e-05,42.7,8508
116,3,0.188522,2.00e-05,43.0,8508
117,3,0.185858,2.00e-05,43.4,8508
118,3,0.146611,2.00e-05,43.7,8508
119,3,0.008907,2.00e-05,44.1,8508
120,3,0.109030,2.00e-05,44.4,8508
121,3,0.072814,2.00e-05,44.8,8508
122,3,0.233287,2.00e-05,45.1,8508
123,3,0.742322,2.00e-05,45.5,8508
124,3,0.171452,2.00e-05,45.8,8508
125,3,0.265348,2.00e-05,46.2,8508
126,3,0.373536,2.00e-05,46.5,8508
127,3,0.062843,2.00e-05,46.9,8508
128,3,0.037149,2.00e-05,47.2,8508
129,3,0.201850,2.00e-05,47.6,8508
130,3,0.347234,2.00e-05,48.0,8508
131,3,0.011453,2.00e-05,48.3,8508
132,3,0.302316,2.00e-05,48.7,8508
133,3,0.025542,2.00e-05,49.0,8508
134,3,0.083383,2.00e-05,49.4,8508
135,3,0.595617,2.00e-05,49.7,8508
136,3,0.065495,2.00e-05,50.1,8508
137,3,0.115189,2.00e-05,50.4,8508
138,3,0.058320,2.00e-05,50.8,8508
139,3,0.042868,2.00e-05,51.2,8508
140,3,0.064501,2.00e-05,51.5,8508
141,3,0.061459,2.00e-05,51.9,8508
142,3,0.042754,2.00e-05,52.2,8508
143,3,0.284484,2.00e-05,52.6,8508
144,3,0.024003,2.00e-05,52.9,8508
145,3,0.208090,2.00e-05,53.3,8508
146,3,0.077340,2.00e-05,53.6,8508
147,3,0.300751,2.00e-05,54.0,8508
148,3,0.173185,2.00e-05,54.3,8508
149,3,0.069821,2.00e-05,54.7,8508
150,3,0.038577,2.00e-05,55.0,8508
151,3,0.054861,2.00e-05,55.4,8508
152,3,0.019632,2.00e-05,55.6,8508
153,4,0.248071,2.00e-05,56.0,8508
154,4,0.227676,2.00e-05,56.4,8508
155,4,0.304331,2.00e-05,56.7,8508
156,4,0.202319,2.00e-05,57.1,8508
157,4,0.057559,2.00e-05,57.5,8508
158,4,0.418498,2.00e-05,57.8,8508
159,4,0.174687,2.00e-05,58.2,8508
160,4,0.088872,2.00e-05,58.5,8508
161,4,0.058782,2.00e-05,58.8,8508
162,4,0.053703,2.00e-05,59.2,8508
163,4,0.030983,2.00e-05,59.5,8508
164,4,0.242766,2.00e-05,59.9,8508
165,4,0.168413,2.00e-05,60.3,8508
166,4,0.286675,2.00e-05,60.6,8508
167,4,0.020297,2.00e-05,61.0,8508
168,4,0.269165,2.00e-05,61.3,8508
169,4,0.193488,2.00e-05,61.7,8508
170,4,0.009664,2.00e-05,62.0,8508
171,4,0.035738,2.00e-05,62.3,8508
172,4,0.283455,2.00e-05,62.7,8508
173,4,0.398129,2.00e-05,63.0,8508
174,4,0.173767,2.00e-05,63.4,8508
175,4,0.048417,2.00e-05,63.7,8508
176,4,0.267222,2.00e-05,64.1,8508
177,4,0.406515,2.00e-05,64.4,8508
178,4,0.131714,2.00e-05,64.8,8508
179,4,0.268055,2.00e-05,65.1,8508
180,4,0.408922,2.00e-05,65.5,8508
181,4,0.015281,2.00e-05,65.8,8508
182,4,0.221063,2.00e-05,66.2,8508
183,4,0.048066,2.00e-05,66.5,8508
184,4,0.047983,2.00e-05,66.9,8508
185,4,0.088258,2.00e-05,67.2,8508
186,4,0.116452,2.00e-05,67.6,8508
187,4,0.060738,2.00e-05,67.9,8508
188,4,0.149510,2.00e-05,68.3,8508
189,4,0.227116,2.00e-05,68.6,8508
190,4,0.004488,2.00e-05,68.9,8508
191,5,0.208474,2.00e-05,69.2,8508
192,5,0.196882,2.00e-05,69.6,8508
193,5,0.222358,2.00e-05,69.9,8508
194,5,0.147890,2.00e-05,70.3,8508
195,5,0.061427,2.00e-05,70.6,8508
196,5,0.049267,2.00e-05,71.0,8508
197,5,0.057721,2.00e-05,71.3,8508
198,5,0.012744,2.00e-05,71.7,8508
199,5,0.134662,2.00e-05,72.0,8508
200,5,0.083122,2.00e-05,72.5,8508
201,5,0.036482,2.00e-05,72.9,8508
202,5,0.173677,2.00e-05,73.2,8508
203,5,0.009176,2.00e-05,73.6,8508
204,5,0.275045,2.00e-05,73.9,8508
205,5,0.144751,2.00e-05,74.3,8508
206,5,0.256257,2.00e-05,74.6,8508
207,5,0.197108,2.00e-05,75.0,8508
208,5,0.280647,2.00e-05,75.3,8508
209,5,0.013057,2.00e-05,75.7,8508
210,5,0.302718,2.00e-05,76.0,8508
211,5,0.143940,2.00e-05,76.4,8508
212,5,0.104545,2.00e-05,76.7,8508
213,5,0.130462,2.00e-05,77.1,8508
214,5,0.104620,2.00e-05,77.4,8508
215,5,0.188924,2.00e-05,77.8,8508
216,5,0.276671,2.00e-05,78.1,8508
217,5,0.525449,2.00e-05,78.5,8508
218,5,0.221628,2.00e-05,78.8,8508
219,5,0.126321,2.00e-05,79.2,8508
220,5,0.103340,2.00e-05,79.5,8508
221,5,0.392768,2.00e-05,79.9,8508
222,5,0.046761,2.00e-05,80.2,8508
223,5,0.191610,2.00e-05,80.6,8508
224,5,0.212769,2.00e-05,80.9,8508
225,5,0.027610,2.00e-05,81.3,8508
226,5,0.015775,2.00e-05,81.6,8508
227,5,0.069096,2.00e-05,82.0,8508
228,5,0.045628,2.00e-05,82.2,8508
229,6,0.078199,2.00e-05,82.6,8508
230,6,0.196745,2.00e-05,83.0,8508
231,6,0.094857,2.00e-05,83.3,8508
232,6,0.011685,2.00e-05,83.6,8508
233,6,0.065240,2.00e-05,84.1,8508
234,6,0.213505,2.00e-05,84.4,8508
235,6,0.142751,2.00e-05,84.8,8508
236,6,0.210614,2.00e-05,85.1,8508
237,6,0.169694,2.00e-05,85.5,8508
238,6,0.023665,2.00e-05,85.8,8508
239,6,0.173744,2.00e-05,86.1,8508
240,6,0.545975,2.00e-05,86.5,8508
241,6,0.420442,2.00e-05,86.9,8508
242,6,0.097470,2.00e-05,87.2,8508
243,6,0.041149,2.00e-05,87.6,8508
244,6,0.290051,2.00e-05,87.9,8508
245,6,0.022926,2.00e-05,88.3,8508
246,6,0.012858,2.00e-05,88.7,8508
247,6,0.181001,2.00e-05,89.1,8508
248,6,0.005017,2.00e-05,89.4,8508
249,6,0.068613,2.00e-05,89.8,8508
250,6,0.285036,2.00e-05,90.1,8508
251,6,0.109147,2.00e-05,90.5,8508
252,6,0.068377,2.00e-05,90.8,8508
253,6,0.082278,2.00e-05,91.2,8508
254,6,0.366480,2.00e-05,91.5,8508
255,6,0.063589,2.00e-05,91.8,8508
256,6,0.004292,2.00e-05,92.2,8508
257,6,0.176052,2.00e-05,92.6,8508
258,6,0.083316,2.00e-05,92.9,8508
259,6,0.222716,2.00e-05,93.3,8508
260,6,0.215784,2.00e-05,93.6,8508
261,6,0.174811,2.00e-05,94.0,8508
262,6,0.041363,2.00e-05,94.3,8508
263,6,0.013963,2.00e-05,94.7,8508
264,6,0.157166,2.00e-05,95.0,8508
265,6,0.328668,2.00e-05,95.4,8508
266,6,0.042170,2.00e-05,95.6,8508
267,7,0.013974,2.00e-05,96.0,8508
