step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.223012,2.00e-05,2.8,8463
2,0,0.114527,2.00e-05,3.1,8482
3,0,0.021071,2.00e-05,3.5,8482
4,0,0.278180,2.00e-05,3.8,8482
5,0,0.104276,2.00e-05,4.2,8495
6,0,0.380738,2.00e-05,4.5,8508
7,0,0.021375,2.00e-05,4.9,8508
8,0,0.207517,2.00e-05,5.2,8508
9,0,0.077244,2.00e-05,5.6,8508
10,0,0.029950,2.00e-05,5.9,8508
11,0,0.032413,2.00e-05,6.3,8508
12,0,0.078694,2.00e-05,6.6,8508
13,0,0.128608,2.00e-05,7.0,8508
14,0,0.061621,2.00e-05,7.3,8508
15,1,0.011193,2.00e-05,7.7,8508
16,1,0.023740,2.00e-05,8.0,8508
17,1,0.229846,2.00e-05,8.4,8508
18,1,0.011243,2.00e-05,8.7,8508
19,1,0.140328,2.00e-05,9.0,8508
20,1,0.142097,2.00e-05,9.4,8508
21,1,0.210950,2.00e-05,9.7,8508
22,1,0.174300,2.00e-05,10.1,8508
23,1,0.056847,2.00e-05,10.4,8508
24,1,0.127286,2.00e-05,10.7,8508
25,1,0.006087,2.00e-05,11.1,8508
26,1,0.089768,2.00e-05,11.4,8508
27,1,0.392813,2.00e-05,11.8,8508
28,1,0.017799,2.00e-05,12.1,8508
29,2,0.456132,2.00e-05,12.4,8508
30,2,0.133958,2.00e-05,12.8,8508
31,2,0.220234,2.00e-05,13.1,8508
32,2,0.082560,2.00e-05,13.5,8508
33,2,0.326911,2.00e-05,13.8,8508
34,2,0.095860,2.00e-05,14.1,8508
35,2,0.219675,2.00e-05,14.5,8508
36,2,0.249438,2.00e-05,14.8,8508
37,2,0.341356,2.00e-05,15.2,8508
38,2,0.056780,2.00e-05,15.5,8508
39,2,0.048076,2.00e-05,15.9,8508
40,2,0.144865,2.00e-05,16.2,8508
41,2,0.074296,2.00e-05,16.5,8508
42,2,0.097993,2.00e-05,16.9,8508
43,3,0.100141,2.00e-05,17.2,8508
44,3,0.300556,2.00e-05,17.6,8508
45,3,0.051166,2.00e-05,17.9,8508
46,3,0.156770,2.00e-05,18.3,8508
47,3,0.429887,2.00e-05,18.6,8508
48,3,0.091376,2.00e-05,18.9,8508
49,3,0.027552,2.00e-05,19.3,8508
