step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.049576,2.00e-05,2.9,8463
2,0,0.208484,2.00e-05,3.2,8482
3,0,0.422870,2.00e-05,3.6,8482
4,0,0.369455,2.00e-05,4.0,8482
5,0,0.024168,2.00e-05,4.4,8495
6,0,0.102667,2.00e-05,4.7,8508
7,0,0.101062,2.00e-05,5.1,8508
8,0,0.201065,2.00e-05,5.4,8508
9,0,0.270356,2.00e-05,5.8,8508
10,0,0.113514,2.00e-05,6.2,8508
11,0,0.219613,2.00e-05,6.5,8508
12,0,0.065859,2.00e-05,6.9,8508
13,0,0.181692,2.00e-05,7.3,8508
14,0,0.092882,2.00e-05,7.6,8508
15,0,0.192503,2.00e-05,8.0,8508
16,0,0.040428,2.00e-05,8.4,8508
17,0,0.259909,2.00e-05,8.7,8508
18,0,0.222080,2.00e-05,9.1,8508
19,0,0.026691,2.00e-05,9.5,8508
20,0,0.096612,2.00e-05,9.8,8508
21,0,0.036793,2.00e-05,10.2,8508
22,0,0.070476,2.00e-05,10.6,8508
23,0,0.154274,2.00e-05,10.9,8508
24,0,0.082921,2.00e-05,11.3,8508
25,0,0.020241,2.00e-05,11.7,8508
26,0,0.138577,2.00e-05,12.0,8508
27,0,0.121918,2.00e-05,12.4,8508
28,0,0.226257,2.00e-05,12.8,8508
29,0,0.405100,2.00e-05,13.2,8508
30,0,0.013987,2.00e-05,13.5,8508
31,0,0.036678,2.00e-05,13.9,8508
32,0,0.030387,2.00e-05,14.2,8508
33,0,0.197642,2.00e-05,14.6,8508
34,0,0.452549,2.00e-05,14.9,8508
35,1,0.046407,2.00e-05,15.3,8508
36,1,0.085573,2.00e-05,15.7,8508
37,1,0.236312,2.00e-05,16.0,8508
38,1,0.118010,2.00e-05,16.4,8508
39,1,0.181812,2.00e-05,16.8,8508
40,1,0.077448,2.00e-05,17.1,8508
41,1,0.021683,2.00e-05,17.5,8508
42,1,0.005815,2.00e-05,17.9,8508
43,1,0.427589,2.00e-05,18.2,8508
44,1,0.259248,2.00e-05,18.6,8508
45,1,0.257868,2.00e-05,19.0,8508
46,1,0.240821,2.00e-05,19.3,8508
47,1,0.349712,2.00e-05,19.7,8508
48,1,0.291373,2.00e-05,20.0,8508
49,1,0.092942,2.00e-05,20.4,8508
50,1,0.078879,2.00e-05,20.8,8508
51,1,0.054622,2.00e-05,21.1,8508
52,1,0.261879,2.00e-05,21.5,8508
53,1,0.050813,2.00e-05,21.9,8508
54,1,0.048648,2.00e-05,22.2,8508
55,1,0.140066,2.00e-05,22.6,8508
56,1,0.146828,2.00e-05,23.0,8508
57,1,0.212991,2.00e-05,23.3,8508
58,1,0.226882,2.00e-05,23.7,8508
59,1,0.176319,2.00e-05,24.1,8508
60,1,0.240258,2.00e-05,24.4,8508
61,1,0.129421,2.00e-05,24.8,8508
62,1,0.130977,2.00e-05,25.1,8508
63,1,0.183250,2.00e-05,25.5,8508
64,1,0.089114,2.00e-05,25.8,8508
65,1,0.149236,2.00e-05,26.2,8508
66,1,0.226336,2.00e-05,26.6,8508
67,1,0.200325,2.00e-05,26.9,8508
68,1,0.191399,2.00e-05,27.3,8508
