step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.254674,2.00e-05,2.7,8463
2,0,0.488685,2.00e-05,3.1,8482
3,0,0.034763,2.00e-05,3.4,8482
4,1,0.020923,2.00e-05,3.8,8495
5,1,0.281644,2.00e-05,4.1,8508
6,1,0.258940,2.00e-05,4.5,8508
7,2,0.205964,2.00e-05,4.8,8508
8,2,0.093974,2.00e-05,5.2,8508
9,2,0.274799,2.00e-05,5.5,8508
10,3,0.105553,2.00e-05,5.9,8508
11,3,0.285099,2.00e-05,6.2,8508
12,3,0.062709,2.00e-05,6.5,8508
13,4,0.176470,2.00e-05,6.9,8508
14,4,0.107912,2.00e-05,7.2,8508
15,4,0.054785,2.00e-05,7.5,8508
16,5,0.286414,2.00e-05,7.9,8508
17,5,0.017389,2.00e-05,8.3,8508
18,5,0.386472,2.00e-05,8.6,8508
19,6,0.094240,2.00e-05,8.9,8508
20,6,0.067142,2.00e-05,9.3,8508
21,6,0.063745,2.00e-05,9.6,8508
22,7,0.141589,2.00e-05,10.0,8508
23,7,0.106488,2.00e-05,10.3,8508
24,7,0.351752,2.00e-05,10.6,8508
25,8,0.064074,2.00e-05,11.0,8508
26,8,0.139764,2.00e-05,11.3,8508
27,8,0.211616,2.00e-05,11.6,8508
28,9,0.107771,2.00e-05,12.0,8508
29,9,0.230581,2.00e-05,12.4,8508
30,9,0.045284,2.00e-05,12.7,8508
31,10,0.018031,2.00e-05,13.0,8508
32,10,0.131423,2.00e-05,13.4,8508
33,10,0.176547,2.00e-05,13.7,8508
34,11,0.073067,2.00e-05,14.1,8508
35,11,0.227316,2.00e-05,14.5,8508
36,11,0.231423,2.00e-05,14.8,8508
37,12,0.276051,2.00e-05,15.2,8508
38,12,0.348426,2.00e-05,15.5,8508
39,12,0.020834,2.00e-05,15.8,8508
40,13,0.089483,2.00e-05,16.2,8508
41,13,0.112493,2.00e-05,16.6,8508
42,13,0.119768,2.00e-05,16.9,8508
43,14,0.118168,2.00e-05,17.2,8508
44,14,0.135627,2.00e-05,17.6,8508
45,14,0.086035,2.00e-05,17.9,8508
46,15,0.050439,2.00e-05,18.3,8508
47,15,0.110626,2.00e-05,18.6,8508
48,15,0.511133,2.00e-05,19.0,8508
49,16,0.218063,2.00e-05,19.4,8508
50,16,0.016592,2.00e-05,19.8,8508
51,16,0.024891,2.00e-05,20.1,8508
52,17,0.075593,2.00e-05,20.5,8508
