step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.209580,2.00e-05,2.8,8463
2,0,0.114731,2.00e-05,3.1,8482
3,0,0.022525,2.00e-05,3.5,8482
4,0,0.364424,2.00e-05,3.8,8482
5,0,0.093932,2.00e-05,4.2,8495
6,0,0.325469,2.00e-05,4.5,8508
7,0,0.020785,2.00e-05,4.9,8508
8,0,0.177225,2.00e-05,5.2,8508
9,0,0.107135,2.00e-05,5.5,8508
10,0,0.035307,2.00e-05,5.9,8508
11,0,0.030362,2.00e-05,6.2,8508
12,0,0.096417,2.00e-05,6.6,8508
13,0,0.161210,2.00e-05,6.9,8508
14,0,0.073204,2.00e-05,7.3,8508
15,0,0.011100,2.00e-05,7.6,8508
16,0,0.027293,2.00e-05,8.0,8508
17,0,0.184545,2.00e-05,8.3,8508
18,0,0.007765,2.00e-05,8.6,8508
19,0,0.155936,2.00e-05,9.0,8508
20,0,0.151586,2.00e-05,9.4,8508
21,0,0.287032,2.00e-05,9.7,8508
22,0,0.187762,2.00e-05,10.0,8508
23,0,0.083397,2.00e-05,10.4,8508
24,0,0.127246,2.00e-05,10.7,8508
25,0,0.007570,2.00e-05,11.1,8508
26,0,0.137736,2.00e-05,11.5,8508
27,0,0.422283,2.00e-05,11.8,8508
28,0,0.014382,2.00e-05,12.2,8508
29,0,0.400181,2.00e-05,12.5,8508
30,0,0.173392,2.00e-05,12.9,8508
31,0,0.211405,2.00e-05,13.3,8508
32,0,0.154095,2.00e-05,13.6,8508
33,0,0.392183,2.00e-05,14.0,8508
34,0,0.084893,2.00e-05,14.3,8508
35,1,0.192600,2.00e-05,14.7,8508
36,1,0.338810,2.00e-05,15.0,8508
37,1,0.325285,2.00e-05,15.4,8508
38,1,0.060590,2.00e-05,15.7,8508
39,1,0.043981,2.00e-05,16.1,8508
40,1,0.229813,2.00e-05,16.4,8508
41,1,0.085874,2.00e-05,16.8,8508
42,1,0.190606,2.00e-05,17.1,8508
43,1,0.088294,2.00e-05,17.5,8508
44,1,0.267258,2.00e-05,17.8,8508
