step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.052773,2.00e-05,2.7,8463
2,0,0.182161,2.00e-05,3.1,8482
3,0,0.372383,2.00e-05,3.4,8482
4,0,0.357936,2.00e-05,3.8,8482
5,1,0.027610,2.00e-05,4.1,8495
6,1,0.085078,2.00e-05,4.5,8508
7,1,0.101322,2.00e-05,4.9,8508
8,1,0.191784,2.00e-05,5.2,8508
9,2,0.365345,2.00e-05,5.5,8508
10,2,0.099696,2.00e-05,5.9,8508
11,2,0.139354,2.00e-05,6.2,8508
12,2,0.055739,2.00e-05,6.6,8508
13,3,0.198740,2.00e-05,6.9,8508
14,3,0.095379,2.00e-05,7.3,8508
15,3,0.153010,2.00e-05,7.7,8508
16,3,0.043412,2.00e-05,8.0,8508
17,4,0.269655,2.00e-05,8.3,8508
18,4,0.239506,2.00e-05,8.7,8508
19,4,0.019950,2.00e-05,9.0,8508
20,4,0.100659,2.00e-05,9.4,8508
21,5,0.030728,2.00e-05,9.8,8508
22,5,0.066299,2.00e-05,10.1,8508
23,5,0.156586,2.00e-05,10.5,8508
24,5,0.087641,2.00e-05,10.8,8508
25,6,0.023675,2.00e-05,11.2,8508
26,6,0.164264,2.00e-05,11.5,8508
27,6,0.164795,2.00e-05,11.8,8508
28,6,0.171843,2.00e-05,12.2,8508
29,7,0.303391,2.00e-05,12.5,8508
30,7,0.013349,2.00e-05,12.9,8508
31,7,0.034391,2.00e-05,13.2,8508
32,7,0.036052,2.00e-05,13.5,8508
33,8,0.175930,2.00e-05,13.9,8508
34,8,0.517742,2.00e-05,14.2,8508
35,8,0.041497,2.00e-05,14.6,8508
36,8,0.075948,2.00e-05,14.9,8508
37,9,0.213154,2.00e-05,15.3,8508
38,9,0.137249,2.00e-05,15.6,8508
39,9,0.130192,2.00e-05,16.0,8508
40,9,0.070259,2.00e-05,16.3,8508
41,10,0.018661,2.00e-05,16.7,8508
42,10,0.004695,2.00e-05,17.0,8508
43,10,0.404389,2.00e-05,17.4,8508
44,10,0.266903,2.00e-05,17.7,8508
45,11,0.282346,2.00e-05,18.1,8508
46,11,0.157532,2.00e-05,18.4,8508
47,11,0.360944,2.00e-05,18.8,8508
48,11,0.255401,2.00e-05,19.1,8508
49,12,0.084712,2.00e-05,19.5,8508
50,12,0.072502,2.00e-05,19.8,8508
51,12,0.059610,2.00e-05,20.2,8508
52,12,0.314359,2.00e-05,20.5,8508
53,13,0.040655,2.00e-05,20.8,8508
54,13,0.040329,2.00e-05,21.2,8508
55,13,0.110602,2.00e-05,21.5,8508
56,13,0.162857,2.00e-05,21.9,8508
57,14,0.273757,2.00e-05,22.2,8508
58,14,0.196787,2.00e-05,22.6,8508
59,14,0.152152,2.00e-05,22.9,8508
60,14,0.232614,2.00e-05,23.2,8508
61,15,0.154528,2.00e-05,23.6,8508
62,15,0.104017,2.00e-05,24.0,8508
63,15,0.169582,2.00e-05,24.4,8508
64,15,0.103439,2.00e-05,24.7,8508
65,16,0.188428,2.00e-05,25.1,8508
66,16,0.199085,2.00e-05,25.4,8508
67,16,0.206530,2.00e-05,25.8,8508
68,16,0.204034,2.00e-05,26.1,8508
69,17,0.014090,2.00e-05,26.4,8508
70,17,0.042719,2.00e-05,26.8,8508
71,17,0.175997,2.00e-05,27.1,8508
72,17,0.079330,2.00e-05,27.4,8508
73,18,0.044250,2.00e-05,27.8,8508
74,18,0.063719,2.00e-05,28.2,8508
75,18,0.098330,2.00e-05,28.5,8508
76,18,0.004579,2.00e-05,28.8,8508
77,19,0.155705,2.00e-05,29.2,8508
78,19,0.202264,2.00e-05,29.6,8508
79,19,0.466975,2.00e-05,30.0,8508
80,19,0.281906,2.00e-05,30.3,8508
81,20,0.312041,2.00e-05,30.6,8508
82,20,0.135229,2.00e-05,31.1,8508
83,20,0.479177,2.00e-05,31.4,8508
84,20,0.380333,2.00e-05,31.7,8508
85,21,0.098003,2.00e-05,32.1,8508
86,21,0.056829,2.00e-05,32.4,8508
87,21,0.112636,2.00e-05,32.8,8508
88,21,0.149295,2.00e-05,33.1,8508
89,22,0.008760,2.00e-05,33.5,8508
90,22,0.456725,2.00e-05,33.8,8508
91,22,0.043111,2.00e-05,34.2,8508
92,22,0.160026,2.00e-05,34.5,8508
93,23,0.051011,2.00e-05,34.8,8508
94,23,0.019801,2.00e-05,35.2,8508
95,23,0.298367,2.00e-05,35.5,8508
96,23,0.195106,2.00e-05,35.9,8508
97,24,0.242995,2.00e-05,36.2,8508
98,24,0.368356,2.00e-05,36.6,8508
99,24,0.056815,2.00e-05,36.9,8508
100,24,0.190823,2.00e-05,37.2,8508
101,25,0.175301,2.00e-05,37.6,8508
102,25,0.379341,2.00e-05,38.0,8508
103,25,0.159065,2.00e-05,38.3,8508
104,25,0.443313,2.00e-05,38.6,8508
105,26,0.087387,2.00e-05,39.0,8508
106,26,0.403844,2.00e-05,39.4,8508
107,26,0.032432,2.00e-05,39.7,8508
108,26,0.192444,2.00e-05,40.1,8508
109,27,0.172365,2.00e-05,40.4,8508
110,27,0.053820,2.00e-05,40.8,8508
111,27,0.229130,2.00e-05,41.1,8508
112,27,0.358352,2.00e-05,41.4,8508
113,28,0.003370,2.00e-05,41.8,8508
114,28,0.056747,2.00e-05,42.1,8508
115,28,0.149271,2.00e-05,42.5,8508
116,28,0.018075,2.00e-05,42.8,8508
117,29,0.207449,2.00e-05,43.2,8508
118,29,0.316164,2.00e-05,43.6,8508
119,29,0.106408,2.00e-05,43.9,8508
120,29,0.166122,2.00e-05,44.2,8508
121,30,0.097293,2.00e-05,44.6,8508
122,30,0.403059,2.00e-05,45.0,8508
123,30,0.006617,2.00e-05,45.3,8508
124,30,0.033736,2.00e-05,45.6,8508
125,31,0.052732,2.00e-05,46.0,8508
126,31,0.263681,2.00e-05,46.3,8508
127,31,0.018258,2.00e-05,46.7,8508
128,31,0.014309,2.00e-05,47.0,8508
129,32,0.371266,2.00e-05,47.4,8508
130,32,0.044555,2.00e-05,47.7,8508
131,32,0.019730,2.00e-05,48.1,8508
132,32,0.083106,2.00e-05,48.4,8508
133,33,0.163958,2.00e-05,48.9,8508
134,33,0.070084,2.00e-05,49.2,8508
135,33,0.021937,2.00e-05,49.6,8508
136,33,0.108166,2.00e-05,49.9,8508
137,34,0.154839,2.00e-05,50.2,8508
138,34,0.137575,2.00e-05,50.6,8508
139,34,0.174902,2.00e-05,50.9,8508
140,34,0.011635,2.00e-05,51.3,8508
141,35,0.109934,2.00e-05,51.6,8508
142,35,0.049459,2.00e-05,52.0,8508
143,35,0.074303,2.00e-05,52.4,8508
144,35,0.015625,2.00e-05,52.7,8508
145,36,0.085883,2.00e-05,53.1,8508
146,36,0.143525,2.00e-05,53.4,8508
147,36,0.125735,2.00e-05,53.8,8508
148,36,0.153801,2.00e-05,54.1,8508
149,37,0.285133,2.00e-05,54.5,8508
150,37,0.135829,2.00e-05,54.9,8508
151,37,0.052891,2.00e-05,55.2,8508
152,37,0.179067,2.00e-05,55.5,8508
153,38,0.035702,2.00e-05,55.9,8508
154,38,0.073947,2.00e-05,56.3,8508
155,38,0.393856,2.00e-05,56.6,8508
156,38,0.140759,2.00e-05,56.9,8508
157,39,0.312852,2.00e-05,57.3,8508
158,39,0.161626,2.00e-05,57.7,8508
159,39,0.159970,2.00e-05,58.0,8508
160,39,0.092040,2.00e-05,58.3,8508
161,40,0.272850,2.00e-05,58.7,8508
162,40,0.189420,2.00e-05,59.0,8508
163,40,0.144669,2.00e-05,59.4,8508
164,40,0.028231,2.00e-05,59.7,8508
165,41,0.499723,2.00e-05,60.1,8508
166,41,0.067405,2.00e-05,60.4,8508
167,41,0.095386,2.00e-05,60.8,8508
168,41,0.258536,2.00e-05,61.1,8508
169,42,0.195147,2.00e-05,61.5,8508
170,42,0.132920,2.00e-05,61.8,8508
171,42,0.244468,2.00e-05,62.2,8508
172,42,0.188703,2.00e-05,62.5,8508
173,43,0.146646,2.00e-05,62.8,8508
174,43,0.053561,2.00e-05,63.2,8508
175,43,0.091672,2.00e-05,63.5,8508
176,43,0.087974,2.00e-05,63.9,8508
177,44,0.214447,2.00e-05,64.2,8508
178,44,0.135407,2.00e-05,64.6,8508
179,44,0.571248,2.00e-05,64.9,8508
180,44,0.213175,2.00e-05,65.2,8508
181,45,0.193329,2.00e-05,65.6,8508
182,45,0.012761,2.00e-05,66.0,8508
183,45,0.024211,2.00e-05,66.3,8508
184,45,0.042718,2.00e-05,66.6,8508
185,46,0.212343,2.00e-05,67.0,8508
186,46,0.165362,2.00e-05,67.4,8508
187,46,0.187213,2.00e-05,67.7,8508
188,46,0.297858,2.00e-05,68.1,8508
189,47,0.198886,2.00e-05,68.4,8508
190,47,0.250303,2.00e-05,68.8,8508
191,47,0.120336,2.00e-05,69.1,8508
192,47,0.021991,2.00e-05,69.4,8508
193,48,0.071960,2.00e-05,69.8,8508
194,48,0.400310,2.00e-05,70.2,8508
195,48,0.219420,2.00e-05,70.5,8508
196,48,0.114904,2.00e-05,70.8,8508
197,49,0.057871,2.00e-05,71.3,8508
198,49,0.252362,2.00e-05,71.6,8508
199,49,0.228569,2.00e-05,72.0,8508
200,49,0.099282,2.00e-05,72.3,8508
201,50,0.323516,2.00e-05,72.7,8508
202,50,0.094907,2.00e-05,73.0,8508
