step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.167992,1.00e-04,2.8,8463
2,0,0.326024,1.00e-04,3.1,8482
3,0,0.191176,1.00e-04,3.4,8482
4,0,0.300419,1.00e-04,3.8,8482
5,0,0.193735,1.00e-04,4.2,8495
6,0,0.149448,1.00e-04,4.5,8508
7,0,0.004252,1.00e-04,4.8,8508
8,0,0.346373,1.00e-04,5.2,8508
9,0,0.101984,1.00e-04,5.5,8508
10,0,0.328587,1.00e-04,5.9,8508
11,0,0.207257,1.00e-04,6.3,8508
12,0,0.267947,1.00e-04,6.6,8508
13,0,0.051026,1.00e-04,7.0,8508
14,0,0.336407,1.00e-04,7.3,8508
15,0,0.017771,1.00e-04,7.6,8508
16,0,0.181294,1.00e-04,8.0,8508
17,0,0.336012,1.00e-04,8.3,8508
18,0,0.109880,1.00e-04,8.7,8508
19,0,0.004859,1.00e-04,9.0,8508
20,0,0.369237,1.00e-04,9.4,8508
21,0,0.110215,1.00e-04,9.7,8508
22,0,0.035466,1.00e-04,10.0,8508
23,0,0.169113,1.00e-04,10.4,8508
24,0,0.606047,1.00e-04,10.7,8508
25,0,0.394900,1.00e-04,11.0,8508
26,1,0.174177,1.00e-04,11.4,8508
27,1,0.189658,1.00e-04,11.8,8508
28,1,0.320368,1.00e-04,12.2,8508
29,1,0.235660,1.00e-04,12.5,8508
30,1,0.089758,1.00e-04,12.9,8508
31,1,0.164945,1.00e-04,13.2,8508
32,1,0.137531,1.00e-04,13.5,8508
33,1,0.396898,1.00e-04,13.9,8508
34,1,0.055279,1.00e-04,14.3,8508
35,1,0.157041,1.00e-04,14.6,8508
36,1,0.093114,1.00e-04,14.9,8508
37,1,0.063383,1.00e-04,15.3,8508
38,1,0.290987,1.00e-04,15.6,8508
39,1,0.315530,1.00e-04,16.0,8508
40,1,0.189289,1.00e-04,16.3,8508
41,1,0.239851,1.00e-04,16.7,8508
42,1,0.267820,1.00e-04,17.0,8508
43,1,0.272525,1.00e-04,17.3,8508
44,1,0.107228,1.00e-04,17.7,8508
45,1,0.423387,1.00e-04,18.0,8508
46,1,0.285073,1.00e-04,18.4,8508
47,1,0.268543,1.00e-04,18.7,8508
48,1,0.253363,1.00e-04,19.1,8508
49,1,0.228497,1.00e-04,19.4,8508
50,1,0.107477,1.00e-04,19.7,8508
51,2,0.220446,1.00e-04,20.1,8508
52,2,0.182808,1.00e-04,20.4,8508
53,2,0.027620,1.00e-04,20.8,8508
54,2,0.013301,1.00e-04,21.1,8508
55,2,0.151101,1.00e-04,21.5,8508
56,2,0.175143,1.00e-04,21.8,8508
57,2,0.012234,1.00e-04,22.1,8508
58,2,0.258756,1.00e-04,22.5,8508
59,2,0.143823,1.00e-04,22.8,8508
60,2,0.597527,1.00e-04,23.2,8508
61,2,0.122072,1.00e-04,23.5,8508
62,2,0.177782,1.00e-04,23.9,8508
63,2,0.018247,1.00e-04,24.3,8508
64,2,0.089680,1.00e-04,24.6,8508
65,2,0.034625,1.00e-04,24.9,8508
66,2,0.256637,1.00e-04,25.3,8508
67,2,0.311803,1.00e-04,25.6,8508
68,2,0.082676,1.00e-04,26.0,8508
69,2,0.130644,1.00e-04,26.3,8508
70,2,0.074608,1.00e-04,26.7,8508
71,2,0.024394,1.00e-04,27.1,8508
72,2,0.352501,1.00e-04,27.4,8508
73,2,0.068499,1.00e-04,27.8,8508
74,2,0.477381,1.00e-04,28.1,8508
75,2,0.162138,1.00e-04,28.4,8508
76,3,0.030970,1.00e-04,28.8,8508
77,3,0.351665,1.00e-04,29.1,8508
78,3,0.038790,1.00e-04,29.5,8508
79,3,0.015084,1.00e-04,29.9,8508
80,3,0.187327,1.00e-04,30.2,8508
81,3,0.279962,1.00e-04,30.5,8508
82,3,0.255997,1.00e-04,30.9,8508
83,3,0.268466,1.00e-04,31.2,8508
84,3,0.030966,1.00e-04,31.6,8508
85,3,0.073373,1.00e-04,31.9,8508
86,3,0.018011,1.00e-04,32.3,8508
87,3,0.009344,1.00e-04,32.6,8508
88,3,0.077243,1.00e-04,33.0,8508
89,3,0.086666,1.00e-04,33.3,8508
90,3,0.034710,1.00e-04,33.6,8508
91,3,0.423064,1.00e-04,34.0,8508
92,3,0.106515,1.00e-04,34.3,8508
93,3,0.034119,1.00e-04,34.7,8508
94,3,0.039701,1.00e-04,35.0,8508
95,3,0.174927,1.00e-04,35.4,8508
96,3,0.126996,1.00e-04,35.7,8508
97,3,0.738176,1.00e-04,36.1,8508
98,3,0.144091,1.00e-04,36.4,8508
99,3,0.034795,1.00e-04,36.8,8508
100,3,0.101965,1.00e-04,37.1,8508
101,4,0.106419,1.00e-04,37.4,8508
102,4,0.255062,1.00e-04,37.8,8508
103,4,0.140920,1.00e-04,38.1,8508
104,4,0.154906,1.00e-04,38.5,8508
105,4,0.050855,1.00e-04,38.8,8508
106,4,0.502454,1.00e-04,39.2,8508
107,4,0.122492,1.00e-04,39.5,8508
108,4,0.266454,1.00e-04,39.9,8508
109,4,0.227395,1.00e-04,40.2,8508
110,4,0.097207,1.00e-04,40.6,8508
111,4,0.385507,1.00e-04,40.9,8508
112,4,0.190422,1.00e-04,41.3,8508
113,4,0.269528,1.00e-04,41.6,8508
114,4,0.251188,1.00e-04,41.9,8508
115,4,0.033308,1.00e-04,42.3,8508
116,4,0.325590,1.00e-04,42.6,8508
117,4,0.199440,1.00e-04,43.0,8508
118,4,0.155249,1.00e-04,43.3,8508
119,4,0.049725,1.00e-04,43.7,8508
120,4,0.054454,1.00e-04,44.1,8508
121,4,0.196043,1.00e-04,44.4,8508
122,4,0.151537,1.00e-04,44.8,8508
123,4,0.079847,1.00e-04,45.1,8508
124,4,0.349842,1.00e-04,45.5,8508
125,4,0.073141,1.00e-04,45.8,8508
126,5,0.014716,1.00e-04,46.2,8508
127,5,0.203673,1.00e-04,46.5,8508
128,5,0.160375,1.00e-04,46.9,8508
129,5,0.117631,1.00e-04,47.3,8508
130,5,0.096286,1.00e-04,47.6,8508
131,5,0.059038,1.00e-04,47.9,8508
132,5,0.243991,1.00e-04,48.3,8508
133,5,0.065118,1.00e-04,48.7,8508
134,5,0.155652,1.00e-04,49.0,8508
135,5,0.230731,1.00e-04,49.4,8508
136,5,0.075919,1.00e-04,49.7,8508
137,5,0.077882,1.00e-04,50.1,8508
138,5,0.172982,1.00e-04,50.4,8508
139,5,0.052079,1.00e-04,50.8,8508
140,5,0.428528,1.00e-04,51.1,8508
141,5,0.139698,1.00e-04,51.4,8508
142,5,0.005011,1.00e-04,51.8,8508
