split,method,mean_fid,std_fid,num_seeds,seed_fids
D-High,p2-only,190.3392,14.3642,3,178.8447;185.7310;206.4420
D-High,p3-only-long,213.6850,7.2061,3,209.7845;222.0005;209.2699
D-Low,p2-only,242.0470,17.5939,3,223.9160;243.1755;259.0495
D-Low,p3-only-long,237.9954,3.0848,3,235.0223;237.7829;241.1809
D-Medium,p2-only,195.4699,18.5855,3,212.2677;198.6380;175.5039
D-Medium,p2-p3-replay,219.6518,37.2574,3,260.5784;187.7047;210.6724
D-Medium,p3-only-long,212.4757,5.6636,3,208.7342;218.9915;209.7013
D-Sub-25,p2-only,328.7504,11.4748,3,315.5782;336.5780;334.0950
D-Sub-25,p2-p3-replay,322.6224,16.3239,3,333.4449;303.8460;330.5762
D-Sub-25,p3-only-long,324.9879,4.0212,3,320.3457;327.3951;327.2230
D-Sub-50,p2-only,282.9502,36.4559,3,324.4339;256.0151;268.4016
D-Sub-50,p2-p3-replay,266.5654,27.0048,3,297.6352;248.7372;253.3237
D-Sub-50,p3-only-long,292.0848,2.8299,3,293.3640;288.8412;294.0493
