step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.274531,1.00e-04,3.0,8463
2,0,0.028327,1.00e-04,3.4,8482
3,0,0.082306,1.00e-04,3.8,8482
4,0,0.038767,1.00e-04,4.3,8482
5,0,0.077590,1.00e-04,4.9,8495
6,0,0.310616,1.00e-04,5.2,8508
7,0,0.118866,1.00e-04,5.6,8508
8,0,0.050618,1.00e-04,6.0,8508
9,0,0.040943,1.00e-04,6.5,8508
10,0,0.275844,1.00e-04,7.2,8508
11,0,0.126684,1.00e-04,7.8,8508
12,0,0.264780,1.00e-04,8.5,8508
13,0,0.055551,1.00e-04,9.1,8508
14,0,0.027108,1.00e-04,9.7,8508
15,0,0.029659,1.00e-04,10.4,8508
16,0,0.070718,1.00e-04,10.9,8508
17,0,0.085337,1.00e-04,11.6,8508
18,0,0.039655,1.00e-04,12.4,8508
19,0,0.087295,1.00e-04,13.0,8508
20,0,0.019300,1.00e-04,13.6,8508
21,0,0.003330,1.00e-04,14.2,8508
22,0,0.014687,1.00e-04,14.9,8508
23,0,0.023469,1.00e-04,15.6,8508
24,0,0.067532,1.00e-04,16.2,8508
25,0,0.051810,1.00e-04,17.0,8508
26,0,0.202065,1.00e-04,17.6,8508
27,0,0.007844,1.00e-04,18.2,8508
28,0,0.011028,1.00e-04,18.8,8508
29,0,0.122787,1.00e-04,19.5,8508
30,0,0.068665,1.00e-04,20.1,8508
31,0,0.014915,1.00e-04,20.7,8508
32,0,0.061847,1.00e-04,21.3,8508
33,0,0.045306,1.00e-04,21.9,8508
34,0,0.008800,1.00e-04,22.7,8508
35,0,0.094939,1.00e-04,23.3,8508
36,0,0.005801,1.00e-04,23.9,8508
37,0,0.002081,1.00e-04,24.8,8508
38,0,0.035685,1.00e-04,25.5,8508
39,0,0.019748,1.00e-04,26.1,8508
40,0,0.040634,1.00e-04,26.8,8508
41,0,0.038972,1.00e-04,27.4,8508
42,0,0.018904,1.00e-04,28.0,8508
43,0,0.035752,1.00e-04,28.6,8508
44,0,0.066735,1.00e-04,29.2,8508
45,0,0.024397,1.00e-04,29.8,8508
46,0,0.092208,1.00e-04,30.6,8508
47,0,0.077428,1.00e-04,31.3,8508
48,0,0.051908,1.00e-04,32.0,8508
49,0,0.036059,1.00e-04,32.6,8508
50,0,0.015793,1.00e-04,33.2,8508
51,0,0.017520,1.00e-04,33.9,8508
52,0,0.072989,1.00e-04,34.5,8508
53,0,0.005016,1.00e-04,35.2,8508
54,0,0.019526,1.00e-04,35.9,8508
