step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.035727,1.00e-04,2.8,8463
2,0,0.123194,1.00e-04,3.3,8482
3,0,0.137168,1.00e-04,3.7,8482
4,0,0.132386,1.00e-04,4.1,8482
5,0,0.021030,1.00e-04,4.5,8495
6,0,0.069249,1.00e-04,4.9,8508
7,0,0.021079,1.00e-04,5.3,8508
8,0,0.076274,1.00e-04,5.7,8508
9,0,0.136806,1.00e-04,6.2,8508
10,0,0.063929,1.00e-04,6.6,8508
11,0,0.087416,1.00e-04,7.1,8508
12,0,0.047975,1.00e-04,7.7,8508
13,0,0.083427,1.00e-04,8.3,8508
14,0,0.069828,1.00e-04,9.0,8508
15,0,0.154229,1.00e-04,9.6,8508
16,0,0.026538,1.00e-04,10.3,8508
17,0,0.084666,1.00e-04,10.9,8508
18,0,0.130735,1.00e-04,11.5,8508
19,0,0.018557,1.00e-04,12.2,8508
20,0,0.011650,1.00e-04,12.9,8508
21,0,0.023954,1.00e-04,13.6,8508
22,0,0.048900,1.00e-04,14.3,8508
23,0,0.088650,1.00e-04,14.9,8508
24,0,0.067559,1.00e-04,15.6,8508
25,0,0.009460,1.00e-04,16.2,8508
26,0,0.056784,1.00e-04,16.8,8508
27,0,0.133797,1.00e-04,17.4,8508
28,0,0.131801,1.00e-04,18.1,8508
29,0,0.226435,1.00e-04,18.8,8508
30,0,0.009882,1.00e-04,19.4,8508
31,0,0.030385,1.00e-04,20.1,8508
32,0,0.034438,1.00e-04,20.8,8508
33,0,0.056628,1.00e-04,21.4,8508
34,0,0.155552,1.00e-04,22.0,8508
35,0,0.018465,1.00e-04,22.7,8508
36,0,0.043427,1.00e-04,23.3,8508
37,0,0.103923,1.00e-04,23.9,8508
38,0,0.097586,1.00e-04,24.6,8508
39,0,0.060818,1.00e-04,25.3,8508
40,0,0.029538,1.00e-04,25.9,8508
41,0,0.009214,1.00e-04,26.5,8508
42,0,0.003752,1.00e-04,27.3,8508
43,0,0.276993,1.00e-04,27.9,8508
44,0,0.063619,1.00e-04,28.5,8508
45,0,0.112544,1.00e-04,29.1,8508
46,0,0.056819,1.00e-04,29.7,8508
47,0,0.090733,1.00e-04,30.3,8508
48,0,0.084062,1.00e-04,30.9,8508
49,0,0.017964,1.00e-04,31.5,8508
50,0,0.027558,1.00e-04,32.1,8508
51,0,0.042839,1.00e-04,32.7,8508
52,1,0.132845,1.00e-04,33.4,8508
53,1,0.036118,1.00e-04,34.1,8508
54,1,0.021439,1.00e-04,34.7,8508
55,1,0.067653,1.00e-04,35.4,8508
56,1,0.050286,1.00e-04,36.0,8508
57,1,0.138881,1.00e-04,36.6,8508
58,1,0.066133,1.00e-04,37.2,8508
59,1,0.039361,1.00e-04,37.8,8508
60,1,0.124356,1.00e-04,38.5,8508
61,1,0.040796,1.00e-04,39.1,8508
62,1,0.098034,1.00e-04,39.7,8508
63,1,0.081930,1.00e-04,40.5,8508
64,1,0.052982,1.00e-04,41.2,8508
65,1,0.113005,1.00e-04,41.8,8508
66,1,0.133085,1.00e-04,42.4,8508
67,1,0.085163,1.00e-04,43.0,8508
68,1,0.072622,1.00e-04,43.7,8508
69,1,0.012402,1.00e-04,44.4,8508
70,1,0.028051,1.00e-04,45.1,8508
71,1,0.204305,1.00e-04,45.7,8508
72,1,0.038161,1.00e-04,46.3,8508
73,1,0.031178,1.00e-04,47.0,8508
74,1,0.053133,1.00e-04,47.6,8508
75,1,0.055214,1.00e-04,48.2,8508
76,1,0.003724,1.00e-04,48.8,8508
77,1,0.046129,1.00e-04,49.4,8508
78,1,0.071378,1.00e-04,50.1,8508
79,1,0.173912,1.00e-04,50.7,8508
80,1,0.051237,1.00e-04,51.3,8508
81,1,0.127346,1.00e-04,51.9,8508
82,1,0.050511,1.00e-04,52.5,8508
83,1,0.150567,1.00e-04,53.3,8508
84,1,0.299016,1.00e-04,53.9,8508
85,1,0.080363,1.00e-04,54.6,8508
86,1,0.021986,1.00e-04,55.2,8508
87,1,0.119825,1.00e-04,55.9,8508
88,1,0.112788,1.00e-04,56.6,8508
89,1,0.006126,1.00e-04,57.2,8508
90,1,0.097775,1.00e-04,57.8,8508
91,1,0.012651,1.00e-04,58.6,8508
92,1,0.076826,1.00e-04,59.2,8508
93,1,0.038547,1.00e-04,59.9,8508
94,1,0.008847,1.00e-04,60.5,8508
95,1,0.104154,1.00e-04,61.1,8508
96,1,0.108176,1.00e-04,61.8,8508
97,1,0.112903,1.00e-04,62.4,8508
98,1,0.171979,1.00e-04,63.0,8508
99,1,0.033457,1.00e-04,63.7,8508
100,1,0.069579,1.00e-04,64.3,8508
101,1,0.069390,1.00e-04,64.9,8508
102,1,0.208839,1.00e-04,65.5,8508
103,2,0.098470,1.00e-04,66.2,8508
104,2,0.233170,1.00e-04,66.8,8508
105,2,0.066004,1.00e-04,67.4,8508
106,2,0.162378,1.00e-04,68.0,8508
107,2,0.016618,1.00e-04,68.8,8508
108,2,0.126556,1.00e-04,69.4,8508
109,2,0.093357,1.00e-04,70.1,8508
110,2,0.021020,1.00e-04,70.8,8508
111,2,0.131852,1.00e-04,71.4,8508
112,2,0.067657,1.00e-04,72.0,8508
113,2,0.003737,1.00e-04,72.6,8508
114,2,0.029790,1.00e-04,73.2,8508
115,2,0.147148,1.00e-04,73.9,8508
116,2,0.009177,1.00e-04,74.5,8508
117,2,0.075651,1.00e-04,75.2,8508
118,2,0.124614,1.00e-04,75.8,8508
119,2,0.071219,1.00e-04,76.4,8508
120,2,0.092969,1.00e-04,77.1,8508
121,2,0.063804,1.00e-04,77.7,8508
122,2,0.224881,1.00e-04,78.4,8508
123,2,0.006008,1.00e-04,79.1,8508
124,2,0.042810,1.00e-04,79.7,8508
125,2,0.028009,1.00e-04,80.4,8508
126,2,0.078277,1.00e-04,81.0,8508
127,2,0.011588,1.00e-04,81.7,8508
128,2,0.009190,1.00e-04,82.3,8508
129,2,0.221342,1.00e-04,82.9,8508
130,2,0.027618,1.00e-04,83.5,8508
131,2,0.010684,1.00e-04,84.1,8508
132,2,0.033662,1.00e-04,84.9,8508
133,2,0.072361,1.00e-04,85.5,8508
134,2,0.028093,1.00e-04,86.1,8508
135,2,0.009792,1.00e-04,86.7,8508
136,2,0.039368,1.00e-04,87.3,8508
137,2,0.117140,1.00e-04,88.0,8508
138,2,0.109865,1.00e-04,88.6,8508
139,2,0.088068,1.00e-04,89.2,8508
140,2,0.007926,1.00e-04,89.9,8508
141,2,0.031881,1.00e-04,90.6,8508
142,2,0.021929,1.00e-04,91.2,8508
143,2,0.132515,1.00e-04,91.9,8508
144,2,0.009295,1.00e-04,92.5,8508
145,2,0.045207,1.00e-04,93.1,8508
146,2,0.033133,1.00e-04,93.8,8508
147,2,0.050378,1.00e-04,94.4,8508
148,2,0.103037,1.00e-04,95.0,8508
149,2,0.083654,1.00e-04,95.6,8508
150,2,0.075141,1.00e-04,96.3,8508
151,2,0.040496,1.00e-04,97.0,8508
152,2,0.052683,1.00e-04,97.6,8508
153,2,0.025429,1.00e-04,98.1,8508
154,3,0.039950,1.00e-04,98.9,8508
155,3,0.091604,1.00e-04,99.6,8508
156,3,0.059567,1.00e-04,100.2,8508
157,3,0.115206,1.00e-04,100.8,8508
158,3,0.067021,1.00e-04,101.4,8508
159,3,0.126805,1.00e-04,102.0,8508
160,3,0.046488,1.00e-04,102.6,8508
161,3,0.229396,1.00e-04,103.2,8508
162,3,0.094015,1.00e-04,103.9,8508
163,3,0.037528,1.00e-04,104.5,8508
164,3,0.022925,1.00e-04,105.2,8508
165,3,0.191585,1.00e-04,105.8,8508
166,3,0.020296,1.00e-04,106.4,8508
167,3,0.090910,1.00e-04,107.0,8508
168,3,0.057790,1.00e-04,107.7,8508
169,3,0.053735,1.00e-04,108.4,8508
170,3,0.098587,1.00e-04,109.0,8508
171,3,0.158471,1.00e-04,109.7,8508
172,3,0.042078,1.00e-04,110.4,8508
173,3,0.078155,1.00e-04,111.0,8508
174,3,0.052341,1.00e-04,111.8,8508
175,3,0.052309,1.00e-04,112.4,8508
176,3,0.067204,1.00e-04,113.1,8508
177,3,0.085671,1.00e-04,113.7,8508
178,3,0.069824,1.00e-04,114.3,8508
179,3,0.338744,1.00e-04,115.0,8508
180,3,0.135659,1.00e-04,115.6,8508
181,3,0.128668,1.00e-04,116.3,8508
182,3,0.012152,1.00e-04,117.0,8508
183,3,0.015574,1.00e-04,117.6,8508
184,3,0.023581,1.00e-04,118.3,8508
185,3,0.101126,1.00e-04,118.9,8508
186,3,0.097966,1.00e-04,119.5,8508
187,3,0.078810,1.00e-04,120.1,8508
188,3,0.105310,1.00e-04,120.8,8508
189,3,0.101231,1.00e-04,121.4,8508
190,3,0.163230,1.00e-04,122.0,8508
191,3,0.064843,1.00e-04,122.6,8508
192,3,0.010785,1.00e-04,123.3,8508
193,3,0.051408,1.00e-04,123.9,8508
194,3,0.159618,1.00e-04,124.6,8508
195,3,0.085220,1.00e-04,125.2,8508
196,3,0.048429,1.00e-04,125.8,8508
197,3,0.044114,1.00e-04,126.4,8508
198,3,0.152994,1.00e-04,127.1,8508
199,3,0.040503,1.00e-04,127.7,8508
200,3,0.039320,1.00e-04,128.3,8508
201,3,0.134762,1.00e-04,129.0,8508
202,3,0.030404,1.00e-04,129.6,8508
203,3,0.029333,1.00e-04,130.3,8508
204,3,0.055394,1.00e-04,130.9,8508
205,4,0.047010,1.00e-04,131.5,8508
206,4,0.036235,1.00e-04,132.2,8508
207,4,0.040430,1.00e-04,132.8,8508
208,4,0.006711,1.00e-04,133.5,8508
