step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.121955,1.00e-04,2.9,8463
2,0,0.121567,1.00e-04,3.3,8482
3,0,0.072227,1.00e-04,3.7,8482
4,0,0.069518,1.00e-04,4.1,8482
5,0,0.053918,1.00e-04,4.4,8495
6,0,0.029720,1.00e-04,4.8,8508
7,0,0.002881,1.00e-04,5.3,8508
8,0,0.156814,1.00e-04,5.6,8508
9,0,0.088584,1.00e-04,6.0,8508
10,0,0.082217,1.00e-04,6.4,8508
11,0,0.155369,1.00e-04,6.8,8508
12,0,0.116669,1.00e-04,7.2,8508
13,0,0.050508,1.00e-04,7.7,8508
14,0,0.150924,1.00e-04,8.3,8508
15,0,0.018075,1.00e-04,8.7,8508
16,0,0.019470,1.00e-04,9.1,8508
17,0,0.068562,1.00e-04,9.6,8508
18,0,0.081818,1.00e-04,9.9,8508
19,0,0.003838,1.00e-04,10.4,8508
20,0,0.107299,1.00e-04,10.8,8508
21,0,0.033026,1.00e-04,11.1,8508
22,0,0.017561,1.00e-04,11.6,8508
23,0,0.229866,1.00e-04,12.0,8508
24,0,0.162009,1.00e-04,12.3,8508
25,0,0.108804,1.00e-04,12.8,8508
26,0,0.072314,1.00e-04,13.1,8508
27,0,0.031232,1.00e-04,13.5,8508
28,0,0.135154,1.00e-04,14.2,8508
29,0,0.096766,1.00e-04,14.5,8508
30,0,0.013409,1.00e-04,15.0,8508
31,0,0.034105,1.00e-04,15.4,8508
32,0,0.075495,1.00e-04,15.8,8508
33,0,0.229896,1.00e-04,16.2,8508
34,0,0.041842,1.00e-04,16.7,8508
35,0,0.092557,1.00e-04,17.1,8508
36,0,0.029524,1.00e-04,17.5,8508
37,0,0.028638,1.00e-04,18.0,8508
38,0,0.079139,1.00e-04,18.3,8508
39,0,0.138670,1.00e-04,18.7,8508
40,0,0.032325,1.00e-04,19.1,8508
41,0,0.068800,1.00e-04,19.4,8508
42,0,0.044320,1.00e-04,19.8,8508
43,0,0.113305,1.00e-04,20.1,8508
44,0,0.027016,1.00e-04,20.5,8508
45,0,0.146854,1.00e-04,20.9,8508
46,0,0.095889,1.00e-04,21.3,8508
47,0,0.047489,1.00e-04,21.7,8508
48,0,0.090386,1.00e-04,22.1,8508
49,0,0.123808,1.00e-04,22.5,8508
50,0,0.064166,1.00e-04,22.9,8508
51,0,0.051459,1.00e-04,23.4,8508
52,0,0.044690,1.00e-04,23.8,8508
53,0,0.013887,1.00e-04,24.1,8508
54,0,0.006082,1.00e-04,24.6,8508
55,0,0.040493,1.00e-04,25.0,8508
56,0,0.106568,1.00e-04,25.5,8508
57,0,0.014949,1.00e-04,26.1,8508
58,0,0.068733,1.00e-04,26.5,8508
59,0,0.053010,1.00e-04,26.8,8508
60,0,0.337880,1.00e-04,27.2,8508
61,0,0.053758,1.00e-04,27.6,8508
62,0,0.075559,1.00e-04,28.1,8508
63,0,0.026683,1.00e-04,28.6,8508
64,0,0.087262,1.00e-04,29.0,8508
65,0,0.026956,1.00e-04,29.5,8508
66,0,0.168263,1.00e-04,29.9,8508
67,0,0.100364,1.00e-04,30.3,8508
68,0,0.040263,1.00e-04,30.8,8508
69,0,0.092651,1.00e-04,31.2,8508
70,0,0.058028,1.00e-04,31.6,8508
71,0,0.016650,1.00e-04,31.9,8508
72,0,0.101518,1.00e-04,32.4,8508
73,0,0.065924,1.00e-04,32.9,8508
74,0,0.156661,1.00e-04,33.3,8508
75,0,0.042862,1.00e-04,33.6,8508
76,0,0.017621,1.00e-04,34.0,8508
77,0,0.145092,1.00e-04,34.4,8508
78,0,0.027468,1.00e-04,34.8,8508
79,0,0.019734,1.00e-04,35.1,8508
80,0,0.038071,1.00e-04,35.7,8508
81,0,0.195709,1.00e-04,36.1,8508
82,0,0.101456,1.00e-04,36.5,8508
83,0,0.039083,1.00e-04,36.9,8508
84,0,0.024417,1.00e-04,37.4,8508
85,0,0.029421,1.00e-04,37.8,8508
86,0,0.019338,1.00e-04,38.3,8508
87,0,0.005569,1.00e-04,38.8,8508
88,0,0.059570,1.00e-04,39.2,8508
89,0,0.007401,1.00e-04,39.5,8508
90,0,0.024438,1.00e-04,39.9,8508
91,0,0.201378,1.00e-04,40.3,8508
92,0,0.052536,1.00e-04,40.7,8508
93,0,0.016715,1.00e-04,41.2,8508
94,0,0.052962,1.00e-04,41.6,8508
95,0,0.029913,1.00e-04,42.0,8508
