step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.018751,1.00e-04,3.0,8463
2,0,0.029062,1.00e-04,3.4,8482
3,0,0.138898,1.00e-04,3.8,8482
4,0,0.102197,1.00e-04,4.3,8482
5,0,0.015590,1.00e-04,4.7,8495
6,0,0.040950,1.00e-04,5.2,8508
7,0,0.037256,1.00e-04,5.5,8508
8,0,0.030518,1.00e-04,5.9,8508
9,0,0.201830,1.00e-04,6.4,8508
10,0,0.022875,1.00e-04,6.9,8508
11,0,0.047555,1.00e-04,7.5,8508
12,0,0.074617,1.00e-04,8.2,8508
13,0,0.028828,1.00e-04,8.7,8508
14,1,0.005370,1.00e-04,9.4,8508
15,1,0.102044,1.00e-04,10.1,8508
16,1,0.076503,1.00e-04,10.9,8508
17,1,0.021711,1.00e-04,11.6,8508
18,1,0.069035,1.00e-04,12.3,8508
19,1,0.299805,1.00e-04,12.9,8508
20,1,0.182820,1.00e-04,13.6,8508
21,1,0.094581,1.00e-04,14.3,8508
22,1,0.083546,1.00e-04,14.9,8508
23,1,0.008141,1.00e-04,15.6,8508
24,1,0.037266,1.00e-04,16.2,8508
25,1,0.029823,1.00e-04,16.8,8508
26,1,0.270906,1.00e-04,17.1,8508
27,2,0.015433,1.00e-04,18.0,8508
28,2,0.071595,1.00e-04,18.7,8508
29,2,0.020578,1.00e-04,19.3,8508
30,2,0.142885,1.00e-04,20.0,8508
31,2,0.089773,1.00e-04,20.6,8508
32,2,0.066159,1.00e-04,21.3,8508
33,2,0.051679,1.00e-04,22.0,8508
34,2,0.136776,1.00e-04,22.7,8508
35,2,0.036859,1.00e-04,23.5,8508
36,2,0.011299,1.00e-04,24.1,8508
37,2,0.028641,1.00e-04,24.7,8508
38,2,0.012551,1.00e-04,25.3,8508
39,2,0.001668,1.00e-04,25.6,8508
40,3,0.055040,1.00e-04,26.2,8508
41,3,0.112651,1.00e-04,26.8,8508
42,3,0.051797,1.00e-04,27.6,8508
43,3,0.076884,1.00e-04,28.3,8508
44,3,0.024479,1.00e-04,29.0,8508
45,3,0.104641,1.00e-04,29.6,8508
46,3,0.050843,1.00e-04,30.2,8508
47,3,0.139215,1.00e-04,30.9,8508
48,3,0.013588,1.00e-04,31.6,8508
49,3,0.056193,1.00e-04,32.3,8508
50,3,0.060752,1.00e-04,33.0,8508
51,3,0.011652,1.00e-04,33.7,8508
52,3,0.615999,1.00e-04,34.0,8508
53,4,0.087330,1.00e-04,34.8,8508
54,4,0.039459,1.00e-04,35.3,8508
55,4,0.024318,1.00e-04,36.1,8508
56,4,0.019387,1.00e-04,36.8,8508
57,4,0.066272,1.00e-04,37.5,8508
58,4,0.163684,1.00e-04,38.2,8508
59,4,0.010738,1.00e-04,38.9,8508
60,4,0.010503,1.00e-04,39.5,8508
61,4,0.011145,1.00e-04,40.1,8508
62,4,0.034541,1.00e-04,40.8,8508
63,4,0.033919,1.00e-04,41.5,8508
64,4,0.068127,1.00e-04,42.1,8508
65,4,0.179542,1.00e-04,42.4,8508
66,5,0.072961,1.00e-04,43.1,8508
67,5,0.004545,1.00e-04,43.8,8508
68,5,0.004749,1.00e-04,44.6,8508
69,5,0.004339,1.00e-04,45.2,8508
70,5,0.060907,1.00e-04,45.9,8508
71,5,0.041105,1.00e-04,46.6,8508
72,5,0.076093,1.00e-04,47.3,8508
73,5,0.018684,1.00e-04,48.0,8508
74,5,0.019354,1.00e-04,48.6,8508
75,5,0.041195,1.00e-04,49.2,8508
76,5,0.016164,1.00e-04,49.9,8508
77,5,0.078751,1.00e-04,50.5,8508
78,5,0.006184,1.00e-04,50.9,8508
79,6,0.046773,1.00e-04,51.5,8508
80,6,0.039658,1.00e-04,52.1,8508
81,6,0.006376,1.00e-04,52.7,8508
82,6,0.041233,1.00e-04,53.3,8508
83,6,0.048999,1.00e-04,54.1,8508
84,6,0.110619,1.00e-04,54.8,8508
85,6,0.093876,1.00e-04,55.5,8508
86,6,0.068456,1.00e-04,56.3,8508
87,6,0.272900,1.00e-04,56.9,8508
88,6,0.012105,1.00e-04,57.6,8508
89,6,0.079970,1.00e-04,58.3,8508
90,6,0.115344,1.00e-04,58.9,8508
91,6,0.011013,1.00e-04,59.3,8508
92,7,0.007592,1.00e-04,59.9,8508
93,7,0.014748,1.00e-04,60.5,8508
94,7,0.040174,1.00e-04,61.3,8508
95,7,0.234547,1.00e-04,62.0,8508
96,7,0.152079,1.00e-04,62.6,8508
97,7,0.022566,1.00e-04,63.3,8508
98,7,0.051241,1.00e-04,64.1,8508
99,7,0.046254,1.00e-04,64.8,8508
100,7,0.044784,1.00e-04,65.4,8508
101,7,0.165927,1.00e-04,66.2,8508
102,7,0.094581,1.00e-04,66.9,8508
103,7,0.223900,1.00e-04,67.4,8508
104,7,0.007412,1.00e-04,67.7,8508
105,8,0.094943,1.00e-04,68.4,8508
106,8,0.073970,1.00e-04,69.1,8508
107,8,0.050676,1.00e-04,69.8,8508
108,8,0.205514,1.00e-04,70.5,8508
109,8,0.073030,1.00e-04,71.3,8508
110,8,0.069641,1.00e-04,71.9,8508
111,8,0.069038,1.00e-04,72.5,8508
112,8,0.019843,1.00e-04,73.1,8508
113,8,0.162702,1.00e-04,73.7,8508
114,8,0.026782,1.00e-04,74.6,8508
115,8,0.107993,1.00e-04,75.2,8508
116,8,0.117894,1.00e-04,75.8,8508
117,8,0.069971,1.00e-04,76.1,8508
118,9,0.189384,1.00e-04,76.9,8508
119,9,0.035228,1.00e-04,77.6,8508
120,9,0.078188,1.00e-04,78.2,8508
121,9,0.002592,1.00e-04,79.0,8508
122,9,0.008461,1.00e-04,79.6,8508
123,9,0.065551,1.00e-04,80.3,8508
124,9,0.057966,1.00e-04,81.0,8508
125,9,0.042847,1.00e-04,81.7,8508
126,9,0.064765,1.00e-04,82.3,8508
127,9,0.023601,1.00e-04,82.9,8508
128,9,0.011905,1.00e-04,83.6,8508
129,9,0.047916,1.00e-04,84.2,8508
130,9,0.024311,1.00e-04,84.5,8508
131,10,0.135005,1.00e-04,85.3,8508
132,10,0.102591,1.00e-04,86.0,8508
133,10,0.057399,1.00e-04,86.7,8508
134,10,0.101954,1.00e-04,87.4,8508
135,10,0.012201,1.00e-04,88.1,8508
136,10,0.078942,1.00e-04,88.7,8508
137,10,0.023744,1.00e-04,89.3,8508
138,10,0.009337,1.00e-04,90.1,8508
139,10,0.087113,1.00e-04,90.7,8508
140,10,0.019136,1.00e-04,91.4,8508
141,10,0.084573,1.00e-04,92.0,8508
142,10,0.056021,1.00e-04,92.6,8508
143,10,0.029875,1.00e-04,92.9,8508
144,11,0.037057,1.00e-04,93.6,8508
145,11,0.062810,1.00e-04,94.3,8508
146,11,0.111948,1.00e-04,95.1,8508
147,11,0.037162,1.00e-04,95.7,8508
148,11,0.050956,1.00e-04,96.4,8508
149,11,0.081664,1.00e-04,97.2,8508
150,11,0.079997,1.00e-04,97.8,8508
151,11,0.148921,1.00e-04,98.4,8508
152,11,0.039550,1.00e-04,99.1,8508
153,11,0.022886,1.00e-04,99.6,8508
154,11,0.036638,1.00e-04,100.4,8508
155,11,0.111814,1.00e-04,100.9,8508
156,11,0.013837,1.00e-04,101.3,8508
157,12,0.063813,1.00e-04,102.3,8508
158,12,0.071888,1.00e-04,103.0,8508
159,12,0.062258,1.00e-04,103.6,8508
160,12,0.187690,1.00e-04,104.3,8508
161,12,0.031755,1.00e-04,104.9,8508
162,12,0.044683,1.00e-04,105.5,8508
163,12,0.092641,1.00e-04,106.1,8508
164,12,0.028750,1.00e-04,106.8,8508
165,12,0.050418,1.00e-04,107.4,8508
166,12,0.315689,1.00e-04,108.1,8508
167,12,0.136987,1.00e-04,108.7,8508
168,12,0.082919,1.00e-04,109.3,8508
169,12,0.008838,1.00e-04,109.7,8508
170,13,0.013942,1.00e-04,110.4,8508
171,13,0.042425,1.00e-04,111.0,8508
172,13,0.050105,1.00e-04,111.6,8508
173,13,0.012172,1.00e-04,112.4,8508
174,13,0.014380,1.00e-04,113.1,8508
175,13,0.053183,1.00e-04,113.7,8508
176,13,0.050276,1.00e-04,114.4,8508
177,13,0.078805,1.00e-04,115.1,8508
178,13,0.122530,1.00e-04,115.8,8508
179,13,0.080668,1.00e-04,116.4,8508
180,13,0.042481,1.00e-04,117.2,8508
181,13,0.226495,1.00e-04,117.8,8508
182,13,0.027532,1.00e-04,118.1,8508
183,14,0.107001,1.00e-04,118.9,8508
184,14,0.187876,1.00e-04,119.5,8508
185,14,0.062040,1.00e-04,120.2,8508
186,14,0.054526,1.00e-04,120.8,8508
187,14,0.048820,1.00e-04,121.4,8508
188,14,0.005274,1.00e-04,122.1,8508
189,14,0.089970,1.00e-04,122.7,8508
190,14,0.033868,1.00e-04,123.5,8508
191,14,0.007176,1.00e-04,124.2,8508
192,14,0.338714,1.00e-04,125.0,8508
193,14,0.456787,1.00e-04,125.6,8508
194,14,0.199107,1.00e-04,126.2,8508
195,14,0.029881,1.00e-04,126.6,8508
196,15,0.103999,1.00e-04,127.4,8508
197,15,0.146779,1.00e-04,128.1,8508
198,15,0.029796,1.00e-04,128.8,8508
199,15,0.019977,1.00e-04,129.4,8508
200,15,0.026633,1.00e-04,130.1,8508
201,15,0.151127,1.00e-04,130.9,8508
202,15,0.008668,1.00e-04,131.6,8508
203,15,0.031769,1.00e-04,132.2,8508
204,15,0.007785,1.00e-04,132.9,8508
205,15,0.091710,1.00e-04,133.6,8508
206,15,0.223663,1.00e-04,134.2,8508
207,15,0.223336,1.00e-04,134.8,8508
208,15,0.024268,1.00e-04,135.1,8508
209,16,0.007022,1.00e-04,136.0,8508
210,16,0.148490,1.00e-04,136.6,8508
211,16,0.042891,1.00e-04,137.2,8508
212,16,0.032469,1.00e-04,137.9,8508
213,16,0.030696,1.00e-04,138.6,8508
214,16,0.067993,1.00e-04,139.3,8508
215,16,0.028446,1.00e-04,140.0,8508
216,16,0.008419,1.00e-04,140.6,8508
217,16,0.059965,1.00e-04,141.3,8508
218,16,0.055382,1.00e-04,142.0,8508
219,16,0.015478,1.00e-04,142.6,8508
220,16,0.034382,1.00e-04,143.2,8508
221,16,0.117647,1.00e-04,143.5,8508
222,17,0.034544,1.00e-04,144.2,8508
223,17,0.022444,1.00e-04,144.9,8508
224,17,0.001643,1.00e-04,145.5,8508
225,17,0.041983,1.00e-04,146.1,8508
226,17,0.009173,1.00e-04,146.7,8508
227,17,0.020509,1.00e-04,147.4,8508
228,17,0.025257,1.00e-04,148.1,8508
229,17,0.016212,1.00e-04,148.8,8508
230,17,0.089252,1.00e-04,149.7,8508
231,17,0.012363,1.00e-04,150.3,8508
232,17,0.198158,1.00e-04,151.0,8508
233,17,0.085048,1.00e-04,151.6,8508
234,17,0.012193,1.00e-04,151.9,8508
235,18,0.051128,1.00e-04,152.6,8508
236,18,0.017482,1.00e-04,153.3,8508
237,18,0.074350,1.00e-04,153.9,8508
238,18,0.017944,1.00e-04,154.6,8508
239,18,0.215077,1.00e-04,155.2,8508
240,18,0.081886,1.00e-04,155.9,8508
241,18,0.111558,1.00e-04,156.6,8508
242,18,0.026542,1.00e-04,157.2,8508
243,18,0.042606,1.00e-04,157.9,8508
244,18,0.115919,1.00e-04,158.6,8508
245,18,0.009266,1.00e-04,159.2,8508
246,18,0.113413,1.00e-04,160.0,8508
247,18,0.066936,1.00e-04,160.3,8508
248,19,0.036945,1.00e-04,161.0,8508
249,19,0.049033,1.00e-04,161.7,8508
250,19,0.050672,1.00e-04,162.3,8508
251,19,0.066509,1.00e-04,163.0,8508
252,19,0.021968,1.00e-04,163.6,8508
253,19,0.056812,1.00e-04,164.2,8508
254,19,0.010681,1.00e-04,165.0,8508
255,19,0.252288,1.00e-04,165.6,8508
256,19,0.015529,1.00e-04,166.3,8508
257,19,0.099389,1.00e-04,167.1,8508
258,19,0.098605,1.00e-04,167.8,8508
259,19,0.029170,1.00e-04,168.3,8508
260,19,0.084767,1.00e-04,168.7,8508
261,20,0.020838,1.00e-04,169.4,8508
262,20,0.150566,1.00e-04,170.1,8508
263,20,0.272343,1.00e-04,170.7,8508
264,20,0.051313,1.00e-04,171.4,8508
265,20,0.082587,1.00e-04,172.1,8508
266,20,0.053633,1.00e-04,172.8,8508
