step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.030510,1.00e-04,3.0,8463
2,0,0.141931,1.00e-04,3.4,8482
3,0,0.112288,1.00e-04,3.8,8482
4,0,0.143235,1.00e-04,4.2,8482
5,0,0.101973,1.00e-04,4.6,8495
6,0,0.022252,1.00e-04,5.1,8508
7,0,0.003839,1.00e-04,5.4,8508
8,0,0.150239,1.00e-04,5.8,8508
9,0,0.052224,1.00e-04,6.2,8508
10,0,0.098387,1.00e-04,6.6,8508
11,0,0.127998,1.00e-04,7.0,8508
12,0,0.076419,1.00e-04,7.4,8508
13,0,0.100753,1.00e-04,7.8,8508
14,0,0.110526,1.00e-04,8.2,8508
15,0,0.009064,1.00e-04,9.0,8508
16,0,0.096991,1.00e-04,9.3,8508
17,0,0.092335,1.00e-04,9.8,8508
18,0,0.073821,1.00e-04,10.2,8508
19,0,0.002752,1.00e-04,10.5,8508
20,0,0.221929,1.00e-04,11.0,8508
21,0,0.040573,1.00e-04,11.4,8508
22,0,0.023615,1.00e-04,11.8,8508
23,0,0.189724,1.00e-04,12.2,8508
24,0,0.155758,1.00e-04,12.6,8508
25,0,0.209810,1.00e-04,13.1,8508
26,0,0.089565,1.00e-04,13.4,8508
27,0,0.111209,1.00e-04,13.8,8508
28,0,0.020542,1.00e-04,14.2,8508
29,0,0.064426,1.00e-04,14.5,8508
30,0,0.039867,1.00e-04,14.9,8508
31,0,0.055436,1.00e-04,15.3,8508
32,0,0.040461,1.00e-04,15.7,8508
33,0,0.367170,1.00e-04,16.1,8508
34,0,0.034405,1.00e-04,16.4,8508
35,0,0.022286,1.00e-04,16.9,8508
36,0,0.054697,1.00e-04,17.4,8508
37,0,0.060177,1.00e-04,17.8,8508
38,0,0.086595,1.00e-04,18.2,8508
39,0,0.061208,1.00e-04,18.6,8508
40,0,0.102277,1.00e-04,19.1,8508
41,0,0.052257,1.00e-04,19.4,8508
42,0,0.030348,1.00e-04,19.8,8508
43,0,0.052525,1.00e-04,20.2,8508
44,0,0.033575,1.00e-04,20.6,8508
45,0,0.169369,1.00e-04,21.1,8508
46,0,0.115836,1.00e-04,21.4,8508
47,0,0.143780,1.00e-04,22.0,8508
48,0,0.283665,1.00e-04,22.4,8508
49,0,0.047232,1.00e-04,22.8,8508
50,0,0.041920,1.00e-04,23.2,8508
51,0,0.039007,1.00e-04,23.5,8508
52,0,0.039491,1.00e-04,24.0,8508
53,0,0.013756,1.00e-04,24.4,8508
54,0,0.003310,1.00e-04,24.7,8508
55,0,0.067245,1.00e-04,25.1,8508
56,0,0.054707,1.00e-04,25.6,8508
57,0,0.013103,1.00e-04,25.9,8508
58,0,0.178979,1.00e-04,26.3,8508
59,0,0.055458,1.00e-04,26.7,8508
60,0,0.251984,1.00e-04,27.2,8508
61,0,0.040694,1.00e-04,27.5,8508
62,0,0.058876,1.00e-04,27.9,8508
63,0,0.023546,1.00e-04,28.3,8508
64,0,0.047657,1.00e-04,28.7,8508
65,0,0.017781,1.00e-04,29.1,8508
66,0,0.092491,1.00e-04,29.6,8508
67,0,0.266832,1.00e-04,30.1,8508
68,0,0.127214,1.00e-04,30.5,8508
69,0,0.032004,1.00e-04,31.2,8508
70,0,0.080079,1.00e-04,31.5,8508
71,0,0.012434,1.00e-04,31.9,8508
72,0,0.143710,1.00e-04,32.3,8508
73,0,0.049410,1.00e-04,32.7,8508
74,0,0.055464,1.00e-04,33.2,8508
75,0,0.104761,1.00e-04,33.5,8508
76,0,0.029152,1.00e-04,33.9,8508
77,0,0.142557,1.00e-04,34.3,8508
78,0,0.032014,1.00e-04,34.7,8508
79,0,0.013466,1.00e-04,35.0,8508
80,0,0.109278,1.00e-04,35.4,8508
81,0,0.089323,1.00e-04,35.8,8508
82,0,0.103553,1.00e-04,36.2,8508
83,0,0.079946,1.00e-04,36.5,8508
84,0,0.016594,1.00e-04,37.0,8508
85,0,0.024780,1.00e-04,37.5,8508
86,0,0.016392,1.00e-04,38.0,8508
87,0,0.005376,1.00e-04,38.4,8508
88,0,0.083867,1.00e-04,38.8,8508
89,0,0.027675,1.00e-04,39.2,8508
90,0,0.019932,1.00e-04,39.6,8508
91,0,0.115044,1.00e-04,40.0,8508
92,0,0.072756,1.00e-04,40.4,8508
93,0,0.012091,1.00e-04,40.8,8508
94,0,0.035057,1.00e-04,41.2,8508
95,0,0.028324,1.00e-04,41.6,8508
96,0,0.060265,1.00e-04,41.9,8508
97,0,0.274325,1.00e-04,42.4,8508
98,0,0.028408,1.00e-04,42.8,8508
99,0,0.019123,1.00e-04,43.2,8508
100,0,0.072812,1.00e-04,43.6,8508
101,0,0.040870,1.00e-04,43.9,8508
102,0,0.041460,1.00e-04,44.3,8508
103,0,0.042261,1.00e-04,44.8,8508
104,0,0.028193,1.00e-04,45.1,8508
105,0,0.030371,1.00e-04,45.5,8508
106,0,0.167193,1.00e-04,45.9,8508
107,0,0.085340,1.00e-04,46.3,8508
108,0,0.111932,1.00e-04,46.7,8508
109,0,0.173097,1.00e-04,47.1,8508
110,0,0.044900,1.00e-04,47.5,8508
111,0,0.184190,1.00e-04,47.8,8508
112,0,0.080485,1.00e-04,48.2,8508
113,0,0.093042,1.00e-04,48.7,8508
114,0,0.144967,1.00e-04,49.1,8508
115,0,0.018886,1.00e-04,49.6,8508
116,0,0.176986,1.00e-04,50.1,8508
117,0,0.032891,1.00e-04,50.5,8508
118,0,0.010179,1.00e-04,50.9,8508
119,0,0.016652,1.00e-04,51.3,8508
120,0,0.028533,1.00e-04,52.3,8508
121,0,0.094821,1.00e-04,52.8,8508
122,0,0.069177,1.00e-04,53.2,8508
123,0,0.032718,1.00e-04,53.7,8508
124,0,0.178812,1.00e-04,54.1,8508
125,0,0.034601,1.00e-04,54.5,8508
126,0,0.005329,1.00e-04,55.0,8508
127,0,0.112366,1.00e-04,55.4,8508
128,0,0.029598,1.00e-04,55.8,8508
129,0,0.098334,1.00e-04,56.2,8508
130,0,0.064200,1.00e-04,56.7,8508
131,0,0.064332,1.00e-04,57.1,8508
132,0,0.036876,1.00e-04,57.5,8508
133,0,0.014453,1.00e-04,57.9,8508
134,0,0.029518,1.00e-04,58.2,8508
135,0,0.050911,1.00e-04,58.7,8508
136,0,0.060336,1.00e-04,59.0,8508
137,0,0.022444,1.00e-04,59.4,8508
138,0,0.073005,1.00e-04,59.8,8508
139,0,0.028221,1.00e-04,60.2,8508
140,0,0.170759,1.00e-04,60.6,8508
141,0,0.059086,1.00e-04,61.0,8508
142,0,0.002880,1.00e-04,61.3,8508
143,0,0.024238,1.00e-04,61.7,8508
144,0,0.025526,1.00e-04,62.2,8508
145,0,0.090297,1.00e-04,62.5,8508
146,0,0.235457,1.00e-04,62.9,8508
147,0,0.067241,1.00e-04,63.4,8508
148,0,0.159947,1.00e-04,63.8,8508
149,0,0.283018,1.00e-04,64.2,8508
150,0,0.211856,1.00e-04,64.6,8508
151,0,0.275968,1.00e-04,64.9,8508
152,0,0.049504,1.00e-04,65.4,8508
153,0,0.124230,1.00e-04,65.7,8508
154,0,0.021089,1.00e-04,66.3,8508
155,0,0.057911,1.00e-04,66.7,8508
156,0,0.109506,1.00e-04,67.1,8508
157,0,0.094906,1.00e-04,67.5,8508
158,0,0.013409,1.00e-04,68.0,8508
159,0,0.041149,1.00e-04,68.4,8508
160,0,0.177768,1.00e-04,68.8,8508
161,0,0.035637,1.00e-04,69.2,8508
162,0,0.056394,1.00e-04,69.6,8508
163,0,0.110126,1.00e-04,70.1,8508
164,0,0.030257,1.00e-04,70.5,8508
165,0,0.054465,1.00e-04,70.9,8508
166,0,0.056923,1.00e-04,71.4,8508
167,0,0.030698,1.00e-04,71.8,8508
168,0,0.186646,1.00e-04,72.3,8508
169,0,0.051034,1.00e-04,72.7,8508
170,0,0.040410,1.00e-04,73.1,8508
171,0,0.080640,1.00e-04,73.6,8508
172,0,0.356963,1.00e-04,74.0,8508
173,0,0.046989,1.00e-04,74.4,8508
174,0,0.029852,1.00e-04,74.8,8508
175,0,0.092919,1.00e-04,75.1,8508
176,0,0.015467,1.00e-04,75.6,8508
177,0,0.042065,1.00e-04,76.0,8508
178,0,0.008958,1.00e-04,76.4,8508
179,0,0.114872,1.00e-04,76.8,8508
180,0,0.005318,1.00e-04,77.2,8508
181,0,0.024688,1.00e-04,77.6,8508
182,0,0.032777,1.00e-04,78.0,8508
183,0,0.015962,1.00e-04,78.3,8508
184,0,0.057660,1.00e-04,78.8,8508
185,0,0.183623,1.00e-04,79.1,8508
186,0,0.023758,1.00e-04,79.5,8508
187,0,0.061014,1.00e-04,79.9,8508
188,0,0.086270,1.00e-04,80.5,8508
189,0,0.307639,1.00e-04,80.9,8508
190,0,0.009714,1.00e-04,81.4,8508
191,0,0.070277,1.00e-04,81.8,8508
192,0,0.142932,1.00e-04,82.3,8508
193,0,0.142447,1.00e-04,82.8,8508
194,0,0.065190,1.00e-04,83.2,8508
195,0,0.070734,1.00e-04,83.7,8508
196,0,0.092802,1.00e-04,84.2,8508
197,0,0.065196,1.00e-04,84.6,8508
198,0,0.064022,1.00e-04,85.0,8508
199,0,0.047976,1.00e-04,85.3,8508
200,0,0.030635,1.00e-04,85.7,8508
201,0,0.103503,1.00e-04,86.1,8508
202,0,0.017218,1.00e-04,86.6,8508
203,0,0.050040,1.00e-04,87.0,8508
204,0,0.011730,1.00e-04,87.4,8508
205,0,0.105799,1.00e-04,87.8,8508
206,0,0.053649,1.00e-04,88.2,8508
207,0,0.066232,1.00e-04,88.6,8508
208,0,0.238520,1.00e-04,89.0,8508
209,0,0.088124,1.00e-04,89.5,8508
210,0,0.034123,1.00e-04,89.9,8508
211,0,0.097249,1.00e-04,90.3,8508
212,0,0.078926,1.00e-04,90.7,8508
213,0,0.044617,1.00e-04,91.0,8508
214,0,0.082046,1.00e-04,91.4,8508
215,0,0.011294,1.00e-04,91.8,8508
216,0,0.030689,1.00e-04,92.3,8508
217,0,0.195001,1.00e-04,92.7,8508
218,0,0.035908,1.00e-04,93.2,8508
219,0,0.118166,1.00e-04,93.5,8508
220,0,0.036596,1.00e-04,93.9,8508
221,0,0.144462,1.00e-04,94.3,8508
222,0,0.008046,1.00e-04,94.6,8508
223,0,0.037926,1.00e-04,95.2,8508
224,0,0.156408,1.00e-04,95.7,8508
225,0,0.204996,1.00e-04,96.1,8508
226,0,0.022266,1.00e-04,96.6,8508
227,0,0.071203,1.00e-04,97.0,8508
228,0,0.049253,1.00e-04,97.5,8508
229,0,0.088874,1.00e-04,97.9,8508
230,0,0.007035,1.00e-04,98.2,8508
231,0,0.017696,1.00e-04,98.7,8508
232,0,0.080339,1.00e-04,99.1,8508
233,0,0.047462,1.00e-04,99.4,8508
234,0,0.075048,1.00e-04,99.8,8508
235,0,0.053331,1.00e-04,100.3,8508
236,0,0.180545,1.00e-04,100.7,8508
237,0,0.046872,1.00e-04,101.1,8508
238,0,0.036088,1.00e-04,101.4,8508
239,0,0.093831,1.00e-04,101.8,8508
240,0,0.011607,1.00e-04,102.7,8508
241,0,0.021820,1.00e-04,103.2,8508
242,0,0.107522,1.00e-04,103.6,8508
243,0,0.019501,1.00e-04,104.1,8508
244,0,0.032673,1.00e-04,104.5,8508
245,0,0.033319,1.00e-04,105.0,8508
246,0,0.223060,1.00e-04,105.4,8508
247,0,0.060343,1.00e-04,105.8,8508
248,0,0.093124,1.00e-04,106.2,8508
249,0,0.130400,1.00e-04,106.5,8508
250,0,0.046053,1.00e-04,107.0,8508
251,0,0.073429,1.00e-04,107.4,8508
252,0,0.066890,1.00e-04,107.9,8508
253,0,0.003746,1.00e-04,108.2,8508
254,0,0.043389,1.00e-04,108.7,8508
255,0,0.003818,1.00e-04,109.0,8508
256,0,0.034172,1.00e-04,109.4,8508
257,0,0.012691,1.00e-04,109.9,8508
258,0,0.242686,1.00e-04,110.4,8508
259,0,0.051811,1.00e-04,110.9,8508
260,0,0.225818,1.00e-04,111.3,8508
261,0,0.016771,1.00e-04,111.7,8508
262,0,0.068300,1.00e-04,112.0,8508
263,0,0.145812,1.00e-04,112.4,8508
264,0,0.049524,1.00e-04,112.8,8508
265,0,0.020857,1.00e-04,113.1,8508
266,0,0.038465,1.00e-04,113.5,8508
267,0,0.006647,1.00e-04,113.8,8508
268,0,0.126186,1.00e-04,114.2,8508
269,0,0.054933,1.00e-04,114.6,8508
270,0,0.015046,1.00e-04,115.0,8508
271,0,0.021546,1.00e-04,115.4,8508
272,0,0.073075,1.00e-04,115.7,8508
273,0,0.078604,1.00e-04,116.2,8508
274,0,0.086067,1.00e-04,116.6,8508
275,0,0.120069,1.00e-04,117.0,8508
276,0,0.130808,1.00e-04,117.6,8508
277,0,0.019366,1.00e-04,118.0,8508
278,0,0.039721,1.00e-04,118.5,8508
279,0,0.018595,1.00e-04,119.0,8508
280,0,0.084111,1.00e-04,119.4,8508
281,0,0.062706,1.00e-04,119.7,8508
282,0,0.088703,1.00e-04,120.1,8508
283,0,0.018014,1.00e-04,120.5,8508
284,0,0.105519,1.00e-04,120.9,8508
285,0,0.011345,1.00e-04,121.4,8508
286,0,0.137066,1.00e-04,121.9,8508
287,0,0.020841,1.00e-04,122.4,8508
288,0,0.011909,1.00e-04,122.8,8508
289,0,0.096533,1.00e-04,123.2,8508
290,0,0.022461,1.00e-04,123.6,8508
291,0,0.082116,1.00e-04,124.0,8508
292,0,0.068221,1.00e-04,124.4,8508
293,0,0.087280,1.00e-04,124.9,8508
294,0,0.151286,1.00e-04,125.4,8508
295,0,0.039001,1.00e-04,125.9,8508
296,0,0.003371,1.00e-04,126.4,8508
297,0,0.036644,1.00e-04,126.7,8508
298,0,0.018106,1.00e-04,127.2,8508
299,0,0.023170,1.00e-04,127.6,8508
300,0,0.016877,1.00e-04,128.0,8508
301,0,0.108137,1.00e-04,128.5,8508
302,0,0.082849,1.00e-04,128.8,8508
303,0,0.073700,1.00e-04,129.2,8508
304,0,0.014986,1.00e-04,129.6,8508
305,0,0.021594,1.00e-04,129.9,8508
306,0,0.325860,1.00e-04,130.4,8508
307,0,0.101961,1.00e-04,130.7,8508
308,0,0.021442,1.00e-04,131.1,8508
309,0,0.299552,1.00e-04,131.5,8508
310,0,0.146847,1.00e-04,131.9,8508
311,0,0.027131,1.00e-04,132.3,8508
312,0,0.113080,1.00e-04,132.7,8508
313,0,0.013497,1.00e-04,133.2,8508
314,0,0.122107,1.00e-04,133.7,8508
315,0,0.049530,1.00e-04,134.1,8508
316,0,0.057075,1.00e-04,134.6,8508
317,0,0.168412,1.00e-04,135.0,8508
318,0,0.002046,1.00e-04,135.4,8508
319,0,0.037877,1.00e-04,135.9,8508
320,0,0.057316,1.00e-04,136.4,8508
321,0,0.197423,1.00e-04,137.0,8508
322,0,0.022215,1.00e-04,137.3,8508
323,0,0.018857,1.00e-04,137.8,8508
324,0,0.055161,1.00e-04,138.2,8508
325,0,0.025684,1.00e-04,138.6,8508
326,0,0.004772,1.00e-04,139.0,8508
327,0,0.035449,1.00e-04,139.4,8508
328,0,0.168123,1.00e-04,139.8,8508
329,0,0.017970,1.00e-04,140.1,8508
330,0,0.063465,1.00e-04,140.5,8508
331,0,0.002837,1.00e-04,140.9,8508
332,0,0.081477,1.00e-04,141.3,8508
333,0,0.028643,1.00e-04,141.8,8508
334,0,0.057750,1.00e-04,142.2,8508
335,0,0.007210,1.00e-04,142.6,8508
336,0,0.066961,1.00e-04,143.2,8508
337,0,0.033566,1.00e-04,143.5,8508
338,0,0.041830,1.00e-04,144.0,8508
339,0,0.007690,1.00e-04,144.5,8508
340,0,0.052019,1.00e-04,145.0,8508
341,0,0.051431,1.00e-04,145.4,8508
342,0,0.014506,1.00e-04,145.8,8508
343,0,0.040864,1.00e-04,146.2,8508
344,0,0.157260,1.00e-04,146.6,8508
345,0,0.003300,1.00e-04,147.2,8508
346,0,0.194317,1.00e-04,147.6,8508
347,0,0.032772,1.00e-04,148.0,8508
348,0,0.005767,1.00e-04,148.4,8508
349,1,0.164600,1.00e-04,148.8,8508
350,1,0.152978,1.00e-04,149.2,8508
351,1,0.021227,1.00e-04,149.6,8508
352,1,0.058342,1.00e-04,150.0,8508
353,1,0.259983,1.00e-04,150.5,8508
354,1,0.157946,1.00e-04,151.0,8508
355,1,0.028772,1.00e-04,151.4,8508
356,1,0.036733,1.00e-04,151.9,8508
357,1,0.059130,1.00e-04,152.3,8508
358,1,0.091729,1.00e-04,152.8,8508
359,1,0.191572,1.00e-04,153.2,8508
360,1,0.202399,1.00e-04,153.6,8508
361,1,0.011058,1.00e-04,154.0,8508
362,1,0.014862,1.00e-04,154.4,8508
363,1,0.042704,1.00e-04,154.9,8508
364,1,0.075228,1.00e-04,155.3,8508
365,1,0.073572,1.00e-04,155.8,8508
366,1,0.075954,1.00e-04,156.3,8508
367,1,0.087267,1.00e-04,157.2,8508
368,1,0.069422,1.00e-04,157.5,8508
369,1,0.041168,1.00e-04,157.9,8508
370,1,0.026193,1.00e-04,158.3,8508
371,1,0.011983,1.00e-04,158.7,8508
372,1,0.001585,1.00e-04,159.1,8508
373,1,0.040238,1.00e-04,159.5,8508
374,1,0.100336,1.00e-04,159.8,8508
375,1,0.043823,1.00e-04,160.2,8508
376,1,0.028610,1.00e-04,160.6,8508
377,1,0.102941,1.00e-04,160.9,8508
378,1,0.053502,1.00e-04,161.4,8508
379,1,0.179532,1.00e-04,162.0,8508
380,1,0.120838,1.00e-04,162.5,8508
381,1,0.092156,1.00e-04,163.1,8508
382,1,0.155811,1.00e-04,163.5,8508
383,1,0.017963,1.00e-04,163.9,8508
384,1,0.066142,1.00e-04,164.3,8508
385,1,0.051093,1.00e-04,164.8,8508
386,1,0.054272,1.00e-04,165.2,8508
387,1,0.127380,1.00e-04,165.7,8508
388,1,0.018165,1.00e-04,166.1,8508
389,1,0.128174,1.00e-04,166.4,8508
390,1,0.061956,1.00e-04,166.8,8508
391,1,0.009876,1.00e-04,167.3,8508
392,1,0.100731,1.00e-04,167.7,8508
393,1,0.122052,1.00e-04,168.1,8508
394,1,0.031008,1.00e-04,168.6,8508
395,1,0.071689,1.00e-04,169.1,8508
396,1,0.185228,1.00e-04,169.5,8508
397,1,0.009924,1.00e-04,170.0,8508
398,1,0.168053,1.00e-04,170.7,8508
399,1,0.070515,1.00e-04,171.1,8508
400,1,0.203444,1.00e-04,171.4,8508
401,1,0.083104,1.00e-04,171.9,8508
402,1,0.058424,1.00e-04,172.2,8508
403,1,0.026776,1.00e-04,172.6,8508
404,1,0.003401,1.00e-04,173.0,8508
405,1,0.015608,1.00e-04,173.5,8508
406,1,0.022509,1.00e-04,173.8,8508
407,1,0.142053,1.00e-04,174.3,8508
408,1,0.096832,1.00e-04,174.7,8508
409,1,0.073951,1.00e-04,175.0,8508
410,1,0.013845,1.00e-04,175.4,8508
411,1,0.026326,1.00e-04,175.8,8508
412,1,0.093951,1.00e-04,176.2,8508
413,1,0.018733,1.00e-04,176.6,8508
414,1,0.060917,1.00e-04,177.0,8508
415,1,0.056078,1.00e-04,177.4,8508
416,1,0.103377,1.00e-04,177.8,8508
417,1,0.133029,1.00e-04,178.2,8508
