step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.059894,2.00e-05,2.9,8463
2,0,0.029048,2.00e-05,3.2,8482
3,0,0.004090,2.00e-05,3.7,8482
4,0,0.152044,2.00e-05,4.2,8482
5,0,0.017115,2.00e-05,4.7,8495
6,0,0.170715,2.00e-05,5.1,8508
7,0,0.008996,2.00e-05,5.6,8508
8,0,0.145341,2.00e-05,6.1,8508
9,0,0.080832,2.00e-05,6.6,8508
10,0,0.016614,2.00e-05,7.0,8508
11,0,0.011468,2.00e-05,7.4,8508
12,0,0.021360,2.00e-05,8.0,8508
13,0,0.115418,2.00e-05,8.4,8508
14,0,0.029508,2.00e-05,8.8,8508
15,0,0.008931,2.00e-05,9.4,8508
16,0,0.016174,2.00e-05,9.7,8508
17,0,0.097514,2.00e-05,10.2,8508
18,0,0.004914,2.00e-05,10.7,8508
19,0,0.052265,2.00e-05,11.1,8508
20,0,0.066910,2.00e-05,11.5,8508
21,0,0.072252,2.00e-05,12.0,8508
22,0,0.078886,2.00e-05,12.4,8508
23,0,0.042651,2.00e-05,12.8,8508
24,0,0.078650,2.00e-05,13.8,8508
25,0,0.006318,2.00e-05,14.2,8508
26,0,0.039003,2.00e-05,14.5,8508
27,0,0.115274,2.00e-05,14.9,8508
28,0,0.011321,2.00e-05,15.3,8508
29,0,0.086695,2.00e-05,15.9,8508
30,0,0.088930,2.00e-05,16.3,8508
31,0,0.107043,2.00e-05,16.8,8508
32,0,0.053018,2.00e-05,17.3,8508
33,0,0.187300,2.00e-05,17.8,8508
34,0,0.040145,2.00e-05,18.2,8508
35,0,0.066862,2.00e-05,18.7,8508
36,0,0.155621,2.00e-05,19.2,8508
37,0,0.094650,2.00e-05,19.5,8508
38,0,0.062270,2.00e-05,20.0,8508
39,0,0.044119,2.00e-05,20.4,8508
40,0,0.090302,2.00e-05,20.8,8508
41,0,0.050679,2.00e-05,21.2,8508
42,0,0.064435,2.00e-05,21.6,8508
43,0,0.067953,2.00e-05,22.1,8508
44,0,0.113975,2.00e-05,22.5,8508
45,0,0.019383,2.00e-05,23.0,8508
46,0,0.171106,2.00e-05,23.5,8508
47,0,0.139497,2.00e-05,24.1,8508
48,0,0.066659,2.00e-05,24.5,8508
49,0,0.024361,2.00e-05,24.9,8508
50,0,0.008561,2.00e-05,25.4,8508
51,0,0.075368,2.00e-05,25.9,8508
52,0,0.010688,2.00e-05,26.5,8508
53,0,0.050929,2.00e-05,26.8,8508
54,0,0.091219,2.00e-05,27.3,8508
55,0,0.003049,2.00e-05,27.7,8508
56,0,0.057069,2.00e-05,28.2,8508
57,0,0.139531,2.00e-05,28.7,8508
58,0,0.027265,2.00e-05,29.3,8508
59,0,0.050026,2.00e-05,29.7,8508
60,0,0.021359,2.00e-05,30.6,8508
61,0,0.070519,2.00e-05,31.1,8508
62,0,0.334092,2.00e-05,31.6,8508
63,0,0.144156,2.00e-05,32.0,8508
64,0,0.020153,2.00e-05,32.3,8508
65,0,0.009461,2.00e-05,32.8,8508
66,0,0.059672,2.00e-05,33.2,8508
67,0,0.188715,2.00e-05,33.7,8508
68,0,0.110029,2.00e-05,34.1,8508
69,0,0.010433,2.00e-05,34.5,8508
70,0,0.067560,2.00e-05,34.9,8508
71,0,0.047332,2.00e-05,35.4,8508
72,0,0.131396,2.00e-05,35.9,8508
73,0,0.133356,2.00e-05,36.4,8508
74,0,0.077870,2.00e-05,36.9,8508
75,0,0.214083,2.00e-05,37.4,8508
76,0,0.054129,2.00e-05,37.8,8508
77,0,0.063046,2.00e-05,38.7,8508
78,0,0.006444,2.00e-05,39.2,8508
79,0,0.080429,2.00e-05,39.6,8508
80,0,0.070918,2.00e-05,40.0,8508
81,0,0.086484,2.00e-05,40.4,8508
82,0,0.048592,2.00e-05,40.9,8508
83,0,0.006567,2.00e-05,41.3,8508
84,0,0.087474,2.00e-05,41.7,8508
85,0,0.003955,2.00e-05,42.2,8508
86,0,0.004549,2.00e-05,42.5,8508
87,0,0.036057,2.00e-05,43.1,8508
88,0,0.052285,2.00e-05,43.5,8508
89,0,0.077277,2.00e-05,43.9,8508
90,0,0.008022,2.00e-05,44.3,8508
91,0,0.036563,2.00e-05,44.8,8508
92,0,0.089286,2.00e-05,45.3,8508
93,0,0.028172,2.00e-05,45.7,8508
94,0,0.014085,2.00e-05,46.1,8508
95,0,0.016373,2.00e-05,46.5,8508
96,0,0.049038,2.00e-05,47.0,8508
97,0,0.279962,2.00e-05,47.4,8508
98,0,0.009819,2.00e-05,47.8,8508
99,0,0.097918,2.00e-05,48.2,8508
100,0,0.103610,2.00e-05,48.7,8508
101,0,0.062705,2.00e-05,49.0,8508
102,0,0.024378,2.00e-05,49.5,8508
103,0,0.043481,2.00e-05,49.8,8508
104,0,0.088284,2.00e-05,50.3,8508
105,0,0.096772,2.00e-05,50.8,8508
106,0,0.099644,2.00e-05,51.2,8508
107,0,0.021828,2.00e-05,51.5,8508
108,0,0.083572,2.00e-05,52.0,8508
109,0,0.060909,2.00e-05,52.3,8508
110,1,0.060045,2.00e-05,52.9,8508
111,1,0.003556,2.00e-05,53.4,8508
112,1,0.014419,2.00e-05,53.7,8508
113,1,0.061600,2.00e-05,54.2,8508
114,1,0.085183,2.00e-05,54.7,8508
115,1,0.025474,2.00e-05,55.2,8508
116,1,0.093571,2.00e-05,55.6,8508
117,1,0.009923,2.00e-05,56.1,8508
118,1,0.032638,2.00e-05,56.5,8508
119,1,0.045669,2.00e-05,57.0,8508
120,1,0.104545,2.00e-05,57.5,8508
121,1,0.020764,2.00e-05,57.9,8508
122,1,0.089707,2.00e-05,58.3,8508
123,1,0.093635,2.00e-05,58.7,8508
124,1,0.066207,2.00e-05,59.1,8508
125,1,0.029881,2.00e-05,59.6,8508
126,1,0.067141,2.00e-05,60.0,8508
127,1,0.047580,2.00e-05,60.3,8508
128,1,0.098604,2.00e-05,60.8,8508
129,1,0.151460,2.00e-05,61.3,8508
130,1,0.057034,2.00e-05,61.8,8508
131,1,0.040536,2.00e-05,62.1,8508
132,1,0.081624,2.00e-05,62.5,8508
133,1,0.063683,2.00e-05,62.9,8508
134,1,0.036215,2.00e-05,63.3,8508
135,1,0.032586,2.00e-05,63.7,8508
136,1,0.139803,2.00e-05,64.3,8508
137,1,0.014603,2.00e-05,64.8,8508
138,1,0.012414,2.00e-05,65.3,8508
139,1,0.034479,2.00e-05,65.6,8508
140,1,0.146918,2.00e-05,66.1,8508
141,1,0.014416,2.00e-05,66.4,8508
142,1,0.074266,2.00e-05,66.9,8508
143,1,0.093859,2.00e-05,67.5,8508
144,1,0.283014,2.00e-05,67.9,8508
145,1,0.009533,2.00e-05,68.5,8508
146,1,0.146820,2.00e-05,69.0,8508
147,1,0.219552,2.00e-05,69.8,8508
148,1,0.026875,2.00e-05,70.3,8508
149,1,0.109478,2.00e-05,70.8,8508
150,1,0.130951,2.00e-05,71.2,8508
151,1,0.074879,2.00e-05,71.6,8508
152,1,0.005038,2.00e-05,72.1,8508
153,1,0.065885,2.00e-05,72.5,8508
154,1,0.071659,2.00e-05,72.9,8508
155,1,0.007266,2.00e-05,73.4,8508
156,1,0.070858,2.00e-05,73.8,8508
157,1,0.053470,2.00e-05,74.2,8508
158,1,0.041190,2.00e-05,74.7,8508
159,1,0.026068,2.00e-05,75.1,8508
160,1,0.014210,2.00e-05,75.6,8508
161,1,0.087850,2.00e-05,75.9,8508
162,1,0.065662,2.00e-05,76.4,8508
163,1,0.097825,2.00e-05,76.8,8508
164,1,0.113050,2.00e-05,77.3,8508
