step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.090560,1.00e-04,2.9,8463
2,0,0.158198,1.00e-04,3.3,8482
3,0,0.038435,1.00e-04,3.7,8482
4,0,0.140961,1.00e-04,4.1,8482
5,0,0.053424,1.00e-04,4.5,8495
6,0,0.037105,1.00e-04,4.9,8508
7,0,0.003528,1.00e-04,5.3,8508
8,0,0.079811,1.00e-04,5.8,8508
9,0,0.025971,1.00e-04,6.1,8508
10,0,0.229341,1.00e-04,6.5,8508
11,0,0.093516,1.00e-04,6.9,8508
12,0,0.135867,1.00e-04,7.3,8508
13,0,0.074092,1.00e-04,7.7,8508
14,0,0.075594,1.00e-04,8.1,8508
15,0,0.008338,1.00e-04,8.5,8508
16,0,0.116010,1.00e-04,8.8,8508
17,0,0.116843,1.00e-04,9.2,8508
18,0,0.077255,1.00e-04,9.7,8508
19,0,0.004032,1.00e-04,10.1,8508
20,0,0.249347,1.00e-04,10.4,8508
21,0,0.045860,1.00e-04,10.8,8508
22,0,0.020156,1.00e-04,11.2,8508
23,0,0.114723,1.00e-04,11.6,8508
24,0,0.258763,1.00e-04,11.9,8508
25,0,0.195589,1.00e-04,12.3,8508
26,0,0.058901,1.00e-04,12.7,8508
27,0,0.086649,1.00e-04,13.1,8508
28,0,0.132516,1.00e-04,13.5,8508
29,0,0.068144,1.00e-04,14.0,8508
30,0,0.067365,1.00e-04,14.4,8508
31,0,0.065843,1.00e-04,14.7,8508
32,0,0.063227,1.00e-04,15.1,8508
33,0,0.184798,1.00e-04,15.5,8508
34,0,0.051871,1.00e-04,15.9,8508
35,0,0.025161,1.00e-04,16.4,8508
36,0,0.067290,1.00e-04,16.9,8508
37,0,0.025764,1.00e-04,17.2,8508
38,0,0.068952,1.00e-04,17.7,8508
39,0,0.149028,1.00e-04,18.1,8508
40,0,0.124628,1.00e-04,18.6,8508
41,0,0.080977,1.00e-04,18.9,8508
42,0,0.158598,1.00e-04,19.3,8508
43,0,0.079114,1.00e-04,19.7,8508
44,0,0.122282,1.00e-04,20.2,8508
45,0,0.163503,1.00e-04,20.6,8508
46,0,0.048267,1.00e-04,21.0,8508
47,0,0.056078,1.00e-04,21.4,8508
48,0,0.157454,1.00e-04,21.8,8508
49,0,0.203611,1.00e-04,22.2,8508
50,0,0.027480,1.00e-04,22.6,8508
51,0,0.060568,1.00e-04,22.9,8508
52,1,0.099532,1.00e-04,23.4,8508
53,1,0.020296,1.00e-04,23.8,8508
54,1,0.015139,1.00e-04,24.2,8508
55,1,0.107632,1.00e-04,24.6,8508
56,1,0.146402,1.00e-04,24.9,8508
57,1,0.011306,1.00e-04,25.3,8508
58,1,0.164227,1.00e-04,25.7,8508
59,1,0.051019,1.00e-04,26.1,8508
60,1,0.174336,1.00e-04,26.4,8508
61,1,0.060334,1.00e-04,26.8,8508
62,1,0.062523,1.00e-04,27.2,8508
