step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.092896,2.00e-05,2.9,8463
2,0,0.174677,2.00e-05,3.3,8482
3,0,0.101946,2.00e-05,3.7,8482
4,0,0.138645,2.00e-05,4.1,8482
5,0,0.058064,2.00e-05,4.5,8482
6,1,0.200142,2.00e-05,4.9,8495
7,1,0.007987,2.00e-05,5.3,8508
8,1,0.074671,2.00e-05,5.6,8508
9,1,0.103751,2.00e-05,6.0,8508
10,1,0.138217,2.00e-05,6.2,8508
11,2,0.099546,2.00e-05,6.7,8508
12,2,0.020242,2.00e-05,7.1,8508
13,2,0.084162,2.00e-05,7.5,8508
14,2,0.072001,2.00e-05,7.8,8508
15,2,0.125329,2.00e-05,8.1,8508
16,3,0.014912,2.00e-05,8.5,8508
17,3,0.106313,2.00e-05,8.9,8508
18,3,0.102622,2.00e-05,9.4,8508
19,3,0.127248,2.00e-05,9.7,8508
20,3,0.118469,2.00e-05,10.0,8508
21,4,0.052211,2.00e-05,10.4,8508
22,4,0.034926,2.00e-05,10.8,8508
23,4,0.135099,2.00e-05,11.2,8508
24,4,0.023987,2.00e-05,11.5,8508
25,4,0.003552,2.00e-05,11.8,8508
26,5,0.054990,2.00e-05,12.2,8508
27,5,0.060047,2.00e-05,12.6,8508
28,5,0.114309,2.00e-05,12.9,8508
29,5,0.008193,2.00e-05,13.3,8508
30,5,0.055858,2.00e-05,13.6,8508
31,6,0.066018,2.00e-05,14.0,8508
32,6,0.108537,2.00e-05,14.3,8508
33,6,0.184679,2.00e-05,14.7,8508
34,6,0.048752,2.00e-05,15.1,8508
35,6,0.057301,2.00e-05,15.3,8508
36,7,0.049829,2.00e-05,15.8,8508
37,7,0.008068,2.00e-05,16.1,8508
38,7,0.273707,2.00e-05,16.5,8508
39,7,0.030834,2.00e-05,16.9,8508
40,7,0.019007,2.00e-05,17.1,8508
41,8,0.048422,2.00e-05,17.5,8508
42,8,0.070143,2.00e-05,17.9,8508
43,8,0.272117,2.00e-05,18.3,8508
44,8,0.060615,2.00e-05,18.7,8508
45,8,0.002132,2.00e-05,19.0,8508
46,9,0.019460,2.00e-05,19.4,8508
47,9,0.008681,2.00e-05,19.8,8508
48,9,0.191900,2.00e-05,20.2,8508
49,9,0.060579,2.00e-05,20.6,8508
50,9,0.265426,2.00e-05,20.8,8508
51,10,0.292942,2.00e-05,21.3,8508
52,10,0.043077,2.00e-05,21.7,8508
53,10,0.009161,2.00e-05,22.1,8508
54,10,0.070773,2.00e-05,22.4,8508
55,10,0.213041,2.00e-05,22.7,8508
56,11,0.087497,2.00e-05,23.1,8508
57,11,0.009845,2.00e-05,23.5,8508
58,11,0.045654,2.00e-05,23.9,8508
59,11,0.174378,2.00e-05,24.2,8508
60,11,0.075621,2.00e-05,24.5,8508
61,12,0.016803,2.00e-05,24.9,8508
62,12,0.021117,2.00e-05,25.3,8508
63,12,0.328814,2.00e-05,25.7,8508
64,12,0.079767,2.00e-05,26.0,8508
65,12,0.015130,2.00e-05,26.3,8508
66,13,0.120884,2.00e-05,26.7,8508
67,13,0.161283,2.00e-05,27.0,8508
