step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.153233,1.00e-04,3.0,8463
2,0,0.037875,1.00e-04,3.4,8482
3,0,0.016903,1.00e-04,3.8,8482
4,0,0.144813,1.00e-04,4.2,8482
5,0,0.075656,1.00e-04,4.6,8495
6,0,0.085894,1.00e-04,5.1,8508
7,0,0.011061,1.00e-04,5.5,8508
8,0,0.028693,1.00e-04,6.0,8508
9,0,0.092356,1.00e-04,6.4,8508
10,0,0.030524,1.00e-04,6.9,8508
11,0,0.016559,1.00e-04,7.4,8508
12,0,0.086370,1.00e-04,7.8,8508
13,0,0.134096,1.00e-04,8.2,8508
14,0,0.030081,1.00e-04,8.6,8508
15,0,0.007383,1.00e-04,9.0,8508
16,0,0.013062,1.00e-04,9.3,8508
17,0,0.079258,1.00e-04,9.7,8508
18,0,0.005176,1.00e-04,10.1,8508
19,0,0.014439,1.00e-04,10.5,8508
20,0,0.049912,1.00e-04,10.9,8508
21,0,0.268390,1.00e-04,11.8,8508
22,0,0.104208,1.00e-04,12.3,8508
23,0,0.031502,1.00e-04,12.7,8508
24,0,0.016824,1.00e-04,13.2,8508
25,0,0.005021,1.00e-04,13.8,8508
26,0,0.083328,1.00e-04,14.1,8508
27,0,0.079596,1.00e-04,14.5,8508
28,0,0.012010,1.00e-04,15.0,8508
29,0,0.177266,1.00e-04,15.4,8508
30,0,0.073738,1.00e-04,15.9,8508
31,0,0.102965,1.00e-04,16.3,8508
32,0,0.066592,1.00e-04,16.8,8508
33,0,0.107111,1.00e-04,17.2,8508
34,0,0.052503,1.00e-04,17.5,8508
35,0,0.041903,1.00e-04,17.9,8508
36,0,0.189734,1.00e-04,18.2,8508
37,0,0.100246,1.00e-04,18.8,8508
38,0,0.060468,1.00e-04,19.2,8508
39,0,0.035063,1.00e-04,19.6,8508
40,0,0.199923,1.00e-04,20.0,8508
41,0,0.048985,1.00e-04,20.4,8508
42,0,0.060474,1.00e-04,20.8,8508
43,0,0.036315,1.00e-04,21.1,8508
44,0,0.066192,1.00e-04,21.5,8508
45,0,0.026086,1.00e-04,21.9,8508
46,0,0.038104,1.00e-04,22.3,8508
47,0,0.162374,1.00e-04,22.7,8508
48,0,0.039036,1.00e-04,23.1,8508
49,0,0.012811,1.00e-04,23.5,8508
50,0,0.011890,1.00e-04,23.9,8508
51,0,0.019674,1.00e-04,24.3,8508
52,0,0.015415,1.00e-04,24.6,8508
53,0,0.033866,1.00e-04,25.1,8508
54,0,0.057864,1.00e-04,25.5,8508
55,0,0.007985,1.00e-04,25.9,8508
