step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.107905,2.00e-05,2.9,8463
2,0,0.065478,2.00e-05,3.5,8482
3,0,0.013681,2.00e-05,3.9,8482
4,0,0.106162,2.00e-05,4.4,8482
5,0,0.028915,2.00e-05,5.1,8495
6,0,0.190957,2.00e-05,5.6,8508
7,0,0.012904,2.00e-05,6.1,8508
8,0,0.018091,2.00e-05,6.4,8508
9,0,0.053178,2.00e-05,6.8,8508
10,0,0.030361,2.00e-05,7.2,8508
11,0,0.026954,2.00e-05,7.6,8508
12,0,0.065614,2.00e-05,8.1,8508
13,0,0.089024,2.00e-05,8.5,8508
14,0,0.032597,2.00e-05,9.0,8508
15,0,0.009086,2.00e-05,9.5,8508
16,0,0.019208,2.00e-05,10.0,8508
17,0,0.041963,2.00e-05,10.4,8508
18,0,0.008221,2.00e-05,10.8,8508
19,0,0.058605,2.00e-05,11.3,8508
20,0,0.077493,2.00e-05,11.7,8508
21,0,0.151738,2.00e-05,12.2,8508
22,0,0.106791,2.00e-05,13.0,8508
23,0,0.033286,2.00e-05,13.4,8508
24,0,0.054872,2.00e-05,13.8,8508
25,0,0.003561,2.00e-05,14.8,8508
26,0,0.031984,2.00e-05,15.3,8508
27,0,0.089913,2.00e-05,15.7,8508
28,0,0.019355,2.00e-05,16.1,8508
29,0,0.200676,2.00e-05,16.5,8508
30,0,0.082260,2.00e-05,16.9,8508
31,0,0.058253,2.00e-05,17.3,8508
32,0,0.018564,2.00e-05,17.8,8508
33,0,0.150135,2.00e-05,18.2,8508
34,0,0.058188,2.00e-05,18.8,8508
35,0,0.083563,2.00e-05,19.2,8508
36,0,0.122585,2.00e-05,19.6,8508
37,0,0.098581,2.00e-05,20.1,8508
38,0,0.048344,2.00e-05,20.5,8508
39,0,0.020269,2.00e-05,20.8,8508
40,0,0.126785,2.00e-05,21.2,8508
41,0,0.040328,2.00e-05,21.7,8508
42,0,0.087596,2.00e-05,22.2,8508
43,0,0.006923,2.00e-05,22.5,8508
44,0,0.149362,2.00e-05,23.0,8508
45,0,0.039246,2.00e-05,23.5,8508
46,0,0.029822,2.00e-05,23.9,8508
47,0,0.120547,2.00e-05,24.3,8508
48,0,0.066561,2.00e-05,24.8,8508
49,0,0.028730,2.00e-05,25.3,8508
50,0,0.009920,2.00e-05,25.7,8508
51,0,0.044864,2.00e-05,26.2,8508
52,0,0.013607,2.00e-05,26.6,8508
53,0,0.027247,2.00e-05,27.0,8508
54,0,0.041549,2.00e-05,27.4,8508
55,0,0.008738,2.00e-05,27.9,8508
56,0,0.036893,2.00e-05,28.4,8508
57,0,0.268220,2.00e-05,28.9,8508
58,0,0.033732,2.00e-05,29.4,8508
59,0,0.062316,2.00e-05,29.8,8508
60,0,0.020956,2.00e-05,30.3,8508
61,0,0.030696,2.00e-05,30.7,8508
62,0,0.118988,2.00e-05,31.1,8508
63,0,0.149742,2.00e-05,31.6,8508
64,0,0.083099,2.00e-05,32.0,8508
65,0,0.009896,2.00e-05,32.5,8508
66,0,0.075995,2.00e-05,32.9,8508
67,0,0.095317,2.00e-05,33.3,8508
68,0,0.046042,2.00e-05,33.8,8508
69,0,0.008581,2.00e-05,34.3,8508
70,0,0.157131,2.00e-05,34.7,8508
71,0,0.067853,2.00e-05,35.6,8508
72,0,0.172044,2.00e-05,36.1,8508
73,0,0.132922,2.00e-05,36.5,8508
74,0,0.033889,2.00e-05,37.0,8508
75,0,0.173693,2.00e-05,37.6,8508
76,0,0.032361,2.00e-05,38.0,8508
77,0,0.075082,2.00e-05,38.5,8508
78,0,0.005392,2.00e-05,38.9,8508
79,0,0.074935,2.00e-05,39.2,8508
80,0,0.060350,2.00e-05,39.7,8508
81,0,0.061357,2.00e-05,40.2,8508
82,0,0.050475,2.00e-05,40.6,8508
83,0,0.006151,2.00e-05,41.1,8508
84,0,0.152859,2.00e-05,41.5,8508
85,0,0.001931,2.00e-05,42.1,8508
86,0,0.004468,2.00e-05,42.5,8508
87,0,0.025877,2.00e-05,42.9,8508
88,0,0.052623,2.00e-05,43.5,8508
89,0,0.083641,2.00e-05,44.1,8508
90,0,0.012753,2.00e-05,44.6,8508
91,0,0.047555,2.00e-05,45.2,8508
92,0,0.032373,2.00e-05,45.6,8508
93,0,0.033894,2.00e-05,46.0,8508
94,0,0.029172,2.00e-05,46.5,8508
95,0,0.026434,2.00e-05,46.9,8508
96,0,0.082704,2.00e-05,47.4,8508
97,0,0.313752,2.00e-05,47.8,8508
98,0,0.009284,2.00e-05,48.2,8508
99,0,0.031020,2.00e-05,48.7,8508
100,0,0.153742,2.00e-05,49.0,8508
101,0,0.022534,2.00e-05,49.4,8508
102,0,0.028346,2.00e-05,49.9,8508
103,0,0.153584,2.00e-05,50.4,8508
104,0,0.050075,2.00e-05,50.9,8508
105,0,0.146472,2.00e-05,51.3,8508
106,0,0.129790,2.00e-05,51.7,8508
107,0,0.025838,2.00e-05,52.1,8508
108,0,0.097583,2.00e-05,52.5,8508
109,0,0.085645,2.00e-05,52.8,8508
110,1,0.042713,2.00e-05,53.2,8508
111,1,0.002813,2.00e-05,53.7,8508
112,1,0.012693,2.00e-05,54.2,8508
113,1,0.091941,2.00e-05,54.6,8508
114,1,0.084647,2.00e-05,55.1,8508
115,1,0.075554,2.00e-05,55.6,8508
116,1,0.068422,2.00e-05,56.0,8508
117,1,0.011915,2.00e-05,56.4,8508
118,1,0.039575,2.00e-05,56.9,8508
119,1,0.055340,2.00e-05,57.4,8508
120,1,0.075042,2.00e-05,57.9,8508
121,1,0.015525,2.00e-05,58.3,8508
122,1,0.150885,2.00e-05,58.8,8508
123,1,0.069974,2.00e-05,59.3,8508
124,1,0.053972,2.00e-05,59.8,8508
125,1,0.074650,2.00e-05,60.3,8508
126,1,0.077507,2.00e-05,60.7,8508
127,1,0.091390,2.00e-05,61.1,8508
128,1,0.125916,2.00e-05,61.6,8508
