step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.054226,1.00e-04,2.8,8463
2,0,0.176669,1.00e-04,3.2,8482
3,0,0.028526,1.00e-04,3.5,8482
4,0,0.105041,1.00e-04,4.0,8482
5,0,0.092305,1.00e-04,4.4,8495
6,0,0.078856,1.00e-04,4.8,8508
7,0,0.002531,1.00e-04,5.3,8508
8,0,0.206950,1.00e-04,5.8,8508
9,0,0.066262,1.00e-04,6.2,8508
10,0,0.076472,1.00e-04,6.6,8508
11,0,0.081487,1.00e-04,7.0,8508
12,0,0.073756,1.00e-04,7.4,8508
13,0,0.012199,1.00e-04,7.7,8508
14,1,0.018031,1.00e-04,8.1,8508
15,1,0.015964,1.00e-04,8.6,8508
16,1,0.088514,1.00e-04,9.0,8508
17,1,0.014366,1.00e-04,9.5,8508
18,1,0.043219,1.00e-04,9.9,8508
19,1,0.171563,1.00e-04,10.4,8508
20,1,0.095588,1.00e-04,10.7,8508
21,1,0.044895,1.00e-04,11.2,8508
22,1,0.162387,1.00e-04,11.5,8508
23,1,0.030946,1.00e-04,12.0,8508
24,1,0.124255,1.00e-04,12.4,8508
25,1,0.020171,1.00e-04,12.7,8508
26,1,0.006062,1.00e-04,13.0,8508
27,2,0.092570,1.00e-04,13.6,8508
28,2,0.013693,1.00e-04,13.9,8508
29,2,0.072639,1.00e-04,14.4,8508
30,2,0.179358,1.00e-04,14.8,8508
31,2,0.045678,1.00e-04,15.1,8508
32,2,0.429334,1.00e-04,15.5,8508
33,2,0.102696,1.00e-04,15.9,8508
34,2,0.011218,1.00e-04,16.2,8508
35,2,0.085620,1.00e-04,16.8,8508
36,2,0.120469,1.00e-04,17.1,8508
37,2,0.039276,1.00e-04,17.5,8508
38,2,0.083573,1.00e-04,17.9,8508
39,2,0.138573,1.00e-04,18.1,8508
40,3,0.038226,1.00e-04,18.6,8508
41,3,0.015732,1.00e-04,18.9,8508
42,3,0.016411,1.00e-04,19.3,8508
43,3,0.050836,1.00e-04,19.7,8508
44,3,0.012525,1.00e-04,20.1,8508
