step,epoch,loss,lr,elapsed_sec,gpu_mem_MB
1,0,0.046102,2.00e-05,2.9,8463
2,0,0.100031,2.00e-05,3.4,8482
3,0,0.016044,2.00e-05,3.8,8482
4,0,0.126013,2.00e-05,4.2,8482
5,0,0.033919,2.00e-05,4.6,8495
6,0,0.126888,2.00e-05,5.0,8508
7,0,0.009307,2.00e-05,5.5,8508
8,0,0.131232,2.00e-05,5.8,8508
9,1,0.036637,2.00e-05,6.2,8508
10,1,0.023770,2.00e-05,6.6,8508
11,1,0.016112,2.00e-05,7.1,8508
12,1,0.054149,2.00e-05,7.5,8508
13,1,0.057501,2.00e-05,7.9,8508
14,1,0.046047,2.00e-05,8.2,8508
15,1,0.009120,2.00e-05,8.7,8508
16,1,0.021593,2.00e-05,9.0,8508
17,2,0.032744,2.00e-05,9.5,8508
18,2,0.003957,2.00e-05,9.9,8508
19,2,0.087499,2.00e-05,10.4,8508
20,2,0.084095,2.00e-05,10.8,8508
21,2,0.139626,2.00e-05,11.1,8508
22,2,0.121335,2.00e-05,11.5,8508
23,2,0.030674,2.00e-05,11.9,8508
24,2,0.061392,2.00e-05,12.2,8508
25,3,0.003537,2.00e-05,12.8,8508
26,3,0.067877,2.00e-05,13.3,8508
27,3,0.126771,2.00e-05,13.7,8508
28,3,0.007967,2.00e-05,14.0,8508
29,3,0.205917,2.00e-05,14.4,8508
30,3,0.042835,2.00e-05,14.8,8508
31,3,0.128089,2.00e-05,15.1,8508
32,3,0.065450,2.00e-05,15.5,8508
33,4,0.171949,2.00e-05,16.0,8508
34,4,0.051411,2.00e-05,16.3,8508
35,4,0.048680,2.00e-05,16.8,8508
36,4,0.062859,2.00e-05,17.2,8508
37,4,0.228360,2.00e-05,17.6,8508
38,4,0.052005,2.00e-05,18.0,8508
39,4,0.020192,2.00e-05,18.4,8508
40,4,0.104175,2.00e-05,18.7,8508
41,5,0.039094,2.00e-05,19.2,8508
42,5,0.079578,2.00e-05,19.6,8508
43,5,0.074126,2.00e-05,20.1,8508
44,5,0.194061,2.00e-05,20.5,8508
45,5,0.025916,2.00e-05,20.9,8508
46,5,0.034975,2.00e-05,21.3,8508
47,5,0.186658,2.00e-05,21.7,8508
48,5,0.038133,2.00e-05,22.0,8508
49,6,0.013938,2.00e-05,22.4,8508
50,6,0.009465,2.00e-05,22.8,8508
